
0 Train acc: 28.728 | Train Loss: 768.6261503696442 || Teste acc: 39.5 | Teste Loss: 167.85910558700562
1 Train acc: 43.832 | Train Loss: 593.6568441390991 || Teste acc: 44.73 | Teste Loss: 150.6023359298706
2 Train acc: 55.692 | Train Loss: 479.18338763713837 || Teste acc: 59.63 | Teste Loss: 116.31903213262558
3 Train acc: 66.472 | Train Loss: 371.0302094221115 || Teste acc: 64.67 | Teste Loss: 105.14298158884048
4 Train acc: 72.206 | Train Loss: 312.8301549553871 || Teste acc: 69.15 | Teste Loss: 91.74212050437927
5 Train acc: 75.042 | Train Loss: 283.23999094963074 || Teste acc: 65.04 | Teste Loss: 104.05484509468079
6 Train acc: 76.802 | Train Loss: 264.7356674671173 || Teste acc: 74.76 | Teste Loss: 73.54303440451622
7 Train acc: 77.888 | Train Loss: 251.98272812366486 || Teste acc: 61.74 | Teste Loss: 115.65258353948593
8 Train acc: 78.672 | Train Loss: 243.09117358922958 || Teste acc: 71.93 | Teste Loss: 86.67544662952423
9 Train acc: 79.528 | Train Loss: 234.2061930000782 || Teste acc: 58.18 | Teste Loss: 146.4182517528534
10 Train acc: 79.734 | Train Loss: 230.85911193490028 || Teste acc: 75.67 | Teste Loss: 70.5254262983799
11 Train acc: 80.59 | Train Loss: 221.126099973917 || Teste acc: 75.79 | Teste Loss: 72.12777170538902
12 Train acc: 80.588 | Train Loss: 222.70116224884987 || Teste acc: 71.38 | Teste Loss: 84.32384890317917
13 Train acc: 81.502 | Train Loss: 214.24404227733612 || Teste acc: 74.61 | Teste Loss: 74.33661979436874
14 Train acc: 81.604 | Train Loss: 211.0768183171749 || Teste acc: 71.93 | Teste Loss: 87.94284987449646
15 Train acc: 81.804 | Train Loss: 210.3150967657566 || Teste acc: 74.73 | Teste Loss: 80.26788699626923
16 Train acc: 82.03 | Train Loss: 206.2643312215805 || Teste acc: 74.5 | Teste Loss: 80.71468687057495
17 Train acc: 82.304 | Train Loss: 203.21093153953552 || Teste acc: 79.64 | Teste Loss: 60.85355284810066
18 Train acc: 82.426 | Train Loss: 202.0192849636078 || Teste acc: 79.65 | Teste Loss: 60.712285935878754
19 Train acc: 82.894 | Train Loss: 195.81322929263115 || Teste acc: 73.16 | Teste Loss: 91.01065611839294
20 Train acc: 82.88 | Train Loss: 196.67693209648132 || Teste acc: 79.24 | Teste Loss: 63.07646146416664
21 Train acc: 83.318 | Train Loss: 194.38105511665344 || Teste acc: 64.31 | Teste Loss: 125.23008662462234
22 Train acc: 83.0 | Train Loss: 193.4178211390972 || Teste acc: 77.29 | Teste Loss: 69.68979081511497
23 Train acc: 83.498 | Train Loss: 191.85934582352638 || Teste acc: 77.58 | Teste Loss: 66.35069581866264
24 Train acc: 83.796 | Train Loss: 188.13137350976467 || Teste acc: 74.95 | Teste Loss: 75.61888846755028
25 Train acc: 83.658 | Train Loss: 187.76346185803413 || Teste acc: 80.6 | Teste Loss: 59.965304374694824
26 Train acc: 83.854 | Train Loss: 185.0408660173416 || Teste acc: 70.49 | Teste Loss: 91.22551783919334
27 Train acc: 84.11 | Train Loss: 180.50832930207253 || Teste acc: 75.1 | Teste Loss: 81.33316838741302
28 Train acc: 84.216 | Train Loss: 180.98990949988365 || Teste acc: 79.03 | Teste Loss: 64.84889253973961
29 Train acc: 84.528 | Train Loss: 176.7773965150118 || Teste acc: 63.46 | Teste Loss: 145.70613181591034
30 Train acc: 84.682 | Train Loss: 176.4997285157442 || Teste acc: 77.14 | Teste Loss: 71.22418642044067
31 Train acc: 84.952 | Train Loss: 174.39017155766487 || Teste acc: 76.08 | Teste Loss: 74.07419976592064
32 Train acc: 84.83 | Train Loss: 174.46588604152203 || Teste acc: 81.27 | Teste Loss: 57.60259437561035
