
0 Train acc: 42.646 | Train Loss: 608.3509148359299 || Teste acc: 49.62 | Teste Loss: 139.42201912403107
1 Train acc: 61.244 | Train Loss: 426.75540268421173 || Teste acc: 60.55 | Teste Loss: 114.7062007188797
2 Train acc: 69.666 | Train Loss: 343.1828215122223 || Teste acc: 66.29 | Teste Loss: 97.8234132528305
3 Train acc: 74.44 | Train Loss: 293.4888182878494 || Teste acc: 70.55 | Teste Loss: 90.71520900726318
4 Train acc: 76.82 | Train Loss: 267.1580625474453 || Teste acc: 71.46 | Teste Loss: 85.31808388233185
5 Train acc: 78.372 | Train Loss: 252.83692011237144 || Teste acc: 74.94 | Teste Loss: 76.10726571083069
6 Train acc: 80.118 | Train Loss: 235.37810996174812 || Teste acc: 68.12 | Teste Loss: 95.37445497512817
7 Train acc: 80.432 | Train Loss: 230.7367895245552 || Teste acc: 74.17 | Teste Loss: 79.78656315803528
8 Train acc: 81.17 | Train Loss: 221.5221785902977 || Teste acc: 71.53 | Teste Loss: 90.1952229142189
9 Train acc: 81.368 | Train Loss: 220.05420354008675 || Teste acc: 76.18 | Teste Loss: 70.37693712115288
10 Train acc: 81.916 | Train Loss: 214.0259366929531 || Teste acc: 72.95 | Teste Loss: 81.40068197250366
11 Train acc: 82.288 | Train Loss: 209.6671730875969 || Teste acc: 77.81 | Teste Loss: 68.0812700688839
12 Train acc: 82.554 | Train Loss: 206.72478818893433 || Teste acc: 71.94 | Teste Loss: 83.41879469156265
13 Train acc: 83.142 | Train Loss: 200.82984226942062 || Teste acc: 74.16 | Teste Loss: 77.66972863674164
14 Train acc: 82.924 | Train Loss: 202.37682175636292 || Teste acc: 77.35 | Teste Loss: 68.52346131205559
15 Train acc: 83.31 | Train Loss: 198.6214760541916 || Teste acc: 70.32 | Teste Loss: 98.9679564833641
16 Train acc: 83.556 | Train Loss: 196.81385898590088 || Teste acc: 70.49 | Teste Loss: 91.1721156835556
17 Train acc: 83.462 | Train Loss: 195.99202632904053 || Teste acc: 74.37 | Teste Loss: 78.93157988786697
18 Train acc: 83.684 | Train Loss: 194.3657913506031 || Teste acc: 81.45 | Teste Loss: 55.5393992960453
19 Train acc: 84.078 | Train Loss: 190.8195888698101 || Teste acc: 74.78 | Teste Loss: 75.87698295712471
20 Train acc: 84.356 | Train Loss: 187.1400766670704 || Teste acc: 70.76 | Teste Loss: 90.73506087064743
21 Train acc: 84.214 | Train Loss: 188.42892560362816 || Teste acc: 68.21 | Teste Loss: 98.87386506795883
22 Train acc: 84.59 | Train Loss: 184.64615127444267 || Teste acc: 81.34 | Teste Loss: 54.7609837949276
23 Train acc: 84.898 | Train Loss: 181.07212835550308 || Teste acc: 77.42 | Teste Loss: 69.94597896933556
24 Train acc: 84.898 | Train Loss: 181.92998215556145 || Teste acc: 78.02 | Teste Loss: 66.40941759943962
25 Train acc: 84.98 | Train Loss: 179.28670099377632 || Teste acc: 80.51 | Teste Loss: 58.50501814484596
26 Train acc: 85.28 | Train Loss: 176.57958510518074 || Teste acc: 77.86 | Teste Loss: 69.0617703795433
