
0 Train acc: 42.196 | Train Loss: 614.0868600606918 || Teste acc: 49.0 | Teste Loss: 138.89075565338135
1 Train acc: 60.698 | Train Loss: 432.9045032262802 || Teste acc: 43.63 | Teste Loss: 170.59872829914093
2 Train acc: 69.21 | Train Loss: 346.15647304058075 || Teste acc: 67.14 | Teste Loss: 95.31406635046005
3 Train acc: 74.202 | Train Loss: 295.12210792303085 || Teste acc: 71.93 | Teste Loss: 81.2549467086792
4 Train acc: 77.078 | Train Loss: 266.7361476421356 || Teste acc: 72.17 | Teste Loss: 85.4546280503273
5 Train acc: 78.75 | Train Loss: 248.08963319659233 || Teste acc: 70.55 | Teste Loss: 89.04633301496506
6 Train acc: 79.68 | Train Loss: 238.2189199924469 || Teste acc: 75.65 | Teste Loss: 71.76420322060585
7 Train acc: 80.418 | Train Loss: 229.8206140100956 || Teste acc: 72.69 | Teste Loss: 79.98245030641556
8 Train acc: 80.972 | Train Loss: 222.6044547855854 || Teste acc: 71.24 | Teste Loss: 85.19132685661316
9 Train acc: 81.482 | Train Loss: 218.41185691952705 || Teste acc: 75.27 | Teste Loss: 74.85275968909264
10 Train acc: 81.898 | Train Loss: 213.17525094747543 || Teste acc: 67.37 | Teste Loss: 98.73729050159454
11 Train acc: 82.096 | Train Loss: 211.2547931075096 || Teste acc: 69.64 | Teste Loss: 92.72193002700806
12 Train acc: 82.308 | Train Loss: 208.00251990556717 || Teste acc: 75.52 | Teste Loss: 71.8604367673397
13 Train acc: 82.938 | Train Loss: 203.18431076407433 || Teste acc: 70.04 | Teste Loss: 95.25257420539856
14 Train acc: 83.074 | Train Loss: 201.7775625884533 || Teste acc: 79.61 | Teste Loss: 59.769356995821
15 Train acc: 83.27 | Train Loss: 197.84696593880653 || Teste acc: 68.67 | Teste Loss: 98.38415849208832
16 Train acc: 83.532 | Train Loss: 194.5209854543209 || Teste acc: 75.3 | Teste Loss: 74.76535281538963
17 Train acc: 83.544 | Train Loss: 195.2262681722641 || Teste acc: 77.72 | Teste Loss: 68.53228387236595
18 Train acc: 83.802 | Train Loss: 190.2243170440197 || Teste acc: 80.81 | Teste Loss: 57.795293390750885
19 Train acc: 83.902 | Train Loss: 192.11498534679413 || Teste acc: 77.75 | Teste Loss: 65.47554409503937
20 Train acc: 84.24 | Train Loss: 189.1372339129448 || Teste acc: 81.45 | Teste Loss: 56.2978595495224
21 Train acc: 84.02 | Train Loss: 188.73762115836143 || Teste acc: 76.31 | Teste Loss: 70.77299043536186
22 Train acc: 84.658 | Train Loss: 183.92994210124016 || Teste acc: 76.95 | Teste Loss: 67.85950270295143
23 Train acc: 84.65 | Train Loss: 183.85026261210442 || Teste acc: 79.57 | Teste Loss: 62.845789700746536
24 Train acc: 84.698 | Train Loss: 181.50357788801193 || Teste acc: 76.95 | Teste Loss: 70.5659858584404
25 Train acc: 85.154 | Train Loss: 178.38340866565704 || Teste acc: 78.36 | Teste Loss: 65.12558153271675
