
0 Train acc: 42.09 | Train Loss: 614.5342440605164 || Teste acc: 49.17 | Teste Loss: 138.71119570732117
1 Train acc: 60.502 | Train Loss: 433.23436814546585 || Teste acc: 63.02 | Teste Loss: 104.5197502374649
2 Train acc: 69.194 | Train Loss: 348.58278143405914 || Teste acc: 66.16 | Teste Loss: 97.13259559869766
3 Train acc: 74.518 | Train Loss: 295.2900940179825 || Teste acc: 71.96 | Teste Loss: 84.22312462329865
4 Train acc: 76.52 | Train Loss: 270.42711889743805 || Teste acc: 63.2 | Teste Loss: 117.87862884998322
5 Train acc: 78.38 | Train Loss: 251.73629173636436 || Teste acc: 66.48 | Teste Loss: 105.84122169017792
6 Train acc: 79.504 | Train Loss: 238.95749309659004 || Teste acc: 71.35 | Teste Loss: 84.60090380907059
7 Train acc: 80.316 | Train Loss: 231.59177482128143 || Teste acc: 69.31 | Teste Loss: 91.40623313188553
8 Train acc: 81.062 | Train Loss: 221.92848944664001 || Teste acc: 67.18 | Teste Loss: 99.7532068490982
9 Train acc: 81.654 | Train Loss: 217.18828785419464 || Teste acc: 73.82 | Teste Loss: 78.53010606765747
10 Train acc: 81.958 | Train Loss: 212.93442437052727 || Teste acc: 75.07 | Teste Loss: 75.85156443715096
11 Train acc: 82.408 | Train Loss: 208.26018661260605 || Teste acc: 73.48 | Teste Loss: 81.01477402448654
12 Train acc: 82.492 | Train Loss: 206.00819990038872 || Teste acc: 74.91 | Teste Loss: 75.70029944181442
13 Train acc: 82.788 | Train Loss: 202.18793365359306 || Teste acc: 81.38 | Teste Loss: 55.21784368157387
14 Train acc: 83.25 | Train Loss: 197.63737192749977 || Teste acc: 73.49 | Teste Loss: 80.66523391008377
15 Train acc: 83.412 | Train Loss: 197.1883362531662 || Teste acc: 75.85 | Teste Loss: 71.24926537275314
16 Train acc: 83.574 | Train Loss: 194.74247029423714 || Teste acc: 77.12 | Teste Loss: 66.46338015794754
17 Train acc: 83.76 | Train Loss: 192.1438203752041 || Teste acc: 78.57 | Teste Loss: 64.53235024213791
18 Train acc: 84.174 | Train Loss: 187.68296745419502 || Teste acc: 76.19 | Teste Loss: 70.22969344258308
