
0 Train acc: 42.19 | Train Loss: 613.2833577394485 || Teste acc: 50.04 | Teste Loss: 139.45276153087616
1 Train acc: 60.592 | Train Loss: 433.722026348114 || Teste acc: 63.06 | Teste Loss: 104.59132367372513
2 Train acc: 69.546 | Train Loss: 342.48805153369904 || Teste acc: 60.48 | Teste Loss: 120.54392695426941
3 Train acc: 74.314 | Train Loss: 294.1267805695534 || Teste acc: 66.01 | Teste Loss: 104.05971539020538
4 Train acc: 76.594 | Train Loss: 268.6451136767864 || Teste acc: 73.44 | Teste Loss: 79.06036192178726
5 Train acc: 78.85 | Train Loss: 248.51817533373833 || Teste acc: 65.78 | Teste Loss: 106.30214130878448
6 Train acc: 79.356 | Train Loss: 241.1305461525917 || Teste acc: 69.31 | Teste Loss: 100.14758276939392
7 Train acc: 80.556 | Train Loss: 227.74270504713058 || Teste acc: 70.35 | Teste Loss: 87.17348647117615
8 Train acc: 81.05 | Train Loss: 223.5995677113533 || Teste acc: 77.53 | Teste Loss: 66.43750908970833
9 Train acc: 81.534 | Train Loss: 216.75499764084816 || Teste acc: 77.27 | Teste Loss: 66.0137428343296
10 Train acc: 82.008 | Train Loss: 211.91881880164146 || Teste acc: 70.94 | Teste Loss: 88.84404224157333
11 Train acc: 82.16 | Train Loss: 210.112056016922 || Teste acc: 66.26 | Teste Loss: 108.1884177327156
12 Train acc: 82.77 | Train Loss: 203.90760871767998 || Teste acc: 75.94 | Teste Loss: 72.30850806832314
13 Train acc: 82.692 | Train Loss: 203.3369598686695 || Teste acc: 74.1 | Teste Loss: 74.81454449892044
14 Train acc: 83.31 | Train Loss: 200.01665073633194 || Teste acc: 79.31 | Teste Loss: 62.231715351343155
15 Train acc: 83.32 | Train Loss: 197.04971766471863 || Teste acc: 74.57 | Teste Loss: 77.2917200922966
16 Train acc: 83.268 | Train Loss: 197.16942629218102 || Teste acc: 69.93 | Teste Loss: 96.58384889364243
17 Train acc: 83.512 | Train Loss: 193.9734145104885 || Teste acc: 71.21 | Teste Loss: 96.64773744344711
18 Train acc: 83.988 | Train Loss: 191.16009584069252 || Teste acc: 70.83 | Teste Loss: 85.30440920591354
19 Train acc: 84.008 | Train Loss: 190.53617295622826 || Teste acc: 70.59 | Teste Loss: 96.19699376821518
20 Train acc: 84.234 | Train Loss: 187.272068887949 || Teste acc: 76.69 | Teste Loss: 69.09418013691902
21 Train acc: 84.262 | Train Loss: 185.80317962169647 || Teste acc: 76.53 | Teste Loss: 73.7364167869091
22 Train acc: 84.534 | Train Loss: 184.75922387838364 || Teste acc: 80.81 | Teste Loss: 56.09708759188652
23 Train acc: 84.596 | Train Loss: 182.27672803401947 || Teste acc: 67.41 | Teste Loss: 102.86777019500732
24 Train acc: 84.902 | Train Loss: 180.02892088890076 || Teste acc: 77.21 | Teste Loss: 69.65152478218079
25 Train acc: 84.85 | Train Loss: 180.49206367135048 || Teste acc: 80.66 | Teste Loss: 57.46109119057655
26 Train acc: 85.106 | Train Loss: 177.25143092870712 || Teste acc: 76.5 | Teste Loss: 69.31143793463707
27 Train acc: 85.304 | Train Loss: 177.1839677542448 || Teste acc: 82.85 | Teste Loss: 51.59150391817093
28 Train acc: 85.428 | Train Loss: 173.964984446764 || Teste acc: 76.41 | Teste Loss: 73.15451112389565
29 Train acc: 85.464 | Train Loss: 172.92965053021908 || Teste acc: 81.76 | Teste Loss: 57.140302270650864
30 Train acc: 85.938 | Train Loss: 168.49610170722008 || Teste acc: 78.0 | Teste Loss: 64.63718241453171
31 Train acc: 85.86 | Train Loss: 169.4220771342516 || Teste acc: 79.41 | Teste Loss: 61.04669401049614
32 Train acc: 86.284 | Train Loss: 163.90010631084442 || Teste acc: 79.7 | Teste Loss: 61.944060891866684
33 Train acc: 86.304 | Train Loss: 163.9685507118702 || Teste acc: 78.76 | Teste Loss: 64.3532606959343
34 Train acc: 86.304 | Train Loss: 164.1992093771696 || Teste acc: 78.61 | Teste Loss: 65.01377925276756
35 Train acc: 86.664 | Train Loss: 159.47070795297623 || Teste acc: 82.22 | Teste Loss: 52.3409848511219
36 Train acc: 86.69 | Train Loss: 159.18384486436844 || Teste acc: 77.69 | Teste Loss: 70.14380928874016
37 Train acc: 86.936 | Train Loss: 156.7112619280815 || Teste acc: 83.85 | Teste Loss: 47.48955658078194
38 Train acc: 87.198 | Train Loss: 154.4748509824276 || Teste acc: 80.87 | Teste Loss: 58.180964052677155
39 Train acc: 87.286 | Train Loss: 153.80690369009972 || Teste acc: 81.43 | Teste Loss: 56.93951195478439
40 Train acc: 87.626 | Train Loss: 148.04936818778515 || Teste acc: 80.95 | Teste Loss: 59.51613396406174
41 Train acc: 87.788 | Train Loss: 147.57721491158009 || Teste acc: 82.17 | Teste Loss: 53.98695534467697
42 Train acc: 87.678 | Train Loss: 148.08479471504688 || Teste acc: 79.29 | Teste Loss: 62.5071542263031
43 Train acc: 88.136 | Train Loss: 143.35302226245403 || Teste acc: 78.79 | Teste Loss: 64.61402043700218
44 Train acc: 88.146 | Train Loss: 143.96763248741627 || Teste acc: 84.09 | Teste Loss: 48.40365210175514
45 Train acc: 88.25 | Train Loss: 140.76025423407555 || Teste acc: 84.17 | Teste Loss: 48.48865646123886
46 Train acc: 88.756 | Train Loss: 138.12630781531334 || Teste acc: 83.56 | Teste Loss: 49.98758828639984
47 Train acc: 88.78 | Train Loss: 136.0101978778839 || Teste acc: 79.51 | Teste Loss: 62.28311762213707
48 Train acc: 89.078 | Train Loss: 133.0096117556095 || Teste acc: 77.96 | Teste Loss: 68.72529071569443
49 Train acc: 89.254 | Train Loss: 130.34791058301926 || Teste acc: 83.25 | Teste Loss: 51.70103293657303
50 Train acc: 89.106 | Train Loss: 130.8721083253622 || Teste acc: 80.39 | Teste Loss: 62.71689322590828
51 Train acc: 89.77 | Train Loss: 125.41161912679672 || Teste acc: 83.7 | Teste Loss: 50.209859773516655
52 Train acc: 89.886 | Train Loss: 123.58038744330406 || Teste acc: 82.35 | Teste Loss: 54.09188348054886
53 Train acc: 89.738 | Train Loss: 122.74632911384106 || Teste acc: 83.83 | Teste Loss: 49.115758806467056
54 Train acc: 90.51 | Train Loss: 116.50792361795902 || Teste acc: 84.39 | Teste Loss: 47.57741737365723
55 Train acc: 90.6 | Train Loss: 115.43116752058268 || Teste acc: 86.86 | Teste Loss: 40.38897368311882
56 Train acc: 90.796 | Train Loss: 113.37198024988174 || Teste acc: 84.08 | Teste Loss: 50.29291653633118
57 Train acc: 91.1 | Train Loss: 109.2041881531477 || Teste acc: 78.65 | Teste Loss: 66.77126222848892
58 Train acc: 91.254 | Train Loss: 107.5901502519846 || Teste acc: 86.73 | Teste Loss: 40.96922932565212
59 Train acc: 91.6 | Train Loss: 103.77550079673529 || Teste acc: 83.11 | Teste Loss: 55.19043895602226
60 Train acc: 91.756 | Train Loss: 102.12321373820305 || Teste acc: 86.88 | Teste Loss: 41.1748443543911
61 Train acc: 92.064 | Train Loss: 98.62859747558832 || Teste acc: 87.96 | Teste Loss: 37.59096401929855
62 Train acc: 91.956 | Train Loss: 97.94691453129053 || Teste acc: 85.36 | Teste Loss: 46.55089217424393
63 Train acc: 92.448 | Train Loss: 93.59306495636702 || Teste acc: 89.46 | Teste Loss: 32.47846858203411
64 Train acc: 92.806 | Train Loss: 89.8866287022829 || Teste acc: 89.12 | Teste Loss: 33.21838256716728
65 Train acc: 93.082 | Train Loss: 86.35785627365112 || Teste acc: 86.85 | Teste Loss: 40.91728812456131
66 Train acc: 93.216 | Train Loss: 84.76437644660473 || Teste acc: 86.13 | Teste Loss: 43.2268555611372
67 Train acc: 93.36 | Train Loss: 83.01864105463028 || Teste acc: 89.39 | Teste Loss: 34.33758543431759
68 Train acc: 93.928 | Train Loss: 76.24266906827688 || Teste acc: 88.13 | Teste Loss: 37.38258072733879
69 Train acc: 94.092 | Train Loss: 74.8165221363306 || Teste acc: 88.53 | Teste Loss: 35.53564700484276
70 Train acc: 94.452 | Train Loss: 70.51392319053411 || Teste acc: 85.56 | Teste Loss: 45.476007759571075
71 Train acc: 94.582 | Train Loss: 69.11710466444492 || Teste acc: 88.58 | Teste Loss: 36.76461483538151
72 Train acc: 95.094 | Train Loss: 63.13606307655573 || Teste acc: 89.15 | Teste Loss: 35.053810223937035
73 Train acc: 95.41 | Train Loss: 60.92532826215029 || Teste acc: 90.28 | Teste Loss: 30.3133782222867
74 Train acc: 95.714 | Train Loss: 56.58330291137099 || Teste acc: 89.97 | Teste Loss: 32.51468135416508
75 Train acc: 95.956 | Train Loss: 53.496814262121916 || Teste acc: 90.19 | Teste Loss: 32.06680403649807
76 Train acc: 96.424 | Train Loss: 48.47535277158022 || Teste acc: 92.06 | Teste Loss: 26.451451666653156
77 Train acc: 96.574 | Train Loss: 46.471061166375875 || Teste acc: 90.46 | Teste Loss: 30.882090613245964
78 Train acc: 96.986 | Train Loss: 41.638947516679764 || Teste acc: 90.55 | Teste Loss: 31.302371963858604
79 Train acc: 97.344 | Train Loss: 38.40172271244228 || Teste acc: 92.24 | Teste Loss: 25.317611046135426
80 Train acc: 97.55 | Train Loss: 35.397493965923786 || Teste acc: 91.82 | Teste Loss: 27.15075846016407
81 Train acc: 98.074 | Train Loss: 29.72518514096737 || Teste acc: 92.13 | Teste Loss: 26.852244682610035
82 Train acc: 98.256 | Train Loss: 27.505332650616765 || Teste acc: 92.55 | Teste Loss: 25.4632011577487
83 Train acc: 98.48 | Train Loss: 24.501255402341485 || Teste acc: 92.62 | Teste Loss: 24.06036926805973
84 Train acc: 98.78 | Train Loss: 21.277761908248067 || Teste acc: 92.56 | Teste Loss: 26.238752655684948
85 Train acc: 99.054 | Train Loss: 17.73689870722592 || Teste acc: 93.1 | Teste Loss: 24.378429867327213
86 Train acc: 99.248 | Train Loss: 15.377391977235675 || Teste acc: 93.6 | Teste Loss: 23.14914407581091
87 Train acc: 99.362 | Train Loss: 13.611935511231422 || Teste acc: 94.17 | Teste Loss: 21.178631491959095
88 Train acc: 99.598 | Train Loss: 11.436261419206858 || Teste acc: 94.29 | Teste Loss: 21.20275880768895
89 Train acc: 99.702 | Train Loss: 10.112564119510353 || Teste acc: 94.38 | Teste Loss: 20.97849852219224
90 Train acc: 99.76 | Train Loss: 8.943602396175265 || Teste acc: 94.63 | Teste Loss: 20.511451218277216
91 Train acc: 99.864 | Train Loss: 7.911744209006429 || Teste acc: 94.73 | Teste Loss: 20.070293240249157
92 Train acc: 99.884 | Train Loss: 7.496034702286124 || Teste acc: 94.79 | Teste Loss: 19.852044600993395
93 Train acc: 99.9 | Train Loss: 7.256445323117077 || Teste acc: 94.84 | Teste Loss: 19.9621917642653
94 Train acc: 99.916 | Train Loss: 7.0418018801137805 || Teste acc: 94.78 | Teste Loss: 19.88442776724696
95 Train acc: 99.946 | Train Loss: 6.746540325693786 || Teste acc: 94.83 | Teste Loss: 19.847152199596167
96 Train acc: 99.924 | Train Loss: 6.744498680345714 || Teste acc: 94.9 | Teste Loss: 19.526195818558335
97 Train acc: 99.942 | Train Loss: 6.6308040814474225 || Teste acc: 94.88 | Teste Loss: 19.505778547376394
98 Train acc: 99.95 | Train Loss: 6.54967833776027 || Teste acc: 94.76 | Teste Loss: 19.668959826231003

99 Train acc: 99.956 | Train Loss: 6.546609742566943 || Teste acc: 94.98 | Teste Loss: 19.47079560533166
