
0 Train acc: 42.204 | Train Loss: 614.8485703468323 || Teste acc: 48.9 | Teste Loss: 142.93236804008484
1 Train acc: 61.14 | Train Loss: 429.32476991415024 || Teste acc: 61.42 | Teste Loss: 110.38534086942673
2 Train acc: 69.53 | Train Loss: 347.92823123931885 || Teste acc: 62.6 | Teste Loss: 110.8169697523117
3 Train acc: 74.742 | Train Loss: 295.973236143589 || Teste acc: 63.82 | Teste Loss: 107.55173426866531
4 Train acc: 76.782 | Train Loss: 270.5681911408901 || Teste acc: 70.55 | Teste Loss: 88.3280263543129
5 Train acc: 78.508 | Train Loss: 252.92644798755646 || Teste acc: 70.16 | Teste Loss: 88.83410394191742
6 Train acc: 79.378 | Train Loss: 243.79865023493767 || Teste acc: 68.13 | Teste Loss: 94.45683312416077
7 Train acc: 80.692 | Train Loss: 229.93071925640106 || Teste acc: 66.35 | Teste Loss: 104.0602598786354
8 Train acc: 80.96 | Train Loss: 227.5820914208889 || Teste acc: 75.23 | Teste Loss: 73.2233375608921
9 Train acc: 81.408 | Train Loss: 221.4541898071766 || Teste acc: 69.2 | Teste Loss: 99.77575969696045
10 Train acc: 81.54 | Train Loss: 218.39493855834007 || Teste acc: 73.99 | Teste Loss: 82.34508657455444
11 Train acc: 82.428 | Train Loss: 211.90815556049347 || Teste acc: 76.65 | Teste Loss: 70.47634479403496
12 Train acc: 82.686 | Train Loss: 208.85842689871788 || Teste acc: 73.34 | Teste Loss: 80.46298485994339
13 Train acc: 82.772 | Train Loss: 207.08514618873596 || Teste acc: 68.22 | Teste Loss: 98.4154862165451
14 Train acc: 83.068 | Train Loss: 204.26515465974808 || Teste acc: 75.44 | Teste Loss: 74.55036106705666
15 Train acc: 83.49 | Train Loss: 198.5983846783638 || Teste acc: 78.31 | Teste Loss: 65.39005026221275
16 Train acc: 83.596 | Train Loss: 197.77448946237564 || Teste acc: 62.79 | Teste Loss: 133.28113889694214
17 Train acc: 83.49 | Train Loss: 197.62721768021584 || Teste acc: 73.31 | Teste Loss: 81.38981634378433
18 Train acc: 83.852 | Train Loss: 194.11047580838203 || Teste acc: 73.06 | Teste Loss: 85.85896492004395
19 Train acc: 84.206 | Train Loss: 190.47096052765846 || Teste acc: 82.26 | Teste Loss: 54.854572892189026
20 Train acc: 84.202 | Train Loss: 189.1996553838253 || Teste acc: 75.26 | Teste Loss: 75.58177673816681
21 Train acc: 84.588 | Train Loss: 186.55024364590645 || Teste acc: 72.2 | Teste Loss: 81.62520468235016
22 Train acc: 84.774 | Train Loss: 185.7499142885208 || Teste acc: 83.58 | Teste Loss: 49.160024523735046
23 Train acc: 84.66 | Train Loss: 185.23885542154312 || Teste acc: 77.78 | Teste Loss: 66.98312994837761
24 Train acc: 84.942 | Train Loss: 181.54772359132767 || Teste acc: 77.74 | Teste Loss: 68.04006692767143
25 Train acc: 85.008 | Train Loss: 181.67819732427597 || Teste acc: 79.18 | Teste Loss: 64.35544627904892
26 Train acc: 85.352 | Train Loss: 178.3251832127571 || Teste acc: 78.59 | Teste Loss: 64.3114410340786
27 Train acc: 85.306 | Train Loss: 175.47368688881397 || Teste acc: 78.33 | Teste Loss: 66.13341870903969
28 Train acc: 85.432 | Train Loss: 176.26746694743633 || Teste acc: 80.87 | Teste Loss: 59.99886190891266
29 Train acc: 85.862 | Train Loss: 173.6831794977188 || Teste acc: 73.37 | Teste Loss: 84.67448005080223
30 Train acc: 85.76 | Train Loss: 173.57234585285187 || Teste acc: 77.96 | Teste Loss: 65.44348403811455
31 Train acc: 85.888 | Train Loss: 170.79723259806633 || Teste acc: 72.75 | Teste Loss: 86.06562250852585
32 Train acc: 86.432 | Train Loss: 166.73025684058666 || Teste acc: 80.95 | Teste Loss: 58.482214242219925
33 Train acc: 86.328 | Train Loss: 165.43546733260155 || Teste acc: 78.59 | Teste Loss: 67.36374565958977
34 Train acc: 86.446 | Train Loss: 164.42529395222664 || Teste acc: 76.75 | Teste Loss: 71.64355009794235
35 Train acc: 86.588 | Train Loss: 163.1267109066248 || Teste acc: 77.01 | Teste Loss: 71.42997068166733
36 Train acc: 86.954 | Train Loss: 160.29898217320442 || Teste acc: 77.59 | Teste Loss: 69.76886793971062
37 Train acc: 86.916 | Train Loss: 160.25432400405407 || Teste acc: 82.04 | Teste Loss: 54.61865636706352
38 Train acc: 87.35 | Train Loss: 155.59638434648514 || Teste acc: 82.13 | Teste Loss: 53.83533152937889
39 Train acc: 87.526 | Train Loss: 152.91382758319378 || Teste acc: 83.72 | Teste Loss: 50.63535425066948
40 Train acc: 87.566 | Train Loss: 152.51037967205048 || Teste acc: 74.48 | Teste Loss: 78.42961695790291
41 Train acc: 87.58 | Train Loss: 151.47404885292053 || Teste acc: 83.44 | Teste Loss: 50.23480436205864
42 Train acc: 87.872 | Train Loss: 148.82381403446198 || Teste acc: 83.19 | Teste Loss: 52.4763517677784
43 Train acc: 88.004 | Train Loss: 147.15605394542217 || Teste acc: 83.91 | Teste Loss: 49.01543375849724
44 Train acc: 88.184 | Train Loss: 145.16851910948753 || Teste acc: 80.92 | Teste Loss: 57.88073241710663
45 Train acc: 88.588 | Train Loss: 140.53985004127026 || Teste acc: 81.75 | Teste Loss: 55.46862006187439
46 Train acc: 88.568 | Train Loss: 140.0505033135414 || Teste acc: 81.37 | Teste Loss: 56.92554643750191

47 Train acc: 88.854 | Train Loss: 138.5652531683445 || Teste acc: 85.77 | Teste Loss: 43.51698061823845
48 Train acc: 88.906 | Train Loss: 136.15309527516365 || Teste acc: 82.97 | Teste Loss: 52.3757381439209
49 Train acc: 89.456 | Train Loss: 132.06108884513378 || Teste acc: 86.88 | Teste Loss: 39.77777172625065
50 Train acc: 89.416 | Train Loss: 130.40953969955444 || Teste acc: 83.64 | Teste Loss: 49.0397587120533
51 Train acc: 89.736 | Train Loss: 128.6406882852316 || Teste acc: 82.09 | Teste Loss: 54.66789150238037
52 Train acc: 89.56 | Train Loss: 128.77232456207275 || Teste acc: 86.15 | Teste Loss: 42.83411839604378
53 Train acc: 90.148 | Train Loss: 122.45857694745064 || Teste acc: 79.95 | Teste Loss: 62.023007929325104
54 Train acc: 90.016 | Train Loss: 123.1767245978117 || Teste acc: 86.36 | Teste Loss: 43.45344118773937
55 Train acc: 90.772 | Train Loss: 116.42723315954208 || Teste acc: 84.9 | Teste Loss: 47.117504596710205
56 Train acc: 90.834 | Train Loss: 116.43519195914268 || Teste acc: 86.47 | Teste Loss: 41.47042426466942
57 Train acc: 90.952 | Train Loss: 112.98606149852276 || Teste acc: 84.08 | Teste Loss: 50.383990436792374
58 Train acc: 91.186 | Train Loss: 110.49040618538857 || Teste acc: 87.57 | Teste Loss: 38.992056146264076
59 Train acc: 91.438 | Train Loss: 107.1488012522459 || Teste acc: 87.3 | Teste Loss: 40.559080973267555
60 Train acc: 91.766 | Train Loss: 104.11183226108551 || Teste acc: 88.69 | Teste Loss: 36.553412929177284
61 Train acc: 91.962 | Train Loss: 101.85284868627787 || Teste acc: 87.84 | Teste Loss: 38.01760894060135
62 Train acc: 92.208 | Train Loss: 99.4180725440383 || Teste acc: 86.95 | Teste Loss: 40.41197933256626
63 Train acc: 92.45 | Train Loss: 96.86551351100206 || Teste acc: 88.47 | Teste Loss: 35.52620930969715
64 Train acc: 92.704 | Train Loss: 93.48228760063648 || Teste acc: 80.68 | Teste Loss: 63.00332394242287
65 Train acc: 92.856 | Train Loss: 90.92389775812626 || Teste acc: 88.55 | Teste Loss: 36.899517834186554
66 Train acc: 92.994 | Train Loss: 89.20426157861948 || Teste acc: 89.06 | Teste Loss: 34.0618911087513
67 Train acc: 93.634 | Train Loss: 83.23624869436026 || Teste acc: 89.39 | Teste Loss: 33.841839015483856
68 Train acc: 93.78 | Train Loss: 80.76203096657991 || Teste acc: 89.93 | Teste Loss: 32.514294773340225
69 Train acc: 93.96 | Train Loss: 78.73755759000778 || Teste acc: 89.37 | Teste Loss: 32.941268652677536
70 Train acc: 94.24 | Train Loss: 74.78349120169878 || Teste acc: 88.92 | Teste Loss: 35.098812252283096
