
0 Train acc: 42.584 | Train Loss: 609.3268998861313 || Teste acc: 51.63 | Teste Loss: 133.42433190345764
1 Train acc: 60.914 | Train Loss: 434.641192317009 || Teste acc: 54.02 | Teste Loss: 135.493124127388
2 Train acc: 69.268 | Train Loss: 351.2309291958809 || Teste acc: 64.62 | Teste Loss: 102.39919990301132
3 Train acc: 73.92 | Train Loss: 303.4342461824417 || Teste acc: 63.12 | Teste Loss: 111.30945998430252
4 Train acc: 77.008 | Train Loss: 272.65507131814957 || Teste acc: 68.12 | Teste Loss: 91.36666184663773
5 Train acc: 78.458 | Train Loss: 256.72470796108246 || Teste acc: 71.41 | Teste Loss: 87.49870431423187
6 Train acc: 79.772 | Train Loss: 243.17459717392921 || Teste acc: 71.77 | Teste Loss: 83.3885150551796
7 Train acc: 80.482 | Train Loss: 234.18471512198448 || Teste acc: 67.04 | Teste Loss: 102.53654408454895
8 Train acc: 80.888 | Train Loss: 230.03684344887733 || Teste acc: 78.83 | Teste Loss: 64.63424116373062
9 Train acc: 81.414 | Train Loss: 225.36752369999886 || Teste acc: 72.68 | Teste Loss: 82.48600667715073
10 Train acc: 81.858 | Train Loss: 220.3512563407421 || Teste acc: 67.53 | Teste Loss: 101.65798032283783
11 Train acc: 82.424 | Train Loss: 215.0080923140049 || Teste acc: 67.15 | Teste Loss: 102.05599391460419
12 Train acc: 82.374 | Train Loss: 213.12387359142303 || Teste acc: 63.94 | Teste Loss: 107.38453507423401
13 Train acc: 82.672 | Train Loss: 210.47109869122505 || Teste acc: 74.38 | Teste Loss: 78.35996067523956
14 Train acc: 83.1 | Train Loss: 205.49296775460243 || Teste acc: 73.6 | Teste Loss: 83.16882145404816
15 Train acc: 83.186 | Train Loss: 204.3919502198696 || Teste acc: 79.6 | Teste Loss: 62.327733010053635
16 Train acc: 83.236 | Train Loss: 203.39200499653816 || Teste acc: 74.33 | Teste Loss: 80.18435734510422
17 Train acc: 83.692 | Train Loss: 198.58026432991028 || Teste acc: 76.01 | Teste Loss: 75.743497133255
18 Train acc: 84.0 | Train Loss: 196.41104799509048 || Teste acc: 79.45 | Teste Loss: 63.55560830235481
19 Train acc: 84.06 | Train Loss: 195.03551349043846 || Teste acc: 77.65 | Teste Loss: 69.8648479282856
20 Train acc: 84.37 | Train Loss: 192.72513768076897 || Teste acc: 74.46 | Teste Loss: 80.14586812257767
21 Train acc: 84.518 | Train Loss: 190.41586810350418 || Teste acc: 82.4 | Teste Loss: 54.48236256837845
22 Train acc: 84.716 | Train Loss: 188.49134543538094 || Teste acc: 79.01 | Teste Loss: 63.325105130672455
23 Train acc: 84.614 | Train Loss: 188.61381390690804 || Teste acc: 73.09 | Teste Loss: 82.08932840824127
24 Train acc: 84.902 | Train Loss: 185.71637138724327 || Teste acc: 73.08 | Teste Loss: 82.62334668636322
25 Train acc: 84.952 | Train Loss: 184.69250433146954 || Teste acc: 58.09 | Teste Loss: 134.7861129641533
26 Train acc: 85.26 | Train Loss: 182.09007614850998 || Teste acc: 79.48 | Teste Loss: 60.92791423201561
27 Train acc: 85.176 | Train Loss: 181.21710601449013 || Teste acc: 72.27 | Teste Loss: 83.0780736207962
28 Train acc: 85.724 | Train Loss: 176.77050414681435 || Teste acc: 80.81 | Teste Loss: 59.48541125655174
29 Train acc: 85.63 | Train Loss: 177.0539365261793 || Teste acc: 83.06 | Teste Loss: 53.37202516198158
30 Train acc: 85.552 | Train Loss: 175.5282534956932 || Teste acc: 80.25 | Teste Loss: 61.52310800552368
