
0 Train acc: 43.786 | Train Loss: 601.3630264997482 || Teste acc: 48.52 | Teste Loss: 146.18717074394226
1 Train acc: 62.544 | Train Loss: 419.6083647608757 || Teste acc: 61.36 | Teste Loss: 111.45039480924606
2 Train acc: 71.154 | Train Loss: 336.7548464536667 || Teste acc: 60.0 | Teste Loss: 120.74068492650986
3 Train acc: 75.08 | Train Loss: 294.63986921310425 || Teste acc: 68.63 | Teste Loss: 93.77453804016113
4 Train acc: 77.33 | Train Loss: 272.22632241249084 || Teste acc: 72.75 | Teste Loss: 81.14996784925461
5 Train acc: 78.986 | Train Loss: 253.99423387646675 || Teste acc: 71.62 | Teste Loss: 84.37139976024628
6 Train acc: 79.732 | Train Loss: 245.92179697752 || Teste acc: 73.67 | Teste Loss: 79.87291815876961
7 Train acc: 80.602 | Train Loss: 236.66554954648018 || Teste acc: 80.44 | Teste Loss: 59.47848883271217
8 Train acc: 81.148 | Train Loss: 229.39971435070038 || Teste acc: 75.06 | Teste Loss: 76.63169693946838
9 Train acc: 81.654 | Train Loss: 225.32532119750977 || Teste acc: 76.84 | Teste Loss: 68.9277776479721
10 Train acc: 82.104 | Train Loss: 219.5291250348091 || Teste acc: 76.7 | Teste Loss: 71.09637838602066
11 Train acc: 82.532 | Train Loss: 214.58034199476242 || Teste acc: 75.89 | Teste Loss: 73.31425169110298
12 Train acc: 82.922 | Train Loss: 210.84789761900902 || Teste acc: 77.51 | Teste Loss: 68.51600104570389
13 Train acc: 82.876 | Train Loss: 212.2813676893711 || Teste acc: 76.31 | Teste Loss: 72.98321104049683
14 Train acc: 83.422 | Train Loss: 206.17588385939598 || Teste acc: 74.36 | Teste Loss: 79.5820161998272
15 Train acc: 83.082 | Train Loss: 207.28051862120628 || Teste acc: 79.04 | Teste Loss: 65.00608626008034
16 Train acc: 83.574 | Train Loss: 202.73501002788544 || Teste acc: 69.12 | Teste Loss: 93.35545414686203
17 Train acc: 83.97 | Train Loss: 199.410311460495 || Teste acc: 67.86 | Teste Loss: 94.62013989686966
18 Train acc: 83.982 | Train Loss: 198.44064939022064 || Teste acc: 77.87 | Teste Loss: 66.98019337654114
19 Train acc: 84.29 | Train Loss: 195.9084317088127 || Teste acc: 79.21 | Teste Loss: 65.51230961084366
20 Train acc: 83.976 | Train Loss: 195.7935267984867 || Teste acc: 74.22 | Teste Loss: 80.58325797319412
21 Train acc: 84.484 | Train Loss: 192.8906711935997 || Teste acc: 75.35 | Teste Loss: 77.10786238312721
22 Train acc: 84.478 | Train Loss: 190.85972666740417 || Teste acc: 72.52 | Teste Loss: 84.72485536336899
23 Train acc: 85.086 | Train Loss: 186.47654336690903 || Teste acc: 73.52 | Teste Loss: 83.71398860216141
24 Train acc: 84.832 | Train Loss: 187.7883274257183 || Teste acc: 81.86 | Teste Loss: 57.67800837755203
25 Train acc: 85.08 | Train Loss: 187.07567131519318 || Teste acc: 72.01 | Teste Loss: 91.96700102090836
26 Train acc: 85.226 | Train Loss: 184.33107367157936 || Teste acc: 78.55 | Teste Loss: 63.70646208524704
27 Train acc: 85.802 | Train Loss: 179.59130030870438 || Teste acc: 80.59 | Teste Loss: 61.36181762814522
28 Train acc: 85.454 | Train Loss: 181.73539185523987 || Teste acc: 80.33 | Teste Loss: 60.62897717952728
29 Train acc: 85.742 | Train Loss: 178.27663272619247 || Teste acc: 77.4 | Teste Loss: 69.60941317677498
30 Train acc: 86.116 | Train Loss: 176.38843190670013 || Teste acc: 77.86 | Teste Loss: 68.72761532664299
31 Train acc: 86.204 | Train Loss: 174.6222095489502 || Teste acc: 76.34 | Teste Loss: 72.91259348392487
32 Train acc: 86.006 | Train Loss: 175.23476752638817 || Teste acc: 80.69 | Teste Loss: 59.124490946531296
33 Train acc: 86.422 | Train Loss: 171.98379680514336 || Teste acc: 81.2 | Teste Loss: 57.54104897379875
34 Train acc: 86.516 | Train Loss: 169.73524783551693 || Teste acc: 81.65 | Teste Loss: 57.249711990356445
35 Train acc: 86.35 | Train Loss: 170.85394310951233 || Teste acc: 77.89 | Teste Loss: 68.96969538927078
36 Train acc: 86.81 | Train Loss: 165.98541642725468 || Teste acc: 78.25 | Teste Loss: 67.09341070055962
37 Train acc: 87.004 | Train Loss: 165.5554637014866 || Teste acc: 79.73 | Teste Loss: 62.929634898900986
38 Train acc: 87.196 | Train Loss: 162.34600926935673 || Teste acc: 77.03 | Teste Loss: 72.88641002774239
39 Train acc: 87.218 | Train Loss: 161.43487049639225 || Teste acc: 78.37 | Teste Loss: 66.57628798484802
40 Train acc: 87.5 | Train Loss: 159.09658674895763 || Teste acc: 79.48 | Teste Loss: 62.806811809539795
41 Train acc: 87.864 | Train Loss: 155.68709829449654 || Teste acc: 81.41 | Teste Loss: 57.22376149892807
42 Train acc: 87.702 | Train Loss: 156.6002211868763 || Teste acc: 84.22 | Teste Loss: 50.486193001270294
43 Train acc: 88.208 | Train Loss: 151.2086451202631 || Teste acc: 74.17 | Teste Loss: 79.96304380893707
44 Train acc: 88.378 | Train Loss: 150.5305231511593 || Teste acc: 81.43 | Teste Loss: 57.58336144685745
45 Train acc: 88.462 | Train Loss: 147.93532536923885 || Teste acc: 81.93 | Teste Loss: 56.017514020204544
46 Train acc: 88.398 | Train Loss: 147.84910562634468 || Teste acc: 84.18 | Teste Loss: 48.855957955121994
47 Train acc: 88.786 | Train Loss: 144.06222701072693 || Teste acc: 78.65 | Teste Loss: 65.70030823349953
48 Train acc: 88.976 | Train Loss: 142.2140871733427 || Teste acc: 84.79 | Teste Loss: 47.37090599536896
49 Train acc: 89.008 | Train Loss: 141.31018434464931 || Teste acc: 80.09 | Teste Loss: 61.45363828539848
50 Train acc: 89.256 | Train Loss: 139.40733554959297 || Teste acc: 83.25 | Teste Loss: 54.0243034362793
51 Train acc: 89.846 | Train Loss: 133.42212715744972 || Teste acc: 81.3 | Teste Loss: 58.913867354393005
52 Train acc: 89.826 | Train Loss: 133.0480695515871 || Teste acc: 86.42 | Teste Loss: 42.70098236203194
53 Train acc: 89.99 | Train Loss: 130.73942314088345 || Teste acc: 84.06 | Teste Loss: 47.91288474202156
54 Train acc: 90.506 | Train Loss: 125.68939943611622 || Teste acc: 85.0 | Teste Loss: 47.365752935409546
55 Train acc: 90.154 | Train Loss: 127.55194973945618 || Teste acc: 86.36 | Teste Loss: 43.437584072351456
56 Train acc: 90.524 | Train Loss: 122.24711173772812 || Teste acc: 86.38 | Teste Loss: 42.71377441287041
57 Train acc: 90.966 | Train Loss: 118.53394475579262 || Teste acc: 84.83 | Teste Loss: 47.5381623506546
58 Train acc: 91.268 | Train Loss: 115.20240595936775 || Teste acc: 88.05 | Teste Loss: 37.87378899753094
59 Train acc: 91.488 | Train Loss: 112.73265242576599 || Teste acc: 87.7 | Teste Loss: 39.62249813973904
60 Train acc: 91.684 | Train Loss: 111.5148698091507 || Teste acc: 84.35 | Teste Loss: 49.47070914506912
61 Train acc: 91.838 | Train Loss: 107.86693695187569 || Teste acc: 86.8 | Teste Loss: 44.164380460977554
62 Train acc: 92.364 | Train Loss: 104.54799798876047 || Teste acc: 85.75 | Teste Loss: 46.00605399906635
63 Train acc: 92.37 | Train Loss: 102.47553593665361 || Teste acc: 87.68 | Teste Loss: 39.29389260709286
64 Train acc: 92.854 | Train Loss: 97.51080331206322 || Teste acc: 86.08 | Teste Loss: 44.652698040008545
65 Train acc: 93.024 | Train Loss: 94.91387243568897 || Teste acc: 86.36 | Teste Loss: 42.996145367622375
66 Train acc: 93.284 | Train Loss: 92.397018276155 || Teste acc: 89.13 | Teste Loss: 35.09384283423424
67 Train acc: 93.53 | Train Loss: 89.49037974327803 || Teste acc: 90.23 | Teste Loss: 31.84718807041645
68 Train acc: 93.828 | Train Loss: 86.16601244360209 || Teste acc: 89.8 | Teste Loss: 33.72856156527996
69 Train acc: 94.136 | Train Loss: 82.1790083348751 || Teste acc: 86.23 | Teste Loss: 45.446031749248505
70 Train acc: 94.328 | Train Loss: 79.89193706959486 || Teste acc: 88.09 | Teste Loss: 39.77440017461777
71 Train acc: 94.71 | Train Loss: 75.45105987042189 || Teste acc: 89.21 | Teste Loss: 36.538323417305946
72 Train acc: 95.256 | Train Loss: 70.88492455333471 || Teste acc: 90.28 | Teste Loss: 32.25269450247288
73 Train acc: 95.414 | Train Loss: 67.81247521191835 || Teste acc: 90.63 | Teste Loss: 31.516870573163033
74 Train acc: 95.822 | Train Loss: 63.63397807627916 || Teste acc: 89.38 | Teste Loss: 36.256764739751816
75 Train acc: 95.966 | Train Loss: 61.2502721324563 || Teste acc: 89.44 | Teste Loss: 35.237416207790375
