
0 Train acc: 43.834 | Train Loss: 599.7366927862167 || Teste acc: 51.83 | Teste Loss: 135.37599766254425
1 Train acc: 63.93 | Train Loss: 409.20257699489594 || Teste acc: 68.76 | Teste Loss: 91.57381981611252
2 Train acc: 72.356 | Train Loss: 325.8379082083702 || Teste acc: 69.82 | Teste Loss: 89.64780014753342
3 Train acc: 75.88 | Train Loss: 288.40862545371056 || Teste acc: 68.63 | Teste Loss: 94.08543729782104
4 Train acc: 77.792 | Train Loss: 267.6258428096771 || Teste acc: 59.38 | Teste Loss: 130.55393064022064
5 Train acc: 78.974 | Train Loss: 256.6576288342476 || Teste acc: 65.82 | Teste Loss: 102.83382189273834
6 Train acc: 79.692 | Train Loss: 247.3806984424591 || Teste acc: 67.9 | Teste Loss: 96.87813711166382
7 Train acc: 80.564 | Train Loss: 238.21866098046303 || Teste acc: 76.28 | Teste Loss: 70.97145265340805
8 Train acc: 81.196 | Train Loss: 231.0698657333851 || Teste acc: 74.98 | Teste Loss: 76.20794054865837
9 Train acc: 81.538 | Train Loss: 226.65303072333336 || Teste acc: 72.19 | Teste Loss: 85.46045446395874
10 Train acc: 82.05 | Train Loss: 222.66455373167992 || Teste acc: 74.22 | Teste Loss: 79.20729684829712
11 Train acc: 82.142 | Train Loss: 219.88820418715477 || Teste acc: 74.69 | Teste Loss: 77.54109308123589
12 Train acc: 82.606 | Train Loss: 216.82756325602531 || Teste acc: 77.06 | Teste Loss: 69.57575505971909
13 Train acc: 82.926 | Train Loss: 212.15296524763107 || Teste acc: 78.8 | Teste Loss: 65.66309806704521
14 Train acc: 83.07 | Train Loss: 208.67338407039642 || Teste acc: 76.36 | Teste Loss: 72.52996525168419
15 Train acc: 83.364 | Train Loss: 208.4349228143692 || Teste acc: 76.39 | Teste Loss: 71.22392925620079
16 Train acc: 83.494 | Train Loss: 205.28134709596634 || Teste acc: 71.61 | Teste Loss: 88.95416259765625
17 Train acc: 83.55 | Train Loss: 205.44482189416885 || Teste acc: 77.05 | Teste Loss: 70.84989181160927
18 Train acc: 84.086 | Train Loss: 199.5783912539482 || Teste acc: 79.93 | Teste Loss: 62.24409544467926
19 Train acc: 84.1 | Train Loss: 199.12649846076965 || Teste acc: 79.66 | Teste Loss: 63.6130046248436
20 Train acc: 84.062 | Train Loss: 197.12731391191483 || Teste acc: 79.14 | Teste Loss: 65.17472398281097
21 Train acc: 84.466 | Train Loss: 195.97174459695816 || Teste acc: 80.41 | Teste Loss: 60.425891399383545
22 Train acc: 84.592 | Train Loss: 193.8009499013424 || Teste acc: 76.99 | Teste Loss: 69.97306162118912
23 Train acc: 84.774 | Train Loss: 191.3726053237915 || Teste acc: 80.43 | Teste Loss: 60.58912706375122
24 Train acc: 84.824 | Train Loss: 191.3220153748989 || Teste acc: 81.02 | Teste Loss: 59.292653769254684
25 Train acc: 84.944 | Train Loss: 189.75007566809654 || Teste acc: 79.89 | Teste Loss: 62.04443737864494
26 Train acc: 85.244 | Train Loss: 186.29413975775242 || Teste acc: 73.32 | Teste Loss: 80.80340278148651
27 Train acc: 85.208 | Train Loss: 186.54656222462654 || Teste acc: 70.36 | Teste Loss: 94.0023278594017
28 Train acc: 85.366 | Train Loss: 184.8233846127987 || Teste acc: 72.86 | Teste Loss: 80.21062463521957
29 Train acc: 85.788 | Train Loss: 181.11494967341423 || Teste acc: 79.92 | Teste Loss: 63.05502766370773
30 Train acc: 85.554 | Train Loss: 182.0574790239334 || Teste acc: 80.83 | Teste Loss: 60.344503462314606
31 Train acc: 85.674 | Train Loss: 180.36962428689003 || Teste acc: 83.63 | Teste Loss: 50.83133924007416
32 Train acc: 85.874 | Train Loss: 179.69053944945335 || Teste acc: 70.07 | Teste Loss: 91.15337938070297
33 Train acc: 86.024 | Train Loss: 176.46679186820984 || Teste acc: 77.32 | Teste Loss: 68.45374536514282
34 Train acc: 86.21 | Train Loss: 174.94325049221516 || Teste acc: 81.84 | Teste Loss: 56.74969953298569
35 Train acc: 86.36 | Train Loss: 172.09058624505997 || Teste acc: 80.83 | Teste Loss: 59.211762338876724
36 Train acc: 86.276 | Train Loss: 173.32319870591164 || Teste acc: 75.49 | Teste Loss: 76.6687805056572
37 Train acc: 86.7 | Train Loss: 169.77510565519333 || Teste acc: 82.42 | Teste Loss: 55.45837181806564
38 Train acc: 87.074 | Train Loss: 165.53363353013992 || Teste acc: 81.46 | Teste Loss: 59.8304700255394
39 Train acc: 87.252 | Train Loss: 165.29325807094574 || Teste acc: 82.6 | Teste Loss: 54.569151163101196
40 Train acc: 87.364 | Train Loss: 163.62035310268402 || Teste acc: 80.0 | Teste Loss: 62.53591251373291
41 Train acc: 87.472 | Train Loss: 161.23161226511002 || Teste acc: 73.69 | Teste Loss: 82.93428587913513
42 Train acc: 87.476 | Train Loss: 160.40257634222507 || Teste acc: 86.08 | Teste Loss: 44.86691841483116
43 Train acc: 87.822 | Train Loss: 155.15110312402248 || Teste acc: 81.49 | Teste Loss: 57.22603967785835
44 Train acc: 87.882 | Train Loss: 155.3323587924242 || Teste acc: 81.65 | Teste Loss: 57.79604214429855
45 Train acc: 88.108 | Train Loss: 154.84019702672958 || Teste acc: 79.25 | Teste Loss: 64.8435443341732
46 Train acc: 88.366 | Train Loss: 149.6573212146759 || Teste acc: 84.67 | Teste Loss: 47.93648263812065

47 Train acc: 88.654 | Train Loss: 148.2884076088667 || Teste acc: 84.39 | Teste Loss: 49.29336607456207
48 Train acc: 88.818 | Train Loss: 145.7821504175663 || Teste acc: 82.57 | Teste Loss: 52.73206505179405
49 Train acc: 88.928 | Train Loss: 144.11814326047897 || Teste acc: 82.47 | Teste Loss: 55.67124465107918
50 Train acc: 89.322 | Train Loss: 139.37510856986046 || Teste acc: 83.96 | Teste Loss: 49.385815873742104
51 Train acc: 89.28 | Train Loss: 140.820117816329 || Teste acc: 85.18 | Teste Loss: 47.36460733413696
52 Train acc: 89.714 | Train Loss: 134.9490098208189 || Teste acc: 85.09 | Teste Loss: 47.22218336164951
53 Train acc: 89.746 | Train Loss: 134.07758910953999 || Teste acc: 82.79 | Teste Loss: 54.4515999853611
