
0 Train acc: 42.268 | Train Loss: 612.7883325815201 || Teste acc: 46.86 | Teste Loss: 147.94281327724457
1 Train acc: 61.724 | Train Loss: 431.35040950775146 || Teste acc: 56.06 | Teste Loss: 131.21789300441742
2 Train acc: 70.248 | Train Loss: 348.4212328195572 || Teste acc: 68.96 | Teste Loss: 92.33054703474045
3 Train acc: 74.716 | Train Loss: 303.605470597744 || Teste acc: 72.84 | Teste Loss: 82.4500498175621
4 Train acc: 77.01 | Train Loss: 279.4074482321739 || Teste acc: 70.03 | Teste Loss: 89.54702258110046
5 Train acc: 78.288 | Train Loss: 264.7791079878807 || Teste acc: 66.95 | Teste Loss: 107.23121684789658
6 Train acc: 79.522 | Train Loss: 251.56951540708542 || Teste acc: 71.15 | Teste Loss: 85.62757062911987
7 Train acc: 80.332 | Train Loss: 243.47439688444138 || Teste acc: 74.07 | Teste Loss: 81.2941945195198
8 Train acc: 80.764 | Train Loss: 239.1327098608017 || Teste acc: 70.95 | Teste Loss: 90.74236834049225
9 Train acc: 81.278 | Train Loss: 232.11150905489922 || Teste acc: 75.28 | Teste Loss: 75.18601608276367
10 Train acc: 81.622 | Train Loss: 228.32915130257607 || Teste acc: 75.95 | Teste Loss: 74.19765049219131
11 Train acc: 82.436 | Train Loss: 220.5284097790718 || Teste acc: 76.65 | Teste Loss: 72.17369595170021
12 Train acc: 82.508 | Train Loss: 218.61887115240097 || Teste acc: 68.21 | Teste Loss: 97.80029916763306
13 Train acc: 82.402 | Train Loss: 217.93770000338554 || Teste acc: 76.45 | Teste Loss: 71.32103827595711
14 Train acc: 82.658 | Train Loss: 215.93540555238724 || Teste acc: 75.78 | Teste Loss: 74.83548778295517
15 Train acc: 83.186 | Train Loss: 210.93698939681053 || Teste acc: 76.78 | Teste Loss: 72.21036350727081
16 Train acc: 83.448 | Train Loss: 208.0249433517456 || Teste acc: 65.18 | Teste Loss: 116.03483885526657
17 Train acc: 83.554 | Train Loss: 207.8086319565773 || Teste acc: 58.11 | Teste Loss: 138.40468627214432
18 Train acc: 83.616 | Train Loss: 204.8717223405838 || Teste acc: 70.53 | Teste Loss: 89.87183547019958
19 Train acc: 84.072 | Train Loss: 200.68852138519287 || Teste acc: 80.02 | Teste Loss: 64.01356819272041
20 Train acc: 83.836 | Train Loss: 202.8636553287506 || Teste acc: 72.01 | Teste Loss: 84.9097501039505
21 Train acc: 84.412 | Train Loss: 198.01666018366814 || Teste acc: 78.64 | Teste Loss: 67.31273195147514
22 Train acc: 84.498 | Train Loss: 194.78577682375908 || Teste acc: 78.92 | Teste Loss: 65.40736928582191
23 Train acc: 84.738 | Train Loss: 193.65875121951103 || Teste acc: 80.29 | Teste Loss: 60.70702677965164
24 Train acc: 84.85 | Train Loss: 192.6347790658474 || Teste acc: 80.45 | Teste Loss: 58.247903764247894
25 Train acc: 85.094 | Train Loss: 188.53525057435036 || Teste acc: 78.63 | Teste Loss: 65.26992923021317
26 Train acc: 85.006 | Train Loss: 190.58114582300186 || Teste acc: 79.87 | Teste Loss: 62.69964721798897
27 Train acc: 85.18 | Train Loss: 187.1054187119007 || Teste acc: 73.66 | Teste Loss: 81.39333301782608
28 Train acc: 85.198 | Train Loss: 189.66269370913506 || Teste acc: 82.04 | Teste Loss: 56.50099167227745
29 Train acc: 85.524 | Train Loss: 183.1866052299738 || Teste acc: 78.63 | Teste Loss: 67.82273745536804
30 Train acc: 86.158 | Train Loss: 179.29070401191711 || Teste acc: 80.48 | Teste Loss: 62.35006991028786
31 Train acc: 85.876 | Train Loss: 181.81637248396873 || Teste acc: 80.87 | Teste Loss: 60.13077437877655
32 Train acc: 85.948 | Train Loss: 179.0795817375183 || Teste acc: 73.18 | Teste Loss: 83.6487547159195
