
0 Train acc: 43.26 | Train Loss: 606.3229178190231 || Teste acc: 53.46 | Teste Loss: 132.13398504257202
1 Train acc: 62.062 | Train Loss: 430.23807007074356 || Teste acc: 55.6 | Teste Loss: 131.35838055610657
2 Train acc: 70.434 | Train Loss: 348.47375708818436 || Teste acc: 71.05 | Teste Loss: 86.23046308755875
3 Train acc: 75.12 | Train Loss: 301.8561017513275 || Teste acc: 64.89 | Teste Loss: 103.48755568265915
4 Train acc: 77.556 | Train Loss: 276.69353502988815 || Teste acc: 69.73 | Teste Loss: 89.41537547111511
5 Train acc: 78.942 | Train Loss: 258.87352016568184 || Teste acc: 71.52 | Teste Loss: 86.63927972316742
6 Train acc: 79.76 | Train Loss: 249.61215808987617 || Teste acc: 74.49 | Teste Loss: 79.52714908123016
7 Train acc: 80.462 | Train Loss: 242.546084523201 || Teste acc: 66.49 | Teste Loss: 102.53701561689377
8 Train acc: 80.944 | Train Loss: 237.41494089365005 || Teste acc: 73.19 | Teste Loss: 81.18221080303192
9 Train acc: 81.684 | Train Loss: 230.82380351424217 || Teste acc: 72.05 | Teste Loss: 86.33117151260376
10 Train acc: 81.62 | Train Loss: 230.4098957479 || Teste acc: 72.09 | Teste Loss: 85.48803836107254
11 Train acc: 82.36 | Train Loss: 224.4757261276245 || Teste acc: 72.34 | Teste Loss: 85.68264067173004
12 Train acc: 82.694 | Train Loss: 219.3622467815876 || Teste acc: 79.1 | Teste Loss: 65.3663538992405
13 Train acc: 82.808 | Train Loss: 217.23141813278198 || Teste acc: 70.25 | Teste Loss: 92.73137575387955
14 Train acc: 82.838 | Train Loss: 215.51768562197685 || Teste acc: 71.08 | Teste Loss: 88.39208447933197
15 Train acc: 83.186 | Train Loss: 214.21849140524864 || Teste acc: 79.71 | Teste Loss: 64.06712266802788
16 Train acc: 83.488 | Train Loss: 209.84555473923683 || Teste acc: 75.33 | Teste Loss: 76.67714893817902
17 Train acc: 83.598 | Train Loss: 209.1599455177784 || Teste acc: 76.87 | Teste Loss: 71.44430914521217
18 Train acc: 83.852 | Train Loss: 206.52286764979362 || Teste acc: 72.39 | Teste Loss: 87.04887408018112
19 Train acc: 83.948 | Train Loss: 204.95598703622818 || Teste acc: 65.5 | Teste Loss: 113.27540284395218
20 Train acc: 84.248 | Train Loss: 202.56328243017197 || Teste acc: 78.85 | Teste Loss: 65.6900916993618
21 Train acc: 84.588 | Train Loss: 198.81262704730034 || Teste acc: 77.74 | Teste Loss: 67.69365215301514
22 Train acc: 84.48 | Train Loss: 199.47030979394913 || Teste acc: 74.96 | Teste Loss: 77.26146984100342
23 Train acc: 84.51 | Train Loss: 197.7840477824211 || Teste acc: 75.9 | Teste Loss: 75.93021428585052
24 Train acc: 85.048 | Train Loss: 193.86860513687134 || Teste acc: 80.98 | Teste Loss: 60.49252626299858
25 Train acc: 85.092 | Train Loss: 194.11176031827927 || Teste acc: 79.74 | Teste Loss: 63.954515755176544
26 Train acc: 85.432 | Train Loss: 188.61561992764473 || Teste acc: 80.56 | Teste Loss: 58.71974557638168
27 Train acc: 84.992 | Train Loss: 191.92707604169846 || Teste acc: 76.35 | Teste Loss: 72.4120115339756
28 Train acc: 85.402 | Train Loss: 188.92631396651268 || Teste acc: 81.93 | Teste Loss: 56.281709402799606
29 Train acc: 85.562 | Train Loss: 185.832868039608 || Teste acc: 77.3 | Teste Loss: 69.35087785124779
30 Train acc: 85.636 | Train Loss: 185.88318905234337 || Teste acc: 77.2 | Teste Loss: 72.21657970547676
31 Train acc: 85.71 | Train Loss: 183.94520062208176 || Teste acc: 73.91 | Teste Loss: 80.90238493680954
32 Train acc: 85.958 | Train Loss: 181.22645765542984 || Teste acc: 79.48 | Teste Loss: 65.80379539728165
33 Train acc: 86.286 | Train Loss: 178.60568243265152 || Teste acc: 73.71 | Teste Loss: 79.38838970661163
34 Train acc: 86.434 | Train Loss: 177.4392309486866 || Teste acc: 82.05 | Teste Loss: 57.59873378276825
35 Train acc: 86.662 | Train Loss: 174.60675805807114 || Teste acc: 81.35 | Teste Loss: 59.687342554330826
36 Train acc: 86.43 | Train Loss: 176.14716523885727 || Teste acc: 77.75 | Teste Loss: 69.16533353924751
37 Train acc: 86.978 | Train Loss: 169.68694284558296 || Teste acc: 81.12 | Teste Loss: 60.03351175785065
38 Train acc: 86.942 | Train Loss: 169.88189959526062 || Teste acc: 79.53 | Teste Loss: 65.75059282779694
