
0 Train acc: 42.858 | Train Loss: 610.904779791832 || Teste acc: 46.56 | Teste Loss: 146.33553457260132
1 Train acc: 61.442 | Train Loss: 439.418692111969 || Teste acc: 58.31 | Teste Loss: 121.3363527059555
2 Train acc: 70.406 | Train Loss: 352.6042290329933 || Teste acc: 65.98 | Teste Loss: 102.3245295882225
3 Train acc: 75.236 | Train Loss: 303.39763790369034 || Teste acc: 68.99 | Teste Loss: 95.38295370340347
4 Train acc: 77.608 | Train Loss: 276.6312007904053 || Teste acc: 72.5 | Teste Loss: 83.58781450986862
5 Train acc: 78.642 | Train Loss: 263.3008754849434 || Teste acc: 68.33 | Teste Loss: 100.17680609226227
6 Train acc: 79.682 | Train Loss: 253.42316129803658 || Teste acc: 72.59 | Teste Loss: 84.51378971338272
7 Train acc: 80.592 | Train Loss: 243.84718850255013 || Teste acc: 73.22 | Teste Loss: 81.48343050479889
8 Train acc: 81.298 | Train Loss: 236.5068774819374 || Teste acc: 76.47 | Teste Loss: 72.20784413814545
9 Train acc: 81.44 | Train Loss: 234.62657225131989 || Teste acc: 73.53 | Teste Loss: 81.02147680521011
10 Train acc: 81.858 | Train Loss: 229.66093164682388 || Teste acc: 77.47 | Teste Loss: 71.02583065629005
11 Train acc: 82.358 | Train Loss: 224.41438794136047 || Teste acc: 70.9 | Teste Loss: 91.57165110111237
12 Train acc: 82.574 | Train Loss: 222.9104686975479 || Teste acc: 67.91 | Teste Loss: 100.33705240488052
13 Train acc: 82.822 | Train Loss: 220.55054008960724 || Teste acc: 72.92 | Teste Loss: 84.16918075084686
14 Train acc: 83.36 | Train Loss: 214.18280032277107 || Teste acc: 71.2 | Teste Loss: 92.68992418050766

15 Train acc: 83.186 | Train Loss: 215.90343835949898 || Teste acc: 79.8 | Teste Loss: 63.492872178554535
16 Train acc: 83.62 | Train Loss: 210.62951719760895 || Teste acc: 77.81 | Teste Loss: 66.46028846502304
17 Train acc: 83.61 | Train Loss: 210.1509292423725 || Teste acc: 78.03 | Teste Loss: 68.7101657986641
18 Train acc: 83.694 | Train Loss: 209.61938324570656 || Teste acc: 76.23 | Teste Loss: 73.65555283427238
19 Train acc: 83.842 | Train Loss: 206.87019339203835 || Teste acc: 74.17 | Teste Loss: 78.26015740633011
20 Train acc: 84.168 | Train Loss: 205.38048774003983 || Teste acc: 75.33 | Teste Loss: 77.87108671665192
21 Train acc: 84.104 | Train Loss: 203.6271604001522 || Teste acc: 68.5 | Teste Loss: 96.36497169733047
22 Train acc: 84.546 | Train Loss: 199.8009138405323 || Teste acc: 76.18 | Teste Loss: 75.33465081453323
23 Train acc: 84.62 | Train Loss: 198.47333601117134 || Teste acc: 68.15 | Teste Loss: 103.62008494138718
24 Train acc: 84.66 | Train Loss: 199.3314197063446 || Teste acc: 75.48 | Teste Loss: 74.86621880531311
25 Train acc: 85.024 | Train Loss: 194.73435801267624 || Teste acc: 73.89 | Teste Loss: 80.9774300456047
26 Train acc: 85.174 | Train Loss: 192.67709383368492 || Teste acc: 74.49 | Teste Loss: 76.71351218223572
27 Train acc: 85.338 | Train Loss: 192.24273666739464 || Teste acc: 68.75 | Teste Loss: 96.42918711900711
28 Train acc: 85.334 | Train Loss: 191.794623285532 || Teste acc: 77.67 | Teste Loss: 71.96553838253021
29 Train acc: 85.794 | Train Loss: 186.8307318687439 || Teste acc: 82.0 | Teste Loss: 56.75733146071434
30 Train acc: 85.706 | Train Loss: 186.54267999529839 || Teste acc: 82.68 | Teste Loss: 55.45820227265358
31 Train acc: 85.96 | Train Loss: 184.3985233604908 || Teste acc: 61.17 | Teste Loss: 135.95948612689972
32 Train acc: 86.178 | Train Loss: 183.49480967223644 || Teste acc: 67.17 | Teste Loss: 101.87593615055084
33 Train acc: 86.342 | Train Loss: 180.65500178933144 || Teste acc: 75.01 | Teste Loss: 78.214115858078
34 Train acc: 86.378 | Train Loss: 180.02480292320251 || Teste acc: 79.26 | Teste Loss: 65.17696216702461
35 Train acc: 86.562 | Train Loss: 177.29324939846992 || Teste acc: 79.55 | Teste Loss: 64.65704315900803
36 Train acc: 86.674 | Train Loss: 175.66195833683014 || Teste acc: 80.24 | Teste Loss: 62.45876222848892
37 Train acc: 86.914 | Train Loss: 173.02531898021698 || Teste acc: 82.22 | Teste Loss: 55.7729814350605
38 Train acc: 87.212 | Train Loss: 171.03783243894577 || Teste acc: 83.75 | Teste Loss: 52.16329029202461
39 Train acc: 87.238 | Train Loss: 169.00830763578415 || Teste acc: 77.35 | Teste Loss: 71.9189877808094
40 Train acc: 87.432 | Train Loss: 167.82006391882896 || Teste acc: 80.69 | Teste Loss: 63.567995429039
41 Train acc: 87.752 | Train Loss: 164.86247316002846 || Teste acc: 81.51 | Teste Loss: 58.38201051950455
42 Train acc: 87.708 | Train Loss: 165.62864649295807 || Teste acc: 84.5 | Teste Loss: 50.311650425195694
43 Train acc: 88.128 | Train Loss: 160.385722219944 || Teste acc: 84.91 | Teste Loss: 49.90409618616104
44 Train acc: 88.246 | Train Loss: 159.78207187354565 || Teste acc: 83.21 | Teste Loss: 54.26738318800926
45 Train acc: 88.086 | Train Loss: 158.5227525830269 || Teste acc: 79.9 | Teste Loss: 64.51415264606476
46 Train acc: 88.62 | Train Loss: 153.5276998281479 || Teste acc: 83.15 | Teste Loss: 55.68342486023903
47 Train acc: 88.674 | Train Loss: 153.2079977095127 || Teste acc: 84.11 | Teste Loss: 50.489430010318756
48 Train acc: 89.014 | Train Loss: 149.67961040139198 || Teste acc: 82.94 | Teste Loss: 54.721320033073425
49 Train acc: 89.168 | Train Loss: 147.83436080813408 || Teste acc: 83.88 | Teste Loss: 52.251955687999725
50 Train acc: 89.372 | Train Loss: 145.3866887241602 || Teste acc: 86.35 | Teste Loss: 43.02648165822029
51 Train acc: 89.444 | Train Loss: 144.83204619586468 || Teste acc: 84.94 | Teste Loss: 49.79076537489891
52 Train acc: 89.958 | Train Loss: 139.2534353584051 || Teste acc: 84.88 | Teste Loss: 49.42717906832695
53 Train acc: 89.968 | Train Loss: 138.56818495690823 || Teste acc: 84.79 | Teste Loss: 49.86274644732475
54 Train acc: 90.126 | Train Loss: 136.89575546979904 || Teste acc: 80.85 | Teste Loss: 63.57499209046364
55 Train acc: 90.426 | Train Loss: 132.8399432748556 || Teste acc: 84.9 | Teste Loss: 48.88342094421387
