
0 Train acc: 43.594 | Train Loss: 607.1603583097458 || Teste acc: 53.23 | Teste Loss: 133.72237694263458
1 Train acc: 62.554 | Train Loss: 431.3579606413841 || Teste acc: 53.57 | Teste Loss: 132.0707277059555
2 Train acc: 70.408 | Train Loss: 352.4846596121788 || Teste acc: 66.46 | Teste Loss: 99.38827794790268
3 Train acc: 75.042 | Train Loss: 304.59922581911087 || Teste acc: 67.17 | Teste Loss: 101.85198259353638
4 Train acc: 77.422 | Train Loss: 280.20860147476196 || Teste acc: 72.91 | Teste Loss: 83.37963247299194
5 Train acc: 78.622 | Train Loss: 268.4875229001045 || Teste acc: 73.69 | Teste Loss: 81.35460990667343
6 Train acc: 79.83 | Train Loss: 253.66651195287704 || Teste acc: 71.11 | Teste Loss: 88.05716663599014
7 Train acc: 80.288 | Train Loss: 248.37397545576096 || Teste acc: 70.39 | Teste Loss: 90.21985113620758
8 Train acc: 80.794 | Train Loss: 243.08926486968994 || Teste acc: 69.75 | Teste Loss: 89.252878844738
9 Train acc: 81.268 | Train Loss: 237.2963699400425 || Teste acc: 73.68 | Teste Loss: 80.48224687576294
10 Train acc: 81.832 | Train Loss: 232.32217827439308 || Teste acc: 75.15 | Teste Loss: 77.49678185582161
11 Train acc: 82.172 | Train Loss: 229.67777290940285 || Teste acc: 69.78 | Teste Loss: 93.72370904684067
12 Train acc: 82.604 | Train Loss: 225.17571502923965 || Teste acc: 72.48 | Teste Loss: 87.07747167348862
13 Train acc: 82.818 | Train Loss: 222.18084499239922 || Teste acc: 65.91 | Teste Loss: 106.62311774492264
14 Train acc: 83.036 | Train Loss: 219.63001337647438 || Teste acc: 73.11 | Teste Loss: 83.81961035728455
15 Train acc: 83.118 | Train Loss: 217.9378847181797 || Teste acc: 74.01 | Teste Loss: 80.30752277374268
16 Train acc: 83.494 | Train Loss: 216.65040457248688 || Teste acc: 78.45 | Teste Loss: 69.16325455904007
17 Train acc: 83.702 | Train Loss: 212.42128387093544 || Teste acc: 81.51 | Teste Loss: 61.470763713121414
18 Train acc: 84.028 | Train Loss: 210.6777751147747 || Teste acc: 77.16 | Teste Loss: 73.540995657444
19 Train acc: 83.782 | Train Loss: 209.36696740984917 || Teste acc: 74.73 | Teste Loss: 78.3023698925972
20 Train acc: 84.202 | Train Loss: 206.79567632079124 || Teste acc: 79.41 | Teste Loss: 66.69772443175316
21 Train acc: 84.422 | Train Loss: 203.32673186063766 || Teste acc: 78.73 | Teste Loss: 67.62474030256271
22 Train acc: 84.56 | Train Loss: 202.2740172445774 || Teste acc: 68.11 | Teste Loss: 98.96663922071457
23 Train acc: 84.672 | Train Loss: 201.4951170682907 || Teste acc: 77.52 | Teste Loss: 70.55577319860458
24 Train acc: 84.806 | Train Loss: 198.72676894068718 || Teste acc: 64.65 | Teste Loss: 112.53526985645294
25 Train acc: 85.038 | Train Loss: 198.66823568940163 || Teste acc: 81.51 | Teste Loss: 60.75433060526848
26 Train acc: 84.918 | Train Loss: 197.05917033553123 || Teste acc: 74.29 | Teste Loss: 78.46510088443756
27 Train acc: 85.428 | Train Loss: 192.9664927124977 || Teste acc: 78.2 | Teste Loss: 69.35330981016159
28 Train acc: 85.58 | Train Loss: 192.02457335591316 || Teste acc: 77.46 | Teste Loss: 68.73191291093826
29 Train acc: 85.708 | Train Loss: 189.98541831970215 || Teste acc: 70.26 | Teste Loss: 95.39679771661758
30 Train acc: 85.738 | Train Loss: 189.4106107354164 || Teste acc: 79.87 | Teste Loss: 63.865368366241455
31 Train acc: 85.838 | Train Loss: 187.4629428088665 || Teste acc: 78.13 | Teste Loss: 68.90611252188683
32 Train acc: 85.954 | Train Loss: 185.58967489004135 || Teste acc: 81.36 | Teste Loss: 59.52070811390877
33 Train acc: 86.132 | Train Loss: 184.77189946174622 || Teste acc: 74.15 | Teste Loss: 80.26958221197128
34 Train acc: 86.458 | Train Loss: 179.56759676337242 || Teste acc: 80.36 | Teste Loss: 64.17037904262543
35 Train acc: 86.602 | Train Loss: 179.29444739222527 || Teste acc: 80.56 | Teste Loss: 61.24549552798271
36 Train acc: 86.848 | Train Loss: 177.3333750963211 || Teste acc: 82.09 | Teste Loss: 58.26798412203789
37 Train acc: 86.894 | Train Loss: 175.96704998612404 || Teste acc: 84.23 | Teste Loss: 51.967412889003754
38 Train acc: 87.248 | Train Loss: 173.12953913211823 || Teste acc: 75.3 | Teste Loss: 76.2485129237175
39 Train acc: 87.184 | Train Loss: 171.8649010360241 || Teste acc: 83.6 | Teste Loss: 53.571473866701126
40 Train acc: 87.64 | Train Loss: 169.29208928346634 || Teste acc: 78.45 | Teste Loss: 68.31511747837067
41 Train acc: 87.576 | Train Loss: 168.80500896275043 || Teste acc: 84.95 | Teste Loss: 48.270799070596695
42 Train acc: 87.878 | Train Loss: 165.38044506311417 || Teste acc: 72.75 | Teste Loss: 83.76594710350037
43 Train acc: 88.062 | Train Loss: 160.8544610440731 || Teste acc: 81.23 | Teste Loss: 61.095957696437836
44 Train acc: 88.214 | Train Loss: 161.35107524693012 || Teste acc: 78.17 | Teste Loss: 70.1090404689312
45 Train acc: 88.418 | Train Loss: 158.31922622025013 || Teste acc: 79.85 | Teste Loss: 65.5547647178173
46 Train acc: 88.702 | Train Loss: 156.50138384103775 || Teste acc: 81.41 | Teste Loss: 58.31850203871727
47 Train acc: 88.758 | Train Loss: 154.1668898165226 || Teste acc: 85.34 | Teste Loss: 48.66798485815525
48 Train acc: 88.782 | Train Loss: 153.75761406123638 || Teste acc: 82.54 | Teste Loss: 57.56438386440277
49 Train acc: 89.192 | Train Loss: 149.38024199008942 || Teste acc: 82.2 | Teste Loss: 57.66346335411072
50 Train acc: 89.3 | Train Loss: 147.8108675479889 || Teste acc: 83.3 | Teste Loss: 54.056829422712326
51 Train acc: 89.698 | Train Loss: 144.41385346651077 || Teste acc: 83.89 | Teste Loss: 52.03999710083008
52 Train acc: 89.884 | Train Loss: 142.04420153796673 || Teste acc: 85.9 | Teste Loss: 47.06682649254799
53 Train acc: 90.324 | Train Loss: 138.29341661930084 || Teste acc: 79.17 | Teste Loss: 65.4756785929203
54 Train acc: 90.18 | Train Loss: 138.82775048911572 || Teste acc: 84.5 | Teste Loss: 50.285793751478195
55 Train acc: 90.31 | Train Loss: 136.29833194613457 || Teste acc: 84.26 | Teste Loss: 50.86233365535736
56 Train acc: 90.896 | Train Loss: 131.23468516767025 || Teste acc: 86.63 | Teste Loss: 43.763873875141144
57 Train acc: 90.64 | Train Loss: 130.2342478632927 || Teste acc: 85.93 | Teste Loss: 46.0393880456686
58 Train acc: 91.04 | Train Loss: 127.6700721681118 || Teste acc: 84.88 | Teste Loss: 50.51989588141441
59 Train acc: 91.62 | Train Loss: 122.93842162191868 || Teste acc: 87.01 | Teste Loss: 42.76755452156067
60 Train acc: 91.66 | Train Loss: 121.64656545221806 || Teste acc: 88.11 | Teste Loss: 40.11883547902107
61 Train acc: 91.956 | Train Loss: 119.12353773415089 || Teste acc: 83.22 | Teste Loss: 54.74111297726631
62 Train acc: 91.892 | Train Loss: 117.522126019001 || Teste acc: 80.67 | Teste Loss: 64.408327460289
63 Train acc: 92.522 | Train Loss: 112.50578600168228 || Teste acc: 85.53 | Teste Loss: 46.776706367731094
64 Train acc: 92.506 | Train Loss: 110.52170644700527 || Teste acc: 87.55 | Teste Loss: 41.24684666097164
65 Train acc: 92.968 | Train Loss: 104.78367982804775 || Teste acc: 89.26 | Teste Loss: 36.931464567780495
66 Train acc: 93.284 | Train Loss: 102.77945947647095 || Teste acc: 88.22 | Teste Loss: 40.29511600732803
67 Train acc: 93.31 | Train Loss: 100.85445287823677 || Teste acc: 85.4 | Teste Loss: 49.31622168421745
68 Train acc: 93.794 | Train Loss: 96.20798274874687 || Teste acc: 89.36 | Teste Loss: 36.76247696578503
69 Train acc: 94.12 | Train Loss: 92.4379301071167 || Teste acc: 87.25 | Teste Loss: 42.64983658492565
70 Train acc: 94.266 | Train Loss: 90.4015918970108 || Teste acc: 86.92 | Teste Loss: 44.37180921435356
71 Train acc: 94.74 | Train Loss: 86.17318207770586 || Teste acc: 89.69 | Teste Loss: 36.16558875143528
72 Train acc: 95.042 | Train Loss: 82.62326015532017 || Teste acc: 88.87 | Teste Loss: 37.96200755238533
73 Train acc: 95.336 | Train Loss: 78.56289526075125 || Teste acc: 89.08 | Teste Loss: 37.30346189439297
74 Train acc: 95.516 | Train Loss: 75.5130115672946 || Teste acc: 88.71 | Teste Loss: 39.575783774256706
75 Train acc: 95.906 | Train Loss: 71.94473227113485 || Teste acc: 91.49 | Teste Loss: 31.510808795690536
76 Train acc: 96.144 | Train Loss: 68.55984488129616 || Teste acc: 91.15 | Teste Loss: 32.143546640872955
77 Train acc: 96.554 | Train Loss: 64.00028923898935 || Teste acc: 91.24 | Teste Loss: 32.3841036260128
78 Train acc: 97.046 | Train Loss: 58.334518276154995 || Teste acc: 91.79 | Teste Loss: 30.131239011883736
79 Train acc: 97.306 | Train Loss: 55.541408099234104 || Teste acc: 91.68 | Teste Loss: 30.38689675927162
