
0 Train acc: 43.152 | Train Loss: 613.4221677780151 || Teste acc: 51.64 | Teste Loss: 133.09810733795166
1 Train acc: 62.574 | Train Loss: 433.8471674323082 || Teste acc: 62.9 | Teste Loss: 107.68763566017151
2 Train acc: 70.624 | Train Loss: 352.3938966393471 || Teste acc: 66.84 | Teste Loss: 96.51373225450516
3 Train acc: 75.012 | Train Loss: 306.15340769290924 || Teste acc: 67.63 | Teste Loss: 96.61109501123428
4 Train acc: 77.34 | Train Loss: 282.6458718776703 || Teste acc: 73.85 | Teste Loss: 81.55943685770035
5 Train acc: 78.444 | Train Loss: 269.8680356144905 || Teste acc: 66.07 | Teste Loss: 106.31799161434174
6 Train acc: 79.862 | Train Loss: 257.48978862166405 || Teste acc: 72.82 | Teste Loss: 84.58036249876022
7 Train acc: 80.188 | Train Loss: 250.70608860254288 || Teste acc: 77.57 | Teste Loss: 68.68146428465843
8 Train acc: 80.882 | Train Loss: 245.3178749680519 || Teste acc: 77.89 | Teste Loss: 69.88928520679474
9 Train acc: 81.522 | Train Loss: 237.928956001997 || Teste acc: 76.47 | Teste Loss: 71.92844843864441
10 Train acc: 81.642 | Train Loss: 237.04547280073166 || Teste acc: 78.86 | Teste Loss: 67.16538000106812
11 Train acc: 82.136 | Train Loss: 230.97403463721275 || Teste acc: 75.77 | Teste Loss: 77.48576360940933
12 Train acc: 82.392 | Train Loss: 228.39855271577835 || Teste acc: 70.35 | Teste Loss: 91.80253720283508
13 Train acc: 82.79 | Train Loss: 222.74066630005836 || Teste acc: 73.24 | Teste Loss: 83.43936496973038
14 Train acc: 82.758 | Train Loss: 223.679402500391 || Teste acc: 64.46 | Teste Loss: 115.53982537984848
15 Train acc: 83.294 | Train Loss: 217.6319642663002 || Teste acc: 67.88 | Teste Loss: 100.6181857585907
16 Train acc: 83.214 | Train Loss: 217.14046880602837 || Teste acc: 75.6 | Teste Loss: 74.16936644911766
17 Train acc: 83.58 | Train Loss: 214.99328908324242 || Teste acc: 79.1 | Teste Loss: 66.10843700170517
18 Train acc: 83.722 | Train Loss: 212.6234286725521 || Teste acc: 78.09 | Teste Loss: 69.27488204836845
19 Train acc: 83.884 | Train Loss: 211.6548727452755 || Teste acc: 81.7 | Teste Loss: 58.95538353919983

20 Train acc: 84.206 | Train Loss: 208.25567442178726 || Teste acc: 78.97 | Teste Loss: 68.05073830485344
21 Train acc: 84.55 | Train Loss: 206.25040131807327 || Teste acc: 73.38 | Teste Loss: 83.62571167945862
22 Train acc: 84.312 | Train Loss: 204.80355209112167 || Teste acc: 76.69 | Teste Loss: 74.366255402565
23 Train acc: 84.87 | Train Loss: 201.33298420906067 || Teste acc: 77.18 | Teste Loss: 71.40122443437576
24 Train acc: 84.732 | Train Loss: 201.21471238136292 || Teste acc: 79.95 | Teste Loss: 63.104867935180664
25 Train acc: 84.91 | Train Loss: 200.17388680577278 || Teste acc: 70.15 | Teste Loss: 93.90663588047028
26 Train acc: 85.042 | Train Loss: 198.45688092708588 || Teste acc: 80.27 | Teste Loss: 63.156460255384445
27 Train acc: 85.18 | Train Loss: 197.3484144806862 || Teste acc: 81.66 | Teste Loss: 59.98729091882706
28 Train acc: 85.348 | Train Loss: 193.6114018559456 || Teste acc: 80.39 | Teste Loss: 61.841363072395325
