
0 Train acc: 42.926 | Train Loss: 611.3523616790771 || Teste acc: 46.62 | Teste Loss: 149.3816534280777
1 Train acc: 62.206 | Train Loss: 438.0198838710785 || Teste acc: 63.84 | Teste Loss: 106.379026055336
2 Train acc: 70.126 | Train Loss: 359.37126046419144 || Teste acc: 64.21 | Teste Loss: 107.4332662820816
3 Train acc: 74.95 | Train Loss: 310.8821640610695 || Teste acc: 68.99 | Teste Loss: 94.08678036928177
4 Train acc: 77.284 | Train Loss: 285.7772648334503 || Teste acc: 66.78 | Teste Loss: 101.44819855690002
5 Train acc: 78.328 | Train Loss: 274.3945891857147 || Teste acc: 66.58 | Teste Loss: 101.61739611625671
6 Train acc: 79.85 | Train Loss: 259.42935490608215 || Teste acc: 72.93 | Teste Loss: 82.46710246801376
7 Train acc: 80.358 | Train Loss: 251.39635440707207 || Teste acc: 73.67 | Teste Loss: 82.77070325613022
8 Train acc: 80.97 | Train Loss: 245.7670982182026 || Teste acc: 66.18 | Teste Loss: 105.19061040878296
9 Train acc: 81.566 | Train Loss: 239.82808417081833 || Teste acc: 69.92 | Teste Loss: 94.72835952043533
10 Train acc: 81.858 | Train Loss: 235.17442840337753 || Teste acc: 71.69 | Teste Loss: 88.7321348786354
11 Train acc: 82.126 | Train Loss: 232.73107242584229 || Teste acc: 77.78 | Teste Loss: 72.69355231523514
12 Train acc: 82.52 | Train Loss: 228.25745710730553 || Teste acc: 80.2 | Teste Loss: 64.19534581899643
13 Train acc: 82.75 | Train Loss: 227.77608877420425 || Teste acc: 75.15 | Teste Loss: 75.10695910453796
14 Train acc: 82.826 | Train Loss: 224.6490120589733 || Teste acc: 72.52 | Teste Loss: 82.96488654613495
15 Train acc: 83.276 | Train Loss: 219.61127576231956 || Teste acc: 79.62 | Teste Loss: 65.236652135849
16 Train acc: 83.338 | Train Loss: 217.9349168241024 || Teste acc: 75.66 | Teste Loss: 77.44786056876183
17 Train acc: 83.82 | Train Loss: 215.62960004806519 || Teste acc: 74.77 | Teste Loss: 80.03596675395966
18 Train acc: 83.992 | Train Loss: 213.01911136507988 || Teste acc: 75.08 | Teste Loss: 79.06297373771667
19 Train acc: 84.002 | Train Loss: 212.99288460612297 || Teste acc: 73.86 | Teste Loss: 82.28783929347992
20 Train acc: 84.282 | Train Loss: 210.2321539223194 || Teste acc: 78.6 | Teste Loss: 67.97194668650627
21 Train acc: 84.336 | Train Loss: 207.57848218083382 || Teste acc: 82.22 | Teste Loss: 59.824390918016434
22 Train acc: 84.492 | Train Loss: 207.92924469709396 || Teste acc: 75.95 | Teste Loss: 77.23153638839722
23 Train acc: 84.66 | Train Loss: 204.6770488023758 || Teste acc: 66.53 | Teste Loss: 105.58323633670807
24 Train acc: 84.642 | Train Loss: 203.18597704172134 || Teste acc: 75.06 | Teste Loss: 79.19191682338715
25 Train acc: 84.952 | Train Loss: 201.24977946281433 || Teste acc: 79.91 | Teste Loss: 65.37615835666656
26 Train acc: 85.354 | Train Loss: 197.60021549463272 || Teste acc: 81.33 | Teste Loss: 62.69537368416786
27 Train acc: 85.268 | Train Loss: 198.41740587353706 || Teste acc: 82.11 | Teste Loss: 59.086599200963974
28 Train acc: 85.67 | Train Loss: 193.99256798624992 || Teste acc: 73.63 | Teste Loss: 82.74791198968887
29 Train acc: 85.528 | Train Loss: 193.76807090640068 || Teste acc: 82.26 | Teste Loss: 58.24167847633362
30 Train acc: 85.936 | Train Loss: 192.0839327275753 || Teste acc: 79.6 | Teste Loss: 65.54527816176414
31 Train acc: 85.994 | Train Loss: 189.83107697963715 || Teste acc: 78.01 | Teste Loss: 72.39691090583801
