
0 Train acc: 41.91 | Train Loss: 622.2645025253296 || Teste acc: 46.27 | Teste Loss: 152.20120131969452
1 Train acc: 60.446 | Train Loss: 453.88318771123886 || Teste acc: 60.84 | Teste Loss: 113.83353340625763
2 Train acc: 69.446 | Train Loss: 366.39479088783264 || Teste acc: 66.94 | Teste Loss: 98.8354526758194
3 Train acc: 74.35 | Train Loss: 318.7218579053879 || Teste acc: 60.01 | Teste Loss: 126.26823765039444
4 Train acc: 76.692 | Train Loss: 292.0439985692501 || Teste acc: 73.02 | Teste Loss: 83.13778877258301
5 Train acc: 78.518 | Train Loss: 274.14549773931503 || Teste acc: 74.3 | Teste Loss: 81.22807091474533
6 Train acc: 79.584 | Train Loss: 263.6878030002117 || Teste acc: 72.26 | Teste Loss: 84.73746687173843
7 Train acc: 80.022 | Train Loss: 256.71636480093 || Teste acc: 75.08 | Teste Loss: 80.49328637123108
8 Train acc: 81.144 | Train Loss: 246.87347200512886 || Teste acc: 75.57 | Teste Loss: 75.77923679351807
9 Train acc: 81.348 | Train Loss: 243.20844888687134 || Teste acc: 68.81 | Teste Loss: 98.43148571252823
10 Train acc: 81.82 | Train Loss: 237.65930822491646 || Teste acc: 70.35 | Teste Loss: 94.401820063591
11 Train acc: 82.166 | Train Loss: 234.0349352657795 || Teste acc: 67.48 | Teste Loss: 98.67993694543839
12 Train acc: 82.37 | Train Loss: 230.62413334846497 || Teste acc: 67.68 | Teste Loss: 103.74508380889893
13 Train acc: 82.58 | Train Loss: 228.73714756965637 || Teste acc: 77.64 | Teste Loss: 69.64857080578804
14 Train acc: 83.126 | Train Loss: 225.95518082380295 || Teste acc: 73.68 | Teste Loss: 83.95444405078888
15 Train acc: 83.444 | Train Loss: 221.01899373531342 || Teste acc: 70.93 | Teste Loss: 90.75841820240021
16 Train acc: 83.358 | Train Loss: 219.8017386496067 || Teste acc: 76.31 | Teste Loss: 74.63448360562325
17 Train acc: 83.71 | Train Loss: 216.7262661755085 || Teste acc: 78.58 | Teste Loss: 69.18647876381874
18 Train acc: 83.89 | Train Loss: 216.46223667263985 || Teste acc: 80.07 | Teste Loss: 63.991127997636795
19 Train acc: 83.904 | Train Loss: 214.60532769560814 || Teste acc: 81.86 | Teste Loss: 60.181969702243805
20 Train acc: 84.116 | Train Loss: 213.0016026198864 || Teste acc: 75.24 | Teste Loss: 78.76315236091614
21 Train acc: 84.456 | Train Loss: 210.57405605912209 || Teste acc: 77.91 | Teste Loss: 69.7661229968071
