
0 Train acc: 44.128 | Train Loss: 605.1960717439651 || Teste acc: 52.58 | Teste Loss: 136.68044579029083
1 Train acc: 62.722 | Train Loss: 435.8375932574272 || Teste acc: 56.3 | Teste Loss: 127.6091616153717
2 Train acc: 70.968 | Train Loss: 354.97821325063705 || Teste acc: 65.5 | Teste Loss: 102.69260674715042
3 Train acc: 75.22 | Train Loss: 311.60753732919693 || Teste acc: 69.36 | Teste Loss: 96.2650129199028
4 Train acc: 77.208 | Train Loss: 289.8826905488968 || Teste acc: 66.1 | Teste Loss: 106.15134060382843
5 Train acc: 78.622 | Train Loss: 274.09803545475006 || Teste acc: 71.11 | Teste Loss: 89.86143147945404
6 Train acc: 79.9 | Train Loss: 261.35449090600014 || Teste acc: 76.51 | Teste Loss: 75.1370539367199
7 Train acc: 80.116 | Train Loss: 257.92470252513885 || Teste acc: 66.65 | Teste Loss: 104.10693091154099
8 Train acc: 81.182 | Train Loss: 249.27520483732224 || Teste acc: 53.59 | Teste Loss: 147.24530404806137
9 Train acc: 81.11 | Train Loss: 245.99691379070282 || Teste acc: 70.46 | Teste Loss: 92.47054767608643
10 Train acc: 81.592 | Train Loss: 241.24385756254196 || Teste acc: 74.59 | Teste Loss: 78.14739638566971
11 Train acc: 81.982 | Train Loss: 237.00111830234528 || Teste acc: 75.66 | Teste Loss: 76.34347385168076
12 Train acc: 82.426 | Train Loss: 232.22625997662544 || Teste acc: 67.88 | Teste Loss: 99.76617276668549
13 Train acc: 82.572 | Train Loss: 231.00930872559547 || Teste acc: 79.2 | Teste Loss: 67.4930856525898
14 Train acc: 82.818 | Train Loss: 228.32074013352394 || Teste acc: 76.13 | Teste Loss: 76.66602396965027
15 Train acc: 83.156 | Train Loss: 225.34742426872253 || Teste acc: 73.03 | Teste Loss: 84.69186651706696
16 Train acc: 83.072 | Train Loss: 225.3835003376007 || Teste acc: 71.24 | Teste Loss: 89.05665051937103
17 Train acc: 83.48 | Train Loss: 219.65172508358955 || Teste acc: 78.41 | Teste Loss: 68.61478066444397
18 Train acc: 83.84 | Train Loss: 216.30518475174904 || Teste acc: 73.17 | Teste Loss: 85.8078281879425
19 Train acc: 84.0 | Train Loss: 214.66536742448807 || Teste acc: 76.05 | Teste Loss: 75.31361731886864
20 Train acc: 84.306 | Train Loss: 212.28166481852531 || Teste acc: 69.19 | Teste Loss: 101.67660003900528
21 Train acc: 84.06 | Train Loss: 212.37821966409683 || Teste acc: 76.36 | Teste Loss: 74.75454366207123
22 Train acc: 84.35 | Train Loss: 212.50015237927437 || Teste acc: 80.76 | Teste Loss: 63.90618848800659
23 Train acc: 84.646 | Train Loss: 208.0550168454647 || Teste acc: 75.2 | Teste Loss: 80.87259536981583
24 Train acc: 84.826 | Train Loss: 205.84236708283424 || Teste acc: 79.94 | Teste Loss: 64.89430126547813
25 Train acc: 85.148 | Train Loss: 203.81519874930382 || Teste acc: 78.38 | Teste Loss: 69.32378453016281
26 Train acc: 85.012 | Train Loss: 202.32486566901207 || Teste acc: 76.87 | Teste Loss: 72.49656945466995
27 Train acc: 85.272 | Train Loss: 200.4490922987461 || Teste acc: 78.54 | Teste Loss: 67.74172309041023
28 Train acc: 85.47 | Train Loss: 199.3014397919178 || Teste acc: 67.52 | Teste Loss: 102.43874478340149
29 Train acc: 85.788 | Train Loss: 197.19334679841995 || Teste acc: 78.72 | Teste Loss: 67.7114052772522
30 Train acc: 85.728 | Train Loss: 196.804930716753 || Teste acc: 76.3 | Teste Loss: 74.27152451872826
31 Train acc: 85.81 | Train Loss: 193.41205868124962 || Teste acc: 69.12 | Teste Loss: 97.14910161495209
32 Train acc: 86.012 | Train Loss: 192.561015188694 || Teste acc: 79.47 | Teste Loss: 67.07098934054375
33 Train acc: 86.012 | Train Loss: 193.13531544804573 || Teste acc: 70.28 | Teste Loss: 95.3479111790657
34 Train acc: 86.424 | Train Loss: 189.02247202396393 || Teste acc: 74.82 | Teste Loss: 79.4435732960701
35 Train acc: 86.432 | Train Loss: 186.6589658856392 || Teste acc: 81.09 | Teste Loss: 61.32394132018089
36 Train acc: 86.602 | Train Loss: 186.7861512005329 || Teste acc: 84.0 | Teste Loss: 53.27257192134857
37 Train acc: 86.888 | Train Loss: 183.3211004436016 || Teste acc: 80.93 | Teste Loss: 63.338391840457916
38 Train acc: 87.008 | Train Loss: 181.14170679450035 || Teste acc: 78.28 | Teste Loss: 70.90510022640228
39 Train acc: 87.21 | Train Loss: 179.6861786544323 || Teste acc: 79.63 | Teste Loss: 64.54031047224998
40 Train acc: 87.33 | Train Loss: 178.4701252579689 || Teste acc: 81.39 | Teste Loss: 61.83748796582222
41 Train acc: 87.524 | Train Loss: 175.62975442409515 || Teste acc: 80.1 | Teste Loss: 65.28227895498276
42 Train acc: 88.024 | Train Loss: 170.890312820673 || Teste acc: 83.31 | Teste Loss: 53.83746922016144
43 Train acc: 87.636 | Train Loss: 173.17786100506783 || Teste acc: 78.73 | Teste Loss: 68.03017383813858
44 Train acc: 88.39 | Train Loss: 166.7300922870636 || Teste acc: 82.94 | Teste Loss: 56.22756773233414
45 Train acc: 88.378 | Train Loss: 166.36257584393024 || Teste acc: 85.19 | Teste Loss: 49.92650330066681
46 Train acc: 88.512 | Train Loss: 164.22264498472214 || Teste acc: 81.61 | Teste Loss: 60.652037888765335
47 Train acc: 88.792 | Train Loss: 160.91247630119324 || Teste acc: 82.8 | Teste Loss: 58.28297996520996
48 Train acc: 88.714 | Train Loss: 160.9476301074028 || Teste acc: 84.75 | Teste Loss: 51.664312064647675
49 Train acc: 89.102 | Train Loss: 157.61242716014385 || Teste acc: 84.1 | Teste Loss: 52.69631239771843
50 Train acc: 89.518 | Train Loss: 153.52857553958893 || Teste acc: 86.56 | Teste Loss: 45.714050352573395
51 Train acc: 89.418 | Train Loss: 152.91574908792973 || Teste acc: 84.98 | Teste Loss: 51.37340408563614
52 Train acc: 89.566 | Train Loss: 150.78456208109856 || Teste acc: 83.72 | Teste Loss: 53.27337968349457
53 Train acc: 89.978 | Train Loss: 147.86395044624805 || Teste acc: 81.72 | Teste Loss: 57.82779407501221
54 Train acc: 89.952 | Train Loss: 147.608606249094 || Teste acc: 85.3 | Teste Loss: 50.02759912610054
55 Train acc: 90.468 | Train Loss: 141.82089641690254 || Teste acc: 86.42 | Teste Loss: 46.89262330532074
56 Train acc: 90.598 | Train Loss: 139.58646519482136 || Teste acc: 84.83 | Teste Loss: 51.818789422512054
57 Train acc: 91.0 | Train Loss: 136.0124846994877 || Teste acc: 85.24 | Teste Loss: 49.301235765218735
58 Train acc: 90.97 | Train Loss: 135.61418262124062 || Teste acc: 86.87 | Teste Loss: 44.68529975414276
59 Train acc: 91.35 | Train Loss: 131.37773442268372 || Teste acc: 88.44 | Teste Loss: 40.09150840342045
60 Train acc: 91.442 | Train Loss: 130.06586381793022 || Teste acc: 84.74 | Teste Loss: 50.88696074485779
61 Train acc: 91.766 | Train Loss: 126.83672228455544 || Teste acc: 85.6 | Teste Loss: 49.218797475099564
62 Train acc: 92.06 | Train Loss: 122.76158770918846 || Teste acc: 83.86 | Teste Loss: 54.33417099714279
63 Train acc: 92.334 | Train Loss: 119.95542038977146 || Teste acc: 85.23 | Teste Loss: 50.51431122422218
64 Train acc: 92.8 | Train Loss: 114.59623989462852 || Teste acc: 87.61 | Teste Loss: 42.68673129379749
65 Train acc: 92.974 | Train Loss: 114.01465192437172 || Teste acc: 88.64 | Teste Loss: 39.565232023596764
66 Train acc: 93.286 | Train Loss: 109.53542673587799 || Teste acc: 87.63 | Teste Loss: 42.11667802929878
67 Train acc: 93.51 | Train Loss: 107.05702544748783 || Teste acc: 90.42 | Teste Loss: 34.69782580435276
68 Train acc: 93.806 | Train Loss: 104.12481437623501 || Teste acc: 89.39 | Teste Loss: 38.54629099369049
69 Train acc: 94.222 | Train Loss: 98.94175004959106 || Teste acc: 87.42 | Teste Loss: 44.60328561067581
70 Train acc: 94.488 | Train Loss: 95.83378657698631 || Teste acc: 87.85 | Teste Loss: 42.90999947488308
71 Train acc: 94.632 | Train Loss: 94.22645941376686 || Teste acc: 89.82 | Teste Loss: 36.82092526555061
72 Train acc: 95.05 | Train Loss: 89.3833708614111 || Teste acc: 90.41 | Teste Loss: 35.19693370163441
73 Train acc: 95.178 | Train Loss: 87.1038569509983 || Teste acc: 91.02 | Teste Loss: 33.26698487997055
74 Train acc: 95.634 | Train Loss: 82.25958649069071 || Teste acc: 90.81 | Teste Loss: 33.39856165647507
75 Train acc: 95.926 | Train Loss: 79.29353594779968 || Teste acc: 91.02 | Teste Loss: 33.948592483997345
76 Train acc: 96.274 | Train Loss: 75.21801124513149 || Teste acc: 92.58 | Teste Loss: 29.09785206615925
77 Train acc: 96.738 | Train Loss: 69.99614378064871 || Teste acc: 90.91 | Teste Loss: 34.22372442483902
78 Train acc: 96.942 | Train Loss: 67.1801015585661 || Teste acc: 91.9 | Teste Loss: 31.244914397597313
79 Train acc: 97.348 | Train Loss: 62.55242435634136 || Teste acc: 92.01 | Teste Loss: 30.9774219840765
