
0 Train acc: 42.41 | Train Loss: 621.5693110227585 || Teste acc: 40.66 | Teste Loss: 178.4250283241272
1 Train acc: 62.242 | Train Loss: 439.3969715833664 || Teste acc: 54.53 | Teste Loss: 131.34537053108215
2 Train acc: 71.146 | Train Loss: 356.83297967910767 || Teste acc: 71.68 | Teste Loss: 87.48023372888565
3 Train acc: 74.856 | Train Loss: 315.94358867406845 || Teste acc: 68.36 | Teste Loss: 98.71949642896652
4 Train acc: 77.26 | Train Loss: 291.36136561632156 || Teste acc: 68.23 | Teste Loss: 99.23843425512314
5 Train acc: 78.502 | Train Loss: 277.57308864593506 || Teste acc: 73.12 | Teste Loss: 83.30368691682816
6 Train acc: 79.458 | Train Loss: 265.8921345770359 || Teste acc: 71.76 | Teste Loss: 88.35807418823242
7 Train acc: 80.312 | Train Loss: 257.6531330049038 || Teste acc: 77.06 | Teste Loss: 73.89336770772934
8 Train acc: 80.824 | Train Loss: 252.8164065182209 || Teste acc: 72.6 | Teste Loss: 86.59282958507538
9 Train acc: 81.274 | Train Loss: 247.1301526427269 || Teste acc: 75.93 | Teste Loss: 77.13743448257446
10 Train acc: 81.662 | Train Loss: 242.99152290821075 || Teste acc: 67.7 | Teste Loss: 101.90513604879379
11 Train acc: 82.16 | Train Loss: 237.30772751569748 || Teste acc: 76.64 | Teste Loss: 75.26297116279602
12 Train acc: 82.392 | Train Loss: 234.44300493597984 || Teste acc: 79.01 | Teste Loss: 66.8128257393837
13 Train acc: 82.522 | Train Loss: 233.93759709596634 || Teste acc: 75.12 | Teste Loss: 77.82170593738556

14 Train acc: 83.026 | Train Loss: 227.39512053132057 || Teste acc: 74.33 | Teste Loss: 81.83252638578415
15 Train acc: 83.014 | Train Loss: 227.2106168270111 || Teste acc: 71.62 | Teste Loss: 88.74412781000137
16 Train acc: 83.282 | Train Loss: 223.31370118260384 || Teste acc: 75.07 | Teste Loss: 78.48617744445801
17 Train acc: 83.364 | Train Loss: 222.6959645152092 || Teste acc: 77.64 | Teste Loss: 72.13698157668114
18 Train acc: 83.822 | Train Loss: 218.75971493124962 || Teste acc: 76.28 | Teste Loss: 76.86290776729584
19 Train acc: 83.962 | Train Loss: 216.77890694141388 || Teste acc: 65.81 | Teste Loss: 109.49895089864731
20 Train acc: 84.274 | Train Loss: 215.3773916363716 || Teste acc: 72.55 | Teste Loss: 88.25192022323608
21 Train acc: 84.518 | Train Loss: 212.37344372272491 || Teste acc: 75.17 | Teste Loss: 79.26744985580444
22 Train acc: 84.342 | Train Loss: 211.04314544796944 || Teste acc: 81.68 | Teste Loss: 60.45165100693703
23 Train acc: 84.766 | Train Loss: 207.97144907712936 || Teste acc: 78.02 | Teste Loss: 70.62368875741959
24 Train acc: 84.828 | Train Loss: 207.10783594846725 || Teste acc: 77.99 | Teste Loss: 70.428307056427
25 Train acc: 84.878 | Train Loss: 206.33484295010567 || Teste acc: 77.08 | Teste Loss: 72.57308465242386
26 Train acc: 85.034 | Train Loss: 204.9762340784073 || Teste acc: 79.91 | Teste Loss: 65.4232824742794
27 Train acc: 85.058 | Train Loss: 202.7908705174923 || Teste acc: 77.57 | Teste Loss: 73.47793310880661
28 Train acc: 85.494 | Train Loss: 200.83741638064384 || Teste acc: 78.84 | Teste Loss: 67.93569269776344
29 Train acc: 85.754 | Train Loss: 198.27176949381828 || Teste acc: 76.84 | Teste Loss: 75.51569280028343
30 Train acc: 85.844 | Train Loss: 196.4524050951004 || Teste acc: 80.04 | Teste Loss: 64.6093655526638
31 Train acc: 85.788 | Train Loss: 196.99320322275162 || Teste acc: 80.08 | Teste Loss: 62.50120806694031
32 Train acc: 86.26 | Train Loss: 192.16759124398232 || Teste acc: 80.86 | Teste Loss: 63.50405755639076
33 Train acc: 85.998 | Train Loss: 193.7311083972454 || Teste acc: 76.47 | Teste Loss: 76.99091193079948
34 Train acc: 86.216 | Train Loss: 191.8614836037159 || Teste acc: 80.41 | Teste Loss: 63.43070650100708
35 Train acc: 86.492 | Train Loss: 189.07477122545242 || Teste acc: 81.62 | Teste Loss: 60.31237271428108
36 Train acc: 86.722 | Train Loss: 185.57451084256172 || Teste acc: 83.83 | Teste Loss: 55.1426462829113
37 Train acc: 86.788 | Train Loss: 184.05701833963394 || Teste acc: 81.71 | Teste Loss: 60.6385073363781
38 Train acc: 87.132 | Train Loss: 181.61637988686562 || Teste acc: 81.95 | Teste Loss: 60.35819160938263
39 Train acc: 87.204 | Train Loss: 180.33714601397514 || Teste acc: 84.08 | Teste Loss: 54.25646394491196
40 Train acc: 87.394 | Train Loss: 178.3554173707962 || Teste acc: 80.51 | Teste Loss: 65.36910766363144
41 Train acc: 87.596 | Train Loss: 176.90197205543518 || Teste acc: 80.71 | Teste Loss: 63.65336847305298
42 Train acc: 87.572 | Train Loss: 175.08968916535378 || Teste acc: 81.65 | Teste Loss: 60.824108839035034
43 Train acc: 87.868 | Train Loss: 172.826576679945 || Teste acc: 73.26 | Teste Loss: 87.49535644054413
44 Train acc: 88.208 | Train Loss: 168.50442624092102 || Teste acc: 82.18 | Teste Loss: 60.501426696777344
45 Train acc: 88.136 | Train Loss: 168.51857647299767 || Teste acc: 81.21 | Teste Loss: 60.577308177948
46 Train acc: 88.484 | Train Loss: 165.45780622959137 || Teste acc: 81.36 | Teste Loss: 61.154593378305435
47 Train acc: 88.846 | Train Loss: 162.8215771317482 || Teste acc: 84.41 | Teste Loss: 51.60405856370926
48 Train acc: 88.996 | Train Loss: 161.2254453599453 || Teste acc: 76.06 | Teste Loss: 78.07194179296494
49 Train acc: 89.016 | Train Loss: 159.8859291523695 || Teste acc: 85.5 | Teste Loss: 48.52381590008736
50 Train acc: 89.152 | Train Loss: 157.27600453794003 || Teste acc: 76.51 | Teste Loss: 76.87657654285431
51 Train acc: 89.42 | Train Loss: 155.1488492190838 || Teste acc: 85.8 | Teste Loss: 48.29400271177292
