
0 Train acc: 43.66 | Train Loss: 597.6638919115067 || Teste acc: 55.43 | Teste Loss: 122.09552764892578
1 Train acc: 62.028 | Train Loss: 417.9040529727936 || Teste acc: 63.23 | Teste Loss: 102.34058463573456
2 Train acc: 70.274 | Train Loss: 333.99293756484985 || Teste acc: 67.75 | Teste Loss: 92.36577123403549
3 Train acc: 75.018 | Train Loss: 288.30236452817917 || Teste acc: 67.74 | Teste Loss: 99.80770856142044
4 Train acc: 76.962 | Train Loss: 264.35628443956375 || Teste acc: 65.61 | Teste Loss: 102.65503710508347
5 Train acc: 78.796 | Train Loss: 247.4513903260231 || Teste acc: 62.02 | Teste Loss: 115.87503749132156
6 Train acc: 79.598 | Train Loss: 240.28606349229813 || Teste acc: 75.31 | Teste Loss: 72.54092007875443
7 Train acc: 80.576 | Train Loss: 227.94590771198273 || Teste acc: 72.39 | Teste Loss: 87.29100698232651
8 Train acc: 81.006 | Train Loss: 223.29521030187607 || Teste acc: 75.88 | Teste Loss: 73.0678890645504
9 Train acc: 81.498 | Train Loss: 219.34911814332008 || Teste acc: 74.97 | Teste Loss: 81.29435011744499
10 Train acc: 82.032 | Train Loss: 211.93473979830742 || Teste acc: 71.1 | Teste Loss: 86.54785203933716
11 Train acc: 82.178 | Train Loss: 210.77601450681686 || Teste acc: 71.51 | Teste Loss: 85.97237116098404
12 Train acc: 82.684 | Train Loss: 205.083730250597 || Teste acc: 73.81 | Teste Loss: 74.33639323711395
13 Train acc: 82.958 | Train Loss: 203.2153019607067 || Teste acc: 76.68 | Teste Loss: 72.36159291863441
14 Train acc: 83.13 | Train Loss: 200.32996717095375 || Teste acc: 73.69 | Teste Loss: 79.6165378689766
15 Train acc: 83.31 | Train Loss: 197.54864168167114 || Teste acc: 75.36 | Teste Loss: 74.41243550181389
16 Train acc: 83.596 | Train Loss: 193.92783817648888 || Teste acc: 71.04 | Teste Loss: 97.48426866531372
17 Train acc: 83.65 | Train Loss: 194.08558732271194 || Teste acc: 77.44 | Teste Loss: 72.74198779463768
18 Train acc: 83.802 | Train Loss: 191.1329388320446 || Teste acc: 78.98 | Teste Loss: 62.46639642119408
19 Train acc: 83.994 | Train Loss: 189.18402540683746 || Teste acc: 78.96 | Teste Loss: 61.799854665994644
20 Train acc: 84.098 | Train Loss: 187.7217169702053 || Teste acc: 79.26 | Teste Loss: 62.683100402355194
21 Train acc: 84.558 | Train Loss: 184.35909870266914 || Teste acc: 74.47 | Teste Loss: 77.80908250808716
22 Train acc: 84.724 | Train Loss: 182.81176248192787 || Teste acc: 79.08 | Teste Loss: 62.34727382659912
23 Train acc: 84.968 | Train Loss: 181.24259114265442 || Teste acc: 75.79 | Teste Loss: 74.54860192537308
24 Train acc: 84.648 | Train Loss: 182.2845662534237 || Teste acc: 76.92 | Teste Loss: 70.25116163492203
25 Train acc: 85.162 | Train Loss: 176.83925384283066 || Teste acc: 80.45 | Teste Loss: 59.37979745864868
26 Train acc: 85.34 | Train Loss: 174.84087090194225 || Teste acc: 74.63 | Teste Loss: 76.42649799585342
27 Train acc: 85.424 | Train Loss: 174.221619784832 || Teste acc: 77.53 | Teste Loss: 67.60478150844574
28 Train acc: 85.688 | Train Loss: 171.8873665034771 || Teste acc: 79.38 | Teste Loss: 60.65444466471672
29 Train acc: 85.538 | Train Loss: 171.8593198955059 || Teste acc: 81.81 | Teste Loss: 56.149106442928314
30 Train acc: 85.844 | Train Loss: 170.56461963057518 || Teste acc: 77.07 | Teste Loss: 68.7985429763794
31 Train acc: 86.21 | Train Loss: 165.60379646718502 || Teste acc: 77.51 | Teste Loss: 67.57953280210495
32 Train acc: 86.09 | Train Loss: 165.26481941342354 || Teste acc: 80.67 | Teste Loss: 57.907249331474304
33 Train acc: 86.488 | Train Loss: 163.06803254783154 || Teste acc: 72.72 | Teste Loss: 79.7549301981926
34 Train acc: 86.522 | Train Loss: 162.2114428281784 || Teste acc: 79.0 | Teste Loss: 62.96727976202965
35 Train acc: 86.646 | Train Loss: 160.00660444796085 || Teste acc: 75.13 | Teste Loss: 74.12751001119614
36 Train acc: 86.878 | Train Loss: 158.190113812685 || Teste acc: 77.75 | Teste Loss: 69.596864849329
37 Train acc: 86.974 | Train Loss: 156.50628452003002 || Teste acc: 78.39 | Teste Loss: 66.48616546392441
38 Train acc: 87.202 | Train Loss: 153.99281300604343 || Teste acc: 84.16 | Teste Loss: 47.30138233304024
39 Train acc: 87.314 | Train Loss: 152.39309668540955 || Teste acc: 82.94 | Teste Loss: 52.52302426099777
40 Train acc: 87.506 | Train Loss: 149.51990914344788 || Teste acc: 83.78 | Teste Loss: 48.95147705078125
41 Train acc: 87.748 | Train Loss: 146.8532820045948 || Teste acc: 79.35 | Teste Loss: 62.22435703873634
