
0 Train acc: 31.06 | Train Loss: 733.5688592195511 || Teste acc: 39.88 | Teste Loss: 159.50244390964508
1 Train acc: 46.386 | Train Loss: 568.9085645675659 || Teste acc: 49.53 | Teste Loss: 138.71181082725525
2 Train acc: 56.458 | Train Loss: 473.1807491183281 || Teste acc: 54.52 | Teste Loss: 135.13129031658173
3 Train acc: 64.256 | Train Loss: 392.7191106081009 || Teste acc: 62.1 | Teste Loss: 110.7667316198349
4 Train acc: 69.81 | Train Loss: 338.30469620227814 || Teste acc: 66.33 | Teste Loss: 98.06387728452682
5 Train acc: 73.768 | Train Loss: 296.8223212957382 || Teste acc: 68.98 | Teste Loss: 92.60978251695633
6 Train acc: 76.224 | Train Loss: 270.56067582964897 || Teste acc: 74.09 | Teste Loss: 75.49330651760101
7 Train acc: 77.322 | Train Loss: 259.4853422343731 || Teste acc: 72.81 | Teste Loss: 79.26222282648087
8 Train acc: 78.19 | Train Loss: 247.78529849648476 || Teste acc: 70.86 | Teste Loss: 89.26010125875473
9 Train acc: 79.042 | Train Loss: 241.1625336408615 || Teste acc: 68.71 | Teste Loss: 96.38251149654388
10 Train acc: 79.376 | Train Loss: 235.3661741912365 || Teste acc: 73.19 | Teste Loss: 79.08911377191544
11 Train acc: 79.734 | Train Loss: 230.75221729278564 || Teste acc: 75.28 | Teste Loss: 75.07320299744606
12 Train acc: 80.292 | Train Loss: 224.20273596048355 || Teste acc: 71.78 | Teste Loss: 90.6835510134697
13 Train acc: 80.476 | Train Loss: 221.87318494915962 || Teste acc: 62.33 | Teste Loss: 129.4173898100853
14 Train acc: 81.034 | Train Loss: 217.31723871827126 || Teste acc: 75.35 | Teste Loss: 71.47509855031967
15 Train acc: 81.018 | Train Loss: 215.07896414399147 || Teste acc: 71.97 | Teste Loss: 88.33334997296333
16 Train acc: 81.902 | Train Loss: 208.1400249004364 || Teste acc: 76.69 | Teste Loss: 71.28559210896492
17 Train acc: 81.786 | Train Loss: 209.26048344373703 || Teste acc: 73.86 | Teste Loss: 77.72699338197708
18 Train acc: 81.864 | Train Loss: 208.0132079422474 || Teste acc: 75.4 | Teste Loss: 75.07400339841843
19 Train acc: 82.264 | Train Loss: 203.69981652498245 || Teste acc: 73.33 | Teste Loss: 79.22712162137032
20 Train acc: 82.42 | Train Loss: 201.77766859531403 || Teste acc: 75.02 | Teste Loss: 77.23264437913895
21 Train acc: 82.638 | Train Loss: 198.10023464262486 || Teste acc: 78.57 | Teste Loss: 63.487440556287766
22 Train acc: 82.474 | Train Loss: 197.1271791756153 || Teste acc: 69.51 | Teste Loss: 107.19923079013824
23 Train acc: 83.112 | Train Loss: 195.65808790922165 || Teste acc: 78.3 | Teste Loss: 63.76351374387741
24 Train acc: 82.99 | Train Loss: 194.70296469330788 || Teste acc: 70.36 | Teste Loss: 99.71529224514961
25 Train acc: 83.118 | Train Loss: 192.22156351804733 || Teste acc: 81.04 | Teste Loss: 56.9306064248085
26 Train acc: 83.762 | Train Loss: 188.09780134260654 || Teste acc: 78.98 | Teste Loss: 62.98271831870079
27 Train acc: 83.516 | Train Loss: 187.94218030571938 || Teste acc: 78.55 | Teste Loss: 65.2330484688282
28 Train acc: 83.908 | Train Loss: 184.1182934641838 || Teste acc: 80.1 | Teste Loss: 58.85498067736626
29 Train acc: 83.722 | Train Loss: 184.28115591406822 || Teste acc: 80.61 | Teste Loss: 55.98292824625969
30 Train acc: 84.22 | Train Loss: 180.4209468960762 || Teste acc: 72.12 | Teste Loss: 87.59834241867065
31 Train acc: 84.348 | Train Loss: 178.3130893111229 || Teste acc: 76.67 | Teste Loss: 73.47835424542427
32 Train acc: 84.46 | Train Loss: 177.14171314239502 || Teste acc: 75.95 | Teste Loss: 71.79148596525192
33 Train acc: 84.79 | Train Loss: 174.87156295776367 || Teste acc: 78.96 | Teste Loss: 63.15361240506172
34 Train acc: 85.058 | Train Loss: 172.2729186564684 || Teste acc: 76.11 | Teste Loss: 73.50718700885773
35 Train acc: 85.208 | Train Loss: 169.87339779734612 || Teste acc: 78.02 | Teste Loss: 68.6588825583458
36 Train acc: 85.31 | Train Loss: 169.23367202281952 || Teste acc: 77.95 | Teste Loss: 74.07167002558708
37 Train acc: 85.412 | Train Loss: 166.37924167513847 || Teste acc: 83.21 | Teste Loss: 49.538776367902756
38 Train acc: 85.644 | Train Loss: 164.76219476759434 || Teste acc: 80.91 | Teste Loss: 57.06322517991066
39 Train acc: 86.102 | Train Loss: 160.39939485490322 || Teste acc: 77.23 | Teste Loss: 69.97225466370583
40 Train acc: 86.084 | Train Loss: 159.64912454783916 || Teste acc: 76.2 | Teste Loss: 75.25354504585266
41 Train acc: 86.274 | Train Loss: 156.56514684855938 || Teste acc: 82.31 | Teste Loss: 52.85854950547218
42 Train acc: 86.596 | Train Loss: 153.99653179943562 || Teste acc: 83.51 | Teste Loss: 49.43115296959877
43 Train acc: 86.86 | Train Loss: 150.58119302988052 || Teste acc: 78.68 | Teste Loss: 65.3041740655899
44 Train acc: 86.914 | Train Loss: 150.44454096257687 || Teste acc: 81.78 | Teste Loss: 54.35955673456192
45 Train acc: 87.278 | Train Loss: 146.2955545783043 || Teste acc: 84.08 | Teste Loss: 46.96773147583008
46 Train acc: 87.52 | Train Loss: 143.66116870939732 || Teste acc: 84.86 | Teste Loss: 45.365596145391464
47 Train acc: 87.73 | Train Loss: 139.83828942477703 || Teste acc: 83.15 | Teste Loss: 51.55028814077377
48 Train acc: 87.804 | Train Loss: 138.7997520416975 || Teste acc: 82.15 | Teste Loss: 56.739751905202866
49 Train acc: 88.142 | Train Loss: 136.49934132397175 || Teste acc: 85.64 | Teste Loss: 43.8061942756176
50 Train acc: 88.366 | Train Loss: 133.99753598868847 || Teste acc: 83.79 | Teste Loss: 47.846908539533615
51 Train acc: 88.316 | Train Loss: 134.15529122948647 || Teste acc: 80.9 | Teste Loss: 59.20050236582756
52 Train acc: 88.904 | Train Loss: 127.37758307158947 || Teste acc: 83.54 | Teste Loss: 48.587613463401794
53 Train acc: 89.11 | Train Loss: 125.70844309031963 || Teste acc: 85.97 | Teste Loss: 42.307903826236725
54 Train acc: 89.338 | Train Loss: 123.21249628067017 || Teste acc: 80.38 | Teste Loss: 61.220895022153854
55 Train acc: 89.726 | Train Loss: 119.11668458580971 || Teste acc: 84.24 | Teste Loss: 51.019513085484505
56 Train acc: 89.796 | Train Loss: 117.64333616197109 || Teste acc: 85.94 | Teste Loss: 41.08033788204193
57 Train acc: 89.984 | Train Loss: 113.38591539114714 || Teste acc: 75.93 | Teste Loss: 79.10326141119003
58 Train acc: 90.51 | Train Loss: 109.5267883837223 || Teste acc: 84.71 | Teste Loss: 48.42271812260151
59 Train acc: 90.524 | Train Loss: 108.99642603099346 || Teste acc: 84.85 | Teste Loss: 46.590612545609474
60 Train acc: 90.946 | Train Loss: 104.09731704741716 || Teste acc: 83.99 | Teste Loss: 49.27579802274704
61 Train acc: 91.194 | Train Loss: 100.14919954538345 || Teste acc: 88.1 | Teste Loss: 37.469805896282196
62 Train acc: 91.502 | Train Loss: 98.44377344846725 || Teste acc: 87.3 | Teste Loss: 37.2960260361433
63 Train acc: 91.748 | Train Loss: 96.0913372784853 || Teste acc: 87.95 | Teste Loss: 37.024048909544945

64 Train acc: 91.96 | Train Loss: 91.53383146226406 || Teste acc: 86.25 | Teste Loss: 42.23000983893871
65 Train acc: 92.394 | Train Loss: 87.29680918902159 || Teste acc: 88.22 | Teste Loss: 35.922432854771614
66 Train acc: 92.642 | Train Loss: 83.95010090619326 || Teste acc: 88.08 | Teste Loss: 37.82781267166138
67 Train acc: 92.834 | Train Loss: 82.08270609378815 || Teste acc: 88.55 | Teste Loss: 35.59205459058285
68 Train acc: 93.472 | Train Loss: 75.82049847394228 || Teste acc: 87.11 | Teste Loss: 39.30312965810299
69 Train acc: 93.688 | Train Loss: 73.0267818197608 || Teste acc: 88.84 | Teste Loss: 34.16042095422745
70 Train acc: 93.608 | Train Loss: 72.60132689028978 || Teste acc: 89.94 | Teste Loss: 30.646364971995354
71 Train acc: 94.2 | Train Loss: 66.60433933883905 || Teste acc: 90.36 | Teste Loss: 30.636669158935547
72 Train acc: 94.636 | Train Loss: 61.41668212413788 || Teste acc: 90.22 | Teste Loss: 30.261832058429718
73 Train acc: 94.946 | Train Loss: 58.67930406332016 || Teste acc: 90.74 | Teste Loss: 29.15195083618164
74 Train acc: 95.096 | Train Loss: 55.46251503005624 || Teste acc: 90.02 | Teste Loss: 31.63373553752899
75 Train acc: 95.626 | Train Loss: 50.95563315600157 || Teste acc: 90.66 | Teste Loss: 29.960206888616085
76 Train acc: 95.872 | Train Loss: 46.78568162210286 || Teste acc: 91.78 | Teste Loss: 26.142329655587673
77 Train acc: 96.266 | Train Loss: 42.94500127620995 || Teste acc: 91.07 | Teste Loss: 28.552500531077385
78 Train acc: 96.68 | Train Loss: 38.9378069024533 || Teste acc: 91.62 | Teste Loss: 26.695667274296284
79 Train acc: 96.982 | Train Loss: 34.83617772720754 || Teste acc: 91.14 | Teste Loss: 27.959616981446743
80 Train acc: 97.338 | Train Loss: 30.778815302997828 || Teste acc: 92.79 | Teste Loss: 24.63119249790907
81 Train acc: 97.812 | Train Loss: 26.152012118138373 || Teste acc: 92.22 | Teste Loss: 25.783810656517744
82 Train acc: 98.21 | Train Loss: 21.313691995106637 || Teste acc: 93.08 | Teste Loss: 22.93516869843006
83 Train acc: 98.288 | Train Loss: 19.85679310001433 || Teste acc: 93.03 | Teste Loss: 23.38471432775259
84 Train acc: 98.712 | Train Loss: 15.81086964881979 || Teste acc: 93.57 | Teste Loss: 22.34828931838274
