
0 Train acc: 33.076 | Train Loss: 702.5007745027542 || Teste acc: 37.23 | Teste Loss: 172.27981734275818
1 Train acc: 51.79 | Train Loss: 517.9983441829681 || Teste acc: 55.93 | Teste Loss: 123.28586614131927
2 Train acc: 63.156 | Train Loss: 405.858788728714 || Teste acc: 57.14 | Teste Loss: 129.83763074874878
3 Train acc: 69.464 | Train Loss: 338.5193731188774 || Teste acc: 63.38 | Teste Loss: 113.84201407432556
4 Train acc: 73.86 | Train Loss: 296.4646898508072 || Teste acc: 72.72 | Teste Loss: 81.32748240232468
5 Train acc: 75.786 | Train Loss: 273.8284918665886 || Teste acc: 68.5 | Teste Loss: 93.92684400081635
6 Train acc: 77.504 | Train Loss: 257.3196956515312 || Teste acc: 74.95 | Teste Loss: 76.01481425762177
7 Train acc: 78.558 | Train Loss: 245.29533940553665 || Teste acc: 68.23 | Teste Loss: 103.37333089113235
8 Train acc: 79.29 | Train Loss: 236.83696815371513 || Teste acc: 74.8 | Teste Loss: 74.98197755217552
9 Train acc: 79.81 | Train Loss: 230.47965839505196 || Teste acc: 70.96 | Teste Loss: 89.33084225654602
10 Train acc: 80.198 | Train Loss: 227.01560086011887 || Teste acc: 66.38 | Teste Loss: 108.35929071903229
11 Train acc: 80.516 | Train Loss: 222.89126279950142 || Teste acc: 69.55 | Teste Loss: 91.31828153133392
12 Train acc: 81.058 | Train Loss: 216.66017666459084 || Teste acc: 76.73 | Teste Loss: 70.29017785191536
13 Train acc: 81.412 | Train Loss: 214.8048066496849 || Teste acc: 74.13 | Teste Loss: 75.95296776294708
14 Train acc: 81.554 | Train Loss: 213.4807969033718 || Teste acc: 65.01 | Teste Loss: 119.45892333984375
15 Train acc: 81.846 | Train Loss: 209.3397725224495 || Teste acc: 72.48 | Teste Loss: 84.31724008917809
16 Train acc: 81.938 | Train Loss: 206.49538281559944 || Teste acc: 74.33 | Teste Loss: 79.15558046102524
17 Train acc: 82.218 | Train Loss: 204.42755609750748 || Teste acc: 81.49 | Teste Loss: 54.091185212135315
18 Train acc: 82.398 | Train Loss: 202.56231698393822 || Teste acc: 75.0 | Teste Loss: 75.89449056982994
19 Train acc: 82.508 | Train Loss: 200.885617852211 || Teste acc: 68.47 | Teste Loss: 104.92430996894836
20 Train acc: 82.738 | Train Loss: 197.88782119750977 || Teste acc: 74.92 | Teste Loss: 81.26969718933105
21 Train acc: 83.244 | Train Loss: 193.47044923901558 || Teste acc: 81.46 | Teste Loss: 56.693225771188736
22 Train acc: 83.27 | Train Loss: 192.09779691696167 || Teste acc: 76.61 | Teste Loss: 73.04654610157013
23 Train acc: 83.092 | Train Loss: 193.59050506353378 || Teste acc: 74.53 | Teste Loss: 73.45219421386719
24 Train acc: 83.486 | Train Loss: 190.0427018404007 || Teste acc: 81.65 | Teste Loss: 54.88046136498451
25 Train acc: 83.74 | Train Loss: 186.79611098766327 || Teste acc: 75.14 | Teste Loss: 77.75195044279099
26 Train acc: 83.872 | Train Loss: 185.48291930556297 || Teste acc: 69.91 | Teste Loss: 105.44850927591324
27 Train acc: 84.166 | Train Loss: 182.58095648884773 || Teste acc: 66.6 | Teste Loss: 111.45481067895889
28 Train acc: 84.168 | Train Loss: 181.44454631209373 || Teste acc: 68.15 | Teste Loss: 104.69402116537094
29 Train acc: 84.408 | Train Loss: 178.3341137766838 || Teste acc: 80.17 | Teste Loss: 62.03386178612709
30 Train acc: 84.596 | Train Loss: 177.15033692121506 || Teste acc: 80.28 | Teste Loss: 62.26321488618851
31 Train acc: 84.702 | Train Loss: 175.93464025855064 || Teste acc: 69.65 | Teste Loss: 101.01036638021469
32 Train acc: 84.808 | Train Loss: 173.05050042271614 || Teste acc: 76.91 | Teste Loss: 71.14371106028557
33 Train acc: 85.086 | Train Loss: 172.29749265313148 || Teste acc: 80.66 | Teste Loss: 58.56390559673309
34 Train acc: 85.194 | Train Loss: 168.45003762841225 || Teste acc: 81.67 | Teste Loss: 54.880164593458176
35 Train acc: 85.384 | Train Loss: 167.32193088531494 || Teste acc: 79.76 | Teste Loss: 61.049862921237946
36 Train acc: 85.484 | Train Loss: 165.40167562663555 || Teste acc: 80.0 | Teste Loss: 62.35555663704872
37 Train acc: 86.278 | Train Loss: 158.73481790721416 || Teste acc: 75.05 | Teste Loss: 78.06917703151703
38 Train acc: 85.97 | Train Loss: 162.03506840765476 || Teste acc: 77.72 | Teste Loss: 67.79969924688339
39 Train acc: 86.458 | Train Loss: 156.77164706587791 || Teste acc: 80.39 | Teste Loss: 58.21687123179436
40 Train acc: 86.476 | Train Loss: 155.21043746173382 || Teste acc: 80.41 | Teste Loss: 61.608012825250626
41 Train acc: 86.454 | Train Loss: 154.3150686174631 || Teste acc: 82.58 | Teste Loss: 52.840410470962524
42 Train acc: 86.916 | Train Loss: 151.44323743879795 || Teste acc: 79.47 | Teste Loss: 62.82936251163483
43 Train acc: 87.434 | Train Loss: 144.97437696158886 || Teste acc: 80.83 | Teste Loss: 59.03365331888199
44 Train acc: 87.512 | Train Loss: 144.33298566937447 || Teste acc: 83.93 | Teste Loss: 48.314176082611084
45 Train acc: 87.574 | Train Loss: 144.12584751844406 || Teste acc: 79.32 | Teste Loss: 65.83198791742325
46 Train acc: 87.574 | Train Loss: 142.35865676403046 || Teste acc: 83.57 | Teste Loss: 49.64517131447792
47 Train acc: 87.978 | Train Loss: 137.70058827102184 || Teste acc: 80.76 | Teste Loss: 58.46778130531311
48 Train acc: 88.25 | Train Loss: 134.12193146348 || Teste acc: 82.73 | Teste Loss: 53.823709815740585
49 Train acc: 88.254 | Train Loss: 134.41921178996563 || Teste acc: 84.48 | Teste Loss: 46.54317265748978
50 Train acc: 88.846 | Train Loss: 130.46745525300503 || Teste acc: 86.5 | Teste Loss: 39.84917165338993
51 Train acc: 88.878 | Train Loss: 128.19742150604725 || Teste acc: 84.22 | Teste Loss: 47.76210620999336
52 Train acc: 89.028 | Train Loss: 125.17387801408768 || Teste acc: 79.93 | Teste Loss: 64.43457728624344
53 Train acc: 89.05 | Train Loss: 125.07906919717789 || Teste acc: 86.68 | Teste Loss: 39.89762331545353
54 Train acc: 89.698 | Train Loss: 119.18302673846483 || Teste acc: 86.11 | Teste Loss: 40.98620708286762
55 Train acc: 89.898 | Train Loss: 117.37397985905409 || Teste acc: 84.52 | Teste Loss: 46.44489297270775
56 Train acc: 90.43 | Train Loss: 111.65140973031521 || Teste acc: 87.37 | Teste Loss: 37.484266102313995
57 Train acc: 90.468 | Train Loss: 109.13129876554012 || Teste acc: 86.02 | Teste Loss: 41.87531127035618
58 Train acc: 90.64 | Train Loss: 108.97836055606604 || Teste acc: 85.51 | Teste Loss: 44.56077182292938
59 Train acc: 90.772 | Train Loss: 106.36306842416525 || Teste acc: 80.62 | Teste Loss: 62.65234678983688
60 Train acc: 91.16 | Train Loss: 101.73529756814241 || Teste acc: 88.12 | Teste Loss: 36.662927247583866
61 Train acc: 91.302 | Train Loss: 98.81355981528759 || Teste acc: 84.42 | Teste Loss: 46.802924796938896
62 Train acc: 91.614 | Train Loss: 96.14526050537825 || Teste acc: 83.84 | Teste Loss: 48.26962639391422
63 Train acc: 91.864 | Train Loss: 93.97716396301985 || Teste acc: 89.87 | Teste Loss: 31.52122861146927
64 Train acc: 92.314 | Train Loss: 89.30497237294912 || Teste acc: 85.0 | Teste Loss: 45.9186195731163
65 Train acc: 92.602 | Train Loss: 84.51321383565664 || Teste acc: 88.53 | Teste Loss: 35.314856603741646
66 Train acc: 92.796 | Train Loss: 83.53069481253624 || Teste acc: 88.16 | Teste Loss: 36.6563326716423
67 Train acc: 93.128 | Train Loss: 79.11379867047071 || Teste acc: 89.25 | Teste Loss: 33.51931241154671
68 Train acc: 93.438 | Train Loss: 74.89702244848013 || Teste acc: 90.14 | Teste Loss: 29.554534763097763
69 Train acc: 93.862 | Train Loss: 72.19252925738692 || Teste acc: 90.48 | Teste Loss: 28.781505167484283
70 Train acc: 94.16 | Train Loss: 67.6186689697206 || Teste acc: 89.52 | Teste Loss: 32.231013640761375
71 Train acc: 94.404 | Train Loss: 64.58618328720331 || Teste acc: 90.33 | Teste Loss: 30.563008219003677
72 Train acc: 94.76 | Train Loss: 61.0686072409153 || Teste acc: 90.36 | Teste Loss: 29.221232682466507
