
0 Train acc: 37.08 | Train Loss: 661.988748550415 || Teste acc: 43.16 | Teste Loss: 153.32271337509155
1 Train acc: 55.282 | Train Loss: 483.2580429315567 || Teste acc: 53.03 | Teste Loss: 146.7373127937317
2 Train acc: 64.872 | Train Loss: 385.1298781633377 || Teste acc: 67.37 | Teste Loss: 95.47972005605698
3 Train acc: 71.58 | Train Loss: 319.80259531736374 || Teste acc: 61.34 | Teste Loss: 122.01493412256241
4 Train acc: 74.992 | Train Loss: 282.52433827519417 || Teste acc: 68.24 | Teste Loss: 91.56526446342468
5 Train acc: 76.974 | Train Loss: 260.62866377830505 || Teste acc: 71.58 | Teste Loss: 81.69020968675613
6 Train acc: 78.246 | Train Loss: 247.3913452923298 || Teste acc: 71.45 | Teste Loss: 91.14186191558838
7 Train acc: 79.248 | Train Loss: 236.26597520709038 || Teste acc: 70.33 | Teste Loss: 95.79859811067581
8 Train acc: 79.806 | Train Loss: 230.57779997587204 || Teste acc: 72.96 | Teste Loss: 83.02800679206848
9 Train acc: 80.206 | Train Loss: 226.27703723311424 || Teste acc: 73.92 | Teste Loss: 77.53571158647537
10 Train acc: 80.726 | Train Loss: 221.52119705080986 || Teste acc: 76.2 | Teste Loss: 68.92007553577423
11 Train acc: 80.966 | Train Loss: 218.1957603096962 || Teste acc: 77.09 | Teste Loss: 68.14995157718658
12 Train acc: 81.502 | Train Loss: 214.4729781448841 || Teste acc: 72.0 | Teste Loss: 89.32186222076416
13 Train acc: 81.65 | Train Loss: 211.81245163083076 || Teste acc: 77.73 | Teste Loss: 69.36627632379532
14 Train acc: 82.132 | Train Loss: 207.65053603053093 || Teste acc: 70.39 | Teste Loss: 100.68531101942062
15 Train acc: 82.118 | Train Loss: 204.74016427993774 || Teste acc: 80.34 | Teste Loss: 59.38710415363312
16 Train acc: 82.224 | Train Loss: 203.47279250621796 || Teste acc: 77.54 | Teste Loss: 68.73588356375694
17 Train acc: 82.242 | Train Loss: 203.67992770671844 || Teste acc: 68.16 | Teste Loss: 105.94345921278
18 Train acc: 82.68 | Train Loss: 199.03535041213036 || Teste acc: 75.85 | Teste Loss: 75.56218191981316
19 Train acc: 82.88 | Train Loss: 196.33773788809776 || Teste acc: 73.74 | Teste Loss: 82.66705185174942
20 Train acc: 83.224 | Train Loss: 193.39157891273499 || Teste acc: 80.05 | Teste Loss: 58.64683163166046
21 Train acc: 83.392 | Train Loss: 191.39539462327957 || Teste acc: 78.96 | Teste Loss: 61.07322731614113
22 Train acc: 83.252 | Train Loss: 191.4009434580803 || Teste acc: 78.54 | Teste Loss: 63.589129000902176
23 Train acc: 83.778 | Train Loss: 187.6020723283291 || Teste acc: 78.73 | Teste Loss: 64.16464075446129
24 Train acc: 83.66 | Train Loss: 187.89940610527992 || Teste acc: 79.75 | Teste Loss: 60.999395459890366
