
0 Train acc: 37.204 | Train Loss: 658.7196477651596 || Teste acc: 47.5 | Teste Loss: 144.7247530221939
1 Train acc: 55.336 | Train Loss: 481.4547151327133 || Teste acc: 49.4 | Teste Loss: 147.04673397541046
2 Train acc: 65.602 | Train Loss: 378.5351560115814 || Teste acc: 57.82 | Teste Loss: 124.35952299833298
3 Train acc: 71.222 | Train Loss: 319.0330978035927 || Teste acc: 66.67 | Teste Loss: 97.82207465171814
4 Train acc: 74.644 | Train Loss: 285.58681267499924 || Teste acc: 67.7 | Teste Loss: 100.4658744931221
5 Train acc: 76.804 | Train Loss: 262.01898860931396 || Teste acc: 73.3 | Teste Loss: 80.61357760429382
6 Train acc: 77.854 | Train Loss: 251.72348242998123 || Teste acc: 63.23 | Teste Loss: 112.45985019207001
7 Train acc: 78.97 | Train Loss: 241.0792759358883 || Teste acc: 64.49 | Teste Loss: 108.5211352109909
8 Train acc: 79.388 | Train Loss: 233.94949507713318 || Teste acc: 63.74 | Teste Loss: 118.86803317070007
9 Train acc: 80.176 | Train Loss: 225.76549088954926 || Teste acc: 77.84 | Teste Loss: 66.40021881461143
10 Train acc: 80.504 | Train Loss: 223.29147338867188 || Teste acc: 67.51 | Teste Loss: 103.98581206798553
11 Train acc: 80.93 | Train Loss: 218.07668134570122 || Teste acc: 67.89 | Teste Loss: 102.33758836984634
12 Train acc: 81.228 | Train Loss: 216.61965331435204 || Teste acc: 76.46 | Teste Loss: 71.12035083770752
13 Train acc: 81.784 | Train Loss: 210.89579045772552 || Teste acc: 62.72 | Teste Loss: 126.04748320579529
14 Train acc: 82.062 | Train Loss: 205.8584125638008 || Teste acc: 78.2 | Teste Loss: 63.637102246284485
15 Train acc: 82.038 | Train Loss: 205.2718111872673 || Teste acc: 79.45 | Teste Loss: 62.58335128426552
16 Train acc: 82.516 | Train Loss: 202.22063264250755 || Teste acc: 67.22 | Teste Loss: 112.32344400882721
17 Train acc: 82.51 | Train Loss: 201.682301312685 || Teste acc: 80.69 | Teste Loss: 58.09564512968063
18 Train acc: 83.166 | Train Loss: 195.4758062660694 || Teste acc: 78.98 | Teste Loss: 62.34492790699005
19 Train acc: 82.81 | Train Loss: 195.94901901483536 || Teste acc: 73.47 | Teste Loss: 78.70128643512726
20 Train acc: 83.316 | Train Loss: 193.49937498569489 || Teste acc: 79.68 | Teste Loss: 60.92910814285278
21 Train acc: 83.6 | Train Loss: 189.45427045226097 || Teste acc: 75.42 | Teste Loss: 75.01442342996597
22 Train acc: 83.784 | Train Loss: 186.49083545804024 || Teste acc: 78.25 | Teste Loss: 65.41213950514793
23 Train acc: 83.61 | Train Loss: 189.29921185970306 || Teste acc: 76.79 | Teste Loss: 69.02911975979805
24 Train acc: 83.908 | Train Loss: 185.32334929704666 || Teste acc: 76.24 | Teste Loss: 74.71387815475464
