
0 Train acc: 7.98 | Train Loss: 1560.3175196647644 || Teste acc: 12.51 | Teste Loss: 367.3435547351837
1 Train acc: 16.774 | Train Loss: 1343.273202419281 || Teste acc: 19.4 | Teste Loss: 324.98493456840515
2 Train acc: 24.494 | Train Loss: 1176.514500617981 || Teste acc: 25.71 | Teste Loss: 304.239750623703
3 Train acc: 32.198 | Train Loss: 1024.2114050388336 || Teste acc: 31.55 | Teste Loss: 275.309677362442
4 Train acc: 38.25 | Train Loss: 904.5628709793091 || Teste acc: 38.12 | Teste Loss: 234.09878718852997
5 Train acc: 42.674 | Train Loss: 826.7943229675293 || Teste acc: 35.38 | Teste Loss: 253.44234204292297
6 Train acc: 45.76 | Train Loss: 775.5716092586517 || Teste acc: 43.93 | Teste Loss: 209.24694120883942
7 Train acc: 47.998 | Train Loss: 741.8833763599396 || Teste acc: 41.47 | Teste Loss: 232.2026480436325
8 Train acc: 49.774 | Train Loss: 711.9323585033417 || Teste acc: 40.74 | Teste Loss: 232.20272850990295
9 Train acc: 50.596 | Train Loss: 697.5877240896225 || Teste acc: 40.84 | Teste Loss: 229.43729162216187
10 Train acc: 51.922 | Train Loss: 681.4376374483109 || Teste acc: 45.27 | Teste Loss: 208.3293161392212
11 Train acc: 52.3 | Train Loss: 670.3050243854523 || Teste acc: 36.87 | Teste Loss: 263.03981947898865
12 Train acc: 53.344 | Train Loss: 654.5283731222153 || Teste acc: 44.54 | Teste Loss: 205.54698061943054
13 Train acc: 53.872 | Train Loss: 648.5580775737762 || Teste acc: 49.05 | Teste Loss: 192.0059539079666
14 Train acc: 54.252 | Train Loss: 638.9442937374115 || Teste acc: 44.99 | Teste Loss: 210.32200407981873
15 Train acc: 55.41 | Train Loss: 623.1754809617996 || Teste acc: 42.1 | Teste Loss: 236.73344671726227
16 Train acc: 55.37 | Train Loss: 625.1986910104752 || Teste acc: 50.66 | Teste Loss: 183.61418175697327
17 Train acc: 55.81 | Train Loss: 619.2704298496246 || Teste acc: 49.59 | Teste Loss: 195.48226380348206
18 Train acc: 56.204 | Train Loss: 610.9273577928543 || Teste acc: 48.04 | Teste Loss: 199.08858227729797
19 Train acc: 56.422 | Train Loss: 607.2650430202484 || Teste acc: 49.6 | Teste Loss: 196.2729057073593
20 Train acc: 56.99 | Train Loss: 596.6933573484421 || Teste acc: 44.42 | Teste Loss: 220.92905712127686
21 Train acc: 57.48 | Train Loss: 595.3849773406982 || Teste acc: 48.34 | Teste Loss: 193.58092439174652
22 Train acc: 58.026 | Train Loss: 585.668380856514 || Teste acc: 50.45 | Teste Loss: 185.59141528606415
23 Train acc: 57.85 | Train Loss: 584.824132680893 || Teste acc: 48.39 | Teste Loss: 205.74636244773865
24 Train acc: 58.446 | Train Loss: 578.2311906814575 || Teste acc: 48.37 | Teste Loss: 207.71290361881256
25 Train acc: 58.694 | Train Loss: 572.6245614290237 || Teste acc: 47.54 | Teste Loss: 199.33977496623993
26 Train acc: 59.512 | Train Loss: 562.7809644937515 || Teste acc: 49.71 | Teste Loss: 195.35051906108856
27 Train acc: 59.63 | Train Loss: 558.0113067626953 || Teste acc: 49.52 | Teste Loss: 193.70339691638947
28 Train acc: 59.804 | Train Loss: 556.6008276939392 || Teste acc: 52.7 | Teste Loss: 182.10472106933594
29 Train acc: 60.292 | Train Loss: 548.3884370326996 || Teste acc: 51.48 | Teste Loss: 181.63714122772217
30 Train acc: 60.392 | Train Loss: 546.7138142585754 || Teste acc: 52.59 | Teste Loss: 185.12092924118042
31 Train acc: 60.834 | Train Loss: 540.556113243103 || Teste acc: 49.8 | Teste Loss: 188.8755885362625
32 Train acc: 61.6 | Train Loss: 531.971676826477 || Teste acc: 47.51 | Teste Loss: 214.9613001346588
33 Train acc: 61.896 | Train Loss: 528.0954704284668 || Teste acc: 49.87 | Teste Loss: 194.26120126247406
34 Train acc: 62.384 | Train Loss: 519.429466843605 || Teste acc: 55.89 | Teste Loss: 168.113214969635
35 Train acc: 62.42 | Train Loss: 515.2982853651047 || Teste acc: 52.54 | Teste Loss: 179.41009414196014
36 Train acc: 62.884 | Train Loss: 507.36098343133926 || Teste acc: 53.95 | Teste Loss: 171.349627494812
37 Train acc: 63.118 | Train Loss: 504.60127329826355 || Teste acc: 52.24 | Teste Loss: 182.45974910259247
38 Train acc: 63.536 | Train Loss: 499.1739907860756 || Teste acc: 54.7 | Teste Loss: 167.32218158245087
39 Train acc: 64.376 | Train Loss: 489.55934405326843 || Teste acc: 45.14 | Teste Loss: 229.87408542633057
40 Train acc: 64.374 | Train Loss: 484.7670018672943 || Teste acc: 54.29 | Teste Loss: 173.26567947864532
41 Train acc: 64.79 | Train Loss: 478.5367493033409 || Teste acc: 53.52 | Teste Loss: 180.12393522262573
42 Train acc: 65.086 | Train Loss: 471.7561225295067 || Teste acc: 56.73 | Teste Loss: 166.88919925689697
43 Train acc: 65.738 | Train Loss: 465.41591572761536 || Teste acc: 57.78 | Teste Loss: 154.7568107843399
44 Train acc: 66.396 | Train Loss: 455.19638311862946 || Teste acc: 54.74 | Teste Loss: 173.77863943576813
45 Train acc: 66.828 | Train Loss: 450.8848653435707 || Teste acc: 56.44 | Teste Loss: 160.99630570411682
46 Train acc: 67.422 | Train Loss: 440.748687684536 || Teste acc: 56.44 | Teste Loss: 162.22481262683868
47 Train acc: 67.944 | Train Loss: 433.2786874771118 || Teste acc: 56.36 | Teste Loss: 163.3639179468155
48 Train acc: 68.512 | Train Loss: 424.9117852449417 || Teste acc: 58.18 | Teste Loss: 153.07255291938782
49 Train acc: 68.956 | Train Loss: 418.3080614209175 || Teste acc: 59.84 | Teste Loss: 146.64434999227524
50 Train acc: 69.6 | Train Loss: 407.76547026634216 || Teste acc: 59.98 | Teste Loss: 146.22243571281433
51 Train acc: 69.932 | Train Loss: 404.469822704792 || Teste acc: 57.32 | Teste Loss: 166.68046641349792
52 Train acc: 70.586 | Train Loss: 394.8123562335968 || Teste acc: 57.7 | Teste Loss: 160.57654106616974
53 Train acc: 71.164 | Train Loss: 386.5362687110901 || Teste acc: 60.82 | Teste Loss: 146.47714418172836
54 Train acc: 71.838 | Train Loss: 374.65760016441345 || Teste acc: 56.69 | Teste Loss: 167.06692373752594
55 Train acc: 72.536 | Train Loss: 364.9958057999611 || Teste acc: 61.02 | Teste Loss: 147.01292967796326
56 Train acc: 73.12 | Train Loss: 357.28045535087585 || Teste acc: 60.27 | Teste Loss: 149.61829602718353
57 Train acc: 73.948 | Train Loss: 343.85486513376236 || Teste acc: 61.0 | Teste Loss: 147.0319766998291
58 Train acc: 74.53 | Train Loss: 337.16878098249435 || Teste acc: 61.59 | Teste Loss: 141.8598415851593
59 Train acc: 75.212 | Train Loss: 326.6690394282341 || Teste acc: 58.2 | Teste Loss: 168.8041534423828
