
0 Train acc: 8.116 | Train Loss: 1554.9222030639648 || Teste acc: 12.68 | Teste Loss: 365.2059738636017
1 Train acc: 17.126 | Train Loss: 1332.8656566143036 || Teste acc: 19.85 | Teste Loss: 328.7168650627136
2 Train acc: 25.278 | Train Loss: 1156.9201354980469 || Teste acc: 28.76 | Teste Loss: 281.2312889099121
3 Train acc: 32.916 | Train Loss: 1003.689047574997 || Teste acc: 34.02 | Teste Loss: 251.75830960273743
4 Train acc: 38.322 | Train Loss: 904.3835071325302 || Teste acc: 33.11 | Teste Loss: 266.9954159259796
5 Train acc: 42.212 | Train Loss: 835.1986925601959 || Teste acc: 40.42 | Teste Loss: 226.79229652881622
6 Train acc: 45.32 | Train Loss: 784.3107016086578 || Teste acc: 42.83 | Teste Loss: 214.2497798204422
7 Train acc: 47.684 | Train Loss: 746.2275063991547 || Teste acc: 39.8 | Teste Loss: 242.28623056411743
8 Train acc: 49.042 | Train Loss: 723.8487750291824 || Teste acc: 42.81 | Teste Loss: 222.23463881015778
9 Train acc: 50.686 | Train Loss: 698.6853449344635 || Teste acc: 45.28 | Teste Loss: 208.32394921779633
10 Train acc: 51.582 | Train Loss: 681.065912604332 || Teste acc: 46.7 | Teste Loss: 200.7543079853058
11 Train acc: 52.818 | Train Loss: 667.2203438282013 || Teste acc: 37.26 | Teste Loss: 247.7622947692871
12 Train acc: 53.552 | Train Loss: 652.4133870601654 || Teste acc: 37.33 | Teste Loss: 266.8953181505203
13 Train acc: 54.088 | Train Loss: 651.2195423841476 || Teste acc: 42.76 | Teste Loss: 231.16552186012268
14 Train acc: 54.382 | Train Loss: 641.1614977121353 || Teste acc: 44.05 | Teste Loss: 220.98031604290009
15 Train acc: 55.004 | Train Loss: 629.6669217348099 || Teste acc: 44.38 | Teste Loss: 228.6913869380951
16 Train acc: 55.392 | Train Loss: 623.7901450395584 || Teste acc: 49.86 | Teste Loss: 188.85127532482147
17 Train acc: 55.754 | Train Loss: 616.5027531385422 || Teste acc: 41.41 | Teste Loss: 233.6637523174286
18 Train acc: 56.654 | Train Loss: 608.5827240943909 || Teste acc: 49.17 | Teste Loss: 190.5874298810959
19 Train acc: 56.876 | Train Loss: 602.6811947822571 || Teste acc: 49.02 | Teste Loss: 191.02818846702576
20 Train acc: 57.246 | Train Loss: 597.9417210817337 || Teste acc: 45.16 | Teste Loss: 206.92770493030548
21 Train acc: 57.476 | Train Loss: 594.1456751823425 || Teste acc: 45.87 | Teste Loss: 210.447678565979
22 Train acc: 58.122 | Train Loss: 583.9639171361923 || Teste acc: 46.79 | Teste Loss: 205.77912831306458
23 Train acc: 58.182 | Train Loss: 582.766481757164 || Teste acc: 48.13 | Teste Loss: 199.32395732402802
24 Train acc: 58.796 | Train Loss: 575.7828112840652 || Teste acc: 48.28 | Teste Loss: 202.44572055339813
25 Train acc: 59.062 | Train Loss: 570.1781200170517 || Teste acc: 46.19 | Teste Loss: 210.66144704818726
26 Train acc: 59.294 | Train Loss: 568.4428275823593 || Teste acc: 50.68 | Teste Loss: 185.3163185119629
27 Train acc: 59.728 | Train Loss: 560.0284972190857 || Teste acc: 50.27 | Teste Loss: 189.9927098751068
28 Train acc: 59.942 | Train Loss: 556.9414392709732 || Teste acc: 50.99 | Teste Loss: 189.1635719537735
29 Train acc: 60.27 | Train Loss: 550.074431180954 || Teste acc: 53.86 | Teste Loss: 174.61435794830322
30 Train acc: 60.762 | Train Loss: 543.0032232999802 || Teste acc: 50.01 | Teste Loss: 192.53200495243073
31 Train acc: 60.798 | Train Loss: 539.7194210886955 || Teste acc: 44.86 | Teste Loss: 217.14753651618958
32 Train acc: 61.3 | Train Loss: 534.4653223156929 || Teste acc: 47.17 | Teste Loss: 209.91667556762695
33 Train acc: 61.998 | Train Loss: 524.0877109766006 || Teste acc: 52.31 | Teste Loss: 178.1368749141693
34 Train acc: 61.888 | Train Loss: 523.9533677101135 || Teste acc: 52.65 | Teste Loss: 179.83659672737122
35 Train acc: 62.602 | Train Loss: 515.1892852783203 || Teste acc: 53.48 | Teste Loss: 173.79888105392456
36 Train acc: 62.75 | Train Loss: 512.7858685255051 || Teste acc: 53.64 | Teste Loss: 177.4624207019806
37 Train acc: 63.158 | Train Loss: 504.16234850883484 || Teste acc: 53.82 | Teste Loss: 174.83533263206482
38 Train acc: 63.746 | Train Loss: 497.3575819134712 || Teste acc: 50.82 | Teste Loss: 193.97176814079285
39 Train acc: 64.032 | Train Loss: 492.157752096653 || Teste acc: 54.69 | Teste Loss: 172.66471147537231
40 Train acc: 64.3 | Train Loss: 485.9441127181053 || Teste acc: 50.72 | Teste Loss: 186.54577803611755
41 Train acc: 64.678 | Train Loss: 481.319567322731 || Teste acc: 54.13 | Teste Loss: 171.8182133436203
42 Train acc: 65.796 | Train Loss: 469.976746737957 || Teste acc: 58.47 | Teste Loss: 151.78510582447052
43 Train acc: 65.89 | Train Loss: 462.45454531908035 || Teste acc: 56.09 | Teste Loss: 167.95338034629822
44 Train acc: 66.29 | Train Loss: 458.4034594297409 || Teste acc: 50.71 | Teste Loss: 187.318141579628
45 Train acc: 66.752 | Train Loss: 451.82309383153915 || Teste acc: 51.49 | Teste Loss: 186.28794372081757
46 Train acc: 67.37 | Train Loss: 442.2041313648224 || Teste acc: 55.45 | Teste Loss: 166.76307797431946
47 Train acc: 67.69 | Train Loss: 434.8678739666939 || Teste acc: 55.4 | Teste Loss: 165.8493925333023
48 Train acc: 68.122 | Train Loss: 427.2532804608345 || Teste acc: 55.86 | Teste Loss: 163.45841526985168
49 Train acc: 68.932 | Train Loss: 419.0897915959358 || Teste acc: 57.7 | Teste Loss: 159.69652259349823
