
0 Train acc: 7.73 | Train Loss: 1558.801527261734 || Teste acc: 12.94 | Teste Loss: 367.46368646621704
1 Train acc: 16.248 | Train Loss: 1347.9535946846008 || Teste acc: 18.66 | Teste Loss: 330.7267732620239
2 Train acc: 24.106 | Train Loss: 1184.10081076622 || Teste acc: 26.77 | Teste Loss: 292.20021176338196
3 Train acc: 31.77 | Train Loss: 1026.3008925914764 || Teste acc: 29.98 | Teste Loss: 278.6778118610382
4 Train acc: 38.056 | Train Loss: 909.1536704301834 || Teste acc: 35.73 | Teste Loss: 255.74253177642822
5 Train acc: 42.474 | Train Loss: 834.0014307498932 || Teste acc: 34.9 | Teste Loss: 265.72306513786316
6 Train acc: 44.946 | Train Loss: 790.6147631406784 || Teste acc: 38.26 | Teste Loss: 240.1677919626236
7 Train acc: 47.776 | Train Loss: 747.3926944732666 || Teste acc: 44.01 | Teste Loss: 203.8712615966797
8 Train acc: 48.732 | Train Loss: 725.8131823539734 || Teste acc: 42.43 | Teste Loss: 223.3075451850891
9 Train acc: 50.532 | Train Loss: 701.4732335805893 || Teste acc: 45.82 | Teste Loss: 206.12719249725342
10 Train acc: 51.44 | Train Loss: 687.6444724798203 || Teste acc: 43.65 | Teste Loss: 213.04005825519562
11 Train acc: 52.314 | Train Loss: 673.6464772224426 || Teste acc: 42.96 | Teste Loss: 226.10862934589386
12 Train acc: 53.286 | Train Loss: 660.2537055015564 || Teste acc: 47.5 | Teste Loss: 198.94519519805908
13 Train acc: 53.55 | Train Loss: 653.4224882125854 || Teste acc: 40.33 | Teste Loss: 227.5221084356308
14 Train acc: 54.6 | Train Loss: 637.0087116956711 || Teste acc: 47.7 | Teste Loss: 197.84889435768127
15 Train acc: 54.884 | Train Loss: 632.7442507743835 || Teste acc: 46.27 | Teste Loss: 205.9842768907547
16 Train acc: 55.352 | Train Loss: 627.2023252248764 || Teste acc: 45.23 | Teste Loss: 214.25840175151825
17 Train acc: 55.934 | Train Loss: 616.9051651954651 || Teste acc: 44.9 | Teste Loss: 207.9408664703369
18 Train acc: 56.638 | Train Loss: 610.6171895265579 || Teste acc: 48.87 | Teste Loss: 193.56291091442108
19 Train acc: 56.834 | Train Loss: 605.344583272934 || Teste acc: 47.93 | Teste Loss: 199.89443027973175
20 Train acc: 57.116 | Train Loss: 598.177579164505 || Teste acc: 48.43 | Teste Loss: 202.0638200044632
21 Train acc: 57.808 | Train Loss: 592.8953461647034 || Teste acc: 50.88 | Teste Loss: 182.84240770339966
22 Train acc: 58.246 | Train Loss: 587.1939932107925 || Teste acc: 50.95 | Teste Loss: 186.2249162197113
23 Train acc: 58.398 | Train Loss: 581.3874934911728 || Teste acc: 49.57 | Teste Loss: 188.81749093532562
24 Train acc: 58.368 | Train Loss: 576.9973722696304 || Teste acc: 49.69 | Teste Loss: 189.25812470912933
25 Train acc: 59.17 | Train Loss: 568.1014569997787 || Teste acc: 54.0 | Teste Loss: 168.16687750816345
26 Train acc: 59.244 | Train Loss: 565.9799293279648 || Teste acc: 53.85 | Teste Loss: 170.7479668855667
27 Train acc: 59.956 | Train Loss: 558.6564210653305 || Teste acc: 50.23 | Teste Loss: 186.1120935678482
28 Train acc: 60.19 | Train Loss: 553.6836119294167 || Teste acc: 50.33 | Teste Loss: 187.41349744796753
29 Train acc: 60.432 | Train Loss: 550.0427725315094 || Teste acc: 49.22 | Teste Loss: 196.43908190727234
30 Train acc: 60.606 | Train Loss: 542.3031421303749 || Teste acc: 50.88 | Teste Loss: 185.159618973732
31 Train acc: 60.986 | Train Loss: 539.1953762173653 || Teste acc: 49.11 | Teste Loss: 194.5531885623932
32 Train acc: 61.584 | Train Loss: 533.6785299181938 || Teste acc: 51.69 | Teste Loss: 186.34518706798553
33 Train acc: 62.288 | Train Loss: 524.0608282089233 || Teste acc: 56.12 | Teste Loss: 162.5607466697693
34 Train acc: 62.422 | Train Loss: 518.8741580247879 || Teste acc: 47.99 | Teste Loss: 207.5041083097458
35 Train acc: 62.898 | Train Loss: 512.2922579050064 || Teste acc: 50.86 | Teste Loss: 187.2385540008545
36 Train acc: 63.14 | Train Loss: 507.40671169757843 || Teste acc: 51.73 | Teste Loss: 181.63396954536438
37 Train acc: 63.38 | Train Loss: 502.809265434742 || Teste acc: 54.51 | Teste Loss: 171.03550004959106
38 Train acc: 64.366 | Train Loss: 492.4668095111847 || Teste acc: 55.38 | Teste Loss: 165.93720734119415
39 Train acc: 64.094 | Train Loss: 490.2174974679947 || Teste acc: 54.12 | Teste Loss: 179.93361246585846
40 Train acc: 64.938 | Train Loss: 483.47630620002747 || Teste acc: 54.88 | Teste Loss: 168.73689723014832
41 Train acc: 65.238 | Train Loss: 476.8418052792549 || Teste acc: 53.79 | Teste Loss: 177.63873779773712
42 Train acc: 65.74 | Train Loss: 467.6584107875824 || Teste acc: 51.22 | Teste Loss: 182.1964067220688
43 Train acc: 66.134 | Train Loss: 462.09519642591476 || Teste acc: 50.65 | Teste Loss: 191.36827874183655
44 Train acc: 66.504 | Train Loss: 455.7685224413872 || Teste acc: 54.17 | Teste Loss: 174.9971548318863
45 Train acc: 66.932 | Train Loss: 452.9536584019661 || Teste acc: 56.36 | Teste Loss: 158.9896763563156
46 Train acc: 67.532 | Train Loss: 441.2045030593872 || Teste acc: 52.81 | Teste Loss: 181.73172867298126
47 Train acc: 68.088 | Train Loss: 432.34910637140274 || Teste acc: 57.22 | Teste Loss: 160.4745216369629
48 Train acc: 68.764 | Train Loss: 424.9492592215538 || Teste acc: 58.73 | Teste Loss: 154.95316088199615
49 Train acc: 69.452 | Train Loss: 415.02352315187454 || Teste acc: 59.19 | Teste Loss: 153.42412531375885
