
0 Train acc: 8.152 | Train Loss: 1553.2816936969757 || Teste acc: 10.58 | Teste Loss: 382.7673690319061
1 Train acc: 16.502 | Train Loss: 1341.5686511993408 || Teste acc: 21.5 | Teste Loss: 317.6975088119507
2 Train acc: 26.07 | Train Loss: 1138.1785991191864 || Teste acc: 21.79 | Teste Loss: 330.35469937324524
3 Train acc: 34.04 | Train Loss: 981.2514708042145 || Teste acc: 33.31 | Teste Loss: 254.69931292533875
4 Train acc: 39.7 | Train Loss: 879.7136319875717 || Teste acc: 38.12 | Teste Loss: 234.53088068962097
5 Train acc: 43.33 | Train Loss: 815.9315668344498 || Teste acc: 39.92 | Teste Loss: 225.76718151569366
6 Train acc: 46.036 | Train Loss: 767.1743936538696 || Teste acc: 41.45 | Teste Loss: 225.67802846431732
7 Train acc: 48.488 | Train Loss: 734.0370200872421 || Teste acc: 41.76 | Teste Loss: 227.12978732585907
8 Train acc: 49.79 | Train Loss: 709.9302389621735 || Teste acc: 42.18 | Teste Loss: 221.71187710762024
9 Train acc: 51.466 | Train Loss: 688.5483080148697 || Teste acc: 38.37 | Teste Loss: 251.0671956539154
10 Train acc: 52.206 | Train Loss: 674.6937500238419 || Teste acc: 41.5 | Teste Loss: 223.74038791656494
11 Train acc: 52.848 | Train Loss: 660.844017624855 || Teste acc: 46.28 | Teste Loss: 201.31634187698364
12 Train acc: 53.568 | Train Loss: 652.8068716526031 || Teste acc: 48.51 | Teste Loss: 192.17850744724274
13 Train acc: 54.524 | Train Loss: 638.1738810539246 || Teste acc: 44.65 | Teste Loss: 212.48647272586823
14 Train acc: 55.284 | Train Loss: 630.1195909976959 || Teste acc: 47.03 | Teste Loss: 202.66160595417023
15 Train acc: 55.776 | Train Loss: 620.1452934741974 || Teste acc: 41.91 | Teste Loss: 233.95676732063293
16 Train acc: 55.956 | Train Loss: 617.7231353521347 || Teste acc: 51.43 | Teste Loss: 181.57942712306976
17 Train acc: 56.818 | Train Loss: 607.610524892807 || Teste acc: 48.23 | Teste Loss: 196.6859233379364
18 Train acc: 56.864 | Train Loss: 602.889862537384 || Teste acc: 49.07 | Teste Loss: 194.25799000263214
19 Train acc: 57.318 | Train Loss: 596.6348758935928 || Teste acc: 43.72 | Teste Loss: 227.85517048835754
20 Train acc: 58.092 | Train Loss: 590.045338511467 || Teste acc: 47.96 | Teste Loss: 201.82585215568542
21 Train acc: 58.294 | Train Loss: 581.2231187820435 || Teste acc: 51.1 | Teste Loss: 180.86353623867035
22 Train acc: 58.142 | Train Loss: 581.023676276207 || Teste acc: 46.1 | Teste Loss: 213.24950671195984
23 Train acc: 58.49 | Train Loss: 576.9912766218185 || Teste acc: 49.55 | Teste Loss: 190.15209639072418
24 Train acc: 59.254 | Train Loss: 566.2229499816895 || Teste acc: 50.53 | Teste Loss: 184.15969133377075
25 Train acc: 59.686 | Train Loss: 562.3915649652481 || Teste acc: 48.54 | Teste Loss: 200.1062626838684
26 Train acc: 59.812 | Train Loss: 558.2989916801453 || Teste acc: 53.37 | Teste Loss: 177.53926944732666
27 Train acc: 60.324 | Train Loss: 550.1775779724121 || Teste acc: 49.43 | Teste Loss: 197.4127367734909
