
0 Train acc: 8.002 | Train Loss: 1551.8519439697266 || Teste acc: 12.28 | Teste Loss: 371.4261269569397
1 Train acc: 16.638 | Train Loss: 1340.4258000850677 || Teste acc: 19.02 | Teste Loss: 330.2652008533478
2 Train acc: 24.69 | Train Loss: 1168.8008031845093 || Teste acc: 26.06 | Teste Loss: 289.9066982269287
3 Train acc: 32.49 | Train Loss: 1011.2990338802338 || Teste acc: 31.47 | Teste Loss: 267.13463497161865
4 Train acc: 38.244 | Train Loss: 903.9885284900665 || Teste acc: 34.33 | Teste Loss: 255.9156458377838
5 Train acc: 42.644 | Train Loss: 830.1371828317642 || Teste acc: 36.47 | Teste Loss: 247.76886522769928
6 Train acc: 45.45 | Train Loss: 781.3434388637543 || Teste acc: 35.41 | Teste Loss: 273.01487469673157
7 Train acc: 47.42 | Train Loss: 748.7904137372971 || Teste acc: 41.17 | Teste Loss: 221.7816070318222
8 Train acc: 49.032 | Train Loss: 722.0325192213058 || Teste acc: 43.96 | Teste Loss: 210.77871465682983
9 Train acc: 50.706 | Train Loss: 701.9820545911789 || Teste acc: 43.29 | Teste Loss: 212.72986698150635
10 Train acc: 51.554 | Train Loss: 686.5067453384399 || Teste acc: 42.26 | Teste Loss: 226.57459628582
11 Train acc: 52.406 | Train Loss: 670.4277822971344 || Teste acc: 38.13 | Teste Loss: 252.47431480884552
12 Train acc: 53.25 | Train Loss: 659.6984108686447 || Teste acc: 47.22 | Teste Loss: 198.04645800590515
13 Train acc: 53.584 | Train Loss: 649.4427155256271 || Teste acc: 48.22 | Teste Loss: 195.68276166915894
14 Train acc: 54.454 | Train Loss: 644.4355659484863 || Teste acc: 44.34 | Teste Loss: 219.5496107339859
15 Train acc: 54.978 | Train Loss: 630.3949419260025 || Teste acc: 48.1 | Teste Loss: 191.26615381240845
16 Train acc: 55.354 | Train Loss: 623.8383790254593 || Teste acc: 46.07 | Teste Loss: 207.98110508918762
17 Train acc: 56.572 | Train Loss: 610.9322950839996 || Teste acc: 45.43 | Teste Loss: 208.76423370838165
18 Train acc: 56.61 | Train Loss: 606.3285647630692 || Teste acc: 46.49 | Teste Loss: 204.6417317390442
19 Train acc: 56.946 | Train Loss: 601.7578830718994 || Teste acc: 44.83 | Teste Loss: 207.84843814373016
20 Train acc: 57.214 | Train Loss: 598.0469344854355 || Teste acc: 50.54 | Teste Loss: 185.61027586460114
21 Train acc: 57.75 | Train Loss: 589.9145058393478 || Teste acc: 50.31 | Teste Loss: 185.15777909755707
22 Train acc: 58.458 | Train Loss: 586.0234227180481 || Teste acc: 50.34 | Teste Loss: 188.30381393432617
23 Train acc: 58.608 | Train Loss: 578.3058035373688 || Teste acc: 48.71 | Teste Loss: 197.92171227931976
24 Train acc: 58.812 | Train Loss: 573.397211432457 || Teste acc: 50.56 | Teste Loss: 187.2889631986618
25 Train acc: 59.272 | Train Loss: 566.0432757139206 || Teste acc: 45.3 | Teste Loss: 216.85938489437103
26 Train acc: 59.544 | Train Loss: 566.5906502008438 || Teste acc: 49.28 | Teste Loss: 189.4224407672882
