
0 Train acc: 8.11 | Train Loss: 1550.3560354709625 || Teste acc: 11.81 | Teste Loss: 369.5418722629547
1 Train acc: 16.45 | Train Loss: 1346.1129570007324 || Teste acc: 20.22 | Teste Loss: 323.49728989601135
2 Train acc: 23.906 | Train Loss: 1182.9512872695923 || Teste acc: 25.26 | Teste Loss: 293.4119064807892
3 Train acc: 31.346 | Train Loss: 1032.4984633922577 || Teste acc: 30.11 | Teste Loss: 269.1776478290558
4 Train acc: 37.554 | Train Loss: 913.2337070703506 || Teste acc: 38.47 | Teste Loss: 232.22991812229156
5 Train acc: 42.164 | Train Loss: 836.0227080583572 || Teste acc: 40.32 | Teste Loss: 223.01434981822968
6 Train acc: 45.22 | Train Loss: 785.684419631958 || Teste acc: 41.2 | Teste Loss: 224.23001885414124
7 Train acc: 47.694 | Train Loss: 744.7908011674881 || Teste acc: 40.76 | Teste Loss: 226.41112351417542
8 Train acc: 49.398 | Train Loss: 718.7448375225067 || Teste acc: 38.24 | Teste Loss: 250.18318033218384
9 Train acc: 50.758 | Train Loss: 698.8935854434967 || Teste acc: 43.99 | Teste Loss: 207.90992426872253
10 Train acc: 52.146 | Train Loss: 676.0708751678467 || Teste acc: 41.32 | Teste Loss: 231.91611301898956
11 Train acc: 52.642 | Train Loss: 668.0869765281677 || Teste acc: 44.68 | Teste Loss: 211.4183999300003
12 Train acc: 53.722 | Train Loss: 650.2762532234192 || Teste acc: 47.45 | Teste Loss: 195.80960977077484
13 Train acc: 54.302 | Train Loss: 643.5598737001419 || Teste acc: 45.13 | Teste Loss: 211.38642740249634
14 Train acc: 54.886 | Train Loss: 635.0565917491913 || Teste acc: 44.34 | Teste Loss: 219.0370453596115
15 Train acc: 55.43 | Train Loss: 623.1833074092865 || Teste acc: 40.81 | Teste Loss: 236.73828125
16 Train acc: 56.41 | Train Loss: 615.4952982664108 || Teste acc: 40.55 | Teste Loss: 267.04951190948486
17 Train acc: 56.654 | Train Loss: 608.6767135858536 || Teste acc: 46.29 | Teste Loss: 202.19645595550537
18 Train acc: 56.684 | Train Loss: 603.9214416742325 || Teste acc: 47.77 | Teste Loss: 196.29164814949036
19 Train acc: 57.484 | Train Loss: 596.0597754716873 || Teste acc: 51.49 | Teste Loss: 179.5751485824585
20 Train acc: 57.818 | Train Loss: 587.0840946435928 || Teste acc: 49.14 | Teste Loss: 195.1354420185089
21 Train acc: 58.518 | Train Loss: 581.8490761518478 || Teste acc: 50.85 | Teste Loss: 184.56639969348907
22 Train acc: 58.52 | Train Loss: 580.5980288982391 || Teste acc: 49.83 | Teste Loss: 190.13995695114136
23 Train acc: 58.808 | Train Loss: 575.1719751358032 || Teste acc: 49.13 | Teste Loss: 194.01306128501892
24 Train acc: 59.656 | Train Loss: 563.885379076004 || Teste acc: 47.73 | Teste Loss: 202.1294276714325
25 Train acc: 59.596 | Train Loss: 564.5523061752319 || Teste acc: 51.64 | Teste Loss: 180.41906464099884
26 Train acc: 60.122 | Train Loss: 553.5745018720627 || Teste acc: 45.27 | Teste Loss: 217.84809565544128
27 Train acc: 60.28 | Train Loss: 551.5301703214645 || Teste acc: 52.32 | Teste Loss: 178.6836770772934
28 Train acc: 60.804 | Train Loss: 547.4243894815445 || Teste acc: 49.7 | Teste Loss: 196.6659483909607
29 Train acc: 60.904 | Train Loss: 541.0781670808792 || Teste acc: 50.76 | Teste Loss: 185.4977308511734
30 Train acc: 61.144 | Train Loss: 535.9798265695572 || Teste acc: 51.4 | Teste Loss: 181.3472307920456
31 Train acc: 61.772 | Train Loss: 530.4933833479881 || Teste acc: 51.4 | Teste Loss: 182.87633085250854
32 Train acc: 61.966 | Train Loss: 525.7920490503311 || Teste acc: 52.54 | Teste Loss: 179.15566658973694
33 Train acc: 62.438 | Train Loss: 519.6638783812523 || Teste acc: 53.5 | Teste Loss: 175.69311225414276
34 Train acc: 63.132 | Train Loss: 512.4774595499039 || Teste acc: 43.49 | Teste Loss: 226.01926004886627
35 Train acc: 63.082 | Train Loss: 512.3457983136177 || Teste acc: 52.09 | Teste Loss: 182.59481847286224
36 Train acc: 63.5 | Train Loss: 502.3429234623909 || Teste acc: 56.82 | Teste Loss: 162.28060972690582
37 Train acc: 64.142 | Train Loss: 496.9620923399925 || Teste acc: 55.99 | Teste Loss: 162.2027096748352
38 Train acc: 64.308 | Train Loss: 490.8165011405945 || Teste acc: 54.33 | Teste Loss: 171.10088443756104
39 Train acc: 64.74 | Train Loss: 486.13599050045013 || Teste acc: 55.49 | Teste Loss: 167.7967323064804
40 Train acc: 65.51 | Train Loss: 475.0994011759758 || Teste acc: 55.57 | Teste Loss: 165.07621443271637
41 Train acc: 65.4 | Train Loss: 473.35747426748276 || Teste acc: 57.04 | Teste Loss: 157.34668946266174
42 Train acc: 66.194 | Train Loss: 462.79739278554916 || Teste acc: 55.34 | Teste Loss: 167.71749699115753
43 Train acc: 66.596 | Train Loss: 456.6804670095444 || Teste acc: 57.92 | Teste Loss: 156.37420737743378
44 Train acc: 67.096 | Train Loss: 449.9505086541176 || Teste acc: 55.8 | Teste Loss: 166.21000909805298
45 Train acc: 67.62 | Train Loss: 444.3165917992592 || Teste acc: 57.96 | Teste Loss: 156.92763233184814
46 Train acc: 67.906 | Train Loss: 437.12186431884766 || Teste acc: 59.6 | Teste Loss: 145.14039587974548
47 Train acc: 68.652 | Train Loss: 428.0449483990669 || Teste acc: 57.44 | Teste Loss: 159.7687503695488
48 Train acc: 69.12 | Train Loss: 420.8833240866661 || Teste acc: 58.65 | Teste Loss: 154.6053638458252
49 Train acc: 69.546 | Train Loss: 414.0210475921631 || Teste acc: 59.62 | Teste Loss: 151.62180626392365
50 Train acc: 70.358 | Train Loss: 403.894495844841 || Teste acc: 58.23 | Teste Loss: 155.4578858613968
51 Train acc: 70.564 | Train Loss: 398.33431363105774 || Teste acc: 60.02 | Teste Loss: 147.89328622817993
52 Train acc: 71.294 | Train Loss: 388.2753801345825 || Teste acc: 61.0 | Teste Loss: 141.11403042078018
53 Train acc: 71.644 | Train Loss: 381.78951025009155 || Teste acc: 59.03 | Teste Loss: 152.0420607328415
54 Train acc: 72.462 | Train Loss: 370.52885669469833 || Teste acc: 56.39 | Teste Loss: 166.38501846790314
55 Train acc: 73.064 | Train Loss: 362.80094587802887 || Teste acc: 62.46 | Teste Loss: 141.3128184080124
56 Train acc: 73.48 | Train Loss: 356.6754814386368 || Teste acc: 57.46 | Teste Loss: 161.610405087471
57 Train acc: 74.498 | Train Loss: 340.0417905449867 || Teste acc: 61.31 | Teste Loss: 141.34653449058533
58 Train acc: 75.146 | Train Loss: 331.9641213417053 || Teste acc: 59.64 | Teste Loss: 149.68640661239624
59 Train acc: 75.708 | Train Loss: 323.1974457502365 || Teste acc: 61.41 | Teste Loss: 146.94938534498215
60 Train acc: 76.638 | Train Loss: 312.7027397453785 || Teste acc: 62.79 | Teste Loss: 139.5338717699051
61 Train acc: 77.164 | Train Loss: 304.1996559500694 || Teste acc: 62.93 | Teste Loss: 139.4709094762802
62 Train acc: 78.398 | Train Loss: 289.64788603782654 || Teste acc: 63.83 | Teste Loss: 136.39420717954636
63 Train acc: 79.02 | Train Loss: 280.981801122427 || Teste acc: 60.4 | Teste Loss: 152.74536663293839
64 Train acc: 80.116 | Train Loss: 266.3160078525543 || Teste acc: 65.22 | Teste Loss: 131.1334651708603
65 Train acc: 80.578 | Train Loss: 257.3966524899006 || Teste acc: 64.73 | Teste Loss: 134.21046340465546
66 Train acc: 81.59 | Train Loss: 244.48693627119064 || Teste acc: 66.59 | Teste Loss: 122.52415388822556
67 Train acc: 82.586 | Train Loss: 229.00465255975723 || Teste acc: 66.65 | Teste Loss: 124.33817130327225
68 Train acc: 83.58 | Train Loss: 217.1121591925621 || Teste acc: 67.39 | Teste Loss: 121.3858157992363
69 Train acc: 84.702 | Train Loss: 204.14260855317116 || Teste acc: 67.29 | Teste Loss: 124.50777107477188
70 Train acc: 85.184 | Train Loss: 196.1151943206787 || Teste acc: 67.42 | Teste Loss: 121.919837474823
71 Train acc: 86.518 | Train Loss: 178.5036752820015 || Teste acc: 69.23 | Teste Loss: 117.91680735349655
72 Train acc: 87.538 | Train Loss: 167.24972027540207 || Teste acc: 68.55 | Teste Loss: 118.92236495018005
73 Train acc: 88.988 | Train Loss: 148.67603306472301 || Teste acc: 68.4 | Teste Loss: 123.22324603796005
74 Train acc: 90.392 | Train Loss: 134.30829115211964 || Teste acc: 68.56 | Teste Loss: 121.8997865319252
75 Train acc: 91.236 | Train Loss: 123.51338203251362 || Teste acc: 70.62 | Teste Loss: 114.34302753210068
76 Train acc: 92.326 | Train Loss: 108.57957451045513 || Teste acc: 71.25 | Teste Loss: 110.86411798000336
77 Train acc: 93.42 | Train Loss: 94.94062286615372 || Teste acc: 71.65 | Teste Loss: 110.70942062139511
78 Train acc: 94.602 | Train Loss: 81.38408127427101 || Teste acc: 71.7 | Teste Loss: 111.00866264104843
79 Train acc: 95.592 | Train Loss: 70.16910833120346 || Teste acc: 72.55 | Teste Loss: 108.68318873643875
80 Train acc: 96.352 | Train Loss: 59.56282098591328 || Teste acc: 73.52 | Teste Loss: 102.56461036205292
81 Train acc: 97.436 | Train Loss: 47.05651132389903 || Teste acc: 74.63 | Teste Loss: 100.01081901788712
82 Train acc: 98.128 | Train Loss: 38.682972341775894 || Teste acc: 75.13 | Teste Loss: 99.26401180028915
83 Train acc: 98.506 | Train Loss: 32.1648744083941 || Teste acc: 75.66 | Teste Loss: 96.19125860929489
84 Train acc: 98.966 | Train Loss: 25.723107904195786 || Teste acc: 76.13 | Teste Loss: 95.13256353139877
85 Train acc: 99.328 | Train Loss: 20.991674337536097 || Teste acc: 76.28 | Teste Loss: 93.30957698822021
86 Train acc: 99.47 | Train Loss: 18.148711623623967 || Teste acc: 76.52 | Teste Loss: 93.2593629360199
87 Train acc: 99.642 | Train Loss: 15.760678544640541 || Teste acc: 76.85 | Teste Loss: 91.81022107601166
88 Train acc: 99.686 | Train Loss: 13.881121849641204 || Teste acc: 76.95 | Teste Loss: 91.06915599107742
89 Train acc: 99.8 | Train Loss: 12.60319247841835 || Teste acc: 77.39 | Teste Loss: 90.20836180448532
90 Train acc: 99.822 | Train Loss: 11.52174683380872 || Teste acc: 77.28 | Teste Loss: 89.44824355840683
91 Train acc: 99.854 | Train Loss: 11.149058973416686 || Teste acc: 77.44 | Teste Loss: 89.87123474478722
92 Train acc: 99.894 | Train Loss: 10.404296635650098 || Teste acc: 77.61 | Teste Loss: 89.48276537656784
93 Train acc: 99.878 | Train Loss: 10.271374190226197 || Teste acc: 77.6 | Teste Loss: 89.62049150466919
94 Train acc: 99.92 | Train Loss: 9.677114446647465 || Teste acc: 77.69 | Teste Loss: 89.23959246277809
95 Train acc: 99.91 | Train Loss: 9.568194190971553 || Teste acc: 77.53 | Teste Loss: 89.46190768480301
96 Train acc: 99.938 | Train Loss: 9.212822143919766 || Teste acc: 77.76 | Teste Loss: 89.20513898134232
97 Train acc: 99.918 | Train Loss: 9.261425225064158 || Teste acc: 77.8 | Teste Loss: 89.05534559488297
98 Train acc: 99.932 | Train Loss: 9.165029002353549 || Teste acc: 77.75 | Teste Loss: 89.08483856916428
99 Train acc: 99.922 | Train Loss: 9.217728138901293 || Teste acc: 77.89 | Teste Loss: 88.96873766183853
101 Train acc: 99.92 | Train Loss: 9.153467218391597 || Teste acc: 77.74 | Teste Loss: 88.77675479650497
102 Train acc: 99.926 | Train Loss: 9.043159713037312 || Teste acc: 77.8 | Teste Loss: 88.96553051471717
103 Train acc: 99.93 | Train Loss: 9.15560319647193 || Teste acc: 77.75 | Teste Loss: 88.870020508766177
104 Train acc: 99.924 | Train Loss: 9.298684661276639 || Teste acc: 77.9 | Teste Loss: 88.96619790792465
105 Train acc: 99.914 | Train Loss: 9.229983258992434 || Teste acc: 77.76 | Teste Loss: 88.94283556938171
106 Train acc: 99.922 | Train Loss: 9.270173358730972 || Teste acc: 77.75 | Teste Loss: 89.39779269695282
107 Train acc: 99.92 | Train Loss: 9.528325576335192 || Teste acc: 77.79 | Teste Loss: 88.953376948833472
108 Train acc: 99.926 | Train Loss: 9.532541145570576 || Teste acc: 77.81 | Teste Loss: 89.34029978513718
109 Train acc: 99.922 | Train Loss: 9.657193724997342 || Teste acc: 77.8 | Teste Loss: 89.181101024150858
110 Train acc: 99.914 | Train Loss: 9.994569656439126 || Teste acc: 77.78 | Teste Loss: 89.65421652793884
111 Train acc: 99.894 | Train Loss: 10.36264886893332 || Teste acc: 77.77 | Teste Loss: 90.23507916927338
112 Train acc: 99.876 | Train Loss: 11.188949317671359 || Teste acc: 77.13 | Teste Loss: 91.4350917339325
113 Train acc: 99.88 | Train Loss: 11.569410733878613 || Teste acc: 77.6 | Teste Loss: 90.860603749752045
114 Train acc: 99.798 | Train Loss: 13.519068923778832 || Teste acc: 76.95 | Teste Loss: 93.48442304134369
115 Train acc: 99.796 | Train Loss: 14.907965917140245 || Teste acc: 76.89 | Teste Loss: 94.07855445146569
116 Train acc: 99.598 | Train Loss: 19.214888114482164 || Teste acc: 75.92 | Teste Loss: 97.11531525850296
117 Train acc: 98.732 | Train Loss: 33.90228261239827 || Teste acc: 72.38 | Teste Loss: 112.40503907203674
118 Train acc: 95.116 | Train Loss: 83.85337422788143 || Teste acc: 69.39 | Teste Loss: 125.79119819402695
119 Train acc: 90.224 | Train Loss: 143.63160356879234 || Teste acc: 65.12 | Teste Loss: 141.02961611747742
120 Train acc: 88.448 | Train Loss: 162.45748628675938 || Teste acc: 67.68 | Teste Loss: 126.92277252674103
121 Train acc: 87.424 | Train Loss: 172.27570441365242 || Teste acc: 66.66 | Teste Loss: 131.50254571437836
122 Train acc: 87.158 | Train Loss: 173.44235000014305 || Teste acc: 67.27 | Teste Loss: 128.27104508876836
123 Train acc: 87.082 | Train Loss: 176.18622310459614 || Teste acc: 66.37 | Teste Loss: 133.74296164512634
124 Train acc: 86.17 | Train Loss: 183.98381133377552 || Teste acc: 66.75 | Teste Loss: 131.320708096027374
125 Train acc: 85.842 | Train Loss: 188.6777026951313 || Teste acc: 65.75 | Teste Loss: 133.657365560531624
126 Train acc: 86.022 | Train Loss: 186.78120997548103 || Teste acc: 65.62 | Teste Loss: 134.00175571441654
127 Train acc: 85.352 | Train Loss: 196.22414875030518 || Teste acc: 64.09 | Teste Loss: 142.33825087547302
128 Train acc: 85.134 | Train Loss: 198.92551264166832 || Teste acc: 66.73 | Teste Loss: 128.81788784265518
129 Train acc: 85.57 | Train Loss: 194.58151161670685 || Teste acc: 63.98 | Teste Loss: 142.481065869331368
130 Train acc: 84.174 | Train Loss: 207.2079375088215 || Teste acc: 65.02 | Teste Loss: 135.287252843379978
131 Train acc: 84.0 | Train Loss: 212.31981673836708 || Teste acc: 64.68 | Teste Loss: 138.1977952718734778
132 Train acc: 83.378 | Train Loss: 219.0133605003357 || Teste acc: 65.61 | Teste Loss: 131.303243517875678
133 Train acc: 83.308 | Train Loss: 220.98279231786728 || Teste acc: 64.45 | Teste Loss: 137.59134793281555
134 Train acc: 82.716 | Train Loss: 229.6894047856331 || Teste acc: 63.6 | Teste Loss: 139.9910010099411555
135 Train acc: 82.068 | Train Loss: 237.94719341397285 || Teste acc: 64.78 | Teste Loss: 136.80085724592215
136 Train acc: 81.442 | Train Loss: 243.99414229393005 || Teste acc: 64.58 | Teste Loss: 133.56253427267075
137 Train acc: 81.432 | Train Loss: 248.79803869128227 || Teste acc: 63.23 | Teste Loss: 140.35068607330322
138 Train acc: 80.41 | Train Loss: 262.1629174053669 || Teste acc: 61.81 | Teste Loss: 149.7607365846634322
139 Train acc: 79.892 | Train Loss: 266.9560774862766 || Teste acc: 63.75 | Teste Loss: 140.230484604835522
140 Train acc: 79.202 | Train Loss: 276.8383083343506 || Teste acc: 62.46 | Teste Loss: 150.751166284084322
141 Train acc: 78.462 | Train Loss: 285.6570637524128 || Teste acc: 62.0 | Teste Loss: 149.0766373872757322
142 Train acc: 78.316 | Train Loss: 289.8260022997856 || Teste acc: 61.85 | Teste Loss: 150.014516711235052
143 Train acc: 77.228 | Train Loss: 303.5738052725792 || Teste acc: 62.92 | Teste Loss: 142.433289289474552
144 Train acc: 77.232 | Train Loss: 303.86645674705505 || Teste acc: 60.42 | Teste Loss: 152.85757207870483
145 Train acc: 76.424 | Train Loss: 313.7899736762047 || Teste acc: 63.08 | Teste Loss: 143.895314574241643
146 Train acc: 75.762 | Train Loss: 323.9517302811146 || Teste acc: 61.39 | Teste Loss: 146.991479635238653
147 Train acc: 75.358 | Train Loss: 331.39409402012825 || Teste acc: 60.83 | Teste Loss: 151.36866807937622
148 Train acc: 74.674 | Train Loss: 340.6761257648468 || Teste acc: 60.25 | Teste Loss: 150.419359445571922
149 Train acc: 74.444 | Train Loss: 346.0151928663254 || Teste acc: 60.21 | Teste Loss: 154.286415696144122
150 Train acc: 73.508 | Train Loss: 355.66005450487137 || Teste acc: 60.69 | Teste Loss: 151.14505630731583
151 Train acc: 72.81 | Train Loss: 363.9863265156746 || Teste acc: 54.89 | Teste Loss: 183.6517269611358683
