
0 Train acc: 7.862 | Train Loss: 1555.5392937660217 || Teste acc: 10.42 | Teste Loss: 376.2660939693451
1 Train acc: 15.96 | Train Loss: 1354.8680543899536 || Teste acc: 19.5 | Teste Loss: 329.98332357406616
2 Train acc: 23.174 | Train Loss: 1201.7487597465515 || Teste acc: 24.95 | Teste Loss: 301.61220932006836
3 Train acc: 30.044 | Train Loss: 1062.7522690296173 || Teste acc: 31.21 | Teste Loss: 269.3305072784424
4 Train acc: 36.284 | Train Loss: 938.3742563724518 || Teste acc: 29.39 | Teste Loss: 287.38637828826904
5 Train acc: 40.908 | Train Loss: 854.4204316139221 || Teste acc: 33.65 | Teste Loss: 275.4494149684906
6 Train acc: 44.784 | Train Loss: 795.8666261434555 || Teste acc: 35.86 | Teste Loss: 257.93755984306335
7 Train acc: 46.988 | Train Loss: 757.1526727676392 || Teste acc: 34.56 | Teste Loss: 278.4377017021179
8 Train acc: 48.974 | Train Loss: 722.5075160264969 || Teste acc: 43.33 | Teste Loss: 214.2753838300705
9 Train acc: 49.914 | Train Loss: 708.4764130115509 || Teste acc: 42.11 | Teste Loss: 229.17156839370728
10 Train acc: 51.498 | Train Loss: 686.903238773346 || Teste acc: 42.73 | Teste Loss: 213.54871547222137
11 Train acc: 52.598 | Train Loss: 667.1127437353134 || Teste acc: 46.35 | Teste Loss: 205.3372176885605
12 Train acc: 52.902 | Train Loss: 659.7123973369598 || Teste acc: 41.01 | Teste Loss: 230.0860950946808
13 Train acc: 54.112 | Train Loss: 649.3371076583862 || Teste acc: 44.9 | Teste Loss: 214.75820291042328
14 Train acc: 54.94 | Train Loss: 632.5478160381317 || Teste acc: 46.45 | Teste Loss: 204.5667941570282
15 Train acc: 55.256 | Train Loss: 629.2631767988205 || Teste acc: 49.62 | Teste Loss: 189.1597422361374
16 Train acc: 56.066 | Train Loss: 617.671338558197 || Teste acc: 44.97 | Teste Loss: 214.38830184936523
17 Train acc: 56.26 | Train Loss: 613.967080116272 || Teste acc: 45.66 | Teste Loss: 212.95516347885132
18 Train acc: 56.838 | Train Loss: 603.6816858053207 || Teste acc: 46.11 | Teste Loss: 210.83036482334137
19 Train acc: 56.966 | Train Loss: 603.2025204896927 || Teste acc: 48.63 | Teste Loss: 192.8161027431488
20 Train acc: 57.696 | Train Loss: 593.4523190259933 || Teste acc: 51.18 | Teste Loss: 177.8892765045166
21 Train acc: 58.086 | Train Loss: 587.9344911575317 || Teste acc: 48.18 | Teste Loss: 199.59415984153748
22 Train acc: 58.446 | Train Loss: 580.721673309803 || Teste acc: 48.78 | Teste Loss: 196.1992689371109
23 Train acc: 58.874 | Train Loss: 575.8525378704071 || Teste acc: 49.45 | Teste Loss: 190.1910721063614
24 Train acc: 59.268 | Train Loss: 569.3571935892105 || Teste acc: 47.62 | Teste Loss: 203.58386635780334
25 Train acc: 59.672 | Train Loss: 562.7752451896667 || Teste acc: 51.61 | Teste Loss: 182.94231605529785
