
0 Train acc: 8.484 | Train Loss: 1536.190218448639 || Teste acc: 13.23 | Teste Loss: 368.2059164047241
1 Train acc: 17.542 | Train Loss: 1321.8181364536285 || Teste acc: 19.62 | Teste Loss: 330.05732917785645
2 Train acc: 25.564 | Train Loss: 1149.647581577301 || Teste acc: 26.57 | Teste Loss: 292.62632989883423
3 Train acc: 33.012 | Train Loss: 996.544047832489 || Teste acc: 31.02 | Teste Loss: 266.73199367523193
4 Train acc: 38.866 | Train Loss: 889.8955161571503 || Teste acc: 31.9 | Teste Loss: 264.7776207923889
5 Train acc: 43.02 | Train Loss: 817.2064695358276 || Teste acc: 39.03 | Teste Loss: 234.45762705802917
6 Train acc: 46.104 | Train Loss: 770.9776383638382 || Teste acc: 40.51 | Teste Loss: 229.30554151535034
7 Train acc: 48.172 | Train Loss: 740.5279548168182 || Teste acc: 43.45 | Teste Loss: 209.24370300769806
8 Train acc: 49.922 | Train Loss: 708.4388808012009 || Teste acc: 37.48 | Teste Loss: 249.45934414863586
9 Train acc: 51.302 | Train Loss: 688.5395191907883 || Teste acc: 39.72 | Teste Loss: 234.8177500963211
10 Train acc: 52.116 | Train Loss: 672.9013526439667 || Teste acc: 48.02 | Teste Loss: 192.23466956615448
11 Train acc: 53.172 | Train Loss: 662.0238873958588 || Teste acc: 47.87 | Teste Loss: 189.42183876037598
12 Train acc: 53.814 | Train Loss: 648.3412199020386 || Teste acc: 43.72 | Teste Loss: 217.31038892269135
13 Train acc: 54.51 | Train Loss: 636.4353691339493 || Teste acc: 45.15 | Teste Loss: 212.06604981422424
14 Train acc: 54.904 | Train Loss: 634.7639321088791 || Teste acc: 47.27 | Teste Loss: 199.1625691652298

15 Train acc: 55.626 | Train Loss: 621.8342809677124 || Teste acc: 48.69 | Teste Loss: 189.2413901090622
16 Train acc: 55.862 | Train Loss: 618.7464151382446 || Teste acc: 45.53 | Teste Loss: 214.69729566574097
17 Train acc: 56.664 | Train Loss: 605.8191820383072 || Teste acc: 46.56 | Teste Loss: 203.68679237365723
18 Train acc: 57.034 | Train Loss: 603.4238971471786 || Teste acc: 48.5 | Teste Loss: 188.97642159461975
19 Train acc: 57.44 | Train Loss: 594.0121958255768 || Teste acc: 48.36 | Teste Loss: 197.9514136314392
20 Train acc: 58.044 | Train Loss: 588.9979304075241 || Teste acc: 47.77 | Teste Loss: 195.7091567516327
21 Train acc: 58.382 | Train Loss: 582.7985832691193 || Teste acc: 42.67 | Teste Loss: 227.228346824646
22 Train acc: 58.696 | Train Loss: 577.7084978818893 || Teste acc: 47.07 | Teste Loss: 199.78520679473877
23 Train acc: 58.986 | Train Loss: 573.3748009204865 || Teste acc: 49.78 | Teste Loss: 186.5680446624756
24 Train acc: 59.534 | Train Loss: 565.1187608242035 || Teste acc: 50.13 | Teste Loss: 181.87575149536133
25 Train acc: 59.788 | Train Loss: 561.6049949526787 || Teste acc: 48.53 | Teste Loss: 194.60912001132965
26 Train acc: 59.776 | Train Loss: 560.3551647663116 || Teste acc: 41.87 | Teste Loss: 248.46080613136292
27 Train acc: 60.084 | Train Loss: 553.8069858551025 || Teste acc: 47.26 | Teste Loss: 213.4248229265213
28 Train acc: 60.514 | Train Loss: 546.8898673057556 || Teste acc: 51.44 | Teste Loss: 181.61534237861633
29 Train acc: 61.118 | Train Loss: 541.1584185361862 || Teste acc: 49.71 | Teste Loss: 191.37306118011475
30 Train acc: 61.428 | Train Loss: 537.0115437507629 || Teste acc: 50.57 | Teste Loss: 193.08139038085938
31 Train acc: 61.902 | Train Loss: 530.2305532693863 || Teste acc: 50.94 | Teste Loss: 187.81674814224243
32 Train acc: 62.002 | Train Loss: 526.6750835180283 || Teste acc: 52.99 | Teste Loss: 174.34518349170685
33 Train acc: 62.34 | Train Loss: 522.5996060967445 || Teste acc: 54.37 | Teste Loss: 167.6973136663437
34 Train acc: 62.908 | Train Loss: 512.7529303431511 || Teste acc: 49.05 | Teste Loss: 199.41822230815887
35 Train acc: 63.054 | Train Loss: 511.1618171930313 || Teste acc: 55.82 | Teste Loss: 164.23787367343903
36 Train acc: 63.938 | Train Loss: 498.4106447696686 || Teste acc: 57.47 | Teste Loss: 154.88663232326508
37 Train acc: 64.24 | Train Loss: 494.02666610479355 || Teste acc: 56.93 | Teste Loss: 158.82495975494385
38 Train acc: 64.32 | Train Loss: 492.41442239284515 || Teste acc: 53.21 | Teste Loss: 178.0933132171631
39 Train acc: 64.822 | Train Loss: 484.6839621067047 || Teste acc: 52.49 | Teste Loss: 177.89154839515686
40 Train acc: 65.278 | Train Loss: 479.60729867219925 || Teste acc: 56.81 | Teste Loss: 157.96957314014435
41 Train acc: 65.598 | Train Loss: 471.2201192975044 || Teste acc: 52.41 | Teste Loss: 181.86643421649933
42 Train acc: 66.19 | Train Loss: 466.08171451091766 || Teste acc: 54.19 | Teste Loss: 171.8631807565689
43 Train acc: 66.456 | Train Loss: 459.5256495475769 || Teste acc: 53.53 | Teste Loss: 174.1650321483612
