
0 Train acc: 8.136 | Train Loss: 1543.001026391983 || Teste acc: 12.59 | Teste Loss: 367.30116963386536
1 Train acc: 17.196 | Train Loss: 1328.2530405521393 || Teste acc: 19.35 | Teste Loss: 332.69753670692444
2 Train acc: 25.64 | Train Loss: 1144.9414329528809 || Teste acc: 30.53 | Teste Loss: 271.8819181919098
3 Train acc: 33.976 | Train Loss: 981.7695634365082 || Teste acc: 30.73 | Teste Loss: 268.6606435775757
4 Train acc: 39.506 | Train Loss: 878.8658808469772 || Teste acc: 33.84 | Teste Loss: 259.31462836265564
5 Train acc: 43.57 | Train Loss: 808.5840872526169 || Teste acc: 41.94 | Teste Loss: 217.4773828983307
6 Train acc: 46.274 | Train Loss: 768.1366208791733 || Teste acc: 37.29 | Teste Loss: 260.90445709228516
7 Train acc: 48.532 | Train Loss: 728.9976210594177 || Teste acc: 43.9 | Teste Loss: 208.79494953155518
8 Train acc: 50.0 | Train Loss: 707.2041447162628 || Teste acc: 42.2 | Teste Loss: 215.09224271774292
9 Train acc: 51.588 | Train Loss: 685.490470290184 || Teste acc: 44.84 | Teste Loss: 211.00930035114288
10 Train acc: 52.314 | Train Loss: 671.2826148271561 || Teste acc: 36.92 | Teste Loss: 256.75835251808167
11 Train acc: 53.068 | Train Loss: 659.3141030073166 || Teste acc: 45.2 | Teste Loss: 207.47077667713165
12 Train acc: 54.298 | Train Loss: 645.5002285242081 || Teste acc: 45.83 | Teste Loss: 209.46575665473938
13 Train acc: 54.618 | Train Loss: 637.7591183185577 || Teste acc: 47.36 | Teste Loss: 202.86335361003876
14 Train acc: 55.428 | Train Loss: 625.5027008056641 || Teste acc: 45.18 | Teste Loss: 215.7657746076584
15 Train acc: 55.664 | Train Loss: 620.8233758211136 || Teste acc: 47.55 | Teste Loss: 197.59325194358826
16 Train acc: 56.048 | Train Loss: 616.5853736400604 || Teste acc: 45.36 | Teste Loss: 207.7006517648697
17 Train acc: 56.74 | Train Loss: 605.3859305381775 || Teste acc: 49.16 | Teste Loss: 189.6468073129654
18 Train acc: 57.196 | Train Loss: 599.888290643692 || Teste acc: 42.74 | Teste Loss: 228.15348279476166
19 Train acc: 57.524 | Train Loss: 592.670952796936 || Teste acc: 51.14 | Teste Loss: 184.0092658996582
20 Train acc: 57.864 | Train Loss: 586.2476515769958 || Teste acc: 46.2 | Teste Loss: 208.53370773792267
21 Train acc: 58.478 | Train Loss: 581.5090239048004 || Teste acc: 47.03 | Teste Loss: 199.12988471984863
22 Train acc: 58.482 | Train Loss: 579.8087110519409 || Teste acc: 48.68 | Teste Loss: 190.83114993572235
23 Train acc: 59.256 | Train Loss: 572.988427400589 || Teste acc: 48.3 | Teste Loss: 200.64399468898773
24 Train acc: 59.384 | Train Loss: 567.2138592004776 || Teste acc: 49.27 | Teste Loss: 190.85066092014313
25 Train acc: 59.8 | Train Loss: 561.0557726621628 || Teste acc: 44.79 | Teste Loss: 219.60110795497894
26 Train acc: 59.988 | Train Loss: 557.6367319822311 || Teste acc: 52.02 | Teste Loss: 179.69746053218842
27 Train acc: 60.196 | Train Loss: 552.5220452547073 || Teste acc: 53.37 | Teste Loss: 176.18827962875366
28 Train acc: 60.65 | Train Loss: 546.1508882045746 || Teste acc: 53.88 | Teste Loss: 169.60124576091766
29 Train acc: 61.26 | Train Loss: 541.5812352895737 || Teste acc: 48.02 | Teste Loss: 203.05203580856323
30 Train acc: 61.292 | Train Loss: 537.3959708213806 || Teste acc: 49.02 | Teste Loss: 196.1154170036316
31 Train acc: 61.49 | Train Loss: 533.1254505515099 || Teste acc: 51.74 | Teste Loss: 183.8123596906662
32 Train acc: 62.434 | Train Loss: 523.6495080590248 || Teste acc: 53.89 | Teste Loss: 171.90541326999664
33 Train acc: 62.592 | Train Loss: 518.0418478250504 || Teste acc: 47.07 | Teste Loss: 210.37222731113434
34 Train acc: 62.734 | Train Loss: 517.0564005970955 || Teste acc: 50.94 | Teste Loss: 183.8541032075882
35 Train acc: 63.558 | Train Loss: 506.16507482528687 || Teste acc: 53.96 | Teste Loss: 170.3570693731308
36 Train acc: 63.912 | Train Loss: 500.96369487047195 || Teste acc: 56.63 | Teste Loss: 162.6510957479477
37 Train acc: 64.352 | Train Loss: 495.418360888958 || Teste acc: 56.75 | Teste Loss: 157.08106291294098
38 Train acc: 64.474 | Train Loss: 489.4471375346184 || Teste acc: 53.6 | Teste Loss: 173.70768177509308
39 Train acc: 64.86 | Train Loss: 486.21286326646805 || Teste acc: 51.7 | Teste Loss: 184.25424230098724
40 Train acc: 65.402 | Train Loss: 479.8272980451584 || Teste acc: 57.56 | Teste Loss: 158.08405780792236
41 Train acc: 65.676 | Train Loss: 471.33343255519867 || Teste acc: 55.45 | Teste Loss: 165.7122678756714
42 Train acc: 66.58 | Train Loss: 463.41411566734314 || Teste acc: 57.01 | Teste Loss: 154.27311718463898
43 Train acc: 66.52 | Train Loss: 457.1852103471756 || Teste acc: 57.95 | Teste Loss: 155.49575984477997
