
0 Train acc: 7.802 | Train Loss: 1554.6377038955688 || Teste acc: 11.14 | Teste Loss: 376.6288058757782
1 Train acc: 16.264 | Train Loss: 1351.8172662258148 || Teste acc: 20.42 | Teste Loss: 324.75707483291626
2 Train acc: 24.116 | Train Loss: 1176.2863502502441 || Teste acc: 24.7 | Teste Loss: 296.35203671455383
3 Train acc: 32.298 | Train Loss: 1014.8248307704926 || Teste acc: 34.1 | Teste Loss: 250.15053391456604
4 Train acc: 38.566 | Train Loss: 895.4492354393005 || Teste acc: 35.3 | Teste Loss: 248.8699357509613
5 Train acc: 42.614 | Train Loss: 822.3574223518372 || Teste acc: 36.04 | Teste Loss: 252.2947609424591
6 Train acc: 45.586 | Train Loss: 776.137412905693 || Teste acc: 33.06 | Teste Loss: 274.6841399669647
7 Train acc: 47.958 | Train Loss: 738.3412322998047 || Teste acc: 40.22 | Teste Loss: 228.06211972236633
8 Train acc: 49.764 | Train Loss: 710.6541527509689 || Teste acc: 36.66 | Teste Loss: 263.3399302959442
9 Train acc: 51.202 | Train Loss: 690.1287738084793 || Teste acc: 44.56 | Teste Loss: 208.21243262290955
10 Train acc: 52.002 | Train Loss: 674.9675229787827 || Teste acc: 48.23 | Teste Loss: 191.60734736919403
11 Train acc: 53.13 | Train Loss: 659.2933977842331 || Teste acc: 43.48 | Teste Loss: 219.04799377918243
12 Train acc: 54.0 | Train Loss: 651.0842710733414 || Teste acc: 46.65 | Teste Loss: 202.59679317474365
13 Train acc: 54.626 | Train Loss: 639.5088223218918 || Teste acc: 48.86 | Teste Loss: 192.1878957748413
14 Train acc: 55.608 | Train Loss: 625.5701386928558 || Teste acc: 46.43 | Teste Loss: 203.0515320301056
15 Train acc: 55.81 | Train Loss: 619.1861736774445 || Teste acc: 46.22 | Teste Loss: 212.3381668329239
16 Train acc: 56.174 | Train Loss: 615.4632105827332 || Teste acc: 44.44 | Teste Loss: 213.67967283725739
17 Train acc: 56.896 | Train Loss: 606.6062852144241 || Teste acc: 47.41 | Teste Loss: 200.40334129333496
18 Train acc: 57.182 | Train Loss: 597.9954743385315 || Teste acc: 49.76 | Teste Loss: 189.72726356983185
19 Train acc: 57.538 | Train Loss: 593.5747114419937 || Teste acc: 48.9 | Teste Loss: 191.01399731636047
20 Train acc: 57.916 | Train Loss: 586.8788570165634 || Teste acc: 45.97 | Teste Loss: 207.62714552879333
21 Train acc: 58.368 | Train Loss: 583.7965514659882 || Teste acc: 48.45 | Teste Loss: 201.7584171295166
22 Train acc: 58.864 | Train Loss: 574.356959939003 || Teste acc: 52.25 | Teste Loss: 174.25635647773743
23 Train acc: 59.418 | Train Loss: 569.5415593385696 || Teste acc: 50.37 | Teste Loss: 182.02088940143585
24 Train acc: 59.584 | Train Loss: 565.3298809528351 || Teste acc: 52.68 | Teste Loss: 176.51829719543457
25 Train acc: 59.708 | Train Loss: 560.5314083099365 || Teste acc: 47.71 | Teste Loss: 203.18963181972504
26 Train acc: 59.974 | Train Loss: 556.6236597299576 || Teste acc: 48.35 | Teste Loss: 201.90924060344696
27 Train acc: 60.394 | Train Loss: 553.0900175571442 || Teste acc: 49.71 | Teste Loss: 188.32417285442352
28 Train acc: 60.88 | Train Loss: 544.5812023878098 || Teste acc: 49.63 | Teste Loss: 192.37513160705566
29 Train acc: 60.826 | Train Loss: 541.6274795532227 || Teste acc: 51.42 | Teste Loss: 177.61284124851227
30 Train acc: 61.63 | Train Loss: 535.5029277801514 || Teste acc: 52.23 | Teste Loss: 180.46274316310883
31 Train acc: 61.704 | Train Loss: 530.7015325427055 || Teste acc: 53.3 | Teste Loss: 178.75073742866516
32 Train acc: 62.148 | Train Loss: 525.8500003814697 || Teste acc: 49.56 | Teste Loss: 186.60333347320557
33 Train acc: 62.562 | Train Loss: 518.1918014287949 || Teste acc: 52.46 | Teste Loss: 180.95490908622742
