
0 Train acc: 8.698 | Train Loss: 1531.4566881656647 || Teste acc: 11.56 | Teste Loss: 369.16848492622375
1 Train acc: 18.544 | Train Loss: 1292.9592969417572 || Teste acc: 17.93 | Teste Loss: 333.8640835285187
2 Train acc: 27.728 | Train Loss: 1101.6535086631775 || Teste acc: 28.45 | Teste Loss: 288.5338807106018
3 Train acc: 34.944 | Train Loss: 962.2347979545593 || Teste acc: 22.08 | Teste Loss: 327.14798307418823
4 Train acc: 40.382 | Train Loss: 868.1697363853455 || Teste acc: 34.98 | Teste Loss: 250.9551179409027
5 Train acc: 44.23 | Train Loss: 801.3636976480484 || Teste acc: 36.4 | Teste Loss: 257.26396334171295
6 Train acc: 46.754 | Train Loss: 762.3272701501846 || Teste acc: 39.95 | Teste Loss: 229.41940987110138
7 Train acc: 48.824 | Train Loss: 729.122519493103 || Teste acc: 43.76 | Teste Loss: 214.1949291229248
8 Train acc: 50.224 | Train Loss: 705.998383641243 || Teste acc: 41.49 | Teste Loss: 228.83377981185913
9 Train acc: 51.508 | Train Loss: 684.8899688720703 || Teste acc: 45.93 | Teste Loss: 200.16345703601837
10 Train acc: 52.956 | Train Loss: 664.4031964540482 || Teste acc: 41.38 | Teste Loss: 229.7891981601715
11 Train acc: 53.428 | Train Loss: 655.4972935914993 || Teste acc: 41.94 | Teste Loss: 227.4897893667221
12 Train acc: 54.032 | Train Loss: 646.4478869438171 || Teste acc: 47.07 | Teste Loss: 197.64256036281586
13 Train acc: 54.98 | Train Loss: 636.0229086875916 || Teste acc: 42.91 | Teste Loss: 230.82071197032928
14 Train acc: 55.122 | Train Loss: 627.9976313114166 || Teste acc: 47.15 | Teste Loss: 203.64024090766907
15 Train acc: 55.862 | Train Loss: 618.0153757333755 || Teste acc: 48.2 | Teste Loss: 192.82807731628418
16 Train acc: 56.498 | Train Loss: 610.2253931760788 || Teste acc: 45.17 | Teste Loss: 213.8826504945755
17 Train acc: 56.662 | Train Loss: 603.0695875883102 || Teste acc: 48.11 | Teste Loss: 195.50057780742645
18 Train acc: 57.388 | Train Loss: 598.4698688983917 || Teste acc: 44.29 | Teste Loss: 217.34406423568726
19 Train acc: 57.776 | Train Loss: 592.1471081972122 || Teste acc: 46.01 | Teste Loss: 207.68906819820404
20 Train acc: 57.734 | Train Loss: 588.2627977132797 || Teste acc: 50.18 | Teste Loss: 187.0459623336792
21 Train acc: 58.19 | Train Loss: 580.6058039665222 || Teste acc: 44.75 | Teste Loss: 215.78722882270813
22 Train acc: 58.654 | Train Loss: 574.553290605545 || Teste acc: 50.62 | Teste Loss: 186.34841573238373
