
0 Train acc: 8.876 | Train Loss: 1533.588093996048 || Teste acc: 12.83 | Teste Loss: 363.8287343978882
1 Train acc: 17.634 | Train Loss: 1318.714073896408 || Teste acc: 20.11 | Teste Loss: 324.6811330318451
2 Train acc: 25.258 | Train Loss: 1157.8507361412048 || Teste acc: 25.13 | Teste Loss: 295.7908089160919
3 Train acc: 32.712 | Train Loss: 1009.5048034191132 || Teste acc: 32.43 | Teste Loss: 263.3901002407074
4 Train acc: 38.794 | Train Loss: 895.6813523769379 || Teste acc: 38.8 | Teste Loss: 229.54790568351746
5 Train acc: 42.962 | Train Loss: 820.2679369449615 || Teste acc: 40.53 | Teste Loss: 226.72341859340668
6 Train acc: 46.008 | Train Loss: 772.5914752483368 || Teste acc: 36.56 | Teste Loss: 254.54053258895874
7 Train acc: 48.008 | Train Loss: 738.4176397323608 || Teste acc: 40.33 | Teste Loss: 228.66230130195618
8 Train acc: 49.624 | Train Loss: 715.3943201303482 || Teste acc: 43.2 | Teste Loss: 215.9805555343628
9 Train acc: 51.094 | Train Loss: 693.0911893844604 || Teste acc: 44.32 | Teste Loss: 204.66742956638336
10 Train acc: 52.186 | Train Loss: 673.0647202730179 || Teste acc: 44.49 | Teste Loss: 211.2204431295395
11 Train acc: 53.364 | Train Loss: 661.5865831375122 || Teste acc: 42.28 | Teste Loss: 222.18357276916504
12 Train acc: 54.09 | Train Loss: 648.0773997306824 || Teste acc: 47.54 | Teste Loss: 196.41149771213531
13 Train acc: 54.606 | Train Loss: 637.5607278347015 || Teste acc: 46.05 | Teste Loss: 200.36012303829193
14 Train acc: 55.372 | Train Loss: 625.4585566520691 || Teste acc: 46.12 | Teste Loss: 203.30473685264587
15 Train acc: 56.05 | Train Loss: 615.8616464138031 || Teste acc: 42.27 | Teste Loss: 228.37719094753265
16 Train acc: 56.082 | Train Loss: 615.8371937274933 || Teste acc: 52.21 | Teste Loss: 172.83109509944916
17 Train acc: 57.042 | Train Loss: 604.2602519989014 || Teste acc: 42.6 | Teste Loss: 230.42357230186462
18 Train acc: 57.406 | Train Loss: 596.7884278297424 || Teste acc: 43.01 | Teste Loss: 231.45022475719452
19 Train acc: 57.864 | Train Loss: 591.1207872629166 || Teste acc: 48.41 | Teste Loss: 191.45264995098114
20 Train acc: 58.066 | Train Loss: 586.6927723884583 || Teste acc: 50.58 | Teste Loss: 184.6303642988205
21 Train acc: 58.338 | Train Loss: 582.9104646444321 || Teste acc: 51.73 | Teste Loss: 179.7119768857956
22 Train acc: 58.79 | Train Loss: 576.4144716262817 || Teste acc: 47.82 | Teste Loss: 200.8595668077469
23 Train acc: 59.082 | Train Loss: 571.9060467481613 || Teste acc: 49.08 | Teste Loss: 195.16851198673248
24 Train acc: 59.346 | Train Loss: 566.5751810073853 || Teste acc: 44.18 | Teste Loss: 216.74942648410797
25 Train acc: 60.024 | Train Loss: 559.3197231292725 || Teste acc: 49.79 | Teste Loss: 189.28700590133667
26 Train acc: 59.942 | Train Loss: 558.0515657663345 || Teste acc: 49.97 | Teste Loss: 191.28490781784058
27 Train acc: 60.302 | Train Loss: 552.378234744072 || Teste acc: 54.82 | Teste Loss: 169.0795842409134
28 Train acc: 60.86 | Train Loss: 546.256266117096 || Teste acc: 49.36 | Teste Loss: 190.28847682476044
29 Train acc: 61.678 | Train Loss: 538.7099394798279 || Teste acc: 51.55 | Teste Loss: 178.0031759738922
30 Train acc: 61.562 | Train Loss: 535.8829401731491 || Teste acc: 50.88 | Teste Loss: 187.08460915088654
31 Train acc: 62.076 | Train Loss: 525.8938508629799 || Teste acc: 51.69 | Teste Loss: 180.98432683944702
32 Train acc: 62.478 | Train Loss: 521.7602241635323 || Teste acc: 53.11 | Teste Loss: 178.83488476276398
33 Train acc: 62.586 | Train Loss: 519.5408623814583 || Teste acc: 53.84 | Teste Loss: 173.89908802509308
34 Train acc: 63.162 | Train Loss: 510.1972134113312 || Teste acc: 53.34 | Teste Loss: 170.48667585849762
35 Train acc: 63.516 | Train Loss: 507.1382840871811 || Teste acc: 55.4 | Teste Loss: 168.19308590888977
36 Train acc: 63.576 | Train Loss: 499.6876572370529 || Teste acc: 53.5 | Teste Loss: 172.91165435314178
37 Train acc: 64.26 | Train Loss: 497.9041092991829 || Teste acc: 51.94 | Teste Loss: 182.7498081922531
38 Train acc: 64.566 | Train Loss: 487.4519052505493 || Teste acc: 54.26 | Teste Loss: 170.45434975624084
39 Train acc: 64.678 | Train Loss: 486.1858345270157 || Teste acc: 55.7 | Teste Loss: 163.37841415405273
40 Train acc: 65.066 | Train Loss: 480.00540190935135 || Teste acc: 55.48 | Teste Loss: 168.29859066009521
41 Train acc: 65.916 | Train Loss: 471.0533419251442 || Teste acc: 53.11 | Teste Loss: 175.2900140285492
42 Train acc: 66.254 | Train Loss: 466.55119758844376 || Teste acc: 54.37 | Teste Loss: 173.70976734161377
43 Train acc: 66.438 | Train Loss: 460.20157074928284 || Teste acc: 55.57 | Teste Loss: 168.41279888153076
44 Train acc: 67.082 | Train Loss: 451.32626926898956 || Teste acc: 50.5 | Teste Loss: 193.3753069639206
45 Train acc: 67.53 | Train Loss: 445.36164885759354 || Teste acc: 55.72 | Teste Loss: 164.00468611717224
46 Train acc: 67.904 | Train Loss: 438.00080221891403 || Teste acc: 58.0 | Teste Loss: 153.60205698013306
47 Train acc: 68.656 | Train Loss: 429.6379940509796 || Teste acc: 57.27 | Teste Loss: 164.09303295612335
48 Train acc: 69.016 | Train Loss: 424.34890681505203 || Teste acc: 59.36 | Teste Loss: 151.71546697616577
49 Train acc: 69.564 | Train Loss: 415.7278308272362 || Teste acc: 58.66 | Teste Loss: 151.8835906982422
50 Train acc: 70.002 | Train Loss: 408.8615713715553 || Teste acc: 59.81 | Teste Loss: 147.88615667819977
51 Train acc: 70.634 | Train Loss: 399.32435005903244 || Teste acc: 59.83 | Teste Loss: 148.15932589769363
52 Train acc: 71.488 | Train Loss: 391.3479481935501 || Teste acc: 57.13 | Teste Loss: 166.45291924476624
53 Train acc: 71.808 | Train Loss: 383.31928741931915 || Teste acc: 59.8 | Teste Loss: 151.38632953166962
54 Train acc: 72.16 | Train Loss: 378.29840618371964 || Teste acc: 60.13 | Teste Loss: 150.23992896080017
55 Train acc: 72.948 | Train Loss: 368.1212240457535 || Teste acc: 61.51 | Teste Loss: 143.87053775787354
56 Train acc: 73.95 | Train Loss: 354.14336597919464 || Teste acc: 64.07 | Teste Loss: 131.82035839557648
57 Train acc: 74.392 | Train Loss: 347.65796864032745 || Teste acc: 63.96 | Teste Loss: 132.67288011312485
58 Train acc: 75.142 | Train Loss: 339.6403656601906 || Teste acc: 61.67 | Teste Loss: 142.0685806274414
59 Train acc: 75.702 | Train Loss: 327.52813106775284 || Teste acc: 63.33 | Teste Loss: 135.82697176933289
60 Train acc: 76.526 | Train Loss: 318.90219354629517 || Teste acc: 62.94 | Teste Loss: 138.45553201436996
61 Train acc: 77.23 | Train Loss: 308.7632875740528 || Teste acc: 65.29 | Teste Loss: 128.52398997545242
62 Train acc: 77.824 | Train Loss: 299.25693610310555 || Teste acc: 61.81 | Teste Loss: 142.1037569642067
63 Train acc: 78.74 | Train Loss: 286.7203184366226 || Teste acc: 62.18 | Teste Loss: 142.81766802072525
64 Train acc: 79.992 | Train Loss: 271.47993236780167 || Teste acc: 63.74 | Teste Loss: 136.1989204287529
65 Train acc: 80.634 | Train Loss: 260.36505246162415 || Teste acc: 64.11 | Teste Loss: 133.24088460206985
66 Train acc: 81.078 | Train Loss: 253.85894390940666 || Teste acc: 66.43 | Teste Loss: 125.97653722763062
67 Train acc: 81.91 | Train Loss: 241.6314466893673 || Teste acc: 69.29 | Teste Loss: 115.43289828300476
68 Train acc: 83.226 | Train Loss: 225.15951925516129 || Teste acc: 64.85 | Teste Loss: 133.91755640506744
69 Train acc: 84.268 | Train Loss: 213.95206329226494 || Teste acc: 67.92 | Teste Loss: 121.83267557621002
70 Train acc: 84.982 | Train Loss: 200.42229503393173 || Teste acc: 67.56 | Teste Loss: 123.51889234781265
71 Train acc: 86.012 | Train Loss: 189.8883639574051 || Teste acc: 68.01 | Teste Loss: 122.7797691822052
72 Train acc: 87.06 | Train Loss: 175.59687063097954 || Teste acc: 68.06 | Teste Loss: 121.9751245379448
73 Train acc: 88.258 | Train Loss: 160.061503008008 || Teste acc: 68.49 | Teste Loss: 120.20828920602798
74 Train acc: 89.354 | Train Loss: 147.5311062335968 || Teste acc: 68.42 | Teste Loss: 121.50071239471436
75 Train acc: 90.57 | Train Loss: 132.66964960098267 || Teste acc: 70.01 | Teste Loss: 116.22582960128784
76 Train acc: 91.758 | Train Loss: 117.92578279972076 || Teste acc: 68.77 | Teste Loss: 122.0789303779602
77 Train acc: 92.718 | Train Loss: 104.8579584211111 || Teste acc: 71.74 | Teste Loss: 109.04205399751663
78 Train acc: 93.97 | Train Loss: 91.62854411453009 || Teste acc: 70.93 | Teste Loss: 112.32417875528336
79 Train acc: 95.086 | Train Loss: 77.33822132647038 || Teste acc: 72.51 | Teste Loss: 107.08802542090416
80 Train acc: 95.866 | Train Loss: 67.33418329060078 || Teste acc: 73.8 | Teste Loss: 101.55716016888618
81 Train acc: 96.868 | Train Loss: 55.33429188281298 || Teste acc: 74.28 | Teste Loss: 100.25021839141846
82 Train acc: 97.67 | Train Loss: 45.34998857602477 || Teste acc: 75.03 | Teste Loss: 97.89792376756668
83 Train acc: 98.076 | Train Loss: 39.856404799968004 || Teste acc: 75.08 | Teste Loss: 97.01256462931633
