
0 Train acc: 8.336 | Train Loss: 1541.5194811820984 || Teste acc: 12.59 | Teste Loss: 368.1395628452301
1 Train acc: 17.272 | Train Loss: 1326.9735581874847 || Teste acc: 20.34 | Teste Loss: 319.5494694709778
2 Train acc: 25.224 | Train Loss: 1151.251359462738 || Teste acc: 27.84 | Teste Loss: 281.98082995414734
3 Train acc: 33.362 | Train Loss: 991.0556387901306 || Teste acc: 32.8 | Teste Loss: 259.17465567588806
4 Train acc: 39.384 | Train Loss: 882.1562632322311 || Teste acc: 33.41 | Teste Loss: 268.2962546348572
5 Train acc: 43.12 | Train Loss: 815.2025978565216 || Teste acc: 37.29 | Teste Loss: 239.69112932682037
6 Train acc: 46.494 | Train Loss: 768.4314049482346 || Teste acc: 41.37 | Teste Loss: 221.3459154367447
7 Train acc: 48.28 | Train Loss: 732.0699709653854 || Teste acc: 41.73 | Teste Loss: 223.9891710281372
8 Train acc: 50.068 | Train Loss: 708.1115995645523 || Teste acc: 42.7 | Teste Loss: 216.38581371307373
9 Train acc: 51.156 | Train Loss: 689.429102063179 || Teste acc: 38.99 | Teste Loss: 236.1419142484665
10 Train acc: 52.018 | Train Loss: 674.285676240921 || Teste acc: 45.6 | Teste Loss: 200.65343487262726
11 Train acc: 53.282 | Train Loss: 656.2612615823746 || Teste acc: 37.23 | Teste Loss: 260.9716217517853
12 Train acc: 53.764 | Train Loss: 648.0966905355453 || Teste acc: 46.1 | Teste Loss: 201.55139529705048
13 Train acc: 54.49 | Train Loss: 638.8872882127762 || Teste acc: 41.03 | Teste Loss: 233.33053839206696
14 Train acc: 55.176 | Train Loss: 630.1266934871674 || Teste acc: 44.64 | Teste Loss: 208.55765056610107
15 Train acc: 55.574 | Train Loss: 623.3545105457306 || Teste acc: 40.14 | Teste Loss: 251.0955331325531
16 Train acc: 56.364 | Train Loss: 612.8310948610306 || Teste acc: 44.9 | Teste Loss: 215.76559329032898
17 Train acc: 56.752 | Train Loss: 606.7883697748184 || Teste acc: 45.89 | Teste Loss: 216.52964735031128
18 Train acc: 57.14 | Train Loss: 601.0728584527969 || Teste acc: 47.73 | Teste Loss: 200.35538411140442
19 Train acc: 57.502 | Train Loss: 595.2162570953369 || Teste acc: 45.64 | Teste Loss: 208.67015600204468
20 Train acc: 57.964 | Train Loss: 588.4162323474884 || Teste acc: 44.51 | Teste Loss: 220.86259829998016
