
0 Train acc: 8.93 | Train Loss: 1526.9760160446167 || Teste acc: 12.54 | Teste Loss: 365.4167377948761
1 Train acc: 18.218 | Train Loss: 1304.1918323040009 || Teste acc: 19.62 | Teste Loss: 324.0975720882416
2 Train acc: 27.06 | Train Loss: 1115.0180230140686 || Teste acc: 22.39 | Teste Loss: 317.7730555534363
3 Train acc: 34.33 | Train Loss: 969.1827986240387 || Teste acc: 24.97 | Teste Loss: 308.0554778575897
4 Train acc: 39.54 | Train Loss: 877.0656713247299 || Teste acc: 33.63 | Teste Loss: 260.40634298324585
5 Train acc: 43.662 | Train Loss: 813.8883806467056 || Teste acc: 39.45 | Teste Loss: 226.70181477069855
6 Train acc: 45.936 | Train Loss: 771.1191283464432 || Teste acc: 35.14 | Teste Loss: 267.44752955436707
7 Train acc: 48.524 | Train Loss: 733.9964146614075 || Teste acc: 35.78 | Teste Loss: 256.03787326812744
8 Train acc: 49.786 | Train Loss: 713.2733978033066 || Teste acc: 41.7 | Teste Loss: 219.73785650730133
9 Train acc: 50.69 | Train Loss: 694.6835435628891 || Teste acc: 44.41 | Teste Loss: 213.00845646858215
10 Train acc: 52.206 | Train Loss: 676.4827768802643 || Teste acc: 44.83 | Teste Loss: 209.050812125206
11 Train acc: 52.804 | Train Loss: 664.4742013216019 || Teste acc: 47.0 | Teste Loss: 196.2193158864975
12 Train acc: 53.592 | Train Loss: 653.6266288757324 || Teste acc: 45.86 | Teste Loss: 203.19707345962524
13 Train acc: 54.624 | Train Loss: 642.7767858505249 || Teste acc: 42.8 | Teste Loss: 226.45351815223694
14 Train acc: 54.952 | Train Loss: 634.1888080835342 || Teste acc: 39.42 | Teste Loss: 239.7423803806305
15 Train acc: 55.73 | Train Loss: 624.4923751354218 || Teste acc: 47.67 | Teste Loss: 197.20875370502472
16 Train acc: 55.87 | Train Loss: 618.3391785621643 || Teste acc: 45.87 | Teste Loss: 204.37023520469666
17 Train acc: 56.474 | Train Loss: 611.5061222314835 || Teste acc: 42.78 | Teste Loss: 232.5389003753662
18 Train acc: 56.768 | Train Loss: 604.2561283111572 || Teste acc: 49.91 | Teste Loss: 185.08052277565002
19 Train acc: 57.21 | Train Loss: 601.2086919546127 || Teste acc: 45.15 | Teste Loss: 212.0358213186264
20 Train acc: 57.562 | Train Loss: 594.8381834030151 || Teste acc: 44.82 | Teste Loss: 209.4617156982422
21 Train acc: 57.748 | Train Loss: 591.0341029167175 || Teste acc: 51.37 | Teste Loss: 182.88988029956818
22 Train acc: 58.36 | Train Loss: 582.4941259622574 || Teste acc: 49.92 | Teste Loss: 185.12439858913422
23 Train acc: 58.87 | Train Loss: 574.9551349878311 || Teste acc: 50.6 | Teste Loss: 179.853045463562
24 Train acc: 59.06 | Train Loss: 570.6457767486572 || Teste acc: 43.43 | Teste Loss: 225.0647213459015
25 Train acc: 59.508 | Train Loss: 567.3163068294525 || Teste acc: 41.79 | Teste Loss: 247.38464951515198
26 Train acc: 59.54 | Train Loss: 563.3319435119629 || Teste acc: 52.73 | Teste Loss: 174.5962414741516
27 Train acc: 60.242 | Train Loss: 556.1098905801773 || Teste acc: 47.0 | Teste Loss: 204.69124948978424
28 Train acc: 60.76 | Train Loss: 548.4783917665482 || Teste acc: 50.17 | Teste Loss: 190.02666676044464
29 Train acc: 60.884 | Train Loss: 547.1325972080231 || Teste acc: 50.77 | Teste Loss: 187.14848113059998
30 Train acc: 60.914 | Train Loss: 542.504399895668 || Teste acc: 51.16 | Teste Loss: 182.06771659851074
31 Train acc: 61.15 | Train Loss: 537.3257888555527 || Teste acc: 53.09 | Teste Loss: 174.28086614608765
32 Train acc: 61.638 | Train Loss: 529.9722349047661 || Teste acc: 49.94 | Teste Loss: 192.17767417430878
33 Train acc: 62.168 | Train Loss: 526.2745168209076 || Teste acc: 52.17 | Teste Loss: 177.1726759672165
34 Train acc: 62.574 | Train Loss: 519.8593569397926 || Teste acc: 53.18 | Teste Loss: 175.49415826797485
35 Train acc: 62.686 | Train Loss: 516.04231518507 || Teste acc: 49.02 | Teste Loss: 197.85844087600708
36 Train acc: 63.274 | Train Loss: 510.61092311143875 || Teste acc: 50.72 | Teste Loss: 181.97800314426422
37 Train acc: 63.426 | Train Loss: 505.13355553150177 || Teste acc: 53.02 | Teste Loss: 178.1010195016861
38 Train acc: 63.87 | Train Loss: 500.6520266532898 || Teste acc: 56.0 | Teste Loss: 161.49351233243942
39 Train acc: 64.32 | Train Loss: 491.46287739276886 || Teste acc: 53.63 | Teste Loss: 168.72480010986328
40 Train acc: 64.666 | Train Loss: 488.6379940509796 || Teste acc: 54.69 | Teste Loss: 167.95303201675415
41 Train acc: 65.462 | Train Loss: 477.0364799499512 || Teste acc: 47.83 | Teste Loss: 215.1684809923172
42 Train acc: 65.474 | Train Loss: 477.01972883939743 || Teste acc: 53.33 | Teste Loss: 176.86361491680145
43 Train acc: 65.764 | Train Loss: 468.3100132346153 || Teste acc: 51.82 | Teste Loss: 189.29562759399414
44 Train acc: 66.668 | Train Loss: 457.7024657726288 || Teste acc: 56.81 | Teste Loss: 165.59835255146027
45 Train acc: 67.088 | Train Loss: 452.7662426829338 || Teste acc: 57.57 | Teste Loss: 153.9685618877411
46 Train acc: 67.452 | Train Loss: 446.00061571598053 || Teste acc: 52.64 | Teste Loss: 177.84636926651
47 Train acc: 67.94 | Train Loss: 438.8865620493889 || Teste acc: 53.88 | Teste Loss: 172.3377604484558
48 Train acc: 68.486 | Train Loss: 434.2354560494423 || Teste acc: 59.74 | Teste Loss: 145.8869389295578
49 Train acc: 68.696 | Train Loss: 427.5985160470009 || Teste acc: 58.2 | Teste Loss: 156.18986201286316
50 Train acc: 69.446 | Train Loss: 416.1633336544037 || Teste acc: 54.36 | Teste Loss: 174.1979901790619
51 Train acc: 69.806 | Train Loss: 411.06049060821533 || Teste acc: 56.26 | Teste Loss: 166.6778383255005
52 Train acc: 70.406 | Train Loss: 403.97404420375824 || Teste acc: 57.47 | Teste Loss: 159.4602358341217
53 Train acc: 71.106 | Train Loss: 394.23505663871765 || Teste acc: 59.78 | Teste Loss: 147.90906894207
54 Train acc: 71.748 | Train Loss: 385.37037283182144 || Teste acc: 51.72 | Teste Loss: 186.95522916316986
55 Train acc: 71.904 | Train Loss: 378.41251385211945 || Teste acc: 60.1 | Teste Loss: 150.4227683544159
56 Train acc: 72.918 | Train Loss: 366.4873250722885 || Teste acc: 62.09 | Teste Loss: 138.19644290208817
57 Train acc: 73.57 | Train Loss: 360.11215019226074 || Teste acc: 59.18 | Teste Loss: 151.47768223285675
58 Train acc: 74.148 | Train Loss: 348.6220232844353 || Teste acc: 62.53 | Teste Loss: 139.781454205513
59 Train acc: 74.708 | Train Loss: 341.87013959884644 || Teste acc: 64.23 | Teste Loss: 134.16770321130753
60 Train acc: 75.26 | Train Loss: 334.12114864587784 || Teste acc: 63.34 | Teste Loss: 134.25510609149933
61 Train acc: 76.054 | Train Loss: 321.14172929525375 || Teste acc: 63.78 | Teste Loss: 131.6095022559166
62 Train acc: 77.046 | Train Loss: 310.70912659168243 || Teste acc: 63.74 | Teste Loss: 134.93942201137543
63 Train acc: 77.8 | Train Loss: 298.5015814900398 || Teste acc: 65.57 | Teste Loss: 126.00134003162384
64 Train acc: 78.318 | Train Loss: 289.9700355529785 || Teste acc: 63.11 | Teste Loss: 136.31886303424835
65 Train acc: 79.416 | Train Loss: 278.4845440983772 || Teste acc: 64.97 | Teste Loss: 129.84239435195923
66 Train acc: 80.146 | Train Loss: 265.98531088232994 || Teste acc: 64.3 | Teste Loss: 132.7173513174057
67 Train acc: 80.914 | Train Loss: 256.40267246961594 || Teste acc: 65.29 | Teste Loss: 127.19851833581924
68 Train acc: 81.392 | Train Loss: 246.64945125579834 || Teste acc: 66.14 | Teste Loss: 124.98137944936752
69 Train acc: 82.92 | Train Loss: 231.64359173178673 || Teste acc: 66.71 | Teste Loss: 123.78833186626434
70 Train acc: 83.444 | Train Loss: 220.97263625264168 || Teste acc: 64.51 | Teste Loss: 139.08373773097992
71 Train acc: 84.66 | Train Loss: 207.38466265797615 || Teste acc: 67.7 | Teste Loss: 121.09382319450378
72 Train acc: 85.688 | Train Loss: 193.90365332365036 || Teste acc: 67.25 | Teste Loss: 124.0083577632904
73 Train acc: 86.826 | Train Loss: 179.99999180436134 || Teste acc: 68.86 | Teste Loss: 116.29383999109268
74 Train acc: 87.76 | Train Loss: 168.10873422026634 || Teste acc: 68.07 | Teste Loss: 120.98692286014557
75 Train acc: 89.052 | Train Loss: 150.29155035316944 || Teste acc: 69.13 | Teste Loss: 116.96888470649719
76 Train acc: 89.806 | Train Loss: 140.20841489732265 || Teste acc: 69.78 | Teste Loss: 113.05555236339569
77 Train acc: 91.072 | Train Loss: 124.81851309537888 || Teste acc: 71.15 | Teste Loss: 111.20960134267807
78 Train acc: 92.434 | Train Loss: 108.2438717931509 || Teste acc: 70.95 | Teste Loss: 112.32750797271729
79 Train acc: 93.446 | Train Loss: 97.1886203289032 || Teste acc: 70.85 | Teste Loss: 110.90673232078552
80 Train acc: 94.16 | Train Loss: 86.29820713400841 || Teste acc: 71.86 | Teste Loss: 108.28886568546295
81 Train acc: 95.584 | Train Loss: 70.74745643138885 || Teste acc: 73.31 | Teste Loss: 104.13867741823196
82 Train acc: 96.438 | Train Loss: 60.29068689793348 || Teste acc: 73.84 | Teste Loss: 101.54821556806564
83 Train acc: 97.196 | Train Loss: 51.24196279793978 || Teste acc: 74.92 | Teste Loss: 97.5529100894928
84 Train acc: 98.016 | Train Loss: 41.273348566144705 || Teste acc: 75.35 | Teste Loss: 96.07377797365189
85 Train acc: 98.448 | Train Loss: 34.5349338427186 || Teste acc: 76.27 | Teste Loss: 92.72351175546646
86 Train acc: 98.89 | Train Loss: 28.929920453578234 || Teste acc: 76.35 | Teste Loss: 92.8173297047615
87 Train acc: 99.16 | Train Loss: 24.433571442961693 || Teste acc: 76.8 | Teste Loss: 91.71985960006714
88 Train acc: 99.44 | Train Loss: 20.811052557080984 || Teste acc: 76.86 | Teste Loss: 91.018768876791
89 Train acc: 99.498 | Train Loss: 19.38102387264371 || Teste acc: 77.09 | Teste Loss: 90.06930148601532
90 Train acc: 99.608 | Train Loss: 17.328598717227578 || Teste acc: 77.02 | Teste Loss: 90.16751503944397
91 Train acc: 99.744 | Train Loss: 15.662906222045422 || Teste acc: 77.3 | Teste Loss: 89.35903361439705
