
0 Train acc: 36.716 | Train Loss: 661.5096719264984 || Teste acc: 40.98 | Teste Loss: 179.31814169883728
1 Train acc: 55.22 | Train Loss: 482.44997894763947 || Teste acc: 58.07 | Teste Loss: 122.06431865692139
2 Train acc: 65.342 | Train Loss: 382.9699802994728 || Teste acc: 60.5 | Teste Loss: 124.69802570343018
3 Train acc: 71.328 | Train Loss: 320.08852964639664 || Teste acc: 70.68 | Teste Loss: 85.77940917015076
4 Train acc: 74.862 | Train Loss: 284.488905698061 || Teste acc: 63.11 | Teste Loss: 117.9777170419693
5 Train acc: 76.548 | Train Loss: 266.1353689432144 || Teste acc: 71.35 | Teste Loss: 86.02917170524597
6 Train acc: 77.85 | Train Loss: 249.94541764259338 || Teste acc: 71.02 | Teste Loss: 91.6879113316536
7 Train acc: 79.058 | Train Loss: 238.75269755721092 || Teste acc: 71.5 | Teste Loss: 91.25155335664749
8 Train acc: 79.946 | Train Loss: 230.5828161239624 || Teste acc: 70.59 | Teste Loss: 88.02221447229385
9 Train acc: 79.944 | Train Loss: 228.82693752646446 || Teste acc: 74.18 | Teste Loss: 80.66365104913712
10 Train acc: 80.954 | Train Loss: 220.02560150623322 || Teste acc: 69.1 | Teste Loss: 96.3588787317276
11 Train acc: 81.194 | Train Loss: 215.9953830242157 || Teste acc: 74.73 | Teste Loss: 77.90634569525719
12 Train acc: 81.36 | Train Loss: 214.73216009140015 || Teste acc: 74.81 | Teste Loss: 78.70201081037521
13 Train acc: 81.52 | Train Loss: 212.57746809720993 || Teste acc: 75.37 | Teste Loss: 76.93204098939896
14 Train acc: 82.004 | Train Loss: 206.18378069996834 || Teste acc: 71.36 | Teste Loss: 85.94961047172546
15 Train acc: 82.31 | Train Loss: 203.5020794570446 || Teste acc: 78.6 | Teste Loss: 63.30663788318634
16 Train acc: 82.532 | Train Loss: 202.2810280919075 || Teste acc: 80.54 | Teste Loss: 58.51117020845413
17 Train acc: 82.656 | Train Loss: 198.72414508461952 || Teste acc: 76.27 | Teste Loss: 72.44846370816231
18 Train acc: 82.966 | Train Loss: 196.7605745792389 || Teste acc: 77.18 | Teste Loss: 69.59910356998444
19 Train acc: 82.872 | Train Loss: 196.22967103123665 || Teste acc: 70.03 | Teste Loss: 98.30543810129166
20 Train acc: 83.222 | Train Loss: 192.79046642780304 || Teste acc: 72.86 | Teste Loss: 84.97493141889572
21 Train acc: 83.4 | Train Loss: 190.61160464584827 || Teste acc: 71.27 | Teste Loss: 89.32042801380157
22 Train acc: 83.532 | Train Loss: 190.13348650932312 || Teste acc: 78.31 | Teste Loss: 64.89204761385918
23 Train acc: 83.776 | Train Loss: 186.40716776251793 || Teste acc: 80.74 | Teste Loss: 58.94863820075989
24 Train acc: 84.07 | Train Loss: 185.6669253706932 || Teste acc: 71.74 | Teste Loss: 90.82625943422318
25 Train acc: 84.098 | Train Loss: 183.04119911789894 || Teste acc: 80.5 | Teste Loss: 59.86266469955444
26 Train acc: 84.16 | Train Loss: 181.52077083289623 || Teste acc: 72.66 | Teste Loss: 89.68312346935272
27 Train acc: 84.246 | Train Loss: 179.938200622797 || Teste acc: 79.48 | Teste Loss: 61.396397829055786
28 Train acc: 84.666 | Train Loss: 175.47456827759743 || Teste acc: 80.27 | Teste Loss: 58.648977518081665
29 Train acc: 84.786 | Train Loss: 176.19636070728302 || Teste acc: 80.98 | Teste Loss: 56.84560891985893
30 Train acc: 85.01 | Train Loss: 172.41132080554962 || Teste acc: 81.79 | Teste Loss: 54.351822793483734
31 Train acc: 84.872 | Train Loss: 173.69126337766647 || Teste acc: 67.71 | Teste Loss: 112.93144577741623
32 Train acc: 85.404 | Train Loss: 168.1795812547207 || Teste acc: 76.17 | Teste Loss: 76.28505975008011
33 Train acc: 85.428 | Train Loss: 168.57781201601028 || Teste acc: 81.88 | Teste Loss: 55.27613936364651
34 Train acc: 85.762 | Train Loss: 163.88581235706806 || Teste acc: 74.88 | Teste Loss: 75.62907963991165
35 Train acc: 85.85 | Train Loss: 163.77194838225842 || Teste acc: 81.86 | Teste Loss: 53.52537253499031
36 Train acc: 85.978 | Train Loss: 161.42154455184937 || Teste acc: 69.44 | Teste Loss: 104.08996945619583
37 Train acc: 86.214 | Train Loss: 160.23452046513557 || Teste acc: 82.62 | Teste Loss: 50.48495066165924
38 Train acc: 86.454 | Train Loss: 156.6087970584631 || Teste acc: 84.25 | Teste Loss: 46.50993837416172
39 Train acc: 86.53 | Train Loss: 155.5121457874775 || Teste acc: 77.66 | Teste Loss: 67.89839315414429
40 Train acc: 86.684 | Train Loss: 152.9078283905983 || Teste acc: 78.56 | Teste Loss: 64.41306707262993
41 Train acc: 86.644 | Train Loss: 153.1437022536993 || Teste acc: 84.1 | Teste Loss: 47.7212880551815
42 Train acc: 86.962 | Train Loss: 149.0257999151945 || Teste acc: 84.35 | Teste Loss: 48.048686653375626
43 Train acc: 87.468 | Train Loss: 145.17862625420094 || Teste acc: 82.08 | Teste Loss: 54.64347285032272
44 Train acc: 87.508 | Train Loss: 142.49801582098007 || Teste acc: 84.4 | Teste Loss: 46.985037967562675
45 Train acc: 87.542 | Train Loss: 142.99021300673485 || Teste acc: 81.6 | Teste Loss: 55.638846307992935
46 Train acc: 87.92 | Train Loss: 139.5117373019457 || Teste acc: 83.29 | Teste Loss: 51.662612169981
47 Train acc: 88.394 | Train Loss: 135.44565376639366 || Teste acc: 83.96 | Teste Loss: 46.30974745750427
48 Train acc: 88.384 | Train Loss: 134.45856687426567 || Teste acc: 83.38 | Teste Loss: 50.57228282094002
49 Train acc: 88.482 | Train Loss: 132.1716371178627 || Teste acc: 83.13 | Teste Loss: 51.08270475268364
50 Train acc: 88.66 | Train Loss: 128.53014263510704 || Teste acc: 86.02 | Teste Loss: 40.98577658832073
51 Train acc: 89.116 | Train Loss: 127.0396633297205 || Teste acc: 86.33 | Teste Loss: 41.258033484220505
52 Train acc: 89.194 | Train Loss: 123.80375190079212 || Teste acc: 85.01 | Teste Loss: 44.504356890916824
53 Train acc: 89.316 | Train Loss: 122.56820127367973 || Teste acc: 85.6 | Teste Loss: 41.76558043062687
54 Train acc: 89.792 | Train Loss: 118.13924463093281 || Teste acc: 85.1 | Teste Loss: 43.604895919561386
55 Train acc: 89.818 | Train Loss: 116.09083975851536 || Teste acc: 84.18 | Teste Loss: 48.366788655519485
56 Train acc: 90.11 | Train Loss: 113.66107772290707 || Teste acc: 84.83 | Teste Loss: 46.31407502293587
57 Train acc: 90.428 | Train Loss: 111.09612387418747 || Teste acc: 85.29 | Teste Loss: 44.50063195824623
58 Train acc: 90.632 | Train Loss: 106.2381853312254 || Teste acc: 87.95 | Teste Loss: 35.76936402916908
59 Train acc: 90.964 | Train Loss: 104.20763827115297 || Teste acc: 84.59 | Teste Loss: 47.14197777211666
60 Train acc: 91.126 | Train Loss: 101.70931297540665 || Teste acc: 86.51 | Teste Loss: 43.312885120511055
