
0 Train acc: 37.872 | Train Loss: 658.4465978145599 || Teste acc: 34.36 | Teste Loss: 191.00334060192108
1 Train acc: 55.258 | Train Loss: 481.8542340993881 || Teste acc: 57.04 | Teste Loss: 122.31111425161362
2 Train acc: 65.492 | Train Loss: 379.1582726240158 || Teste acc: 60.89 | Teste Loss: 113.61698341369629
3 Train acc: 71.752 | Train Loss: 316.57756143808365 || Teste acc: 62.74 | Teste Loss: 113.61923569440842
4 Train acc: 74.828 | Train Loss: 284.0307931005955 || Teste acc: 73.98 | Teste Loss: 75.99348670244217
5 Train acc: 76.856 | Train Loss: 263.2305063903332 || Teste acc: 68.55 | Teste Loss: 105.67517924308777
6 Train acc: 77.824 | Train Loss: 251.62035712599754 || Teste acc: 73.15 | Teste Loss: 75.31716603040695
7 Train acc: 79.132 | Train Loss: 238.68396344780922 || Teste acc: 77.66 | Teste Loss: 64.53625565767288
8 Train acc: 79.576 | Train Loss: 232.269355148077 || Teste acc: 72.9 | Teste Loss: 82.7670818567276
9 Train acc: 80.086 | Train Loss: 226.42291644215584 || Teste acc: 76.25 | Teste Loss: 70.70356434583664
10 Train acc: 80.712 | Train Loss: 222.36380529403687 || Teste acc: 75.18 | Teste Loss: 72.96759396791458
11 Train acc: 80.796 | Train Loss: 218.54283127188683 || Teste acc: 78.18 | Teste Loss: 64.64445897936821
12 Train acc: 81.376 | Train Loss: 213.23203691840172 || Teste acc: 72.22 | Teste Loss: 86.48951363563538
13 Train acc: 81.636 | Train Loss: 210.10134041309357 || Teste acc: 80.5 | Teste Loss: 56.99673503637314
14 Train acc: 82.058 | Train Loss: 207.33391651511192 || Teste acc: 76.04 | Teste Loss: 71.60101756453514
15 Train acc: 82.0 | Train Loss: 205.56338182091713 || Teste acc: 68.75 | Teste Loss: 105.1022213101387
16 Train acc: 82.55 | Train Loss: 201.21166715025902 || Teste acc: 76.26 | Teste Loss: 73.81456276774406
17 Train acc: 82.364 | Train Loss: 201.4386967420578 || Teste acc: 79.29 | Teste Loss: 59.00090113282204
18 Train acc: 82.736 | Train Loss: 197.30271208286285 || Teste acc: 77.98 | Teste Loss: 65.41214233636856
19 Train acc: 83.204 | Train Loss: 193.96549946069717 || Teste acc: 71.87 | Teste Loss: 87.16434460878372
20 Train acc: 83.252 | Train Loss: 192.428371489048 || Teste acc: 77.57 | Teste Loss: 67.60164633393288
21 Train acc: 83.488 | Train Loss: 190.60870644450188 || Teste acc: 70.67 | Teste Loss: 94.10241508483887
22 Train acc: 83.516 | Train Loss: 190.11023181676865 || Teste acc: 81.46 | Teste Loss: 52.710229992866516
23 Train acc: 83.844 | Train Loss: 186.4386094212532 || Teste acc: 78.45 | Teste Loss: 68.82475143671036
24 Train acc: 83.878 | Train Loss: 185.98574106395245 || Teste acc: 74.69 | Teste Loss: 84.65808683633804
25 Train acc: 84.16 | Train Loss: 181.2358624637127 || Teste acc: 75.6 | Teste Loss: 72.68794643878937
26 Train acc: 84.216 | Train Loss: 182.1927719861269 || Teste acc: 76.74 | Teste Loss: 69.66453158855438
27 Train acc: 84.528 | Train Loss: 178.1816777586937 || Teste acc: 80.36 | Teste Loss: 57.801359713077545
28 Train acc: 84.664 | Train Loss: 178.28549206256866 || Teste acc: 82.88 | Teste Loss: 51.19971486926079
29 Train acc: 84.798 | Train Loss: 174.4985469430685 || Teste acc: 76.48 | Teste Loss: 72.81100934743881
30 Train acc: 84.836 | Train Loss: 173.67450860142708 || Teste acc: 77.0 | Teste Loss: 74.0392274260521
31 Train acc: 85.07 | Train Loss: 170.22847014665604 || Teste acc: 78.94 | Teste Loss: 62.17857354879379
32 Train acc: 85.14 | Train Loss: 170.08422580361366 || Teste acc: 80.05 | Teste Loss: 59.21838289499283
33 Train acc: 85.544 | Train Loss: 167.493523016572 || Teste acc: 83.37 | Teste Loss: 49.54237526655197
34 Train acc: 85.5 | Train Loss: 164.85945069789886 || Teste acc: 85.08 | Teste Loss: 44.75283759832382
35 Train acc: 85.84 | Train Loss: 163.36480602622032 || Teste acc: 73.49 | Teste Loss: 85.12729144096375
36 Train acc: 86.284 | Train Loss: 159.40837919712067 || Teste acc: 79.45 | Teste Loss: 61.34474438428879
37 Train acc: 86.286 | Train Loss: 158.52737119793892 || Teste acc: 83.11 | Teste Loss: 50.3017515540123
38 Train acc: 86.408 | Train Loss: 156.77065862715244 || Teste acc: 76.07 | Teste Loss: 75.3816519677639
39 Train acc: 86.58 | Train Loss: 155.94227436184883 || Teste acc: 80.14 | Teste Loss: 61.6143716275692
40 Train acc: 86.886 | Train Loss: 152.4477314800024 || Teste acc: 82.18 | Teste Loss: 53.0085726082325
41 Train acc: 87.038 | Train Loss: 150.03810822963715 || Teste acc: 83.36 | Teste Loss: 48.71134480834007
42 Train acc: 87.022 | Train Loss: 149.78193241357803 || Teste acc: 83.19 | Teste Loss: 50.43733513355255
43 Train acc: 87.47 | Train Loss: 145.8898499906063 || Teste acc: 84.04 | Teste Loss: 47.962249130010605
44 Train acc: 87.63 | Train Loss: 144.40670669078827 || Teste acc: 83.87 | Teste Loss: 48.54102283716202
45 Train acc: 87.798 | Train Loss: 141.1515193283558 || Teste acc: 83.73 | Teste Loss: 47.606077402830124
46 Train acc: 87.774 | Train Loss: 139.29932296276093 || Teste acc: 83.38 | Teste Loss: 50.272527039051056
47 Train acc: 88.05 | Train Loss: 137.46545146405697 || Teste acc: 82.5 | Teste Loss: 52.142432391643524
48 Train acc: 88.358 | Train Loss: 133.58854143321514 || Teste acc: 78.51 | Teste Loss: 67.57187524437904
49 Train acc: 88.482 | Train Loss: 132.74833622574806 || Teste acc: 84.5 | Teste Loss: 46.851619243621826
50 Train acc: 88.69 | Train Loss: 129.69987428188324 || Teste acc: 83.02 | Teste Loss: 52.419449269771576
