
0 Train acc: 37.116 | Train Loss: 654.9548655748367 || Teste acc: 47.45 | Teste Loss: 142.03503513336182
1 Train acc: 57.04 | Train Loss: 466.69693088531494 || Teste acc: 59.4 | Teste Loss: 113.91839057207108
2 Train acc: 67.912 | Train Loss: 355.37847435474396 || Teste acc: 60.78 | Teste Loss: 115.30219101905823
3 Train acc: 73.674 | Train Loss: 299.10919320583344 || Teste acc: 66.22 | Teste Loss: 102.03624659776688
4 Train acc: 76.074 | Train Loss: 272.44937479496 || Teste acc: 71.22 | Teste Loss: 85.46968817710876
5 Train acc: 77.968 | Train Loss: 253.53054186701775 || Teste acc: 74.23 | Teste Loss: 78.30318665504456
6 Train acc: 78.518 | Train Loss: 242.82826095819473 || Teste acc: 75.28 | Teste Loss: 73.40093725919724
7 Train acc: 79.646 | Train Loss: 233.15122389793396 || Teste acc: 61.29 | Teste Loss: 145.14817464351654
8 Train acc: 79.66 | Train Loss: 232.0147593319416 || Teste acc: 73.09 | Teste Loss: 79.67033290863037
9 Train acc: 80.528 | Train Loss: 222.39504286646843 || Teste acc: 75.62 | Teste Loss: 72.66802191734314
10 Train acc: 80.952 | Train Loss: 219.1916275024414 || Teste acc: 67.68 | Teste Loss: 109.21765559911728
11 Train acc: 81.264 | Train Loss: 214.982302993536 || Teste acc: 77.83 | Teste Loss: 66.65493258833885
12 Train acc: 81.51 | Train Loss: 212.93949362635612 || Teste acc: 64.34 | Teste Loss: 117.14967250823975
13 Train acc: 81.984 | Train Loss: 209.76605027914047 || Teste acc: 77.96 | Teste Loss: 63.462784588336945
14 Train acc: 82.054 | Train Loss: 204.88406392931938 || Teste acc: 76.35 | Teste Loss: 70.6455243229866
15 Train acc: 82.206 | Train Loss: 204.14996927976608 || Teste acc: 74.7 | Teste Loss: 76.8123631477356
16 Train acc: 82.354 | Train Loss: 203.0866295993328 || Teste acc: 79.2 | Teste Loss: 60.18393990397453
