
0 Train acc: 37.5 | Train Loss: 655.4647083282471 || Teste acc: 48.71 | Teste Loss: 142.18069422245026
1 Train acc: 56.914 | Train Loss: 464.229919731617 || Teste acc: 61.98 | Teste Loss: 108.3215035200119
2 Train acc: 67.984 | Train Loss: 353.8432356119156 || Teste acc: 69.67 | Teste Loss: 85.87443172931671
3 Train acc: 73.512 | Train Loss: 298.76365491747856 || Teste acc: 68.86 | Teste Loss: 94.01417988538742
4 Train acc: 76.078 | Train Loss: 271.3132735788822 || Teste acc: 72.1 | Teste Loss: 80.9642282128334
5 Train acc: 77.654 | Train Loss: 254.38154208660126 || Teste acc: 69.37 | Teste Loss: 95.61667615175247
6 Train acc: 78.398 | Train Loss: 247.22146493196487 || Teste acc: 61.33 | Teste Loss: 115.55050122737885
7 Train acc: 79.254 | Train Loss: 236.9895014166832 || Teste acc: 73.16 | Teste Loss: 79.62332901358604
8 Train acc: 79.748 | Train Loss: 230.46019133925438 || Teste acc: 68.48 | Teste Loss: 102.01197159290314
9 Train acc: 80.498 | Train Loss: 222.88341987133026 || Teste acc: 76.42 | Teste Loss: 70.30116909742355
10 Train acc: 81.092 | Train Loss: 216.85442793369293 || Teste acc: 78.5 | Teste Loss: 61.529967069625854
11 Train acc: 81.156 | Train Loss: 216.31682488322258 || Teste acc: 75.7 | Teste Loss: 73.56650829315186
12 Train acc: 81.852 | Train Loss: 209.6134274303913 || Teste acc: 75.24 | Teste Loss: 75.01258131861687
13 Train acc: 81.85 | Train Loss: 207.89651688933372 || Teste acc: 70.02 | Teste Loss: 95.77754181623459
14 Train acc: 81.94 | Train Loss: 207.60494831204414 || Teste acc: 70.15 | Teste Loss: 92.73493647575378
15 Train acc: 82.284 | Train Loss: 204.03620862960815 || Teste acc: 75.73 | Teste Loss: 71.9007029235363
16 Train acc: 82.742 | Train Loss: 199.3120777606964 || Teste acc: 73.51 | Teste Loss: 85.882543861866
17 Train acc: 82.552 | Train Loss: 199.4480606019497 || Teste acc: 73.32 | Teste Loss: 80.83096301555634
18 Train acc: 82.868 | Train Loss: 196.0954563319683 || Teste acc: 75.34 | Teste Loss: 77.99213388562202
19 Train acc: 83.338 | Train Loss: 193.42089715600014 || Teste acc: 79.71 | Teste Loss: 60.22885811328888
20 Train acc: 83.414 | Train Loss: 192.99937057495117 || Teste acc: 75.46 | Teste Loss: 74.90940696001053
21 Train acc: 83.692 | Train Loss: 189.5665661096573 || Teste acc: 78.28 | Teste Loss: 64.5779082775116
22 Train acc: 83.802 | Train Loss: 186.87160508334637 || Teste acc: 74.21 | Teste Loss: 77.48944616317749
23 Train acc: 83.8 | Train Loss: 185.7078209221363 || Teste acc: 78.15 | Teste Loss: 66.210518181324
24 Train acc: 84.154 | Train Loss: 182.01904889941216 || Teste acc: 81.55 | Teste Loss: 55.404547572135925
25 Train acc: 84.334 | Train Loss: 180.69532763957977 || Teste acc: 81.65 | Teste Loss: 55.46253401041031
26 Train acc: 84.324 | Train Loss: 180.7828534692526 || Teste acc: 79.54 | Teste Loss: 60.085780799388885
27 Train acc: 84.798 | Train Loss: 175.2299546599388 || Teste acc: 76.53 | Teste Loss: 71.93088376522064
28 Train acc: 84.642 | Train Loss: 176.50340121984482 || Teste acc: 77.56 | Teste Loss: 70.12596467137337
29 Train acc: 84.978 | Train Loss: 173.18189604580402 || Teste acc: 68.95 | Teste Loss: 113.04693621397018
30 Train acc: 85.148 | Train Loss: 171.47735157608986 || Teste acc: 79.31 | Teste Loss: 60.19337525963783
31 Train acc: 85.122 | Train Loss: 171.21746300160885 || Teste acc: 79.63 | Teste Loss: 60.90837246179581
32 Train acc: 85.35 | Train Loss: 167.85441030561924 || Teste acc: 74.58 | Teste Loss: 87.82065713405609
33 Train acc: 85.908 | Train Loss: 163.79999822378159 || Teste acc: 83.82 | Teste Loss: 48.376793384552
34 Train acc: 85.886 | Train Loss: 163.152924567461 || Teste acc: 80.25 | Teste Loss: 60.863474011421204
35 Train acc: 85.768 | Train Loss: 163.41253484785557 || Teste acc: 82.02 | Teste Loss: 53.26647707819939
36 Train acc: 86.018 | Train Loss: 161.20876443386078 || Teste acc: 78.64 | Teste Loss: 65.9686019718647
37 Train acc: 86.36 | Train Loss: 158.07472951710224 || Teste acc: 80.75 | Teste Loss: 57.69531491398811
38 Train acc: 86.566 | Train Loss: 154.57074764370918 || Teste acc: 81.3 | Teste Loss: 58.05014514923096
39 Train acc: 86.778 | Train Loss: 153.11172524094582 || Teste acc: 65.68 | Teste Loss: 113.19748997688293
40 Train acc: 86.99 | Train Loss: 150.4767705053091 || Teste acc: 79.45 | Teste Loss: 62.2353698015213
41 Train acc: 86.932 | Train Loss: 151.8999746888876 || Teste acc: 81.74 | Teste Loss: 54.226681768894196
42 Train acc: 87.17 | Train Loss: 147.58680795133114 || Teste acc: 84.5 | Teste Loss: 45.753189384937286
43 Train acc: 87.694 | Train Loss: 142.78003980219364 || Teste acc: 84.17 | Teste Loss: 48.025251001119614
44 Train acc: 87.546 | Train Loss: 143.52149945497513 || Teste acc: 82.39 | Teste Loss: 51.810474038124084
45 Train acc: 87.888 | Train Loss: 140.3222209662199 || Teste acc: 83.5 | Teste Loss: 50.318530440330505
46 Train acc: 88.078 | Train Loss: 138.96184781193733 || Teste acc: 83.56 | Teste Loss: 49.08739149570465
47 Train acc: 88.282 | Train Loss: 136.4977863430977 || Teste acc: 82.54 | Teste Loss: 53.456694543361664
48 Train acc: 88.376 | Train Loss: 134.8209086060524 || Teste acc: 82.88 | Teste Loss: 51.783688217401505
49 Train acc: 88.81 | Train Loss: 130.69662256538868 || Teste acc: 83.15 | Teste Loss: 50.506074354052544
50 Train acc: 89.13 | Train Loss: 126.68911558389664 || Teste acc: 82.59 | Teste Loss: 53.8189500272274
51 Train acc: 89.236 | Train Loss: 125.5226727873087 || Teste acc: 86.1 | Teste Loss: 40.995604515075684
52 Train acc: 89.384 | Train Loss: 123.00733385980129 || Teste acc: 86.73 | Teste Loss: 40.11418206989765
53 Train acc: 89.48 | Train Loss: 122.90735623240471 || Teste acc: 82.55 | Teste Loss: 52.69842812418938
54 Train acc: 89.748 | Train Loss: 117.87121987342834 || Teste acc: 86.94 | Teste Loss: 38.493125066161156
55 Train acc: 89.948 | Train Loss: 116.07164642214775 || Teste acc: 86.16 | Teste Loss: 42.676408529281616
56 Train acc: 90.414 | Train Loss: 111.45962408185005 || Teste acc: 84.12 | Teste Loss: 50.01625093817711
57 Train acc: 90.642 | Train Loss: 107.88941107690334 || Teste acc: 83.05 | Teste Loss: 53.75194364786148
58 Train acc: 90.846 | Train Loss: 107.52541619539261 || Teste acc: 85.49 | Teste Loss: 43.43093028664589
59 Train acc: 90.994 | Train Loss: 104.24792913347483 || Teste acc: 85.84 | Teste Loss: 42.70291164517403
60 Train acc: 91.246 | Train Loss: 101.32755812257528 || Teste acc: 86.1 | Teste Loss: 41.94450278580189
61 Train acc: 91.614 | Train Loss: 97.36615465581417 || Teste acc: 86.22 | Teste Loss: 42.60101592540741
62 Train acc: 91.602 | Train Loss: 97.53387825191021 || Teste acc: 89.75 | Teste Loss: 32.073529690504074
63 Train acc: 92.054 | Train Loss: 91.92649321258068 || Teste acc: 86.43 | Teste Loss: 40.34004029631615
64 Train acc: 92.526 | Train Loss: 86.6087876111269 || Teste acc: 88.5 | Teste Loss: 35.033995628356934
65 Train acc: 92.72 | Train Loss: 85.43762321025133 || Teste acc: 88.26 | Teste Loss: 35.392736837267876
66 Train acc: 92.894 | Train Loss: 82.88250035792589 || Teste acc: 85.1 | Teste Loss: 45.19831629097462
67 Train acc: 93.264 | Train Loss: 78.23299130797386 || Teste acc: 89.62 | Teste Loss: 31.764708653092384
68 Train acc: 93.5 | Train Loss: 75.95241902023554 || Teste acc: 88.81 | Teste Loss: 32.834956631064415
69 Train acc: 94.004 | Train Loss: 70.4482246786356 || Teste acc: 88.88 | Teste Loss: 32.58557316660881
70 Train acc: 94.238 | Train Loss: 67.81135468184948 || Teste acc: 89.31 | Teste Loss: 32.04951211810112
71 Train acc: 94.486 | Train Loss: 64.57521444186568 || Teste acc: 90.14 | Teste Loss: 32.498535089194775
72 Train acc: 94.86 | Train Loss: 60.85141183808446 || Teste acc: 90.54 | Teste Loss: 28.73296283185482
73 Train acc: 95.208 | Train Loss: 56.692542131990194 || Teste acc: 89.87 | Teste Loss: 32.37866997718811
74 Train acc: 95.558 | Train Loss: 51.53624888882041 || Teste acc: 90.38 | Teste Loss: 29.811039991676807
75 Train acc: 95.718 | Train Loss: 50.21648145839572 || Teste acc: 91.09 | Teste Loss: 27.349201276898384
76 Train acc: 96.094 | Train Loss: 46.204757165163755 || Teste acc: 90.5 | Teste Loss: 31.078844510018826
77 Train acc: 96.444 | Train Loss: 42.146585281938314 || Teste acc: 92.4 | Teste Loss: 23.968475975096226
78 Train acc: 96.742 | Train Loss: 38.181293012574315 || Teste acc: 91.3 | Teste Loss: 27.450989477336407
79 Train acc: 97.058 | Train Loss: 34.729555359110236 || Teste acc: 92.07 | Teste Loss: 25.65494456142187
80 Train acc: 97.488 | Train Loss: 30.885646333917975 || Teste acc: 92.07 | Teste Loss: 25.286228194832802
81 Train acc: 97.894 | Train Loss: 25.709637503139675 || Teste acc: 93.06 | Teste Loss: 22.533013865351677
82 Train acc: 98.034 | Train Loss: 23.36661819089204 || Teste acc: 92.84 | Teste Loss: 24.101490631699562
83 Train acc: 98.468 | Train Loss: 19.142049316316843 || Teste acc: 92.83 | Teste Loss: 24.439160533249378
84 Train acc: 98.738 | Train Loss: 16.24406340252608 || Teste acc: 93.42 | Teste Loss: 22.234799776226282
85 Train acc: 99.092 | Train Loss: 12.507485860027373 || Teste acc: 93.86 | Teste Loss: 21.61430523917079
86 Train acc: 99.214 | Train Loss: 11.403329446911812 || Teste acc: 94.2 | Teste Loss: 20.637524593621492
87 Train acc: 99.454 | Train Loss: 8.395628209225833 || Teste acc: 94.29 | Teste Loss: 20.642637941986322
88 Train acc: 99.584 | Train Loss: 6.696954103186727 || Teste acc: 94.63 | Teste Loss: 20.062649827450514
89 Train acc: 99.658 | Train Loss: 6.111242581857368 || Teste acc: 94.64 | Teste Loss: 19.357866190373898
90 Train acc: 99.776 | Train Loss: 4.508088752860203 || Teste acc: 94.8 | Teste Loss: 18.71142065525055
91 Train acc: 99.822 | Train Loss: 4.045380057534203 || Teste acc: 94.66 | Teste Loss: 19.374906580895185
92 Train acc: 99.838 | Train Loss: 3.7186282931361347 || Teste acc: 94.87 | Teste Loss: 18.500088406726718
93 Train acc: 99.892 | Train Loss: 2.9819621853530407 || Teste acc: 94.98 | Teste Loss: 18.516840931028128
94 Train acc: 99.92 | Train Loss: 2.752980048302561 || Teste acc: 94.96 | Teste Loss: 18.33250691741705
95 Train acc: 99.91 | Train Loss: 2.667650077259168 || Teste acc: 95.0 | Teste Loss: 18.28121642395854
96 Train acc: 99.926 | Train Loss: 2.583361258963123 || Teste acc: 94.95 | Teste Loss: 18.257657611742616
97 Train acc: 99.942 | Train Loss: 2.446401917608455 || Teste acc: 95.02 | Teste Loss: 18.051172299310565
98 Train acc: 99.93 | Train Loss: 2.421840420924127 || Teste acc: 94.97 | Teste Loss: 18.173096135258675
99 Train acc: 99.94 | Train Loss: 2.461450673174113 || Teste acc: 94.95 | Teste Loss: 18.30513595417142
101 Train acc: 99.932 | Train Loss: 2.4524684050120413 || Teste acc: 95.0 | Teste Loss: 18.10575246438384
102 Train acc: 99.93 | Train Loss: 2.488831417635083 || Teste acc: 94.92 | Teste Loss: 18.084476195275784
103 Train acc: 99.94 | Train Loss: 2.3611443885602057 || Teste acc: 94.95 | Teste Loss: 18.117389641702175
104 Train acc: 99.938 | Train Loss: 2.4419433015864342 || Teste acc: 95.0 | Teste Loss: 18.047815201804042
105 Train acc: 99.95 | Train Loss: 2.3082948240917176 || Teste acc: 95.06 | Teste Loss: 18.128853090107442
106 Train acc: 99.948 | Train Loss: 2.363688346929848 || Teste acc: 95.1 | Teste Loss: 18.2904889695346362
107 Train acc: 99.934 | Train Loss: 2.4702546414919198 || Teste acc: 94.91 | Teste Loss: 18.26558816060424
108 Train acc: 99.932 | Train Loss: 2.54815323301591 || Teste acc: 94.94 | Teste Loss: 18.0866573043167624
109 Train acc: 99.934 | Train Loss: 2.4945209524594247 || Teste acc: 95.09 | Teste Loss: 18.098323369398713
110 Train acc: 99.906 | Train Loss: 2.7486286917701364 || Teste acc: 95.12 | Teste Loss: 18.212426355108623
111 Train acc: 99.906 | Train Loss: 2.7052054088562727 || Teste acc: 94.87 | Teste Loss: 18.759983425959945
112 Train acc: 99.922 | Train Loss: 2.8427144091110677 || Teste acc: 94.69 | Teste Loss: 20.058841630816465
113 Train acc: 99.826 | Train Loss: 3.576818495988846 || Teste acc: 94.47 | Teste Loss: 21.1013403162360265
114 Train acc: 99.59 | Train Loss: 6.900674185715616 || Teste acc: 93.81 | Teste Loss: 23.28598799929022865
115 Train acc: 98.894 | Train Loss: 14.4264049497433 || Teste acc: 92.65 | Teste Loss: 27.05129971355199865
116 Train acc: 98.182 | Train Loss: 22.95617652591318 || Teste acc: 91.77 | Teste Loss: 29.0091562941670425
117 Train acc: 97.58 | Train Loss: 29.729598350822926 || Teste acc: 92.19 | Teste Loss: 28.3701950088143355
118 Train acc: 97.128 | Train Loss: 35.26227694749832 || Teste acc: 92.05 | Teste Loss: 25.9725330136716375
119 Train acc: 96.216 | Train Loss: 44.52316180057824 || Teste acc: 91.35 | Teste Loss: 27.5655268728733065
120 Train acc: 96.02 | Train Loss: 47.09052392654121 || Teste acc: 90.72 | Teste Loss: 30.55007146298885365
121 Train acc: 95.656 | Train Loss: 51.61314924620092 || Teste acc: 91.52 | Teste Loss: 27.6239940300583845
122 Train acc: 95.52 | Train Loss: 52.69265737012029 || Teste acc: 88.83 | Teste Loss: 36.97419378161430445
123 Train acc: 95.128 | Train Loss: 57.6937167532742 || Teste acc: 89.6 | Teste Loss: 34.520337998867035445
124 Train acc: 94.904 | Train Loss: 59.91795649752021 || Teste acc: 88.41 | Teste Loss: 37.6021511554718445
125 Train acc: 94.638 | Train Loss: 62.420744605362415 || Teste acc: 89.37 | Teste Loss: 33.578091889619835
126 Train acc: 94.376 | Train Loss: 64.40186093747616 || Teste acc: 89.71 | Teste Loss: 31.3890726268291475
127 Train acc: 94.282 | Train Loss: 66.50261951610446 || Teste acc: 88.4 | Teste Loss: 34.28471633791923575
128 Train acc: 94.322 | Train Loss: 67.28031248226762 || Teste acc: 89.76 | Teste Loss: 30.9184084534645085
129 Train acc: 94.112 | Train Loss: 68.57714251428843 || Teste acc: 89.1 | Teste Loss: 33.82574486732483085
130 Train acc: 94.006 | Train Loss: 69.68561743199825 || Teste acc: 87.66 | Teste Loss: 38.9948111474514085
131 Train acc: 93.574 | Train Loss: 75.50175545364618 || Teste acc: 86.93 | Teste Loss: 42.0314438790082985
132 Train acc: 93.412 | Train Loss: 76.92215832695365 || Teste acc: 88.54 | Teste Loss: 35.5026102960109785
133 Train acc: 93.372 | Train Loss: 77.34003233537078 || Teste acc: 86.85 | Teste Loss: 42.8232433348894185
134 Train acc: 93.238 | Train Loss: 79.9009669572115 || Teste acc: 85.5 | Teste Loss: 46.161052197217944185
135 Train acc: 92.954 | Train Loss: 81.6538211479783 || Teste acc: 87.03 | Teste Loss: 41.57155741751194185
136 Train acc: 92.814 | Train Loss: 84.48479722440243 || Teste acc: 86.95 | Teste Loss: 40.8039911985397345
137 Train acc: 92.5 | Train Loss: 86.39081623405218 || Teste acc: 88.17 | Teste Loss: 37.532648757100105345
