
0 Train acc: 36.864 | Train Loss: 662.0133568048477 || Teste acc: 44.44 | Teste Loss: 145.96722078323364
1 Train acc: 54.032 | Train Loss: 496.473176240921 || Teste acc: 51.89 | Teste Loss: 135.27472054958344
2 Train acc: 64.506 | Train Loss: 391.6627667546272 || Teste acc: 60.54 | Teste Loss: 108.74242877960205
3 Train acc: 70.622 | Train Loss: 326.83527582883835 || Teste acc: 68.3 | Teste Loss: 95.61032074689865
4 Train acc: 74.696 | Train Loss: 286.14654460549355 || Teste acc: 65.44 | Teste Loss: 110.72915410995483
5 Train acc: 76.568 | Train Loss: 264.54553681612015 || Teste acc: 67.54 | Teste Loss: 101.27097529172897
6 Train acc: 78.298 | Train Loss: 249.69058474898338 || Teste acc: 74.71 | Teste Loss: 74.70828074216843
7 Train acc: 78.84 | Train Loss: 242.19156235456467 || Teste acc: 68.36 | Teste Loss: 94.26080358028412
8 Train acc: 80.054 | Train Loss: 229.55649760365486 || Teste acc: 67.89 | Teste Loss: 102.98495382070541
9 Train acc: 80.464 | Train Loss: 224.41676166653633 || Teste acc: 73.53 | Teste Loss: 77.57776236534119
10 Train acc: 80.512 | Train Loss: 222.76216703653336 || Teste acc: 73.09 | Teste Loss: 82.5311182141304
11 Train acc: 81.368 | Train Loss: 214.7392019033432 || Teste acc: 75.65 | Teste Loss: 72.19518688321114
12 Train acc: 81.396 | Train Loss: 215.66040164232254 || Teste acc: 74.2 | Teste Loss: 81.38269901275635
13 Train acc: 81.758 | Train Loss: 210.3313128054142 || Teste acc: 71.76 | Teste Loss: 85.4847457408905
14 Train acc: 82.03 | Train Loss: 205.0649402141571 || Teste acc: 79.58 | Teste Loss: 62.63714078068733
15 Train acc: 82.07 | Train Loss: 206.03788164258003 || Teste acc: 76.99 | Teste Loss: 70.03042301535606
16 Train acc: 82.584 | Train Loss: 200.75041268765926 || Teste acc: 79.85 | Teste Loss: 59.29150539636612
17 Train acc: 82.594 | Train Loss: 198.90943068265915 || Teste acc: 74.94 | Teste Loss: 72.10231149196625
18 Train acc: 82.966 | Train Loss: 197.02448439598083 || Teste acc: 74.85 | Teste Loss: 76.32958152890205
19 Train acc: 82.938 | Train Loss: 195.39417245984077 || Teste acc: 77.23 | Teste Loss: 66.74245193600655
20 Train acc: 83.518 | Train Loss: 191.31943452358246 || Teste acc: 81.01 | Teste Loss: 56.056124567985535
21 Train acc: 83.46 | Train Loss: 191.86646550893784 || Teste acc: 71.27 | Teste Loss: 92.65957295894623
22 Train acc: 83.472 | Train Loss: 191.1838494837284 || Teste acc: 79.86 | Teste Loss: 60.06610527634621
23 Train acc: 83.818 | Train Loss: 187.0737527012825 || Teste acc: 65.98 | Teste Loss: 118.81049966812134
24 Train acc: 83.862 | Train Loss: 185.46533027291298 || Teste acc: 75.3 | Teste Loss: 74.51969435811043
25 Train acc: 84.166 | Train Loss: 182.7426124960184 || Teste acc: 79.62 | Teste Loss: 61.85453489422798
26 Train acc: 84.252 | Train Loss: 182.25968760252 || Teste acc: 78.04 | Teste Loss: 68.35415953397751
27 Train acc: 84.398 | Train Loss: 178.282163515687 || Teste acc: 80.73 | Teste Loss: 58.346361458301544
28 Train acc: 84.692 | Train Loss: 178.72335186600685 || Teste acc: 69.62 | Teste Loss: 97.43483203649521
29 Train acc: 84.798 | Train Loss: 175.85765816271305 || Teste acc: 79.56 | Teste Loss: 62.41393965482712
30 Train acc: 84.964 | Train Loss: 174.20860911905766 || Teste acc: 82.17 | Teste Loss: 53.251110881567
31 Train acc: 85.352 | Train Loss: 169.52559639513493 || Teste acc: 82.4 | Teste Loss: 52.493380695581436
32 Train acc: 85.124 | Train Loss: 171.5520898103714 || Teste acc: 77.39 | Teste Loss: 69.05190855264664
33 Train acc: 85.664 | Train Loss: 166.19642966985703 || Teste acc: 80.79 | Teste Loss: 58.26177820563316
34 Train acc: 85.754 | Train Loss: 165.04921254515648 || Teste acc: 76.05 | Teste Loss: 71.38653099536896
35 Train acc: 85.804 | Train Loss: 164.40994407236576 || Teste acc: 73.26 | Teste Loss: 87.36481356620789
36 Train acc: 85.974 | Train Loss: 161.89487558603287 || Teste acc: 74.92 | Teste Loss: 81.71166777610779
37 Train acc: 86.316 | Train Loss: 159.81459805369377 || Teste acc: 83.66 | Teste Loss: 49.9250363111496
38 Train acc: 86.414 | Train Loss: 155.58317185938358 || Teste acc: 80.96 | Teste Loss: 57.922994554042816
39 Train acc: 86.634 | Train Loss: 154.36224000155926 || Teste acc: 74.8 | Teste Loss: 80.8179917037487
40 Train acc: 86.996 | Train Loss: 152.16882355511189 || Teste acc: 68.65 | Teste Loss: 105.91286379098892
41 Train acc: 87.218 | Train Loss: 150.09954583644867 || Teste acc: 78.0 | Teste Loss: 65.2383468747139
42 Train acc: 87.21 | Train Loss: 148.34786641597748 || Teste acc: 78.64 | Teste Loss: 64.83303341269493
43 Train acc: 87.408 | Train Loss: 145.7268803715706 || Teste acc: 83.5 | Teste Loss: 50.12802566587925
44 Train acc: 87.55 | Train Loss: 142.48634228110313 || Teste acc: 83.35 | Teste Loss: 48.93995313346386
45 Train acc: 87.772 | Train Loss: 142.2664031982422 || Teste acc: 85.85 | Teste Loss: 42.54996758699417
46 Train acc: 87.804 | Train Loss: 139.98658427596092 || Teste acc: 81.55 | Teste Loss: 54.09024003148079
47 Train acc: 88.24 | Train Loss: 136.65625654160976 || Teste acc: 84.73 | Teste Loss: 44.82151843607426
48 Train acc: 88.462 | Train Loss: 133.8980250954628 || Teste acc: 83.21 | Teste Loss: 51.1829029917717
49 Train acc: 88.584 | Train Loss: 131.47657246887684 || Teste acc: 81.68 | Teste Loss: 54.57337009906769
50 Train acc: 88.642 | Train Loss: 131.38660514354706 || Teste acc: 83.28 | Teste Loss: 47.538688987493515
51 Train acc: 88.99 | Train Loss: 127.7007396966219 || Teste acc: 84.26 | Teste Loss: 48.642741560935974
52 Train acc: 89.364 | Train Loss: 122.50463724136353 || Teste acc: 83.86 | Teste Loss: 49.15919855237007
53 Train acc: 89.618 | Train Loss: 120.73821380734444 || Teste acc: 87.08 | Teste Loss: 38.72792699933052
54 Train acc: 89.866 | Train Loss: 117.96734606474638 || Teste acc: 85.09 | Teste Loss: 45.28466176986694
55 Train acc: 89.874 | Train Loss: 117.60855901241302 || Teste acc: 87.27 | Teste Loss: 38.02725711464882
56 Train acc: 90.336 | Train Loss: 111.69222547113895 || Teste acc: 85.0 | Teste Loss: 45.75095595419407
57 Train acc: 90.604 | Train Loss: 109.04921728372574 || Teste acc: 86.71 | Teste Loss: 40.22735837101936
58 Train acc: 90.612 | Train Loss: 108.49513557553291 || Teste acc: 86.33 | Teste Loss: 39.77928873896599
59 Train acc: 91.01 | Train Loss: 104.90614045411348 || Teste acc: 87.07 | Teste Loss: 37.75603747367859
60 Train acc: 91.28 | Train Loss: 101.9888846129179 || Teste acc: 84.63 | Teste Loss: 46.3412561416626
61 Train acc: 91.72 | Train Loss: 97.63021968305111 || Teste acc: 87.97 | Teste Loss: 34.679282143712044
62 Train acc: 91.92 | Train Loss: 94.08349496126175 || Teste acc: 87.39 | Teste Loss: 38.215516075491905
63 Train acc: 92.122 | Train Loss: 91.9468025714159 || Teste acc: 87.71 | Teste Loss: 37.32193897664547
64 Train acc: 92.526 | Train Loss: 87.9029725342989 || Teste acc: 87.09 | Teste Loss: 39.54557120800018
65 Train acc: 92.64 | Train Loss: 85.9446913599968 || Teste acc: 88.81 | Teste Loss: 34.65367075800896
66 Train acc: 92.84 | Train Loss: 82.1958570368588 || Teste acc: 87.95 | Teste Loss: 37.25958123803139
67 Train acc: 93.204 | Train Loss: 79.37263774871826 || Teste acc: 89.84 | Teste Loss: 31.89096686989069
68 Train acc: 93.46 | Train Loss: 77.0477602481842 || Teste acc: 89.41 | Teste Loss: 32.95129583775997
69 Train acc: 93.878 | Train Loss: 71.70900711417198 || Teste acc: 90.18 | Teste Loss: 30.23327011615038
70 Train acc: 94.186 | Train Loss: 68.59008338302374 || Teste acc: 89.81 | Teste Loss: 31.678405232727528
71 Train acc: 94.45 | Train Loss: 64.61818561702967 || Teste acc: 89.91 | Teste Loss: 32.12848147004843
72 Train acc: 94.89 | Train Loss: 60.69676722586155 || Teste acc: 90.06 | Teste Loss: 31.101090893149376
73 Train acc: 95.092 | Train Loss: 57.307978458702564 || Teste acc: 88.21 | Teste Loss: 36.06755122542381
74 Train acc: 95.41 | Train Loss: 53.02305771782994 || Teste acc: 91.35 | Teste Loss: 27.665677204728127
75 Train acc: 95.792 | Train Loss: 49.5868503972888 || Teste acc: 90.21 | Teste Loss: 31.62536956369877
76 Train acc: 95.986 | Train Loss: 47.275962829589844 || Teste acc: 91.24 | Teste Loss: 27.281022436916828
77 Train acc: 96.45 | Train Loss: 42.024824038147926 || Teste acc: 91.53 | Teste Loss: 27.47212752699852
78 Train acc: 96.766 | Train Loss: 38.78716487251222 || Teste acc: 91.69 | Teste Loss: 26.25458285957575
79 Train acc: 96.98 | Train Loss: 34.98678884096444 || Teste acc: 91.4 | Teste Loss: 27.49274229258299
80 Train acc: 97.364 | Train Loss: 31.62344915419817 || Teste acc: 91.53 | Teste Loss: 28.1628148406744
81 Train acc: 97.772 | Train Loss: 27.713202955201268 || Teste acc: 92.83 | Teste Loss: 23.453841634094715
82 Train acc: 98.196 | Train Loss: 22.935573659837246 || Teste acc: 93.24 | Teste Loss: 23.498168367892504
83 Train acc: 98.34 | Train Loss: 20.85328413452953 || Teste acc: 92.7 | Teste Loss: 24.587390027940273
84 Train acc: 98.768 | Train Loss: 15.725562882144004 || Teste acc: 93.25 | Teste Loss: 23.880159102380276
85 Train acc: 98.918 | Train Loss: 14.265762231312692 || Teste acc: 93.08 | Teste Loss: 23.46232269331813
86 Train acc: 99.212 | Train Loss: 11.39177701761946 || Teste acc: 93.69 | Teste Loss: 21.815901942551136
87 Train acc: 99.424 | Train Loss: 8.78316387720406 || Teste acc: 93.47 | Teste Loss: 22.873575877398252
88 Train acc: 99.56 | Train Loss: 6.839652090333402 || Teste acc: 94.04 | Teste Loss: 21.443966023623943
89 Train acc: 99.674 | Train Loss: 5.502351636532694 || Teste acc: 94.28 | Teste Loss: 20.42581594735384
90 Train acc: 99.776 | Train Loss: 4.534222724149004 || Teste acc: 94.52 | Teste Loss: 19.921994579955935
91 Train acc: 99.808 | Train Loss: 3.9688327501062304 || Teste acc: 94.61 | Teste Loss: 19.551493076607585
92 Train acc: 99.872 | Train Loss: 3.20020847232081 || Teste acc: 94.82 | Teste Loss: 19.094196872785687
93 Train acc: 99.884 | Train Loss: 3.306321181822568 || Teste acc: 94.75 | Teste Loss: 19.63072992861271
94 Train acc: 99.906 | Train Loss: 2.8681278144940734 || Teste acc: 94.75 | Teste Loss: 19.352840894833207
95 Train acc: 99.94 | Train Loss: 2.5220830326434225 || Teste acc: 94.76 | Teste Loss: 19.221471548080444
96 Train acc: 99.946 | Train Loss: 2.400760635267943 || Teste acc: 94.77 | Teste Loss: 19.421999905258417
97 Train acc: 99.946 | Train Loss: 2.456956538138911 || Teste acc: 94.74 | Teste Loss: 19.627815440297127
98 Train acc: 99.942 | Train Loss: 2.4329313011839986 || Teste acc: 94.81 | Teste Loss: 19.439316380769014
99 Train acc: 99.944 | Train Loss: 2.343973698327318 || Teste acc: 94.8 | Teste Loss: 19.128621373325586
101 Train acc: 99.942 | Train Loss: 2.451309667667374 || Teste acc: 94.8 | Teste Loss: 19.251875752583146
102 Train acc: 99.946 | Train Loss: 2.397037222282961 || Teste acc: 94.76 | Teste Loss: 19.056718481704593
