
0 Train acc: 36.642 | Train Loss: 662.3632211685181 || Teste acc: 44.65 | Teste Loss: 151.13329792022705
1 Train acc: 55.168 | Train Loss: 481.5833484530449 || Teste acc: 59.44 | Teste Loss: 116.59686917066574
2 Train acc: 66.212 | Train Loss: 372.59552043676376 || Teste acc: 63.29 | Teste Loss: 105.81972026824951
3 Train acc: 72.392 | Train Loss: 309.422986805439 || Teste acc: 71.59 | Teste Loss: 84.37870991230011
4 Train acc: 75.556 | Train Loss: 276.354545712471 || Teste acc: 75.44 | Teste Loss: 73.17932391166687
5 Train acc: 77.454 | Train Loss: 257.09042632579803 || Teste acc: 73.6 | Teste Loss: 77.78625562787056
6 Train acc: 78.584 | Train Loss: 244.65925937891006 || Teste acc: 69.04 | Teste Loss: 97.05061227083206
7 Train acc: 79.498 | Train Loss: 235.57928863167763 || Teste acc: 65.67 | Teste Loss: 106.96878987550735
8 Train acc: 79.962 | Train Loss: 230.7484172284603 || Teste acc: 65.45 | Teste Loss: 112.61185586452484
9 Train acc: 80.368 | Train Loss: 226.30726048350334 || Teste acc: 70.25 | Teste Loss: 88.67408967018127
10 Train acc: 80.942 | Train Loss: 217.74297642707825 || Teste acc: 67.05 | Teste Loss: 105.30986267328262
11 Train acc: 81.048 | Train Loss: 215.78208389878273 || Teste acc: 60.88 | Teste Loss: 130.79090613126755
12 Train acc: 81.236 | Train Loss: 214.80869880318642 || Teste acc: 74.52 | Teste Loss: 75.03298032283783
13 Train acc: 81.95 | Train Loss: 209.868942797184 || Teste acc: 73.88 | Teste Loss: 78.67668092250824
14 Train acc: 82.258 | Train Loss: 205.13434812426567 || Teste acc: 65.78 | Teste Loss: 122.68982154130936
15 Train acc: 82.28 | Train Loss: 204.503900796175 || Teste acc: 73.77 | Teste Loss: 84.21171033382416
16 Train acc: 82.448 | Train Loss: 200.06786009669304 || Teste acc: 76.77 | Teste Loss: 69.32161349058151
17 Train acc: 82.83 | Train Loss: 197.8826870918274 || Teste acc: 80.49 | Teste Loss: 57.580701142549515
18 Train acc: 82.924 | Train Loss: 197.0169506072998 || Teste acc: 73.27 | Teste Loss: 76.8715912103653
19 Train acc: 83.038 | Train Loss: 194.23049587011337 || Teste acc: 76.91 | Teste Loss: 68.99106431007385
20 Train acc: 83.426 | Train Loss: 192.7896544635296 || Teste acc: 71.28 | Teste Loss: 93.84963458776474
21 Train acc: 83.688 | Train Loss: 188.3326826840639 || Teste acc: 78.92 | Teste Loss: 62.37844172120094
22 Train acc: 83.574 | Train Loss: 189.05736342072487 || Teste acc: 80.78 | Teste Loss: 56.2839797437191
23 Train acc: 83.768 | Train Loss: 188.09998348355293 || Teste acc: 68.0 | Teste Loss: 112.59191137552261
24 Train acc: 84.028 | Train Loss: 184.59381020069122 || Teste acc: 80.37 | Teste Loss: 57.972545087337494
