
0 Train acc: 39.698 | Train Loss: 633.9691220521927 || Teste acc: 51.15 | Teste Loss: 131.5709000825882
1 Train acc: 59.024 | Train Loss: 448.3855713605881 || Teste acc: 53.24 | Teste Loss: 142.69339454174042
2 Train acc: 68.104 | Train Loss: 353.67067688703537 || Teste acc: 54.48 | Teste Loss: 159.83832502365112
3 Train acc: 73.11 | Train Loss: 299.27551677823067 || Teste acc: 69.39 | Teste Loss: 91.64099383354187
4 Train acc: 75.91 | Train Loss: 273.03287747502327 || Teste acc: 55.09 | Teste Loss: 162.85425698757172
5 Train acc: 77.656 | Train Loss: 256.0820564031601 || Teste acc: 71.24 | Teste Loss: 95.20749741792679
6 Train acc: 78.52 | Train Loss: 244.98008981347084 || Teste acc: 65.04 | Teste Loss: 112.04617565870285
7 Train acc: 79.424 | Train Loss: 234.74322083592415 || Teste acc: 75.76 | Teste Loss: 70.07995167374611
8 Train acc: 80.1 | Train Loss: 229.212043851614 || Teste acc: 74.1 | Teste Loss: 78.21699851751328
9 Train acc: 80.464 | Train Loss: 222.5669855773449 || Teste acc: 78.21 | Teste Loss: 64.6187107861042
10 Train acc: 81.01 | Train Loss: 217.15066012740135 || Teste acc: 72.32 | Teste Loss: 84.26610630750656
11 Train acc: 81.576 | Train Loss: 212.6881823539734 || Teste acc: 66.32 | Teste Loss: 114.90946489572525
12 Train acc: 81.438 | Train Loss: 211.49049997329712 || Teste acc: 73.81 | Teste Loss: 84.57153230905533
13 Train acc: 82.022 | Train Loss: 207.31386256217957 || Teste acc: 73.48 | Teste Loss: 81.86400684714317
14 Train acc: 82.464 | Train Loss: 201.3301323056221 || Teste acc: 72.96 | Teste Loss: 79.45487421751022
15 Train acc: 82.326 | Train Loss: 202.6049519777298 || Teste acc: 75.98 | Teste Loss: 70.09052595496178
16 Train acc: 82.806 | Train Loss: 198.3369837999344 || Teste acc: 75.87 | Teste Loss: 75.56774663925171
17 Train acc: 83.21 | Train Loss: 195.71922692656517 || Teste acc: 73.01 | Teste Loss: 84.87785929441452
18 Train acc: 82.9 | Train Loss: 196.2661770284176 || Teste acc: 74.34 | Teste Loss: 75.93012055754662
19 Train acc: 83.366 | Train Loss: 193.4520764350891 || Teste acc: 78.66 | Teste Loss: 63.84641256928444
20 Train acc: 83.6 | Train Loss: 189.62175434827805 || Teste acc: 80.8 | Teste Loss: 58.148788928985596
21 Train acc: 83.964 | Train Loss: 186.41187742352486 || Teste acc: 76.19 | Teste Loss: 76.93131446838379
22 Train acc: 83.902 | Train Loss: 185.71911600232124 || Teste acc: 75.24 | Teste Loss: 74.62018397450447
23 Train acc: 84.146 | Train Loss: 183.098015204072 || Teste acc: 79.16 | Teste Loss: 63.79718413949013
24 Train acc: 83.966 | Train Loss: 184.09706383943558 || Teste acc: 78.5 | Teste Loss: 64.71428570151329
25 Train acc: 84.368 | Train Loss: 179.4522798359394 || Teste acc: 78.52 | Teste Loss: 65.0871696472168
26 Train acc: 84.59 | Train Loss: 178.4149633347988 || Teste acc: 80.77 | Teste Loss: 54.81866878271103
27 Train acc: 84.704 | Train Loss: 176.16340509057045 || Teste acc: 78.48 | Teste Loss: 63.709452748298645
28 Train acc: 84.934 | Train Loss: 174.87924042344093 || Teste acc: 80.31 | Teste Loss: 57.35572925209999
29 Train acc: 85.282 | Train Loss: 170.50544410943985 || Teste acc: 82.09 | Teste Loss: 53.92227005958557
30 Train acc: 85.242 | Train Loss: 169.2386280298233 || Teste acc: 77.19 | Teste Loss: 69.99407550692558
31 Train acc: 85.338 | Train Loss: 167.43281722068787 || Teste acc: 77.83 | Teste Loss: 66.63301914930344
