
0 Train acc: 36.684 | Train Loss: 661.1678082942963 || Teste acc: 42.71 | Teste Loss: 151.36213076114655
1 Train acc: 56.2 | Train Loss: 472.6814276576042 || Teste acc: 58.39 | Teste Loss: 116.21586269140244
2 Train acc: 66.852 | Train Loss: 367.54635816812515 || Teste acc: 65.99 | Teste Loss: 98.85993874073029
3 Train acc: 73.046 | Train Loss: 302.37426406145096 || Teste acc: 70.96 | Teste Loss: 85.5452292561531
4 Train acc: 75.394 | Train Loss: 277.2254666984081 || Teste acc: 71.95 | Teste Loss: 82.969919860363
5 Train acc: 77.478 | Train Loss: 256.53437638282776 || Teste acc: 70.57 | Teste Loss: 88.79831445217133
6 Train acc: 78.456 | Train Loss: 243.11064931750298 || Teste acc: 72.42 | Teste Loss: 88.44860526919365
7 Train acc: 79.508 | Train Loss: 235.32123386859894 || Teste acc: 73.53 | Teste Loss: 78.84391301870346
8 Train acc: 80.066 | Train Loss: 226.8318066895008 || Teste acc: 70.46 | Teste Loss: 91.90847152471542
9 Train acc: 80.532 | Train Loss: 223.11968445777893 || Teste acc: 66.85 | Teste Loss: 107.88552445173264
10 Train acc: 81.136 | Train Loss: 217.1520178616047 || Teste acc: 72.07 | Teste Loss: 85.35184305906296
11 Train acc: 81.308 | Train Loss: 215.37524756789207 || Teste acc: 72.31 | Teste Loss: 87.48427933454514
12 Train acc: 81.876 | Train Loss: 208.96244204044342 || Teste acc: 77.65 | Teste Loss: 65.27667304873466
13 Train acc: 81.802 | Train Loss: 208.30655363202095 || Teste acc: 72.03 | Teste Loss: 87.68511182069778
14 Train acc: 81.92 | Train Loss: 207.60362046957016 || Teste acc: 71.58 | Teste Loss: 93.74302142858505
15 Train acc: 82.61 | Train Loss: 201.07351860404015 || Teste acc: 74.74 | Teste Loss: 77.45240619778633
16 Train acc: 82.758 | Train Loss: 201.98311331868172 || Teste acc: 75.38 | Teste Loss: 73.31375563144684
17 Train acc: 83.05 | Train Loss: 196.98271262645721 || Teste acc: 70.67 | Teste Loss: 95.38669031858444
18 Train acc: 82.824 | Train Loss: 196.8350411951542 || Teste acc: 76.87 | Teste Loss: 68.63640913367271
19 Train acc: 83.374 | Train Loss: 193.56401017308235 || Teste acc: 75.55 | Teste Loss: 76.18527492880821
20 Train acc: 83.358 | Train Loss: 192.7568621635437 || Teste acc: 79.05 | Teste Loss: 60.60060375928879
21 Train acc: 83.438 | Train Loss: 191.10639548301697 || Teste acc: 74.85 | Teste Loss: 72.91664588451385
22 Train acc: 83.576 | Train Loss: 189.4717635512352 || Teste acc: 73.94 | Teste Loss: 74.34038490056992
23 Train acc: 84.03 | Train Loss: 184.94260203838348 || Teste acc: 70.16 | Teste Loss: 96.73266506195068
24 Train acc: 84.156 | Train Loss: 184.79384633898735 || Teste acc: 80.96 | Teste Loss: 57.480098485946655
25 Train acc: 84.074 | Train Loss: 183.25586932897568 || Teste acc: 70.63 | Teste Loss: 92.14124900102615
26 Train acc: 84.468 | Train Loss: 179.31240141391754 || Teste acc: 81.97 | Teste Loss: 53.36374920606613
27 Train acc: 84.624 | Train Loss: 179.16807943582535 || Teste acc: 79.65 | Teste Loss: 59.64105013012886
28 Train acc: 84.462 | Train Loss: 176.88883656263351 || Teste acc: 67.4 | Teste Loss: 105.73405492305756
29 Train acc: 85.374 | Train Loss: 171.3825678229332 || Teste acc: 78.12 | Teste Loss: 66.27608335018158
30 Train acc: 84.97 | Train Loss: 174.65725445747375 || Teste acc: 79.09 | Teste Loss: 62.3652041554451
31 Train acc: 85.148 | Train Loss: 171.05532789230347 || Teste acc: 71.85 | Teste Loss: 88.58050292730331
32 Train acc: 85.654 | Train Loss: 166.46187618374825 || Teste acc: 72.53 | Teste Loss: 89.8509686589241
33 Train acc: 85.922 | Train Loss: 163.15224774181843 || Teste acc: 75.71 | Teste Loss: 78.18670707941055
34 Train acc: 85.81 | Train Loss: 164.69780445098877 || Teste acc: 80.06 | Teste Loss: 59.39930722117424
35 Train acc: 86.09 | Train Loss: 162.3174598813057 || Teste acc: 84.3 | Teste Loss: 47.85592821240425
36 Train acc: 86.262 | Train Loss: 161.48704996705055 || Teste acc: 81.05 | Teste Loss: 58.83470919728279
37 Train acc: 86.39 | Train Loss: 157.00895914435387 || Teste acc: 81.95 | Teste Loss: 54.894608825445175
38 Train acc: 86.56 | Train Loss: 155.38617457449436 || Teste acc: 81.66 | Teste Loss: 55.23536738753319
39 Train acc: 86.574 | Train Loss: 155.36725981533527 || Teste acc: 83.56 | Teste Loss: 48.92356778681278
40 Train acc: 86.694 | Train Loss: 153.28778095543385 || Teste acc: 81.45 | Teste Loss: 55.91706168651581
41 Train acc: 87.0 | Train Loss: 151.55606876313686 || Teste acc: 82.25 | Teste Loss: 54.92941388487816
42 Train acc: 87.256 | Train Loss: 148.5334868580103 || Teste acc: 82.55 | Teste Loss: 51.809900522232056
43 Train acc: 87.432 | Train Loss: 144.7161151766777 || Teste acc: 80.08 | Teste Loss: 62.45493111014366
44 Train acc: 87.788 | Train Loss: 141.3676816225052 || Teste acc: 82.71 | Teste Loss: 52.01604849100113
45 Train acc: 87.79 | Train Loss: 141.9524608105421 || Teste acc: 84.43 | Teste Loss: 48.031033009290695
46 Train acc: 87.926 | Train Loss: 139.12664191424847 || Teste acc: 83.13 | Teste Loss: 49.578876197338104
47 Train acc: 88.218 | Train Loss: 136.20485918223858 || Teste acc: 79.6 | Teste Loss: 62.09861731529236
48 Train acc: 88.548 | Train Loss: 132.31968761980534 || Teste acc: 81.47 | Teste Loss: 59.83742433786392
49 Train acc: 88.546 | Train Loss: 132.58570271730423 || Teste acc: 79.41 | Teste Loss: 64.95430678129196
50 Train acc: 88.912 | Train Loss: 128.19430996477604 || Teste acc: 82.61 | Teste Loss: 50.09074693918228
51 Train acc: 88.962 | Train Loss: 127.11439409852028 || Teste acc: 80.72 | Teste Loss: 58.66295176744461
52 Train acc: 89.25 | Train Loss: 124.76591412723064 || Teste acc: 82.48 | Teste Loss: 52.20729041099548
53 Train acc: 89.506 | Train Loss: 120.77626025676727 || Teste acc: 85.85 | Teste Loss: 41.32638767361641
54 Train acc: 89.692 | Train Loss: 120.0837893486023 || Teste acc: 85.25 | Teste Loss: 42.57966864109039
55 Train acc: 90.268 | Train Loss: 114.69863405823708 || Teste acc: 81.62 | Teste Loss: 55.683567583560944
56 Train acc: 90.126 | Train Loss: 113.53497141599655 || Teste acc: 86.91 | Teste Loss: 38.60699796676636
57 Train acc: 90.608 | Train Loss: 110.2504982277751 || Teste acc: 87.45 | Teste Loss: 37.001340851187706
58 Train acc: 90.964 | Train Loss: 105.74953334778547 || Teste acc: 85.59 | Teste Loss: 43.496896490454674
59 Train acc: 91.07 | Train Loss: 102.82812491059303 || Teste acc: 84.48 | Teste Loss: 48.7531601190567
60 Train acc: 91.342 | Train Loss: 101.30421259254217 || Teste acc: 87.08 | Teste Loss: 39.30410327017307
61 Train acc: 91.632 | Train Loss: 97.44593051075935 || Teste acc: 87.87 | Teste Loss: 37.15002225339413
62 Train acc: 91.776 | Train Loss: 94.78349748253822 || Teste acc: 86.79 | Teste Loss: 40.41010770201683
63 Train acc: 92.098 | Train Loss: 93.0650430098176 || Teste acc: 88.6 | Teste Loss: 36.255419954657555
64 Train acc: 92.34 | Train Loss: 88.64053153991699 || Teste acc: 88.08 | Teste Loss: 35.52656301856041
65 Train acc: 92.592 | Train Loss: 85.32822050899267 || Teste acc: 84.04 | Teste Loss: 49.699465334415436
66 Train acc: 93.084 | Train Loss: 82.4203346259892 || Teste acc: 89.47 | Teste Loss: 32.32201609015465
67 Train acc: 93.332 | Train Loss: 75.88063123077154 || Teste acc: 90.12 | Teste Loss: 30.823192909359932
68 Train acc: 93.558 | Train Loss: 75.98935502022505 || Teste acc: 89.53 | Teste Loss: 32.36059233546257
69 Train acc: 93.582 | Train Loss: 74.2934913188219 || Teste acc: 89.87 | Teste Loss: 30.51994177699089
70 Train acc: 94.204 | Train Loss: 67.49904946237803 || Teste acc: 90.97 | Teste Loss: 27.30448690801859
71 Train acc: 94.448 | Train Loss: 64.55269227549434 || Teste acc: 89.71 | Teste Loss: 32.26097521185875
72 Train acc: 94.71 | Train Loss: 62.465833090245724 || Teste acc: 89.72 | Teste Loss: 31.26319956034422
73 Train acc: 95.148 | Train Loss: 57.755986515432596 || Teste acc: 88.65 | Teste Loss: 36.42498642206192
74 Train acc: 95.508 | Train Loss: 53.22528002411127 || Teste acc: 91.67 | Teste Loss: 26.396240450441837
75 Train acc: 95.696 | Train Loss: 50.83318429067731 || Teste acc: 91.35 | Teste Loss: 26.437191680073738
76 Train acc: 96.202 | Train Loss: 45.215720331296325 || Teste acc: 91.34 | Teste Loss: 27.47009452432394
77 Train acc: 96.308 | Train Loss: 43.42898749373853 || Teste acc: 91.93 | Teste Loss: 24.11669433116913
78 Train acc: 96.844 | Train Loss: 37.32240360416472 || Teste acc: 92.24 | Teste Loss: 25.288212433457375
79 Train acc: 97.252 | Train Loss: 33.70943785086274 || Teste acc: 91.89 | Teste Loss: 26.29813215136528
80 Train acc: 97.24 | Train Loss: 32.18521302007139 || Teste acc: 91.85 | Teste Loss: 27.792990118265152
81 Train acc: 97.774 | Train Loss: 27.858421636745334 || Teste acc: 92.23 | Teste Loss: 25.90084183216095
82 Train acc: 98.094 | Train Loss: 24.22331166267395 || Teste acc: 92.58 | Teste Loss: 24.242215670645237
83 Train acc: 98.436 | Train Loss: 19.704270699527115 || Teste acc: 92.87 | Teste Loss: 24.051367729902267
84 Train acc: 98.642 | Train Loss: 17.432482233271003 || Teste acc: 93.35 | Teste Loss: 22.31847906112671
85 Train acc: 98.924 | Train Loss: 14.435355660039932 || Teste acc: 93.17 | Teste Loss: 23.418893173336983
86 Train acc: 99.176 | Train Loss: 11.632066843565553 || Teste acc: 94.31 | Teste Loss: 20.217482842504978
87 Train acc: 99.268 | Train Loss: 10.099638633895665 || Teste acc: 93.85 | Teste Loss: 20.676674470305443
88 Train acc: 99.508 | Train Loss: 7.697743085445836 || Teste acc: 94.22 | Teste Loss: 20.241098877042532
89 Train acc: 99.638 | Train Loss: 5.9796616598032415 || Teste acc: 94.46 | Teste Loss: 19.605776784941554
90 Train acc: 99.788 | Train Loss: 4.7521346404682845 || Teste acc: 94.73 | Teste Loss: 19.055961102247238
91 Train acc: 99.816 | Train Loss: 4.002901496132836 || Teste acc: 94.8 | Teste Loss: 18.49612483382225
92 Train acc: 99.842 | Train Loss: 3.810487705981359 || Teste acc: 94.77 | Teste Loss: 18.06001089513302
93 Train acc: 99.9 | Train Loss: 3.0712129278108478 || Teste acc: 94.84 | Teste Loss: 17.929496183991432
94 Train acc: 99.912 | Train Loss: 2.7821560916490853 || Teste acc: 94.91 | Teste Loss: 17.81755973212421
95 Train acc: 99.936 | Train Loss: 2.555026253219694 || Teste acc: 94.89 | Teste Loss: 17.945659648627043
96 Train acc: 99.942 | Train Loss: 2.519735821057111 || Teste acc: 95.0 | Teste Loss: 17.724919203668833
97 Train acc: 99.908 | Train Loss: 2.636805425863713 || Teste acc: 95.0 | Teste Loss: 17.624055568128824
98 Train acc: 99.924 | Train Loss: 2.544890400953591 || Teste acc: 94.94 | Teste Loss: 17.650827085599303
99 Train acc: 99.958 | Train Loss: 2.4583046075422317 || Teste acc: 95.09 | Teste Loss: 17.73839494213462
101 Train acc: 99.95 | Train Loss: 2.422213408863172 || Teste acc: 95.07 | Teste Loss: 17.631726576015353
102 Train acc: 99.958 | Train Loss: 2.3299293192103505 || Teste acc: 94.99 | Teste Loss: 17.78280639089644
103 Train acc: 99.932 | Train Loss: 2.6319299160968512 || Teste acc: 94.96 | Teste Loss: 17.68273687735244
104 Train acc: 99.95 | Train Loss: 2.4588002909440547 || Teste acc: 95.13 | Teste Loss: 17.596720121800944
105 Train acc: 99.946 | Train Loss: 2.494308881694451 || Teste acc: 95.02 | Teste Loss: 17.711885033175354
106 Train acc: 99.928 | Train Loss: 2.5749408041592687 || Teste acc: 95.04 | Teste Loss: 17.769701961427927
107 Train acc: 99.934 | Train Loss: 2.5922818235121667 || Teste acc: 94.99 | Teste Loss: 17.888942267745733
108 Train acc: 99.93 | Train Loss: 2.5222543061245233 || Teste acc: 94.93 | Teste Loss: 18.3223193809390073
109 Train acc: 99.95 | Train Loss: 2.312392197083682 || Teste acc: 94.93 | Teste Loss: 18.74468511715531373
110 Train acc: 99.912 | Train Loss: 2.7278738680761307 || Teste acc: 94.82 | Teste Loss: 18.913094950839877
111 Train acc: 99.888 | Train Loss: 3.029489289270714 || Teste acc: 94.88 | Teste Loss: 18.7866224665194757
112 Train acc: 99.902 | Train Loss: 3.3055790471844375 || Teste acc: 94.74 | Teste Loss: 18.886726427823305
113 Train acc: 99.832 | Train Loss: 4.098615095485002 || Teste acc: 94.27 | Teste Loss: 21.4572130627930165
114 Train acc: 99.53 | Train Loss: 7.352884097956121 || Teste acc: 93.66 | Teste Loss: 23.61649775132537165
115 Train acc: 98.866 | Train Loss: 15.045705467928201 || Teste acc: 92.47 | Teste Loss: 27.368323244154453
116 Train acc: 98.168 | Train Loss: 23.00057287234813 || Teste acc: 92.48 | Teste Loss: 25.8556007221341133
117 Train acc: 97.396 | Train Loss: 31.851412147283554 || Teste acc: 91.94 | Teste Loss: 27.325004398822784
118 Train acc: 96.968 | Train Loss: 37.205297181382775 || Teste acc: 91.04 | Teste Loss: 30.426866918802264
119 Train acc: 96.306 | Train Loss: 43.72010546736419 || Teste acc: 91.39 | Teste Loss: 27.5317963361740164
120 Train acc: 96.17 | Train Loss: 46.44301439449191 || Teste acc: 91.55 | Teste Loss: 27.80549867451191164
121 Train acc: 95.66 | Train Loss: 51.74529114738107 || Teste acc: 88.26 | Teste Loss: 39.68233779072761564
122 Train acc: 95.288 | Train Loss: 55.566427901387215 || Teste acc: 89.19 | Teste Loss: 34.444967702031136
123 Train acc: 95.164 | Train Loss: 56.88907973840833 || Teste acc: 88.56 | Teste Loss: 37.7194694727659236
124 Train acc: 94.946 | Train Loss: 59.220945324748755 || Teste acc: 89.54 | Teste Loss: 33.848765358328826
125 Train acc: 94.614 | Train Loss: 62.46983191743493 || Teste acc: 89.44 | Teste Loss: 33.7893869876861626
126 Train acc: 94.65 | Train Loss: 63.896764282137156 || Teste acc: 88.72 | Teste Loss: 37.2500521466136626
127 Train acc: 94.304 | Train Loss: 66.61980257555842 || Teste acc: 87.91 | Teste Loss: 38.9598179906606726
128 Train acc: 94.168 | Train Loss: 68.56939678639174 || Teste acc: 88.91 | Teste Loss: 35.5902371108531956
129 Train acc: 94.062 | Train Loss: 69.99132885038853 || Teste acc: 89.58 | Teste Loss: 32.2357801198959356
130 Train acc: 93.826 | Train Loss: 71.89589387923479 || Teste acc: 87.44 | Teste Loss: 40.5781664848327646
131 Train acc: 93.608 | Train Loss: 74.61096117645502 || Teste acc: 89.94 | Teste Loss: 31.2599056512117446
132 Train acc: 93.312 | Train Loss: 77.50896111875772 || Teste acc: 86.05 | Teste Loss: 43.8981423527002346
133 Train acc: 93.254 | Train Loss: 78.10024380683899 || Teste acc: 88.07 | Teste Loss: 36.2669554650783546
134 Train acc: 93.016 | Train Loss: 80.35972407460213 || Teste acc: 83.49 | Teste Loss: 53.5899415016174346
135 Train acc: 92.974 | Train Loss: 82.82763417065144 || Teste acc: 88.16 | Teste Loss: 35.8866760134696966
136 Train acc: 92.888 | Train Loss: 83.16120633482933 || Teste acc: 88.2 | Teste Loss: 36.94747668504715966
137 Train acc: 92.534 | Train Loss: 87.32641213387251 || Teste acc: 85.46 | Teste Loss: 46.2103879153728566
138 Train acc: 92.36 | Train Loss: 88.81936084479094 || Teste acc: 86.87 | Teste Loss: 40.45310619473457566
139 Train acc: 92.28 | Train Loss: 91.09304394572973 || Teste acc: 82.52 | Teste Loss: 56.07441833615303566
140 Train acc: 91.99 | Train Loss: 93.64794860035181 || Teste acc: 87.6 | Teste Loss: 36.973011359572413566
141 Train acc: 91.786 | Train Loss: 95.56298813223839 || Teste acc: 85.06 | Teste Loss: 47.7528467774391266
142 Train acc: 91.51 | Train Loss: 98.82225208729506 || Teste acc: 85.35 | Teste Loss: 46.14446647465229266
143 Train acc: 91.62 | Train Loss: 99.29857243597507 || Teste acc: 87.23 | Teste Loss: 38.10507366061210666
144 Train acc: 91.332 | Train Loss: 101.49421507120132 || Teste acc: 85.97 | Teste Loss: 44.120390459895134
145 Train acc: 90.868 | Train Loss: 106.6153642386198 || Teste acc: 86.17 | Teste Loss: 42.1081561893224734
146 Train acc: 90.286 | Train Loss: 110.93650697171688 || Teste acc: 81.88 | Teste Loss: 54.191191226243974
147 Train acc: 90.78 | Train Loss: 107.57253343611956 || Teste acc: 85.85 | Teste Loss: 43.6619709283113574
148 Train acc: 90.338 | Train Loss: 112.15556792914867 || Teste acc: 85.05 | Teste Loss: 45.924482703208924
149 Train acc: 89.912 | Train Loss: 116.9965997710824 || Teste acc: 81.91 | Teste Loss: 55.7563034594059924
150 Train acc: 89.976 | Train Loss: 117.73865784704685 || Teste acc: 87.37 | Teste Loss: 38.477795332670214
151 Train acc: 89.748 | Train Loss: 118.86846086382866 || Teste acc: 78.03 | Teste Loss: 70.701216340065214
152 Train acc: 89.572 | Train Loss: 120.38429796695709 || Teste acc: 85.18 | Teste Loss: 43.215935245156294
153 Train acc: 89.498 | Train Loss: 123.85926713049412 || Teste acc: 86.3 | Teste Loss: 42.0235359668731794
154 Train acc: 89.148 | Train Loss: 125.33768311142921 || Teste acc: 79.65 | Teste Loss: 62.200670003890994
155 Train acc: 89.092 | Train Loss: 127.87159830331802 || Teste acc: 79.29 | Teste Loss: 64.823634475469594
156 Train acc: 88.79 | Train Loss: 130.27021777629852 || Teste acc: 84.35 | Teste Loss: 47.1268965601921194
157 Train acc: 88.686 | Train Loss: 130.494867131114 || Teste acc: 83.15 | Teste Loss: 52.14874148368835494
158 Train acc: 88.464 | Train Loss: 134.5527382194996 || Teste acc: 80.48 | Teste Loss: 59.6598806381225694
159 Train acc: 88.418 | Train Loss: 136.5954356044531 || Teste acc: 82.66 | Teste Loss: 55.7973912954330444
160 Train acc: 88.026 | Train Loss: 138.4945505708456 || Teste acc: 81.57 | Teste Loss: 56.1710338294506144
161 Train acc: 87.994 | Train Loss: 141.1117572337389 || Teste acc: 84.85 | Teste Loss: 45.3844967782497444
162 Train acc: 87.86 | Train Loss: 139.45399197936058 || Teste acc: 82.46 | Teste Loss: 54.0589927136898044
163 Train acc: 87.748 | Train Loss: 142.42433680593967 || Teste acc: 77.62 | Teste Loss: 68.989193528890614
164 Train acc: 87.442 | Train Loss: 146.00707687437534 || Teste acc: 81.41 | Teste Loss: 53.925562828779224
165 Train acc: 87.404 | Train Loss: 146.5275264084339 || Teste acc: 76.99 | Teste Loss: 69.1153348386287724
166 Train acc: 87.204 | Train Loss: 150.2606867402792 || Teste acc: 79.66 | Teste Loss: 63.7562999725341824
167 Train acc: 87.19 | Train Loss: 148.70635014772415 || Teste acc: 81.1 | Teste Loss: 57.94177696108818824
168 Train acc: 86.878 | Train Loss: 152.03510405123234 || Teste acc: 81.2 | Teste Loss: 57.9905020892620124
169 Train acc: 86.914 | Train Loss: 152.20572692155838 || Teste acc: 81.16 | Teste Loss: 56.219484776258474
170 Train acc: 86.53 | Train Loss: 155.77714310586452 || Teste acc: 79.32 | Teste Loss: 65.8976069092750574
171 Train acc: 86.314 | Train Loss: 158.34064066410065 || Teste acc: 81.2 | Teste Loss: 60.4126702100038574
172 Train acc: 86.442 | Train Loss: 157.80451421439648 || Teste acc: 80.99 | Teste Loss: 59.195326268672944
173 Train acc: 86.23 | Train Loss: 159.77946251630783 || Teste acc: 69.15 | Teste Loss: 109.914766132831574
174 Train acc: 85.984 | Train Loss: 162.6435480862856 || Teste acc: 70.94 | Teste Loss: 89.0983197093011574
175 Train acc: 86.218 | Train Loss: 159.9896123856306 || Teste acc: 72.6 | Teste Loss: 81.96614825725555574
176 Train acc: 85.842 | Train Loss: 163.56060917675495 || Teste acc: 69.18 | Teste Loss: 108.38356238603592
177 Train acc: 86.17 | Train Loss: 161.2834064513445 || Teste acc: 79.48 | Teste Loss: 62.44111186265945492
178 Train acc: 85.278 | Train Loss: 168.9000241458416 || Teste acc: 76.1 | Teste Loss: 75.85606700181961492
179 Train acc: 85.602 | Train Loss: 167.54203325510025 || Teste acc: 77.03 | Teste Loss: 70.303291916847232
180 Train acc: 85.668 | Train Loss: 166.6780195236206 || Teste acc: 80.14 | Teste Loss: 60.3412284255027832
181 Train acc: 85.356 | Train Loss: 168.96755623817444 || Teste acc: 79.86 | Teste Loss: 62.319687008857732
182 Train acc: 85.252 | Train Loss: 169.9524059742689 || Teste acc: 78.8 | Teste Loss: 63.29562819004059732
183 Train acc: 85.086 | Train Loss: 172.14540527760983 || Teste acc: 73.77 | Teste Loss: 83.882911920547492
184 Train acc: 85.458 | Train Loss: 169.46734197437763 || Teste acc: 72.25 | Teste Loss: 87.932069718837742
185 Train acc: 85.126 | Train Loss: 172.43845795094967 || Teste acc: 74.6 | Teste Loss: 75.7266676127910642
186 Train acc: 84.808 | Train Loss: 174.0429099202156 || Teste acc: 73.97 | Teste Loss: 84.7661603689193742
187 Train acc: 84.686 | Train Loss: 176.59406679868698 || Teste acc: 78.17 | Teste Loss: 67.311604946851732
188 Train acc: 84.668 | Train Loss: 174.64567467570305 || Teste acc: 67.94 | Teste Loss: 106.20100331306458
189 Train acc: 85.008 | Train Loss: 174.48827509582043 || Teste acc: 79.8 | Teste Loss: 58.9221247732639358
190 Train acc: 84.82 | Train Loss: 176.84217551350594 || Teste acc: 80.9 | Teste Loss: 57.63582399487495458
191 Train acc: 84.732 | Train Loss: 176.72792622447014 || Teste acc: 78.66 | Teste Loss: 63.757751345634468
192 Train acc: 84.716 | Train Loss: 176.1212239563465 || Teste acc: 77.04 | Teste Loss: 72.1353780627250768
