
0 Train acc: 36.444 | Train Loss: 661.9841071367264 || Teste acc: 39.31 | Teste Loss: 202.5391969680786
1 Train acc: 56.698 | Train Loss: 465.7536382675171 || Teste acc: 49.94 | Teste Loss: 143.07735061645508
2 Train acc: 67.7 | Train Loss: 357.9758614897728 || Teste acc: 68.12 | Teste Loss: 91.14058446884155
3 Train acc: 73.808 | Train Loss: 298.06727409362793 || Teste acc: 69.77 | Teste Loss: 89.1040363907814
4 Train acc: 76.09 | Train Loss: 271.9134330749512 || Teste acc: 67.83 | Teste Loss: 96.34462451934814
5 Train acc: 77.654 | Train Loss: 254.78495866060257 || Teste acc: 69.42 | Teste Loss: 92.58356839418411
6 Train acc: 78.872 | Train Loss: 241.9403134584427 || Teste acc: 74.64 | Teste Loss: 75.82362759113312
7 Train acc: 79.624 | Train Loss: 234.88800463080406 || Teste acc: 73.85 | Teste Loss: 77.15773206949234
8 Train acc: 79.952 | Train Loss: 230.7378404736519 || Teste acc: 76.8 | Teste Loss: 70.58486413955688
9 Train acc: 80.648 | Train Loss: 221.84702667593956 || Teste acc: 74.59 | Teste Loss: 75.55720910429955
10 Train acc: 81.1 | Train Loss: 218.10720318555832 || Teste acc: 68.75 | Teste Loss: 94.71349662542343
11 Train acc: 81.168 | Train Loss: 215.15493193268776 || Teste acc: 70.2 | Teste Loss: 89.74284303188324
12 Train acc: 81.604 | Train Loss: 212.22546166181564 || Teste acc: 71.83 | Teste Loss: 80.15631777048111
13 Train acc: 82.022 | Train Loss: 208.86325562000275 || Teste acc: 77.24 | Teste Loss: 64.95311710238457
14 Train acc: 81.982 | Train Loss: 206.94582331180573 || Teste acc: 75.37 | Teste Loss: 74.36237174272537

15 Train acc: 82.28 | Train Loss: 202.59314692020416 || Teste acc: 78.07 | Teste Loss: 66.06026795506477
16 Train acc: 82.812 | Train Loss: 197.45004838705063 || Teste acc: 75.41 | Teste Loss: 75.45770332217216
17 Train acc: 83.048 | Train Loss: 194.85496360063553 || Teste acc: 76.97 | Teste Loss: 66.78055149316788
18 Train acc: 82.88 | Train Loss: 196.13639721274376 || Teste acc: 76.84 | Teste Loss: 67.86101740598679
19 Train acc: 83.432 | Train Loss: 191.89627820253372 || Teste acc: 77.87 | Teste Loss: 66.60012623667717
20 Train acc: 83.61 | Train Loss: 189.6448324918747 || Teste acc: 77.47 | Teste Loss: 66.08144411444664
21 Train acc: 83.382 | Train Loss: 190.4047206044197 || Teste acc: 80.04 | Teste Loss: 59.55087608098984
22 Train acc: 83.974 | Train Loss: 185.04391315579414 || Teste acc: 78.31 | Teste Loss: 67.10653698444366
23 Train acc: 84.062 | Train Loss: 184.82289358973503 || Teste acc: 79.38 | Teste Loss: 62.44340315461159
24 Train acc: 84.074 | Train Loss: 183.5954769551754 || Teste acc: 71.81 | Teste Loss: 88.02031552791595
25 Train acc: 84.438 | Train Loss: 179.86076951026917 || Teste acc: 71.2 | Teste Loss: 101.25430852174759
26 Train acc: 84.696 | Train Loss: 178.1659869402647 || Teste acc: 80.27 | Teste Loss: 58.08781251311302
27 Train acc: 84.558 | Train Loss: 178.41858813166618 || Teste acc: 79.12 | Teste Loss: 63.82451221346855
28 Train acc: 84.734 | Train Loss: 175.9306738972664 || Teste acc: 79.89 | Teste Loss: 59.628562450408936
29 Train acc: 85.022 | Train Loss: 172.02891290187836 || Teste acc: 77.53 | Teste Loss: 68.31832846999168
30 Train acc: 85.038 | Train Loss: 172.50716064870358 || Teste acc: 79.13 | Teste Loss: 60.66910934448242
31 Train acc: 85.548 | Train Loss: 168.74596682190895 || Teste acc: 79.62 | Teste Loss: 58.05865886807442
32 Train acc: 85.544 | Train Loss: 168.55329896509647 || Teste acc: 78.54 | Teste Loss: 66.78021213412285
33 Train acc: 85.57 | Train Loss: 166.84703096747398 || Teste acc: 72.95 | Teste Loss: 81.71242129802704
34 Train acc: 85.844 | Train Loss: 163.8802684545517 || Teste acc: 81.27 | Teste Loss: 57.12988042831421
35 Train acc: 85.902 | Train Loss: 163.03289145231247 || Teste acc: 79.8 | Teste Loss: 62.158190846443176
36 Train acc: 86.48 | Train Loss: 158.07527077198029 || Teste acc: 79.21 | Teste Loss: 62.045221865177155
37 Train acc: 86.486 | Train Loss: 157.34852901101112 || Teste acc: 81.68 | Teste Loss: 55.3628406226635
38 Train acc: 86.574 | Train Loss: 155.0965594947338 || Teste acc: 80.83 | Teste Loss: 57.55559703707695
39 Train acc: 86.79 | Train Loss: 154.41758207976818 || Teste acc: 82.46 | Teste Loss: 52.46579796075821
40 Train acc: 87.144 | Train Loss: 150.7722241729498 || Teste acc: 79.19 | Teste Loss: 64.55197733640671
41 Train acc: 87.146 | Train Loss: 149.4486702978611 || Teste acc: 77.29 | Teste Loss: 71.00433447957039
42 Train acc: 87.276 | Train Loss: 146.94192050397396 || Teste acc: 83.82 | Teste Loss: 47.4820159971714
43 Train acc: 87.554 | Train Loss: 144.6035433858633 || Teste acc: 81.32 | Teste Loss: 59.30238036811352
