
0 Train acc: 39.16 | Train Loss: 637.7875872850418 || Teste acc: 44.44 | Teste Loss: 158.23994636535645
1 Train acc: 59.178 | Train Loss: 443.38392758369446 || Teste acc: 57.25 | Teste Loss: 119.14856404066086
2 Train acc: 68.27 | Train Loss: 351.2359492778778 || Teste acc: 66.28 | Teste Loss: 101.24272125959396
3 Train acc: 73.192 | Train Loss: 299.9247754216194 || Teste acc: 69.81 | Teste Loss: 86.85067909955978
4 Train acc: 76.03 | Train Loss: 272.74515783786774 || Teste acc: 71.62 | Teste Loss: 84.09091144800186
5 Train acc: 77.472 | Train Loss: 256.2988427877426 || Teste acc: 69.32 | Teste Loss: 90.02444189786911
6 Train acc: 78.508 | Train Loss: 246.2006931900978 || Teste acc: 70.94 | Teste Loss: 83.81986939907074
7 Train acc: 79.374 | Train Loss: 235.25550991296768 || Teste acc: 68.14 | Teste Loss: 95.55837321281433
8 Train acc: 79.948 | Train Loss: 229.18865859508514 || Teste acc: 68.42 | Teste Loss: 100.44617307186127
9 Train acc: 80.276 | Train Loss: 224.89582413434982 || Teste acc: 67.44 | Teste Loss: 104.90663605928421
10 Train acc: 80.652 | Train Loss: 220.75424414873123 || Teste acc: 65.23 | Teste Loss: 110.15081107616425
11 Train acc: 81.344 | Train Loss: 213.69095087051392 || Teste acc: 69.21 | Teste Loss: 92.42204558849335
12 Train acc: 81.678 | Train Loss: 210.8308320939541 || Teste acc: 75.78 | Teste Loss: 68.84590467810631
13 Train acc: 81.482 | Train Loss: 212.85352611541748 || Teste acc: 77.85 | Teste Loss: 65.99879544973373
14 Train acc: 82.102 | Train Loss: 205.87626937031746 || Teste acc: 72.14 | Teste Loss: 87.50195741653442
15 Train acc: 82.66 | Train Loss: 201.23999145627022 || Teste acc: 77.13 | Teste Loss: 65.11489346623421
16 Train acc: 82.666 | Train Loss: 200.98883351683617 || Teste acc: 77.03 | Teste Loss: 69.61129721999168
17 Train acc: 82.942 | Train Loss: 196.61954921483994 || Teste acc: 77.06 | Teste Loss: 68.2400911450386
18 Train acc: 82.836 | Train Loss: 197.51667219400406 || Teste acc: 75.83 | Teste Loss: 72.45562127232552
19 Train acc: 83.182 | Train Loss: 194.1421003639698 || Teste acc: 75.71 | Teste Loss: 74.64867106080055
20 Train acc: 83.546 | Train Loss: 190.43109905719757 || Teste acc: 72.69 | Teste Loss: 84.57549679279327
21 Train acc: 83.654 | Train Loss: 188.5648427605629 || Teste acc: 73.68 | Teste Loss: 81.72883147001266
22 Train acc: 83.834 | Train Loss: 186.54905360937119 || Teste acc: 74.29 | Teste Loss: 77.1558575630188
23 Train acc: 83.886 | Train Loss: 185.43269884586334 || Teste acc: 77.67 | Teste Loss: 65.35147014260292
24 Train acc: 84.064 | Train Loss: 184.08288285136223 || Teste acc: 78.9 | Teste Loss: 64.8983910381794
25 Train acc: 84.276 | Train Loss: 181.64341792464256 || Teste acc: 80.36 | Teste Loss: 58.40554338693619
26 Train acc: 84.65 | Train Loss: 178.84866446256638 || Teste acc: 76.35 | Teste Loss: 72.27398160099983
27 Train acc: 84.894 | Train Loss: 176.20846578478813 || Teste acc: 78.25 | Teste Loss: 63.93606126308441
28 Train acc: 84.844 | Train Loss: 174.5655042976141 || Teste acc: 78.6 | Teste Loss: 63.41442847251892
29 Train acc: 84.988 | Train Loss: 173.75451637804508 || Teste acc: 81.29 | Teste Loss: 56.83138805627823
30 Train acc: 85.188 | Train Loss: 170.22324104607105 || Teste acc: 77.95 | Teste Loss: 66.52323389053345
31 Train acc: 85.472 | Train Loss: 168.57054021954536 || Teste acc: 77.21 | Teste Loss: 68.7620940208435
32 Train acc: 85.43 | Train Loss: 168.88277234137058 || Teste acc: 80.35 | Teste Loss: 57.93659311532974
33 Train acc: 85.832 | Train Loss: 163.60641576349735 || Teste acc: 80.63 | Teste Loss: 59.15519493818283
34 Train acc: 86.024 | Train Loss: 162.11164185404778 || Teste acc: 77.4 | Teste Loss: 70.00907737016678
35 Train acc: 86.026 | Train Loss: 161.47078143060207 || Teste acc: 78.39 | Teste Loss: 62.55394130945206
36 Train acc: 86.146 | Train Loss: 159.4709166586399 || Teste acc: 77.59 | Teste Loss: 66.68064805865288
37 Train acc: 86.366 | Train Loss: 157.65098702907562 || Teste acc: 77.76 | Teste Loss: 66.17383900284767
38 Train acc: 86.548 | Train Loss: 156.04448905587196 || Teste acc: 82.37 | Teste Loss: 53.00687712430954
39 Train acc: 86.704 | Train Loss: 154.15170453488827 || Teste acc: 81.67 | Teste Loss: 55.526427268981934
40 Train acc: 86.906 | Train Loss: 152.4600461423397 || Teste acc: 83.29 | Teste Loss: 48.142991721630096
41 Train acc: 87.224 | Train Loss: 147.08478689193726 || Teste acc: 81.59 | Teste Loss: 55.099819123744965
42 Train acc: 87.402 | Train Loss: 147.2620557397604 || Teste acc: 78.18 | Teste Loss: 66.81472906470299
43 Train acc: 87.466 | Train Loss: 144.78972533345222 || Teste acc: 83.36 | Teste Loss: 49.69676473736763
44 Train acc: 87.568 | Train Loss: 144.54006853699684 || Teste acc: 82.1 | Teste Loss: 54.95725256204605
45 Train acc: 87.796 | Train Loss: 140.8491117209196 || Teste acc: 83.4 | Teste Loss: 48.7175278365612
46 Train acc: 88.232 | Train Loss: 138.14515841007233 || Teste acc: 82.47 | Teste Loss: 53.24377679824829
47 Train acc: 88.292 | Train Loss: 134.49446281790733 || Teste acc: 83.77 | Teste Loss: 49.25655034184456
