
0 Train acc: 39.542 | Train Loss: 632.043718457222 || Teste acc: 50.96 | Teste Loss: 135.30697166919708
1 Train acc: 59.118 | Train Loss: 444.1489180326462 || Teste acc: 63.68 | Teste Loss: 101.29126965999603
2 Train acc: 67.994 | Train Loss: 354.08565098047256 || Teste acc: 65.93 | Teste Loss: 99.01853865385056
3 Train acc: 72.842 | Train Loss: 304.18673211336136 || Teste acc: 67.23 | Teste Loss: 95.38254308700562
4 Train acc: 75.894 | Train Loss: 272.93490117788315 || Teste acc: 73.82 | Teste Loss: 76.10729849338531
5 Train acc: 77.448 | Train Loss: 257.3287534415722 || Teste acc: 74.6 | Teste Loss: 76.01366430521011
6 Train acc: 78.272 | Train Loss: 247.35451021790504 || Teste acc: 75.62 | Teste Loss: 70.20687580108643
7 Train acc: 79.356 | Train Loss: 236.88754546642303 || Teste acc: 75.03 | Teste Loss: 75.25608390569687
8 Train acc: 80.136 | Train Loss: 227.1862256526947 || Teste acc: 65.96 | Teste Loss: 116.20551520586014
9 Train acc: 80.71 | Train Loss: 220.69125327467918 || Teste acc: 67.32 | Teste Loss: 97.8394068479538
10 Train acc: 81.008 | Train Loss: 219.37772086262703 || Teste acc: 73.1 | Teste Loss: 83.37646406888962
11 Train acc: 81.522 | Train Loss: 213.82459232211113 || Teste acc: 78.02 | Teste Loss: 64.21776002645493
12 Train acc: 81.316 | Train Loss: 212.97380888462067 || Teste acc: 71.49 | Teste Loss: 93.3322816491127
13 Train acc: 81.962 | Train Loss: 207.51268401741982 || Teste acc: 76.16 | Teste Loss: 72.3012905716896
14 Train acc: 82.0 | Train Loss: 208.13151162862778 || Teste acc: 67.81 | Teste Loss: 101.32606267929077
15 Train acc: 82.238 | Train Loss: 204.87728562951088 || Teste acc: 74.03 | Teste Loss: 78.90840551257133
16 Train acc: 82.588 | Train Loss: 199.54538077116013 || Teste acc: 73.91 | Teste Loss: 80.90182864665985
17 Train acc: 82.776 | Train Loss: 197.96219810843468 || Teste acc: 80.02 | Teste Loss: 60.70299223065376
18 Train acc: 82.974 | Train Loss: 195.07149413228035 || Teste acc: 78.47 | Teste Loss: 63.0882942378521
19 Train acc: 82.99 | Train Loss: 195.3724780380726 || Teste acc: 75.17 | Teste Loss: 73.62771686911583
20 Train acc: 83.22 | Train Loss: 191.83874917030334 || Teste acc: 77.24 | Teste Loss: 70.8928405046463
21 Train acc: 83.63 | Train Loss: 187.9312741458416 || Teste acc: 78.21 | Teste Loss: 65.39489358663559
22 Train acc: 83.92 | Train Loss: 186.4766245186329 || Teste acc: 76.79 | Teste Loss: 69.65993332862854
23 Train acc: 83.922 | Train Loss: 185.24428749084473 || Teste acc: 77.08 | Teste Loss: 68.21638348698616
24 Train acc: 84.24 | Train Loss: 182.7132359445095 || Teste acc: 80.69 | Teste Loss: 56.26695415377617
25 Train acc: 84.47 | Train Loss: 180.04556238651276 || Teste acc: 76.3 | Teste Loss: 72.26374140381813
26 Train acc: 84.938 | Train Loss: 177.10898514091969 || Teste acc: 74.06 | Teste Loss: 80.55392044782639
27 Train acc: 84.696 | Train Loss: 177.19586861133575 || Teste acc: 76.15 | Teste Loss: 75.87235337495804
28 Train acc: 84.788 | Train Loss: 174.76257818937302 || Teste acc: 81.05 | Teste Loss: 58.0674484372139
29 Train acc: 85.098 | Train Loss: 172.03642562031746 || Teste acc: 79.11 | Teste Loss: 65.95344385504723
30 Train acc: 85.472 | Train Loss: 169.4272386431694 || Teste acc: 81.64 | Teste Loss: 56.57534071803093
31 Train acc: 85.496 | Train Loss: 167.9958122819662 || Teste acc: 81.07 | Teste Loss: 56.29982507228851
32 Train acc: 85.662 | Train Loss: 166.1343578696251 || Teste acc: 79.99 | Teste Loss: 58.65620872378349
33 Train acc: 85.928 | Train Loss: 164.02407652139664 || Teste acc: 81.74 | Teste Loss: 54.164684891700745
34 Train acc: 86.02 | Train Loss: 163.8289870172739 || Teste acc: 78.4 | Teste Loss: 62.83045220375061
35 Train acc: 86.194 | Train Loss: 160.66692201793194 || Teste acc: 84.12 | Teste Loss: 47.573990404605865
36 Train acc: 86.224 | Train Loss: 159.0652642250061 || Teste acc: 75.69 | Teste Loss: 76.20222210884094
37 Train acc: 86.612 | Train Loss: 155.04480342566967 || Teste acc: 82.15 | Teste Loss: 53.424400836229324
38 Train acc: 86.83 | Train Loss: 154.21939803659916 || Teste acc: 67.07 | Teste Loss: 120.66565936803818
39 Train acc: 86.696 | Train Loss: 153.72535088658333 || Teste acc: 78.83 | Teste Loss: 69.61760100722313
40 Train acc: 87.162 | Train Loss: 150.6377513706684 || Teste acc: 83.62 | Teste Loss: 50.66797024011612
41 Train acc: 87.122 | Train Loss: 148.5833228379488 || Teste acc: 76.56 | Teste Loss: 71.79594707489014
42 Train acc: 87.108 | Train Loss: 148.96213087439537 || Teste acc: 82.99 | Teste Loss: 50.83675843477249
43 Train acc: 87.754 | Train Loss: 143.18846707046032 || Teste acc: 81.25 | Teste Loss: 57.476257890462875
44 Train acc: 87.61 | Train Loss: 143.04764592647552 || Teste acc: 79.18 | Teste Loss: 63.96064078807831
45 Train acc: 87.988 | Train Loss: 138.8417699933052 || Teste acc: 85.57 | Teste Loss: 42.806251138448715
46 Train acc: 88.176 | Train Loss: 137.29462876915932 || Teste acc: 82.35 | Teste Loss: 53.19635859131813
47 Train acc: 88.168 | Train Loss: 136.07704174518585 || Teste acc: 81.95 | Teste Loss: 54.4047546684742
48 Train acc: 88.586 | Train Loss: 131.51175650954247 || Teste acc: 86.04 | Teste Loss: 41.05968315899372
49 Train acc: 88.802 | Train Loss: 130.3144497126341 || Teste acc: 83.13 | Teste Loss: 50.38444626331329
50 Train acc: 88.968 | Train Loss: 128.33943291008472 || Teste acc: 82.63 | Teste Loss: 52.08110788464546
51 Train acc: 89.19 | Train Loss: 126.67792066931725 || Teste acc: 84.71 | Teste Loss: 44.6540293097496

52 Train acc: 89.622 | Train Loss: 122.16065046191216 || Teste acc: 83.21 | Teste Loss: 51.47456192970276
53 Train acc: 89.592 | Train Loss: 120.2764298170805 || Teste acc: 86.06 | Teste Loss: 40.60043041408062
54 Train acc: 90.034 | Train Loss: 116.15917603671551 || Teste acc: 87.52 | Teste Loss: 36.774387151002884
55 Train acc: 90.08 | Train Loss: 114.66060090065002 || Teste acc: 84.06 | Teste Loss: 47.95100450515747
56 Train acc: 90.376 | Train Loss: 112.13387359678745 || Teste acc: 88.02 | Teste Loss: 36.62069711089134
57 Train acc: 90.706 | Train Loss: 108.2128891646862 || Teste acc: 83.56 | Teste Loss: 49.13004246354103
58 Train acc: 90.824 | Train Loss: 107.05666179955006 || Teste acc: 86.29 | Teste Loss: 42.06580713391304
59 Train acc: 91.326 | Train Loss: 102.51084563136101 || Teste acc: 87.15 | Teste Loss: 38.5793399810791
60 Train acc: 91.15 | Train Loss: 101.73635917156935 || Teste acc: 85.63 | Teste Loss: 43.009286865592
61 Train acc: 91.682 | Train Loss: 96.38006311655045 || Teste acc: 84.91 | Teste Loss: 48.47064857184887
62 Train acc: 91.966 | Train Loss: 94.01163518428802 || Teste acc: 88.09 | Teste Loss: 36.14428776502609
63 Train acc: 92.2 | Train Loss: 91.72218649089336 || Teste acc: 88.05 | Teste Loss: 35.29256126284599
64 Train acc: 92.444 | Train Loss: 88.11406201124191 || Teste acc: 84.65 | Teste Loss: 48.80225495994091
65 Train acc: 92.664 | Train Loss: 85.31803090125322 || Teste acc: 88.66 | Teste Loss: 35.02059289813042
66 Train acc: 92.914 | Train Loss: 82.31226073205471 || Teste acc: 89.01 | Teste Loss: 33.185756996273994
67 Train acc: 93.358 | Train Loss: 78.66367930918932 || Teste acc: 88.56 | Teste Loss: 34.384430810809135
68 Train acc: 93.5 | Train Loss: 75.62788704037666 || Teste acc: 89.34 | Teste Loss: 32.148759230971336
69 Train acc: 93.702 | Train Loss: 73.31941454485059 || Teste acc: 89.7 | Teste Loss: 32.4675448089838
70 Train acc: 94.17 | Train Loss: 68.2619400024414 || Teste acc: 89.76 | Teste Loss: 31.275462061166763
71 Train acc: 94.698 | Train Loss: 62.464969627559185 || Teste acc: 89.87 | Teste Loss: 31.43079473078251
72 Train acc: 94.862 | Train Loss: 61.07118746265769 || Teste acc: 89.88 | Teste Loss: 30.567221269011497
73 Train acc: 95.112 | Train Loss: 57.68941529467702 || Teste acc: 89.88 | Teste Loss: 30.640705443918705
74 Train acc: 95.572 | Train Loss: 52.63660752400756 || Teste acc: 90.73 | Teste Loss: 29.03094319999218
75 Train acc: 95.768 | Train Loss: 49.43738055229187 || Teste acc: 91.22 | Teste Loss: 28.040207020938396
76 Train acc: 96.032 | Train Loss: 46.1136537976563 || Teste acc: 90.23 | Teste Loss: 30.642635598778725
77 Train acc: 96.372 | Train Loss: 44.068116119131446 || Teste acc: 90.91 | Teste Loss: 29.858571149408817
78 Train acc: 96.84 | Train Loss: 38.50431017205119 || Teste acc: 91.73 | Teste Loss: 26.72290089726448
79 Train acc: 97.244 | Train Loss: 34.31320870295167 || Teste acc: 91.81 | Teste Loss: 25.489128313958645
80 Train acc: 97.418 | Train Loss: 31.567421536892653 || Teste acc: 93.05 | Teste Loss: 23.893918059766293
81 Train acc: 97.716 | Train Loss: 27.739326624199748 || Teste acc: 92.74 | Teste Loss: 24.614789612591267
82 Train acc: 98.166 | Train Loss: 23.197664400562644 || Teste acc: 93.02 | Teste Loss: 22.697991736233234
83 Train acc: 98.42 | Train Loss: 20.3248899448663 || Teste acc: 92.81 | Teste Loss: 24.501268975436687
84 Train acc: 98.638 | Train Loss: 17.346710025332868 || Teste acc: 93.42 | Teste Loss: 22.014557670801878
85 Train acc: 98.926 | Train Loss: 14.469878198113292 || Teste acc: 93.35 | Teste Loss: 22.841759592294693
86 Train acc: 99.212 | Train Loss: 11.498096934519708 || Teste acc: 93.14 | Teste Loss: 24.285770438611507
87 Train acc: 99.416 | Train Loss: 9.281556483823806 || Teste acc: 94.19 | Teste Loss: 20.263980455696583
88 Train acc: 99.606 | Train Loss: 6.960535492748022 || Teste acc: 94.49 | Teste Loss: 19.606801219284534
89 Train acc: 99.696 | Train Loss: 5.663668138207868 || Teste acc: 94.42 | Teste Loss: 19.60149870440364
90 Train acc: 99.814 | Train Loss: 4.372802229830995 || Teste acc: 94.9 | Teste Loss: 18.551073257811368
91 Train acc: 99.866 | Train Loss: 3.905451998114586 || Teste acc: 94.76 | Teste Loss: 18.944159749895334
92 Train acc: 99.868 | Train Loss: 3.4364579166285694 || Teste acc: 94.82 | Teste Loss: 18.71576466038823
93 Train acc: 99.92 | Train Loss: 3.0242670625448227 || Teste acc: 94.93 | Teste Loss: 18.953721772879362
94 Train acc: 99.912 | Train Loss: 3.051435583271086 || Teste acc: 95.02 | Teste Loss: 18.560347765684128
95 Train acc: 99.93 | Train Loss: 2.73914055316709 || Teste acc: 95.04 | Teste Loss: 18.4346140101552
96 Train acc: 99.918 | Train Loss: 2.8679888732731342 || Teste acc: 95.19 | Teste Loss: 18.090616000816226
97 Train acc: 99.942 | Train Loss: 2.657834758516401 || Teste acc: 95.13 | Teste Loss: 17.89718111976981
98 Train acc: 99.938 | Train Loss: 2.544066912261769 || Teste acc: 95.05 | Teste Loss: 18.335507914423943
99 Train acc: 99.948 | Train Loss: 2.5817524758167565 || Teste acc: 95.09 | Teste Loss: 18.03983155824244
101 Train acc: 99.958 | Train Loss: 2.4337720391340554 || Teste acc: 95.03 | Teste Loss: 18.112099803984165
102 Train acc: 99.95 | Train Loss: 2.5249602200929075 || Teste acc: 95.07 | Teste Loss: 18.0951997246593245
103 Train acc: 99.954 | Train Loss: 2.515741355950013 || Teste acc: 95.02 | Teste Loss: 18.0775447040796285
104 Train acc: 99.93 | Train Loss: 2.577380389906466 || Teste acc: 95.06 | Teste Loss: 18.24241714552045285
105 Train acc: 99.936 | Train Loss: 2.592695058323443 || Teste acc: 95.04 | Teste Loss: 18.1793636512011385
106 Train acc: 99.966 | Train Loss: 2.4520097586791962 || Teste acc: 94.93 | Teste Loss: 18.343840632587675
107 Train acc: 99.954 | Train Loss: 2.3707076543942094 || Teste acc: 95.06 | Teste Loss: 18.141092142090275
108 Train acc: 99.952 | Train Loss: 2.4106673130299896 || Teste acc: 95.02 | Teste Loss: 18.192943327128887
109 Train acc: 99.964 | Train Loss: 2.514936263905838 || Teste acc: 94.95 | Teste Loss: 18.8824468180537227
110 Train acc: 99.928 | Train Loss: 2.668734798207879 || Teste acc: 94.9 | Teste Loss: 18.57346743717789627
111 Train acc: 99.866 | Train Loss: 3.468672896968201 || Teste acc: 94.87 | Teste Loss: 18.8588064983487137
112 Train acc: 99.896 | Train Loss: 3.3232347646262497 || Teste acc: 94.5 | Teste Loss: 20.3535108193755157
113 Train acc: 99.816 | Train Loss: 4.3727945177815855 || Teste acc: 93.94 | Teste Loss: 22.826953582465657
114 Train acc: 99.478 | Train Loss: 8.339491478167474 || Teste acc: 93.33 | Teste Loss: 24.1827755123376857
115 Train acc: 98.794 | Train Loss: 16.30254608206451 || Teste acc: 92.07 | Teste Loss: 28.7414722144603737
116 Train acc: 98.09 | Train Loss: 23.81674142088741 || Teste acc: 91.57 | Teste Loss: 29.51785859465599737
117 Train acc: 97.576 | Train Loss: 29.911248913034797 || Teste acc: 90.83 | Teste Loss: 30.194043256342417
118 Train acc: 97.088 | Train Loss: 36.35188734345138 || Teste acc: 89.88 | Teste Loss: 34.6794438883662217
119 Train acc: 96.618 | Train Loss: 41.57392863929272 || Teste acc: 90.08 | Teste Loss: 31.0978561937809217
120 Train acc: 96.104 | Train Loss: 46.61373731121421 || Teste acc: 89.87 | Teste Loss: 31.7192370221018817
121 Train acc: 95.602 | Train Loss: 52.76378835737705 || Teste acc: 90.17 | Teste Loss: 32.7353371605277067
122 Train acc: 95.418 | Train Loss: 54.667580276727676 || Teste acc: 89.29 | Teste Loss: 35.270482487976557
123 Train acc: 95.088 | Train Loss: 58.72958052158356 || Teste acc: 88.76 | Teste Loss: 35.8698744773864757
124 Train acc: 95.042 | Train Loss: 59.23328269273043 || Teste acc: 89.86 | Teste Loss: 32.8107835426926657
125 Train acc: 94.902 | Train Loss: 60.60502130165696 || Teste acc: 89.72 | Teste Loss: 32.0915357470512457
126 Train acc: 94.576 | Train Loss: 64.84637101367116 || Teste acc: 87.66 | Teste Loss: 39.3761523962020957
127 Train acc: 94.316 | Train Loss: 67.09031858667731 || Teste acc: 90.11 | Teste Loss: 30.4981799125671457
128 Train acc: 94.172 | Train Loss: 68.51819636672735 || Teste acc: 88.94 | Teste Loss: 34.4422307163476947
129 Train acc: 93.998 | Train Loss: 69.79929190129042 || Teste acc: 90.21 | Teste Loss: 30.4804406911134727
130 Train acc: 93.998 | Train Loss: 70.08675050735474 || Teste acc: 89.21 | Teste Loss: 33.2270907014608427
131 Train acc: 93.564 | Train Loss: 75.15178795903921 || Teste acc: 87.35 | Teste Loss: 41.3097879290580757
132 Train acc: 93.574 | Train Loss: 76.0030699595809 || Teste acc: 88.69 | Teste Loss: 36.18383501470089757
133 Train acc: 93.11 | Train Loss: 78.8038632273674 || Teste acc: 86.8 | Teste Loss: 42.1512764692306589757
134 Train acc: 93.282 | Train Loss: 79.35817149281502 || Teste acc: 87.47 | Teste Loss: 38.7012458890676557
135 Train acc: 92.858 | Train Loss: 81.96084576845169 || Teste acc: 86.16 | Teste Loss: 44.8714832961559357
136 Train acc: 92.804 | Train Loss: 83.9832266792655 || Teste acc: 84.92 | Teste Loss: 46.83088904619217357
137 Train acc: 92.666 | Train Loss: 85.52436440438032 || Teste acc: 87.48 | Teste Loss: 38.4257744848728257
138 Train acc: 92.382 | Train Loss: 88.52011489123106 || Teste acc: 86.69 | Teste Loss: 40.4368693530559547
139 Train acc: 92.23 | Train Loss: 92.10458689182997 || Teste acc: 88.43 | Teste Loss: 34.31059244275093547
140 Train acc: 91.802 | Train Loss: 94.30632967501879 || Teste acc: 87.47 | Teste Loss: 37.5218646675348347
141 Train acc: 92.0 | Train Loss: 94.85130403935909 || Teste acc: 85.39 | Teste Loss: 43.780259296298038347
142 Train acc: 91.698 | Train Loss: 96.96624628454447 || Teste acc: 86.05 | Teste Loss: 43.6534195542335547
143 Train acc: 91.304 | Train Loss: 101.44366044551134 || Teste acc: 80.86 | Teste Loss: 63.195464968681335
144 Train acc: 91.006 | Train Loss: 103.8326341509819 || Teste acc: 80.78 | Teste Loss: 60.9936135113239335
145 Train acc: 91.204 | Train Loss: 104.27179827541113 || Teste acc: 86.45 | Teste Loss: 41.287499636411675
146 Train acc: 90.602 | Train Loss: 109.00395771861076 || Teste acc: 84.78 | Teste Loss: 47.013805732131004
147 Train acc: 90.666 | Train Loss: 110.05083458125591 || Teste acc: 85.0 | Teste Loss: 46.5093733668327304
148 Train acc: 90.406 | Train Loss: 112.17015314847231 || Teste acc: 84.58 | Teste Loss: 45.492931574583054
149 Train acc: 90.234 | Train Loss: 113.78692598640919 || Teste acc: 84.12 | Teste Loss: 47.590032696723944
150 Train acc: 89.876 | Train Loss: 116.12057714909315 || Teste acc: 82.6 | Teste Loss: 55.7538639605045344
151 Train acc: 89.738 | Train Loss: 119.63580814003944 || Teste acc: 83.7 | Teste Loss: 48.7140819430351264
152 Train acc: 89.676 | Train Loss: 119.39320121705532 || Teste acc: 86.18 | Teste Loss: 42.469037055969244
153 Train acc: 89.164 | Train Loss: 125.43200716376305 || Teste acc: 80.77 | Teste Loss: 60.298407435417175
154 Train acc: 89.27 | Train Loss: 124.51237416267395 || Teste acc: 74.24 | Teste Loss: 89.8000647425651675
155 Train acc: 89.098 | Train Loss: 126.57715432345867 || Teste acc: 83.27 | Teste Loss: 50.600398004055025
156 Train acc: 88.66 | Train Loss: 131.07681035995483 || Teste acc: 85.99 | Teste Loss: 41.0854238718748125
157 Train acc: 88.654 | Train Loss: 130.57410834729671 || Teste acc: 83.43 | Teste Loss: 49.824160248041155
158 Train acc: 88.588 | Train Loss: 133.15885177254677 || Teste acc: 82.87 | Teste Loss: 52.930893808603295
159 Train acc: 88.434 | Train Loss: 134.68919175863266 || Teste acc: 82.27 | Teste Loss: 53.480948448181155
160 Train acc: 88.412 | Train Loss: 136.283870190382 || Teste acc: 80.04 | Teste Loss: 61.16067504882812555
161 Train acc: 88.138 | Train Loss: 139.28191009163857 || Teste acc: 83.74 | Teste Loss: 49.646186202764515
162 Train acc: 87.93 | Train Loss: 140.2945606559515 || Teste acc: 84.31 | Teste Loss: 47.88376557826996515
163 Train acc: 87.718 | Train Loss: 142.12130242586136 || Teste acc: 84.8 | Teste Loss: 45.0175034403800965
164 Train acc: 87.604 | Train Loss: 145.51364934444427 || Teste acc: 78.67 | Teste Loss: 68.965875297784865
165 Train acc: 87.38 | Train Loss: 147.3468541353941 || Teste acc: 79.26 | Teste Loss: 64.32912215590477865
166 Train acc: 87.168 | Train Loss: 148.49664263427258 || Teste acc: 80.91 | Teste Loss: 57.943461030721664
167 Train acc: 87.206 | Train Loss: 147.2016671448946 || Teste acc: 81.21 | Teste Loss: 57.2011545002460564
168 Train acc: 87.174 | Train Loss: 148.88155384361744 || Teste acc: 78.21 | Teste Loss: 63.179651945829394
169 Train acc: 86.768 | Train Loss: 153.58904747664928 || Teste acc: 82.4 | Teste Loss: 52.1807640194892994
170 Train acc: 86.678 | Train Loss: 155.6795569062233 || Teste acc: 80.57 | Teste Loss: 59.4023104310035794
171 Train acc: 86.552 | Train Loss: 155.2674911171198 || Teste acc: 81.5 | Teste Loss: 57.74886760115623594
