
0 Train acc: 8.308 | Train Loss: 1546.4456284046173 || Teste acc: 10.77 | Teste Loss: 372.93123745918274
1 Train acc: 15.844 | Train Loss: 1351.0482196807861 || Teste acc: 18.42 | Teste Loss: 332.52227544784546
2 Train acc: 23.634 | Train Loss: 1188.6285820007324 || Teste acc: 25.0 | Teste Loss: 302.80059576034546
3 Train acc: 31.722 | Train Loss: 1024.1407945156097 || Teste acc: 34.13 | Teste Loss: 251.29560732841492
4 Train acc: 38.136 | Train Loss: 906.8145697116852 || Teste acc: 26.79 | Teste Loss: 303.4044179916382
5 Train acc: 42.018 | Train Loss: 832.0404806137085 || Teste acc: 37.99 | Teste Loss: 238.80264508724213
6 Train acc: 45.572 | Train Loss: 782.7899124622345 || Teste acc: 40.31 | Teste Loss: 230.8046271800995
7 Train acc: 47.642 | Train Loss: 741.0333421230316 || Teste acc: 43.46 | Teste Loss: 215.3068231344223
8 Train acc: 49.572 | Train Loss: 712.9702736139297 || Teste acc: 40.04 | Teste Loss: 237.76392078399658
9 Train acc: 51.056 | Train Loss: 695.0325646400452 || Teste acc: 40.17 | Teste Loss: 232.68918192386627
10 Train acc: 52.01 | Train Loss: 676.7839242219925 || Teste acc: 44.95 | Teste Loss: 209.1971673965454
11 Train acc: 52.946 | Train Loss: 663.406641960144 || Teste acc: 45.57 | Teste Loss: 201.37325847148895
12 Train acc: 53.714 | Train Loss: 647.9025593996048 || Teste acc: 45.17 | Teste Loss: 208.21596944332123
13 Train acc: 54.54 | Train Loss: 638.9201068878174 || Teste acc: 48.52 | Teste Loss: 191.90754175186157
14 Train acc: 55.45 | Train Loss: 627.89464366436 || Teste acc: 46.88 | Teste Loss: 198.45208549499512
15 Train acc: 55.868 | Train Loss: 619.1421036720276 || Teste acc: 45.41 | Teste Loss: 207.56369364261627
16 Train acc: 56.016 | Train Loss: 616.2242333889008 || Teste acc: 40.97 | Teste Loss: 241.43843507766724
17 Train acc: 56.668 | Train Loss: 607.2871474027634 || Teste acc: 50.95 | Teste Loss: 182.42930328845978
18 Train acc: 57.058 | Train Loss: 602.9175268411636 || Teste acc: 43.59 | Teste Loss: 220.78224921226501
19 Train acc: 57.714 | Train Loss: 593.4025490283966 || Teste acc: 49.55 | Teste Loss: 187.85972952842712
20 Train acc: 58.104 | Train Loss: 586.1787956953049 || Teste acc: 44.47 | Teste Loss: 225.32576477527618
21 Train acc: 58.228 | Train Loss: 581.1419105529785 || Teste acc: 44.09 | Teste Loss: 212.5354835987091
22 Train acc: 58.732 | Train Loss: 578.8302813768387 || Teste acc: 49.96 | Teste Loss: 187.98959481716156
23 Train acc: 59.18 | Train Loss: 572.3914678096771 || Teste acc: 48.23 | Teste Loss: 195.0560019016266
24 Train acc: 59.128 | Train Loss: 568.6888400316238 || Teste acc: 52.14 | Teste Loss: 179.1874978542328
25 Train acc: 59.68 | Train Loss: 562.2332478761673 || Teste acc: 42.5 | Teste Loss: 226.20740818977356
26 Train acc: 60.09 | Train Loss: 553.3492728471756 || Teste acc: 48.14 | Teste Loss: 200.6985753774643
27 Train acc: 60.428 | Train Loss: 553.578786611557 || Teste acc: 49.49 | Teste Loss: 189.0281764268875
28 Train acc: 60.838 | Train Loss: 544.9109476804733 || Teste acc: 51.48 | Teste Loss: 179.84802877902985
29 Train acc: 61.026 | Train Loss: 543.848081111908 || Teste acc: 53.88 | Teste Loss: 174.20790231227875
30 Train acc: 61.45 | Train Loss: 534.4497818946838 || Teste acc: 49.05 | Teste Loss: 192.67062318325043
31 Train acc: 61.876 | Train Loss: 531.4078962802887 || Teste acc: 54.35 | Teste Loss: 167.7178647518158
32 Train acc: 62.2 | Train Loss: 525.185417175293 || Teste acc: 54.71 | Teste Loss: 164.7049515247345
33 Train acc: 62.412 | Train Loss: 522.6142054200172 || Teste acc: 49.15 | Teste Loss: 192.57564759254456
34 Train acc: 62.73 | Train Loss: 516.8892140388489 || Teste acc: 47.39 | Teste Loss: 200.43757569789886
35 Train acc: 63.182 | Train Loss: 510.4893139600754 || Teste acc: 51.22 | Teste Loss: 188.63325333595276
36 Train acc: 63.566 | Train Loss: 502.57966232299805 || Teste acc: 51.68 | Teste Loss: 183.76525163650513
37 Train acc: 63.862 | Train Loss: 500.7908889055252 || Teste acc: 53.44 | Teste Loss: 174.00978457927704
38 Train acc: 64.436 | Train Loss: 493.5756769180298 || Teste acc: 52.8 | Teste Loss: 178.62263214588165
39 Train acc: 64.894 | Train Loss: 486.81667524576187 || Teste acc: 54.23 | Teste Loss: 173.5522643327713
40 Train acc: 65.286 | Train Loss: 479.4704852104187 || Teste acc: 49.44 | Teste Loss: 195.99519336223602
41 Train acc: 65.544 | Train Loss: 475.0341467857361 || Teste acc: 56.34 | Teste Loss: 163.01586377620697
