
0 Train acc: 8.316 | Train Loss: 1556.262865304947 || Teste acc: 12.51 | Teste Loss: 369.599609375
1 Train acc: 16.462 | Train Loss: 1335.2353477478027 || Teste acc: 19.74 | Teste Loss: 329.7965760231018
2 Train acc: 26.104 | Train Loss: 1139.2839562892914 || Teste acc: 29.07 | Teste Loss: 272.7793998718262
3 Train acc: 34.236 | Train Loss: 974.2758755683899 || Teste acc: 30.34 | Teste Loss: 270.08183217048645
4 Train acc: 40.092 | Train Loss: 871.965013384819 || Teste acc: 35.99 | Teste Loss: 249.80045747756958
5 Train acc: 43.944 | Train Loss: 804.8757227659225 || Teste acc: 42.01 | Teste Loss: 219.07438957691193
6 Train acc: 47.096 | Train Loss: 757.6556824445724 || Teste acc: 43.39 | Teste Loss: 212.7398235797882
7 Train acc: 48.768 | Train Loss: 728.1860156059265 || Teste acc: 41.92 | Teste Loss: 230.0325027704239
8 Train acc: 50.334 | Train Loss: 702.8767153024673 || Teste acc: 47.75 | Teste Loss: 193.97207486629486
9 Train acc: 51.392 | Train Loss: 684.4471142292023 || Teste acc: 43.09 | Teste Loss: 226.91385436058044
10 Train acc: 52.414 | Train Loss: 670.4264149665833 || Teste acc: 45.93 | Teste Loss: 210.04043245315552
11 Train acc: 53.132 | Train Loss: 655.6011239290237 || Teste acc: 45.68 | Teste Loss: 210.50836718082428
12 Train acc: 53.772 | Train Loss: 646.6737560033798 || Teste acc: 41.67 | Teste Loss: 225.5226218700409
13 Train acc: 54.352 | Train Loss: 639.7187576293945 || Teste acc: 46.22 | Teste Loss: 207.34486556053162
14 Train acc: 55.33 | Train Loss: 625.4808832406998 || Teste acc: 45.72 | Teste Loss: 212.66809904575348
15 Train acc: 55.592 | Train Loss: 620.3287853002548 || Teste acc: 39.81 | Teste Loss: 245.7319437265396
16 Train acc: 55.826 | Train Loss: 615.1153219938278 || Teste acc: 43.78 | Teste Loss: 221.80082213878632
17 Train acc: 56.394 | Train Loss: 607.2634247541428 || Teste acc: 46.28 | Teste Loss: 209.76526045799255
18 Train acc: 56.784 | Train Loss: 602.7166812419891 || Teste acc: 46.84 | Teste Loss: 200.6916002035141
19 Train acc: 57.192 | Train Loss: 597.554376244545 || Teste acc: 51.8 | Teste Loss: 180.71957683563232
20 Train acc: 57.92 | Train Loss: 587.825914978981 || Teste acc: 50.89 | Teste Loss: 185.44918882846832
21 Train acc: 57.936 | Train Loss: 583.8673154115677 || Teste acc: 53.07 | Teste Loss: 171.39060831069946
22 Train acc: 58.438 | Train Loss: 580.0309860706329 || Teste acc: 49.56 | Teste Loss: 185.43456768989563
23 Train acc: 58.552 | Train Loss: 576.9348164796829 || Teste acc: 51.6 | Teste Loss: 183.1630780696869
24 Train acc: 59.124 | Train Loss: 568.9723473787308 || Teste acc: 50.15 | Teste Loss: 193.3336695432663
25 Train acc: 59.226 | Train Loss: 564.2477960586548 || Teste acc: 50.47 | Teste Loss: 190.53001928329468
26 Train acc: 59.832 | Train Loss: 559.000186920166 || Teste acc: 42.56 | Teste Loss: 233.20183897018433
27 Train acc: 60.124 | Train Loss: 552.201388001442 || Teste acc: 44.22 | Teste Loss: 221.3434215784073
28 Train acc: 60.404 | Train Loss: 548.5954740047455 || Teste acc: 48.67 | Teste Loss: 203.97668027877808
29 Train acc: 60.82 | Train Loss: 542.3432392477989 || Teste acc: 52.33 | Teste Loss: 175.56260418891907
30 Train acc: 61.192 | Train Loss: 534.6779289841652 || Teste acc: 50.4 | Teste Loss: 193.07893753051758
31 Train acc: 61.152 | Train Loss: 533.892957508564 || Teste acc: 48.39 | Teste Loss: 200.01082241535187
32 Train acc: 61.834 | Train Loss: 527.1866474747658 || Teste acc: 50.84 | Teste Loss: 184.04541885852814
