
0 Train acc: 7.762 | Train Loss: 1566.9047856330872 || Teste acc: 12.6 | Teste Loss: 364.0076460838318
1 Train acc: 16.402 | Train Loss: 1341.1953556537628 || Teste acc: 18.15 | Teste Loss: 340.8528208732605
2 Train acc: 24.382 | Train Loss: 1172.0399017333984 || Teste acc: 26.15 | Teste Loss: 296.2291178703308
3 Train acc: 32.0 | Train Loss: 1023.9507820606232 || Teste acc: 29.38 | Teste Loss: 285.26918959617615
4 Train acc: 37.578 | Train Loss: 914.4882819652557 || Teste acc: 32.09 | Teste Loss: 273.364620923996
5 Train acc: 42.282 | Train Loss: 833.4396070241928 || Teste acc: 35.63 | Teste Loss: 253.0114085674286
6 Train acc: 45.21 | Train Loss: 785.0289965867996 || Teste acc: 38.74 | Teste Loss: 243.01813519001007
7 Train acc: 47.284 | Train Loss: 749.6491084098816 || Teste acc: 42.69 | Teste Loss: 215.52325415611267
8 Train acc: 49.376 | Train Loss: 718.9560428857803 || Teste acc: 43.27 | Teste Loss: 211.43366634845734
9 Train acc: 50.464 | Train Loss: 700.320907831192 || Teste acc: 40.66 | Teste Loss: 232.73131012916565
10 Train acc: 51.734 | Train Loss: 681.5089393854141 || Teste acc: 46.25 | Teste Loss: 199.50283336639404
11 Train acc: 52.608 | Train Loss: 669.217630982399 || Teste acc: 40.86 | Teste Loss: 240.74292397499084
12 Train acc: 53.356 | Train Loss: 655.4669876098633 || Teste acc: 43.2 | Teste Loss: 220.46529269218445
13 Train acc: 54.052 | Train Loss: 648.3712121248245 || Teste acc: 44.84 | Teste Loss: 217.8444162607193
14 Train acc: 54.492 | Train Loss: 635.6283832788467 || Teste acc: 45.08 | Teste Loss: 209.71223390102386
15 Train acc: 54.946 | Train Loss: 629.7483359575272 || Teste acc: 44.57 | Teste Loss: 214.0053584575653
16 Train acc: 55.564 | Train Loss: 622.6198235750198 || Teste acc: 50.21 | Teste Loss: 188.9687623977661
17 Train acc: 56.402 | Train Loss: 612.0129840373993 || Teste acc: 43.14 | Teste Loss: 228.41888880729675
18 Train acc: 56.584 | Train Loss: 609.5106670856476 || Teste acc: 48.72 | Teste Loss: 194.38138449192047
19 Train acc: 57.072 | Train Loss: 601.4082638025284 || Teste acc: 46.71 | Teste Loss: 201.30060338974
20 Train acc: 57.3 | Train Loss: 597.4843946695328 || Teste acc: 47.18 | Teste Loss: 203.4353209733963
21 Train acc: 57.798 | Train Loss: 587.1981317996979 || Teste acc: 44.36 | Teste Loss: 223.5088950395584
22 Train acc: 58.06 | Train Loss: 586.7285488843918 || Teste acc: 48.03 | Teste Loss: 196.9333884716034
23 Train acc: 58.588 | Train Loss: 576.3565953969955 || Teste acc: 49.38 | Teste Loss: 186.51171135902405
24 Train acc: 58.43 | Train Loss: 575.9574323892593 || Teste acc: 48.11 | Teste Loss: 203.3671978712082
25 Train acc: 59.208 | Train Loss: 568.7579392194748 || Teste acc: 46.41 | Teste Loss: 204.73760724067688
26 Train acc: 59.194 | Train Loss: 561.693239569664 || Teste acc: 50.17 | Teste Loss: 187.4846168756485
27 Train acc: 59.836 | Train Loss: 557.929234623909 || Teste acc: 47.85 | Teste Loss: 201.1093463897705
28 Train acc: 60.168 | Train Loss: 550.495163500309 || Teste acc: 53.87 | Teste Loss: 170.7379789352417
29 Train acc: 60.656 | Train Loss: 547.0032248497009 || Teste acc: 46.45 | Teste Loss: 212.2216818332672
30 Train acc: 61.19 | Train Loss: 537.2669363021851 || Teste acc: 49.69 | Teste Loss: 198.6860432624817
31 Train acc: 60.938 | Train Loss: 537.7765843272209 || Teste acc: 51.25 | Teste Loss: 191.59605860710144
32 Train acc: 61.462 | Train Loss: 530.677795946598 || Teste acc: 54.75 | Teste Loss: 169.10822319984436
33 Train acc: 62.054 | Train Loss: 522.876674413681 || Teste acc: 47.66 | Teste Loss: 213.05481493473053
34 Train acc: 62.37 | Train Loss: 518.4303179979324 || Teste acc: 52.06 | Teste Loss: 180.37099981307983
35 Train acc: 62.806 | Train Loss: 509.82827574014664 || Teste acc: 52.21 | Teste Loss: 178.6392058134079
36 Train acc: 63.11 | Train Loss: 507.82411056756973 || Teste acc: 54.96 | Teste Loss: 167.35639035701752
37 Train acc: 63.378 | Train Loss: 502.21148216724396 || Teste acc: 52.93 | Teste Loss: 179.20452201366425
38 Train acc: 64.13 | Train Loss: 494.4716501235962 || Teste acc: 56.39 | Teste Loss: 162.58178675174713
39 Train acc: 64.692 | Train Loss: 485.86951380968094 || Teste acc: 57.6 | Teste Loss: 154.71298372745514
40 Train acc: 64.662 | Train Loss: 481.76257050037384 || Teste acc: 51.83 | Teste Loss: 188.2080147266388
41 Train acc: 65.214 | Train Loss: 476.40982687473297 || Teste acc: 49.91 | Teste Loss: 198.86800622940063
42 Train acc: 65.428 | Train Loss: 470.48012775182724 || Teste acc: 54.47 | Teste Loss: 170.89576625823975
43 Train acc: 66.1 | Train Loss: 459.4135763645172 || Teste acc: 47.79 | Teste Loss: 213.16439592838287
44 Train acc: 66.662 | Train Loss: 455.5276063680649 || Teste acc: 56.17 | Teste Loss: 164.79918837547302
45 Train acc: 66.916 | Train Loss: 450.19670140743256 || Teste acc: 55.06 | Teste Loss: 169.6054232120514
46 Train acc: 67.858 | Train Loss: 437.40949779748917 || Teste acc: 56.03 | Teste Loss: 168.51685082912445
47 Train acc: 68.106 | Train Loss: 431.7636579275131 || Teste acc: 54.36 | Teste Loss: 173.13957750797272
48 Train acc: 68.794 | Train Loss: 423.0992594361305 || Teste acc: 56.42 | Teste Loss: 168.54747807979584
49 Train acc: 68.74 | Train Loss: 418.76811707019806 || Teste acc: 56.93 | Teste Loss: 165.24444270133972
50 Train acc: 69.46 | Train Loss: 408.6330459713936 || Teste acc: 59.48 | Teste Loss: 149.6706120967865
51 Train acc: 70.206 | Train Loss: 400.2606446146965 || Teste acc: 57.39 | Teste Loss: 159.6522822380066
52 Train acc: 70.766 | Train Loss: 393.00717467069626 || Teste acc: 60.76 | Teste Loss: 146.2387979030609
53 Train acc: 71.566 | Train Loss: 381.87323248386383 || Teste acc: 61.44 | Teste Loss: 143.77402925491333
54 Train acc: 71.748 | Train Loss: 376.60157120227814 || Teste acc: 59.57 | Teste Loss: 151.65048778057098
55 Train acc: 72.696 | Train Loss: 362.7097973227501 || Teste acc: 60.83 | Teste Loss: 145.9647923707962
56 Train acc: 73.198 | Train Loss: 354.14984291791916 || Teste acc: 60.45 | Teste Loss: 147.5862386226654
57 Train acc: 73.966 | Train Loss: 347.21368312835693 || Teste acc: 61.48 | Teste Loss: 141.689082801342
58 Train acc: 74.62 | Train Loss: 333.7750052213669 || Teste acc: 62.31 | Teste Loss: 141.03326439857483
59 Train acc: 75.402 | Train Loss: 322.8754276037216 || Teste acc: 62.82 | Teste Loss: 136.5817996263504
60 Train acc: 75.564 | Train Loss: 317.6803252696991 || Teste acc: 63.2 | Teste Loss: 135.96318858861923
61 Train acc: 77.486 | Train Loss: 299.5666488111019 || Teste acc: 63.8 | Teste Loss: 136.49570107460022
62 Train acc: 77.748 | Train Loss: 291.75151228904724 || Teste acc: 62.87 | Teste Loss: 138.934641122818
63 Train acc: 78.392 | Train Loss: 280.77501049637794 || Teste acc: 64.39 | Teste Loss: 132.10759383440018
64 Train acc: 79.424 | Train Loss: 269.0611338317394 || Teste acc: 64.75 | Teste Loss: 132.17363917827606
65 Train acc: 80.376 | Train Loss: 256.22512197494507 || Teste acc: 65.18 | Teste Loss: 132.3625732064247
66 Train acc: 81.306 | Train Loss: 242.0055695772171 || Teste acc: 66.08 | Teste Loss: 127.88953977823257
67 Train acc: 82.236 | Train Loss: 232.16655799746513 || Teste acc: 67.13 | Teste Loss: 122.83752453327179
68 Train acc: 83.24 | Train Loss: 217.26786959171295 || Teste acc: 64.79 | Teste Loss: 136.09885209798813
69 Train acc: 84.176 | Train Loss: 204.18680480122566 || Teste acc: 67.3 | Teste Loss: 125.31835943460464
70 Train acc: 85.424 | Train Loss: 189.24704965949059 || Teste acc: 67.35 | Teste Loss: 127.69225305318832
71 Train acc: 86.686 | Train Loss: 174.62004178762436 || Teste acc: 67.22 | Teste Loss: 126.45600992441177
72 Train acc: 87.434 | Train Loss: 163.9464966058731 || Teste acc: 67.76 | Teste Loss: 128.61562031507492
73 Train acc: 88.19 | Train Loss: 152.85271164774895 || Teste acc: 68.16 | Teste Loss: 123.91563296318054
74 Train acc: 90.018 | Train Loss: 131.6038253456354 || Teste acc: 68.98 | Teste Loss: 122.97790825366974
75 Train acc: 90.95 | Train Loss: 118.80670319497585 || Teste acc: 69.11 | Teste Loss: 122.62277227640152
76 Train acc: 92.478 | Train Loss: 103.20798055827618 || Teste acc: 69.63 | Teste Loss: 120.57435262203217
77 Train acc: 93.562 | Train Loss: 90.20588154345751 || Teste acc: 70.1 | Teste Loss: 118.55434638261795
78 Train acc: 94.968 | Train Loss: 73.2656314149499 || Teste acc: 71.85 | Teste Loss: 110.48782676458359
79 Train acc: 95.874 | Train Loss: 61.816244922578335 || Teste acc: 72.3 | Teste Loss: 110.35043889284134
80 Train acc: 96.616 | Train Loss: 52.72285830229521 || Teste acc: 72.22 | Teste Loss: 109.53350633382797
81 Train acc: 97.52 | Train Loss: 42.357856292277575 || Teste acc: 73.77 | Teste Loss: 104.45902526378632
82 Train acc: 98.216 | Train Loss: 33.93967962637544 || Teste acc: 73.77 | Teste Loss: 102.78727641701698
83 Train acc: 98.758 | Train Loss: 27.027041506022215 || Teste acc: 74.61 | Teste Loss: 99.56522595882416
84 Train acc: 99.126 | Train Loss: 21.533157417550683 || Teste acc: 74.46 | Teste Loss: 97.60898119211197
85 Train acc: 99.44 | Train Loss: 17.091069411486387 || Teste acc: 75.44 | Teste Loss: 95.67198324203491
86 Train acc: 99.498 | Train Loss: 15.321793984621763 || Teste acc: 75.97 | Teste Loss: 93.84418243169785
87 Train acc: 99.644 | Train Loss: 13.05548866931349 || Teste acc: 75.99 | Teste Loss: 93.16389697790146
88 Train acc: 99.736 | Train Loss: 11.561304523609579 || Teste acc: 76.13 | Teste Loss: 92.15371972322464
89 Train acc: 99.798 | Train Loss: 10.368616093881428 || Teste acc: 76.39 | Teste Loss: 91.61767652630806
90 Train acc: 99.832 | Train Loss: 9.558880438096821 || Teste acc: 76.68 | Teste Loss: 91.29516154527664
91 Train acc: 99.868 | Train Loss: 8.769817875698209 || Teste acc: 76.67 | Teste Loss: 90.74896410107613
92 Train acc: 99.908 | Train Loss: 8.14246394019574 || Teste acc: 76.74 | Teste Loss: 90.23377823829651
93 Train acc: 99.898 | Train Loss: 8.097990272566676 || Teste acc: 76.93 | Teste Loss: 90.2006941139698
94 Train acc: 99.926 | Train Loss: 7.599689087830484 || Teste acc: 76.66 | Teste Loss: 90.45641893148422
95 Train acc: 99.918 | Train Loss: 7.545843530446291 || Teste acc: 76.78 | Teste Loss: 90.3625912964344
96 Train acc: 99.93 | Train Loss: 7.455141919665039 || Teste acc: 76.81 | Teste Loss: 90.28011056780815
97 Train acc: 99.928 | Train Loss: 7.334156463854015 || Teste acc: 76.74 | Teste Loss: 90.18117478489876
98 Train acc: 99.926 | Train Loss: 7.257451143115759 || Teste acc: 76.73 | Teste Loss: 90.32241693139076
99 Train acc: 99.924 | Train Loss: 7.161629413254559 || Teste acc: 76.62 | Teste Loss: 90.44999477267265
101 Train acc: 99.922 | Train Loss: 7.298768099397421 || Teste acc: 76.78 | Teste Loss: 90.24605789780617
102 Train acc: 99.938 | Train Loss: 7.218949521891773 || Teste acc: 76.68 | Teste Loss: 90.13033962249756
103 Train acc: 99.92 | Train Loss: 7.31758182682097 || Teste acc: 76.62 | Teste Loss: 90.3019102215766956
104 Train acc: 99.922 | Train Loss: 7.434285788796842 || Teste acc: 76.7 | Teste Loss: 89.939200043678286
105 Train acc: 99.918 | Train Loss: 7.317576478235424 || Teste acc: 76.83 | Teste Loss: 90.07062545418746
106 Train acc: 99.928 | Train Loss: 7.257814487442374 || Teste acc: 76.76 | Teste Loss: 90.37510150671005
107 Train acc: 99.942 | Train Loss: 7.197006721049547 || Teste acc: 76.81 | Teste Loss: 90.23274692893028
108 Train acc: 99.904 | Train Loss: 7.52253014408052 || Teste acc: 76.72 | Teste Loss: 90.170387148857128
109 Train acc: 99.926 | Train Loss: 7.571489227004349 || Teste acc: 76.72 | Teste Loss: 90.43456292152405
110 Train acc: 99.922 | Train Loss: 7.6294439397752285 || Teste acc: 76.86 | Teste Loss: 89.99820545315742
111 Train acc: 99.916 | Train Loss: 7.872553621418774 || Teste acc: 76.96 | Teste Loss: 90.369656562805182
112 Train acc: 99.926 | Train Loss: 8.48213216662407 || Teste acc: 76.66 | Teste Loss: 91.1630698740482382
113 Train acc: 99.886 | Train Loss: 9.224888908676803 || Teste acc: 76.79 | Teste Loss: 91.804032564163212
114 Train acc: 99.9 | Train Loss: 9.569464033469558 || Teste acc: 76.85 | Teste Loss: 91.57468146085739212
115 Train acc: 99.818 | Train Loss: 11.015648595057428 || Teste acc: 76.47 | Teste Loss: 94.65325894951822
116 Train acc: 99.688 | Train Loss: 13.954902119003236 || Teste acc: 75.13 | Teste Loss: 97.47752475738525
117 Train acc: 99.33 | Train Loss: 20.835288671776652 || Teste acc: 73.31 | Teste Loss: 107.85970377922058
118 Train acc: 96.698 | Train Loss: 57.84720905870199 || Teste acc: 68.45 | Teste Loss: 129.21159976720818
119 Train acc: 90.646 | Train Loss: 132.23640993237495 || Teste acc: 65.25 | Teste Loss: 141.24926853179932
119 Train acc: 87.196 | Train Loss: 172.20845802128315 || Teste acc: 63.75 | Teste Loss: 144.11420685052872
119 Train acc: 87.196 | Train Loss: 172.20845802128315 || Teste acc: 63.75 | Teste Loss: 144.11420685052872
