
0 Train acc: 8.786 | Train Loss: 1537.4376175403595 || Teste acc: 12.93 | Teste Loss: 367.19402956962585
1 Train acc: 17.084 | Train Loss: 1331.8580465316772 || Teste acc: 22.0 | Teste Loss: 317.4979543685913
2 Train acc: 26.066 | Train Loss: 1137.5934283733368 || Teste acc: 28.6 | Teste Loss: 279.1439838409424
3 Train acc: 34.338 | Train Loss: 976.1506288051605 || Teste acc: 31.52 | Teste Loss: 264.9525394439697
4 Train acc: 39.982 | Train Loss: 873.9198192358017 || Teste acc: 36.62 | Teste Loss: 249.81875610351562
5 Train acc: 43.632 | Train Loss: 808.8329472541809 || Teste acc: 37.63 | Teste Loss: 239.74361979961395
6 Train acc: 46.604 | Train Loss: 763.0869958400726 || Teste acc: 35.86 | Teste Loss: 262.5845730304718
7 Train acc: 48.384 | Train Loss: 734.9157040119171 || Teste acc: 43.61 | Teste Loss: 214.35388004779816
8 Train acc: 49.91 | Train Loss: 707.9459265470505 || Teste acc: 43.36 | Teste Loss: 216.8302183151245
9 Train acc: 50.724 | Train Loss: 694.0258197784424 || Teste acc: 40.27 | Teste Loss: 237.6470571756363
10 Train acc: 52.08 | Train Loss: 677.6678965091705 || Teste acc: 45.78 | Teste Loss: 204.367320895195
11 Train acc: 52.872 | Train Loss: 664.461535692215 || Teste acc: 45.39 | Teste Loss: 202.65628325939178
12 Train acc: 53.878 | Train Loss: 648.4701417684555 || Teste acc: 48.99 | Teste Loss: 189.88808858394623
13 Train acc: 54.442 | Train Loss: 640.3636461496353 || Teste acc: 47.71 | Teste Loss: 200.27138423919678
14 Train acc: 55.096 | Train Loss: 629.5352656841278 || Teste acc: 46.92 | Teste Loss: 200.54465770721436
15 Train acc: 55.464 | Train Loss: 624.9518022537231 || Teste acc: 48.87 | Teste Loss: 192.63244557380676
16 Train acc: 55.898 | Train Loss: 616.031534910202 || Teste acc: 44.4 | Teste Loss: 218.2059609889984
17 Train acc: 56.352 | Train Loss: 610.9051285982132 || Teste acc: 49.31 | Teste Loss: 185.99789762496948
18 Train acc: 57.068 | Train Loss: 602.2971668243408 || Teste acc: 44.42 | Teste Loss: 215.14969265460968
19 Train acc: 56.978 | Train Loss: 599.2254809141159 || Teste acc: 48.19 | Teste Loss: 204.84474670886993
20 Train acc: 57.728 | Train Loss: 591.6766966581345 || Teste acc: 51.28 | Teste Loss: 182.45374202728271
21 Train acc: 57.86 | Train Loss: 585.9669194221497 || Teste acc: 46.48 | Teste Loss: 209.12389039993286
22 Train acc: 58.348 | Train Loss: 581.4251499772072 || Teste acc: 50.43 | Teste Loss: 187.12711822986603
23 Train acc: 58.65 | Train Loss: 573.7125475406647 || Teste acc: 49.5 | Teste Loss: 187.655020236969
24 Train acc: 59.264 | Train Loss: 567.2375786304474 || Teste acc: 48.07 | Teste Loss: 197.82507228851318
25 Train acc: 59.312 | Train Loss: 566.6579409837723 || Teste acc: 51.61 | Teste Loss: 178.20816469192505
26 Train acc: 59.734 | Train Loss: 560.8120422363281 || Teste acc: 46.1 | Teste Loss: 211.63452410697937
27 Train acc: 59.764 | Train Loss: 555.0869822502136 || Teste acc: 53.44 | Teste Loss: 172.77651154994965
28 Train acc: 60.526 | Train Loss: 547.6614172458649 || Teste acc: 47.64 | Teste Loss: 204.9045786857605
29 Train acc: 60.734 | Train Loss: 544.4645636677742 || Teste acc: 48.42 | Teste Loss: 203.29075527191162
30 Train acc: 61.0 | Train Loss: 540.2845494747162 || Teste acc: 53.54 | Teste Loss: 169.05490016937256
31 Train acc: 61.212 | Train Loss: 532.6896839737892 || Teste acc: 49.96 | Teste Loss: 188.15906035900116
32 Train acc: 61.754 | Train Loss: 525.3590014576912 || Teste acc: 50.79 | Teste Loss: 185.68890821933746
33 Train acc: 61.722 | Train Loss: 525.9773124456406 || Teste acc: 49.3 | Teste Loss: 197.7182253599167
34 Train acc: 62.91 | Train Loss: 514.5184992551804 || Teste acc: 54.86 | Teste Loss: 164.0996081829071
35 Train acc: 62.71 | Train Loss: 512.4013639688492 || Teste acc: 55.53 | Teste Loss: 161.73021185398102
36 Train acc: 63.444 | Train Loss: 501.1505687236786 || Teste acc: 54.49 | Teste Loss: 168.31014502048492
37 Train acc: 63.992 | Train Loss: 495.5501985549927 || Teste acc: 48.88 | Teste Loss: 201.33856868743896
38 Train acc: 64.152 | Train Loss: 489.4207381606102 || Teste acc: 54.88 | Teste Loss: 166.4697287082672
39 Train acc: 64.51 | Train Loss: 485.2689265012741 || Teste acc: 55.1 | Teste Loss: 169.62750351428986
40 Train acc: 64.56 | Train Loss: 485.3003455400467 || Teste acc: 53.27 | Teste Loss: 177.4410125017166
41 Train acc: 65.402 | Train Loss: 470.83724224567413 || Teste acc: 54.9 | Teste Loss: 168.15479040145874
42 Train acc: 65.906 | Train Loss: 465.0096790790558 || Teste acc: 52.87 | Teste Loss: 182.5687279701233
43 Train acc: 66.34 | Train Loss: 460.80297231674194 || Teste acc: 56.59 | Teste Loss: 165.51836693286896
44 Train acc: 66.792 | Train Loss: 455.0177721977234 || Teste acc: 57.91 | Teste Loss: 161.61860859394073
45 Train acc: 67.022 | Train Loss: 449.51632672548294 || Teste acc: 56.41 | Teste Loss: 161.91396534442902
46 Train acc: 67.712 | Train Loss: 438.8318162560463 || Teste acc: 57.26 | Teste Loss: 155.2407579421997
47 Train acc: 67.778 | Train Loss: 435.0980064868927 || Teste acc: 55.3 | Teste Loss: 168.04405748844147
48 Train acc: 68.632 | Train Loss: 423.7246096134186 || Teste acc: 59.15 | Teste Loss: 154.09308850765228
49 Train acc: 69.13 | Train Loss: 413.77964901924133 || Teste acc: 55.15 | Teste Loss: 180.57915616035461
50 Train acc: 69.814 | Train Loss: 405.0133393406868 || Teste acc: 60.26 | Teste Loss: 149.6927306652069
51 Train acc: 70.336 | Train Loss: 397.8395901322365 || Teste acc: 60.07 | Teste Loss: 148.77713298797607
52 Train acc: 71.042 | Train Loss: 390.32242929935455 || Teste acc: 58.57 | Teste Loss: 158.036367893219
53 Train acc: 71.412 | Train Loss: 383.13516968488693 || Teste acc: 61.44 | Teste Loss: 139.66580629348755
54 Train acc: 72.36 | Train Loss: 370.83102852106094 || Teste acc: 60.36 | Teste Loss: 145.63427639007568
55 Train acc: 73.02 | Train Loss: 359.712218940258 || Teste acc: 61.35 | Teste Loss: 141.42241537570953
56 Train acc: 73.21 | Train Loss: 355.4535610675812 || Teste acc: 55.0 | Teste Loss: 179.3455067873001
