
0 Train acc: 8.002 | Train Loss: 1558.0593469142914 || Teste acc: 11.24 | Teste Loss: 375.3190565109253
1 Train acc: 16.748 | Train Loss: 1344.9386610984802 || Teste acc: 19.75 | Teste Loss: 326.8573651313782
2 Train acc: 24.92 | Train Loss: 1160.8462245464325 || Teste acc: 26.82 | Teste Loss: 283.98174381256104
3 Train acc: 32.62 | Train Loss: 1002.6869010925293 || Teste acc: 33.0 | Teste Loss: 259.0379445552826
4 Train acc: 38.942 | Train Loss: 888.8215659856796 || Teste acc: 36.99 | Teste Loss: 241.4560043811798
5 Train acc: 43.016 | Train Loss: 817.0519359111786 || Teste acc: 35.61 | Teste Loss: 247.84665513038635
6 Train acc: 46.106 | Train Loss: 768.7500469684601 || Teste acc: 44.91 | Teste Loss: 203.43150556087494
7 Train acc: 48.37 | Train Loss: 732.3831909894943 || Teste acc: 41.0 | Teste Loss: 225.92233002185822
8 Train acc: 50.01 | Train Loss: 708.9577333927155 || Teste acc: 38.6 | Teste Loss: 251.75610637664795
9 Train acc: 51.234 | Train Loss: 688.7529745101929 || Teste acc: 39.54 | Teste Loss: 247.00648379325867
10 Train acc: 52.592 | Train Loss: 667.507134437561 || Teste acc: 46.36 | Teste Loss: 198.42553198337555
11 Train acc: 53.264 | Train Loss: 657.6751271486282 || Teste acc: 43.58 | Teste Loss: 218.2398979663849
12 Train acc: 53.94 | Train Loss: 645.3980768918991 || Teste acc: 47.92 | Teste Loss: 196.153959274292
13 Train acc: 54.504 | Train Loss: 637.7537010908127 || Teste acc: 48.54 | Teste Loss: 195.24891424179077
14 Train acc: 55.328 | Train Loss: 625.6321390867233 || Teste acc: 40.77 | Teste Loss: 241.24788117408752
15 Train acc: 55.924 | Train Loss: 619.6735754013062 || Teste acc: 42.92 | Teste Loss: 218.84456646442413
16 Train acc: 56.348 | Train Loss: 613.5554796457291 || Teste acc: 50.3 | Teste Loss: 188.64128518104553
17 Train acc: 56.746 | Train Loss: 606.2540187835693 || Teste acc: 46.53 | Teste Loss: 199.9154931306839
18 Train acc: 57.144 | Train Loss: 598.7946383953094 || Teste acc: 46.92 | Teste Loss: 206.40326249599457
19 Train acc: 57.186 | Train Loss: 595.1161315441132 || Teste acc: 49.56 | Teste Loss: 190.2150821685791
20 Train acc: 57.668 | Train Loss: 591.305099606514 || Teste acc: 48.48 | Teste Loss: 196.600252866745
21 Train acc: 58.066 | Train Loss: 584.7494970560074 || Teste acc: 46.07 | Teste Loss: 210.41867005825043
22 Train acc: 58.51 | Train Loss: 578.2944971323013 || Teste acc: 48.38 | Teste Loss: 202.41972815990448
23 Train acc: 58.596 | Train Loss: 574.6299297809601 || Teste acc: 49.59 | Teste Loss: 189.34591734409332
24 Train acc: 59.042 | Train Loss: 568.8720294237137 || Teste acc: 41.82 | Teste Loss: 241.56017589569092
25 Train acc: 59.582 | Train Loss: 561.6141339540482 || Teste acc: 50.69 | Teste Loss: 189.90646481513977
26 Train acc: 59.796 | Train Loss: 558.0254096984863 || Teste acc: 50.35 | Teste Loss: 190.01395869255066
27 Train acc: 60.13 | Train Loss: 552.2886434197426 || Teste acc: 49.75 | Teste Loss: 186.1765124797821
28 Train acc: 60.492 | Train Loss: 545.980605840683 || Teste acc: 48.67 | Teste Loss: 204.04655992984772
29 Train acc: 60.808 | Train Loss: 541.7310557365417 || Teste acc: 50.15 | Teste Loss: 192.92733371257782
30 Train acc: 61.026 | Train Loss: 538.6029339432716 || Teste acc: 45.69 | Teste Loss: 219.81345188617706
31 Train acc: 61.72 | Train Loss: 527.4749504327774 || Teste acc: 49.49 | Teste Loss: 193.68685162067413
32 Train acc: 61.67 | Train Loss: 527.4540897607803 || Teste acc: 51.83 | Teste Loss: 180.64496052265167
33 Train acc: 62.386 | Train Loss: 518.0232465267181 || Teste acc: 52.03 | Teste Loss: 189.56528437137604
34 Train acc: 62.908 | Train Loss: 510.2015283703804 || Teste acc: 51.98 | Teste Loss: 182.2039006948471
35 Train acc: 63.238 | Train Loss: 505.91224682331085 || Teste acc: 51.89 | Teste Loss: 183.02693390846252
36 Train acc: 63.674 | Train Loss: 502.3741410970688 || Teste acc: 52.18 | Teste Loss: 181.89365112781525
37 Train acc: 63.898 | Train Loss: 495.021268427372 || Teste acc: 53.57 | Teste Loss: 177.49815213680267
38 Train acc: 63.98 | Train Loss: 491.7379888892174 || Teste acc: 48.63 | Teste Loss: 216.676576256752
39 Train acc: 65.14 | Train Loss: 481.23973417282104 || Teste acc: 57.42 | Teste Loss: 156.7315355539322
40 Train acc: 65.138 | Train Loss: 475.52207803726196 || Teste acc: 57.15 | Teste Loss: 161.73192989826202
41 Train acc: 65.622 | Train Loss: 471.8120661377907 || Teste acc: 56.29 | Teste Loss: 162.22425389289856
42 Train acc: 65.902 | Train Loss: 464.41439217329025 || Teste acc: 53.65 | Teste Loss: 172.33560693264008
43 Train acc: 66.52 | Train Loss: 460.92690551280975 || Teste acc: 56.59 | Teste Loss: 160.64049649238586
44 Train acc: 66.882 | Train Loss: 449.7083166837692 || Teste acc: 58.3 | Teste Loss: 152.78717064857483
45 Train acc: 67.484 | Train Loss: 444.20253098011017 || Teste acc: 53.69 | Teste Loss: 185.03199815750122
46 Train acc: 67.85 | Train Loss: 435.942508995533 || Teste acc: 59.01 | Teste Loss: 150.75247848033905
