
0 Train acc: 8.21 | Train Loss: 1548.013526916504 || Teste acc: 11.14 | Teste Loss: 374.477511882782
1 Train acc: 16.732 | Train Loss: 1343.4871072769165 || Teste acc: 19.35 | Teste Loss: 331.391343832016
2 Train acc: 24.2 | Train Loss: 1182.7258052825928 || Teste acc: 27.23 | Teste Loss: 287.5003345012665
3 Train acc: 31.484 | Train Loss: 1030.1102957725525 || Teste acc: 32.99 | Teste Loss: 255.61234092712402
4 Train acc: 37.666 | Train Loss: 908.4860290288925 || Teste acc: 35.02 | Teste Loss: 243.1959547996521
5 Train acc: 42.766 | Train Loss: 825.710831284523 || Teste acc: 35.61 | Teste Loss: 255.3667688369751
6 Train acc: 45.584 | Train Loss: 777.2501105070114 || Teste acc: 43.24 | Teste Loss: 214.11739242076874
7 Train acc: 48.012 | Train Loss: 742.0028167963028 || Teste acc: 41.43 | Teste Loss: 228.49143147468567
8 Train acc: 49.452 | Train Loss: 715.0482442378998 || Teste acc: 46.19 | Teste Loss: 203.10186207294464
9 Train acc: 51.056 | Train Loss: 692.1127700805664 || Teste acc: 46.68 | Teste Loss: 202.16850066184998
10 Train acc: 52.198 | Train Loss: 673.8908610343933 || Teste acc: 45.44 | Teste Loss: 207.65708565711975
11 Train acc: 52.92 | Train Loss: 659.579122543335 || Teste acc: 45.08 | Teste Loss: 208.05805456638336
12 Train acc: 53.394 | Train Loss: 652.909596323967 || Teste acc: 45.5 | Teste Loss: 207.34735119342804
13 Train acc: 54.408 | Train Loss: 641.2110043764114 || Teste acc: 45.68 | Teste Loss: 207.21855115890503
14 Train acc: 55.172 | Train Loss: 630.326043009758 || Teste acc: 49.75 | Teste Loss: 186.24073433876038
15 Train acc: 55.376 | Train Loss: 623.1230512857437 || Teste acc: 49.78 | Teste Loss: 187.48777961730957
16 Train acc: 56.01 | Train Loss: 615.1279842853546 || Teste acc: 46.59 | Teste Loss: 198.69951677322388
17 Train acc: 56.462 | Train Loss: 609.0314160585403 || Teste acc: 46.51 | Teste Loss: 205.7910988330841
18 Train acc: 56.682 | Train Loss: 605.317299246788 || Teste acc: 46.84 | Teste Loss: 202.11759388446808
19 Train acc: 57.354 | Train Loss: 595.2324775457382 || Teste acc: 50.51 | Teste Loss: 186.8698959350586
20 Train acc: 57.742 | Train Loss: 590.8879321813583 || Teste acc: 52.83 | Teste Loss: 175.87273681163788
21 Train acc: 57.94 | Train Loss: 586.805489897728 || Teste acc: 40.27 | Teste Loss: 240.5216964483261
22 Train acc: 58.416 | Train Loss: 577.9544475078583 || Teste acc: 45.23 | Teste Loss: 215.2567901611328
23 Train acc: 59.088 | Train Loss: 572.0206677317619 || Teste acc: 49.13 | Teste Loss: 197.32921028137207
24 Train acc: 59.612 | Train Loss: 563.6350816488266 || Teste acc: 50.77 | Teste Loss: 187.5995581150055
25 Train acc: 59.322 | Train Loss: 565.3181545734406 || Teste acc: 45.62 | Teste Loss: 217.6881844997406
