
0 Train acc: 8.138 | Train Loss: 1556.479627609253 || Teste acc: 13.31 | Teste Loss: 362.0374872684479
1 Train acc: 16.732 | Train Loss: 1339.3407397270203 || Teste acc: 18.78 | Teste Loss: 328.692752122879
2 Train acc: 24.356 | Train Loss: 1179.6098356246948 || Teste acc: 23.43 | Teste Loss: 316.0775098800659
3 Train acc: 31.522 | Train Loss: 1030.0786972045898 || Teste acc: 34.3 | Teste Loss: 247.70130276679993
4 Train acc: 37.76 | Train Loss: 911.4541350603104 || Teste acc: 34.82 | Teste Loss: 249.65733885765076
5 Train acc: 42.096 | Train Loss: 836.1916451454163 || Teste acc: 35.22 | Teste Loss: 252.13461422920227
6 Train acc: 45.236 | Train Loss: 783.9069952964783 || Teste acc: 42.42 | Teste Loss: 217.4786720275879
7 Train acc: 47.772 | Train Loss: 747.1294676065445 || Teste acc: 40.66 | Teste Loss: 229.20670580863953
8 Train acc: 49.156 | Train Loss: 721.6562250852585 || Teste acc: 45.32 | Teste Loss: 203.26006269454956
9 Train acc: 50.908 | Train Loss: 701.978439450264 || Teste acc: 43.63 | Teste Loss: 215.46477806568146
10 Train acc: 51.398 | Train Loss: 685.9193644523621 || Teste acc: 46.16 | Teste Loss: 202.50008249282837
11 Train acc: 52.674 | Train Loss: 670.8639934062958 || Teste acc: 45.77 | Teste Loss: 202.58219969272614
12 Train acc: 53.332 | Train Loss: 656.7162084579468 || Teste acc: 46.84 | Teste Loss: 202.65406548976898
13 Train acc: 53.962 | Train Loss: 649.0926738977432 || Teste acc: 47.56 | Teste Loss: 196.71501553058624
14 Train acc: 54.604 | Train Loss: 636.4840497970581 || Teste acc: 38.43 | Teste Loss: 249.22725999355316
15 Train acc: 55.37 | Train Loss: 625.6545177698135 || Teste acc: 39.96 | Teste Loss: 228.94545936584473
16 Train acc: 55.772 | Train Loss: 618.5502005815506 || Teste acc: 48.57 | Teste Loss: 195.29478573799133
17 Train acc: 56.218 | Train Loss: 612.50676882267 || Teste acc: 48.94 | Teste Loss: 200.78911674022675
18 Train acc: 56.694 | Train Loss: 604.609494805336 || Teste acc: 46.08 | Teste Loss: 214.75069415569305
19 Train acc: 57.028 | Train Loss: 600.8533132076263 || Teste acc: 50.74 | Teste Loss: 188.38568437099457
20 Train acc: 57.654 | Train Loss: 592.0657945871353 || Teste acc: 38.48 | Teste Loss: 254.43781304359436
21 Train acc: 58.004 | Train Loss: 585.9607651233673 || Teste acc: 47.77 | Teste Loss: 203.72672140598297
22 Train acc: 58.484 | Train Loss: 581.907754778862 || Teste acc: 51.65 | Teste Loss: 180.2809454202652
23 Train acc: 58.68 | Train Loss: 574.9249269366264 || Teste acc: 52.06 | Teste Loss: 176.5319082736969
24 Train acc: 59.05 | Train Loss: 572.0589513778687 || Teste acc: 45.81 | Teste Loss: 212.2836638689041
25 Train acc: 59.63 | Train Loss: 563.9332325458527 || Teste acc: 50.35 | Teste Loss: 192.9317855834961
26 Train acc: 60.1 | Train Loss: 558.6656725406647 || Teste acc: 46.75 | Teste Loss: 202.55949807167053
27 Train acc: 60.036 | Train Loss: 556.8807711005211 || Teste acc: 52.46 | Teste Loss: 178.27366518974304
28 Train acc: 60.688 | Train Loss: 546.9135972261429 || Teste acc: 50.74 | Teste Loss: 190.70313322544098
29 Train acc: 60.912 | Train Loss: 543.5441734790802 || Teste acc: 52.48 | Teste Loss: 179.99524593353271
