
0 Train acc: 9.276 | Train Loss: 1531.1240026950836 || Teste acc: 12.98 | Teste Loss: 365.936322927475
1 Train acc: 17.69 | Train Loss: 1313.5454037189484 || Teste acc: 19.81 | Teste Loss: 326.31931471824646
2 Train acc: 26.582 | Train Loss: 1127.3405621051788 || Teste acc: 27.83 | Teste Loss: 277.3604142665863
3 Train acc: 34.328 | Train Loss: 971.4124593734741 || Teste acc: 30.41 | Teste Loss: 282.5662682056427
4 Train acc: 39.696 | Train Loss: 873.866356253624 || Teste acc: 29.56 | Teste Loss: 310.76710772514343
5 Train acc: 43.906 | Train Loss: 806.9153170585632 || Teste acc: 39.95 | Teste Loss: 225.64220643043518
6 Train acc: 47.032 | Train Loss: 758.4793448448181 || Teste acc: 41.47 | Teste Loss: 218.71778810024261
7 Train acc: 48.586 | Train Loss: 729.838078379631 || Teste acc: 39.91 | Teste Loss: 246.91077876091003
8 Train acc: 50.248 | Train Loss: 704.4528478384018 || Teste acc: 43.52 | Teste Loss: 210.52858984470367
9 Train acc: 51.648 | Train Loss: 684.5630502700806 || Teste acc: 42.62 | Teste Loss: 224.41245257854462
10 Train acc: 52.478 | Train Loss: 670.5230127573013 || Teste acc: 46.8 | Teste Loss: 200.0144534111023
11 Train acc: 53.158 | Train Loss: 657.9548952579498 || Teste acc: 43.6 | Teste Loss: 217.45593929290771
12 Train acc: 54.174 | Train Loss: 645.955765247345 || Teste acc: 39.68 | Teste Loss: 240.73972964286804
13 Train acc: 54.776 | Train Loss: 637.6171208620071 || Teste acc: 45.1 | Teste Loss: 211.6333042383194
14 Train acc: 55.364 | Train Loss: 627.3581980466843 || Teste acc: 41.63 | Teste Loss: 236.24360513687134
15 Train acc: 55.674 | Train Loss: 621.2966850996017 || Teste acc: 41.71 | Teste Loss: 233.0171148777008
16 Train acc: 56.176 | Train Loss: 613.4871772527695 || Teste acc: 50.19 | Teste Loss: 183.96372628211975
17 Train acc: 56.976 | Train Loss: 605.6747640371323 || Teste acc: 48.24 | Teste Loss: 199.96744096279144
18 Train acc: 57.318 | Train Loss: 599.0607181787491 || Teste acc: 44.09 | Teste Loss: 228.21084082126617
19 Train acc: 57.826 | Train Loss: 590.7958223819733 || Teste acc: 51.43 | Teste Loss: 179.15530669689178
20 Train acc: 58.008 | Train Loss: 587.2590463161469 || Teste acc: 42.79 | Teste Loss: 226.34656286239624
21 Train acc: 58.412 | Train Loss: 581.0058442354202 || Teste acc: 52.56 | Teste Loss: 175.88119423389435
22 Train acc: 58.684 | Train Loss: 575.3561685085297 || Teste acc: 46.7 | Teste Loss: 211.5688672065735
23 Train acc: 59.202 | Train Loss: 570.7195107936859 || Teste acc: 49.07 | Teste Loss: 201.16586565971375
24 Train acc: 59.576 | Train Loss: 564.679992377758 || Teste acc: 42.55 | Teste Loss: 227.25874245166779
25 Train acc: 59.494 | Train Loss: 561.857868552208 || Teste acc: 49.61 | Teste Loss: 185.96760368347168
26 Train acc: 59.834 | Train Loss: 556.7218885421753 || Teste acc: 47.69 | Teste Loss: 201.40253615379333
27 Train acc: 60.542 | Train Loss: 548.3396344780922 || Teste acc: 53.61 | Teste Loss: 169.3694804906845
28 Train acc: 60.778 | Train Loss: 545.2768888473511 || Teste acc: 45.66 | Teste Loss: 218.15602910518646
29 Train acc: 61.128 | Train Loss: 541.1811310052872 || Teste acc: 41.74 | Teste Loss: 240.1034815311432
30 Train acc: 61.44 | Train Loss: 535.3161305189133 || Teste acc: 50.34 | Teste Loss: 191.71377038955688
31 Train acc: 61.828 | Train Loss: 528.9907048940659 || Teste acc: 47.63 | Teste Loss: 201.5513700246811
32 Train acc: 62.338 | Train Loss: 523.7896460294724 || Teste acc: 54.87 | Teste Loss: 170.16725397109985
33 Train acc: 62.5 | Train Loss: 520.0908226966858 || Teste acc: 54.12 | Teste Loss: 172.3381049633026
34 Train acc: 63.268 | Train Loss: 510.58233416080475 || Teste acc: 51.71 | Teste Loss: 186.55676794052124
35 Train acc: 63.356 | Train Loss: 506.49669992923737 || Teste acc: 50.9 | Teste Loss: 183.6734002828598
36 Train acc: 63.428 | Train Loss: 503.4700410962105 || Teste acc: 48.57 | Teste Loss: 197.40190148353577
37 Train acc: 64.116 | Train Loss: 495.13300001621246 || Teste acc: 53.46 | Teste Loss: 171.272190451622
38 Train acc: 64.418 | Train Loss: 488.2422186136246 || Teste acc: 53.02 | Teste Loss: 176.58856976032257
39 Train acc: 64.984 | Train Loss: 484.0976865887642 || Teste acc: 52.05 | Teste Loss: 185.11390388011932
40 Train acc: 65.31 | Train Loss: 476.5444774031639 || Teste acc: 55.53 | Teste Loss: 166.30510938167572
41 Train acc: 65.822 | Train Loss: 468.8492814898491 || Teste acc: 51.96 | Teste Loss: 183.76252138614655
