
0 Train acc: 8.168 | Train Loss: 1550.9340500831604 || Teste acc: 11.48 | Teste Loss: 370.5559751987457
1 Train acc: 16.648 | Train Loss: 1341.600459575653 || Teste acc: 21.77 | Teste Loss: 315.130264043808
2 Train acc: 24.514 | Train Loss: 1171.6408581733704 || Teste acc: 24.12 | Teste Loss: 303.9829611778259
3 Train acc: 31.648 | Train Loss: 1022.2269604206085 || Teste acc: 32.35 | Teste Loss: 257.82142663002014
4 Train acc: 38.656 | Train Loss: 898.5498199462891 || Teste acc: 35.5 | Teste Loss: 246.51433634757996
5 Train acc: 43.062 | Train Loss: 821.0283708572388 || Teste acc: 36.31 | Teste Loss: 251.3952612876892
6 Train acc: 46.126 | Train Loss: 768.1795344352722 || Teste acc: 40.72 | Teste Loss: 224.08489620685577
7 Train acc: 48.162 | Train Loss: 734.2295335531235 || Teste acc: 43.34 | Teste Loss: 214.86537873744965
8 Train acc: 49.934 | Train Loss: 709.2718470096588 || Teste acc: 42.13 | Teste Loss: 217.60702621936798
9 Train acc: 51.588 | Train Loss: 690.3667187690735 || Teste acc: 44.85 | Teste Loss: 206.39118480682373
10 Train acc: 52.626 | Train Loss: 671.4905843734741 || Teste acc: 48.45 | Teste Loss: 191.73645734786987
11 Train acc: 53.204 | Train Loss: 656.5587167739868 || Teste acc: 42.95 | Teste Loss: 224.63978576660156
12 Train acc: 53.846 | Train Loss: 648.9539011716843 || Teste acc: 48.29 | Teste Loss: 195.89676594734192
13 Train acc: 54.652 | Train Loss: 637.2807139158249 || Teste acc: 46.7 | Teste Loss: 200.90233480930328
14 Train acc: 55.376 | Train Loss: 626.3966705799103 || Teste acc: 44.29 | Teste Loss: 219.3811000585556
15 Train acc: 55.642 | Train Loss: 621.2047576904297 || Teste acc: 43.81 | Teste Loss: 222.24065136909485
16 Train acc: 55.998 | Train Loss: 615.7029845714569 || Teste acc: 43.49 | Teste Loss: 227.93176972866058
17 Train acc: 56.58 | Train Loss: 604.8430438041687 || Teste acc: 49.66 | Teste Loss: 193.30642640590668
18 Train acc: 57.252 | Train Loss: 599.0877488851547 || Teste acc: 51.49 | Teste Loss: 177.32760727405548
