
0 Train acc: 8.412 | Train Loss: 1542.1746819019318 || Teste acc: 10.54 | Teste Loss: 378.155886888504
1 Train acc: 17.234 | Train Loss: 1324.4824993610382 || Teste acc: 20.94 | Teste Loss: 321.14920687675476
2 Train acc: 25.708 | Train Loss: 1145.1730573177338 || Teste acc: 25.9 | Teste Loss: 291.3520612716675
3 Train acc: 33.798 | Train Loss: 984.7784440517426 || Teste acc: 32.46 | Teste Loss: 261.46134853363037
4 Train acc: 39.52 | Train Loss: 879.3828679323196 || Teste acc: 33.47 | Teste Loss: 260.9091181755066
5 Train acc: 43.806 | Train Loss: 810.1744245290756 || Teste acc: 42.19 | Teste Loss: 220.58217358589172
6 Train acc: 46.574 | Train Loss: 761.6771615743637 || Teste acc: 38.44 | Teste Loss: 233.2576483488083
7 Train acc: 48.374 | Train Loss: 732.0451182126999 || Teste acc: 38.56 | Teste Loss: 242.4941076040268
8 Train acc: 50.326 | Train Loss: 702.2961560487747 || Teste acc: 45.89 | Teste Loss: 204.42151474952698
9 Train acc: 51.7 | Train Loss: 685.9876140356064 || Teste acc: 43.72 | Teste Loss: 219.14843702316284
10 Train acc: 52.546 | Train Loss: 667.9536304473877 || Teste acc: 46.82 | Teste Loss: 199.12133610248566
11 Train acc: 53.138 | Train Loss: 657.6404750347137 || Teste acc: 42.64 | Teste Loss: 223.48483955860138
12 Train acc: 54.228 | Train Loss: 643.512134552002 || Teste acc: 47.1 | Teste Loss: 203.70522916316986
13 Train acc: 54.756 | Train Loss: 635.1550719738007 || Teste acc: 47.05 | Teste Loss: 203.35597455501556
14 Train acc: 55.22 | Train Loss: 628.5289086103439 || Teste acc: 44.66 | Teste Loss: 210.62312471866608
15 Train acc: 55.718 | Train Loss: 620.4625571966171 || Teste acc: 45.83 | Teste Loss: 207.9920814037323
16 Train acc: 56.606 | Train Loss: 610.2548800706863 || Teste acc: 42.93 | Teste Loss: 231.86552250385284
17 Train acc: 56.78 | Train Loss: 605.7086138725281 || Teste acc: 48.29 | Teste Loss: 197.6815629005432
18 Train acc: 57.214 | Train Loss: 598.7491832971573 || Teste acc: 48.98 | Teste Loss: 192.7482430934906
19 Train acc: 57.722 | Train Loss: 595.0997339487076 || Teste acc: 43.01 | Teste Loss: 226.55779349803925
20 Train acc: 57.932 | Train Loss: 587.9440262317657 || Teste acc: 47.7 | Teste Loss: 199.13699388504028
21 Train acc: 58.458 | Train Loss: 583.9197717905045 || Teste acc: 44.82 | Teste Loss: 217.89313185214996
22 Train acc: 58.65 | Train Loss: 579.3533924818039 || Teste acc: 47.92 | Teste Loss: 196.91200959682465
23 Train acc: 59.12 | Train Loss: 570.6989500522614 || Teste acc: 44.13 | Teste Loss: 217.00732266902924
24 Train acc: 59.5 | Train Loss: 566.1135276556015 || Teste acc: 49.89 | Teste Loss: 194.55071449279785
25 Train acc: 59.502 | Train Loss: 562.4615424871445 || Teste acc: 50.66 | Teste Loss: 191.67804276943207
26 Train acc: 60.16 | Train Loss: 557.5131369829178 || Teste acc: 53.5 | Teste Loss: 170.9144538640976
27 Train acc: 60.366 | Train Loss: 552.1321711540222 || Teste acc: 48.14 | Teste Loss: 208.45538246631622
28 Train acc: 60.94 | Train Loss: 545.8651421070099 || Teste acc: 50.9 | Teste Loss: 183.18366742134094
29 Train acc: 61.172 | Train Loss: 539.3575216531754 || Teste acc: 52.74 | Teste Loss: 174.5298511981964
30 Train acc: 61.534 | Train Loss: 535.5431025028229 || Teste acc: 47.4 | Teste Loss: 216.20474481582642
31 Train acc: 61.77 | Train Loss: 530.1694222688675 || Teste acc: 45.74 | Teste Loss: 217.39503383636475
32 Train acc: 62.086 | Train Loss: 523.1179472208023 || Teste acc: 54.3 | Teste Loss: 168.53785598278046
33 Train acc: 62.772 | Train Loss: 515.6864416599274 || Teste acc: 54.85 | Teste Loss: 168.74681568145752
34 Train acc: 63.318 | Train Loss: 509.76401805877686 || Teste acc: 48.7 | Teste Loss: 195.67562115192413
35 Train acc: 63.59 | Train Loss: 506.4371137022972 || Teste acc: 56.04 | Teste Loss: 162.1328798532486
36 Train acc: 63.848 | Train Loss: 500.86384230852127 || Teste acc: 49.11 | Teste Loss: 193.20507967472076
37 Train acc: 63.87 | Train Loss: 496.9477651119232 || Teste acc: 53.67 | Teste Loss: 175.41535794734955
38 Train acc: 64.576 | Train Loss: 489.94280284643173 || Teste acc: 54.96 | Teste Loss: 168.889955163002
39 Train acc: 65.126 | Train Loss: 481.6097052693367 || Teste acc: 53.58 | Teste Loss: 177.00014567375183
40 Train acc: 65.202 | Train Loss: 479.1727056503296 || Teste acc: 55.84 | Teste Loss: 167.5026959180832
41 Train acc: 65.974 | Train Loss: 467.3770178556442 || Teste acc: 54.59 | Teste Loss: 172.34557282924652
42 Train acc: 66.422 | Train Loss: 461.608690738678 || Teste acc: 55.22 | Teste Loss: 170.03387713432312
43 Train acc: 66.894 | Train Loss: 456.34765392541885 || Teste acc: 57.44 | Teste Loss: 158.16667318344116
44 Train acc: 67.3 | Train Loss: 450.0710406303406 || Teste acc: 56.88 | Teste Loss: 163.78729951381683
