
0 Train acc: 8.626 | Train Loss: 1542.4541900157928 || Teste acc: 11.96 | Teste Loss: 370.0743236541748
1 Train acc: 16.914 | Train Loss: 1330.8734369277954 || Teste acc: 21.1 | Teste Loss: 319.042387008667
2 Train acc: 24.984 | Train Loss: 1167.4049723148346 || Teste acc: 17.92 | Teste Loss: 390.22311425209045
3 Train acc: 32.566 | Train Loss: 1012.4493055343628 || Teste acc: 30.76 | Teste Loss: 270.64396619796753
4 Train acc: 38.346 | Train Loss: 899.5471223592758 || Teste acc: 32.28 | Teste Loss: 270.49633836746216
5 Train acc: 43.182 | Train Loss: 820.4270631074905 || Teste acc: 35.74 | Teste Loss: 252.2144479751587
6 Train acc: 46.106 | Train Loss: 771.917108297348 || Teste acc: 39.06 | Teste Loss: 237.57785844802856
7 Train acc: 48.354 | Train Loss: 736.7867127656937 || Teste acc: 39.95 | Teste Loss: 236.26676058769226
8 Train acc: 49.99 | Train Loss: 709.8597898483276 || Teste acc: 35.64 | Teste Loss: 275.4722099304199
9 Train acc: 51.324 | Train Loss: 687.867547750473 || Teste acc: 42.83 | Teste Loss: 219.29430484771729
10 Train acc: 52.506 | Train Loss: 670.1519483327866 || Teste acc: 41.24 | Teste Loss: 237.94795286655426
11 Train acc: 53.28 | Train Loss: 659.5493007898331 || Teste acc: 47.16 | Teste Loss: 201.99329137802124
12 Train acc: 54.108 | Train Loss: 647.0585035085678 || Teste acc: 42.51 | Teste Loss: 228.98155879974365
13 Train acc: 54.748 | Train Loss: 637.1699582338333 || Teste acc: 51.78 | Teste Loss: 185.71614730358124
14 Train acc: 54.89 | Train Loss: 633.4250034093857 || Teste acc: 50.56 | Teste Loss: 185.02135062217712
15 Train acc: 55.598 | Train Loss: 619.0815440416336 || Teste acc: 44.19 | Teste Loss: 212.99586820602417
16 Train acc: 55.91 | Train Loss: 616.5634169578552 || Teste acc: 43.9 | Teste Loss: 219.92306697368622
17 Train acc: 56.764 | Train Loss: 606.0672934055328 || Teste acc: 47.79 | Teste Loss: 199.96708965301514
18 Train acc: 57.184 | Train Loss: 600.7332572937012 || Teste acc: 46.62 | Teste Loss: 206.46416997909546
19 Train acc: 57.352 | Train Loss: 595.1277145147324 || Teste acc: 48.31 | Teste Loss: 193.1650207042694
20 Train acc: 57.426 | Train Loss: 593.236226439476 || Teste acc: 46.71 | Teste Loss: 200.43845403194427
21 Train acc: 57.962 | Train Loss: 586.8003740310669 || Teste acc: 46.85 | Teste Loss: 208.05239248275757
22 Train acc: 59.024 | Train Loss: 577.0353475809097 || Teste acc: 48.76 | Teste Loss: 196.60518646240234
23 Train acc: 58.754 | Train Loss: 574.6835634708405 || Teste acc: 43.64 | Teste Loss: 221.12224626541138
24 Train acc: 59.528 | Train Loss: 566.8797744512558 || Teste acc: 50.95 | Teste Loss: 185.34176540374756
