
0 Train acc: 8.292 | Train Loss: 1540.8823018074036 || Teste acc: 10.72 | Teste Loss: 375.2758324146271
1 Train acc: 17.282 | Train Loss: 1330.3746457099915 || Teste acc: 18.94 | Teste Loss: 333.4766492843628
2 Train acc: 25.306 | Train Loss: 1151.1785011291504 || Teste acc: 22.78 | Teste Loss: 321.4033372402191
3 Train acc: 33.178 | Train Loss: 995.6086819171906 || Teste acc: 32.4 | Teste Loss: 261.0944674015045
4 Train acc: 38.948 | Train Loss: 887.0316407680511 || Teste acc: 37.81 | Teste Loss: 237.73326063156128
5 Train acc: 43.1 | Train Loss: 818.9387040138245 || Teste acc: 37.38 | Teste Loss: 239.96927523612976
6 Train acc: 46.152 | Train Loss: 768.4797662496567 || Teste acc: 36.59 | Teste Loss: 255.70156502723694
7 Train acc: 47.934 | Train Loss: 739.2789007425308 || Teste acc: 40.75 | Teste Loss: 229.48646473884583
8 Train acc: 49.628 | Train Loss: 714.2628667354584 || Teste acc: 43.2 | Teste Loss: 213.6207582950592
9 Train acc: 50.774 | Train Loss: 693.2776896953583 || Teste acc: 43.61 | Teste Loss: 221.018439412117
10 Train acc: 52.09 | Train Loss: 675.1275663375854 || Teste acc: 41.3 | Teste Loss: 228.76769053936005
11 Train acc: 52.526 | Train Loss: 663.4969137907028 || Teste acc: 38.83 | Teste Loss: 262.15051889419556
12 Train acc: 53.742 | Train Loss: 650.5855613946915 || Teste acc: 47.12 | Teste Loss: 199.63683235645294
13 Train acc: 54.66 | Train Loss: 638.1964237689972 || Teste acc: 48.7 | Teste Loss: 190.7153023481369
14 Train acc: 55.186 | Train Loss: 632.38427567482 || Teste acc: 46.32 | Teste Loss: 201.83898663520813
15 Train acc: 56.038 | Train Loss: 619.5051048994064 || Teste acc: 48.44 | Teste Loss: 193.58489513397217
16 Train acc: 56.328 | Train Loss: 613.6494059562683 || Teste acc: 47.56 | Teste Loss: 197.04440248012543
17 Train acc: 56.368 | Train Loss: 610.3073623180389 || Teste acc: 45.66 | Teste Loss: 205.46338593959808
18 Train acc: 56.704 | Train Loss: 607.2057954072952 || Teste acc: 49.09 | Teste Loss: 194.87516331672668
19 Train acc: 57.288 | Train Loss: 596.9569170475006 || Teste acc: 47.24 | Teste Loss: 198.22011470794678
20 Train acc: 57.538 | Train Loss: 592.3538482189178 || Teste acc: 46.97 | Teste Loss: 206.39116501808167
21 Train acc: 58.074 | Train Loss: 585.5317506790161 || Teste acc: 47.5 | Teste Loss: 201.0924688577652
22 Train acc: 58.964 | Train Loss: 576.9879058599472 || Teste acc: 48.58 | Teste Loss: 196.3341338634491
23 Train acc: 58.962 | Train Loss: 571.6100146770477 || Teste acc: 52.6 | Teste Loss: 175.14205694198608
24 Train acc: 59.298 | Train Loss: 569.9013838768005 || Teste acc: 49.92 | Teste Loss: 183.63511788845062
25 Train acc: 59.254 | Train Loss: 565.6355506181717 || Teste acc: 51.04 | Teste Loss: 186.13917434215546
26 Train acc: 59.814 | Train Loss: 559.6506141424179 || Teste acc: 48.61 | Teste Loss: 197.2068156003952
27 Train acc: 60.062 | Train Loss: 557.4085116386414 || Teste acc: 45.52 | Teste Loss: 227.3855859041214
28 Train acc: 60.564 | Train Loss: 547.4481024742126 || Teste acc: 52.24 | Teste Loss: 181.8733547925949
29 Train acc: 60.858 | Train Loss: 543.2363239526749 || Teste acc: 51.24 | Teste Loss: 180.48896741867065
30 Train acc: 61.242 | Train Loss: 537.6459771990776 || Teste acc: 49.64 | Teste Loss: 187.43643355369568
31 Train acc: 61.788 | Train Loss: 533.3110235333443 || Teste acc: 51.97 | Teste Loss: 185.20240223407745
32 Train acc: 61.684 | Train Loss: 530.5530505776405 || Teste acc: 49.89 | Teste Loss: 184.29136383533478
33 Train acc: 62.222 | Train Loss: 521.685477912426 || Teste acc: 52.9 | Teste Loss: 175.76065075397491
34 Train acc: 62.908 | Train Loss: 516.5874620079994 || Teste acc: 51.65 | Teste Loss: 184.4131453037262
35 Train acc: 63.036 | Train Loss: 509.24663454294205 || Teste acc: 52.66 | Teste Loss: 176.3107204437256
36 Train acc: 63.518 | Train Loss: 504.4907920360565 || Teste acc: 55.27 | Teste Loss: 163.7048101425171
37 Train acc: 63.874 | Train Loss: 501.6324279308319 || Teste acc: 53.68 | Teste Loss: 174.58714306354523
38 Train acc: 64.312 | Train Loss: 491.9508464336395 || Teste acc: 51.77 | Teste Loss: 192.2832305431366
39 Train acc: 64.62 | Train Loss: 488.10408610105515 || Teste acc: 55.79 | Teste Loss: 166.16917312145233
40 Train acc: 65.094 | Train Loss: 481.0626496076584 || Teste acc: 52.21 | Teste Loss: 181.53159034252167
41 Train acc: 65.522 | Train Loss: 472.91362249851227 || Teste acc: 55.78 | Teste Loss: 164.66725635528564
42 Train acc: 65.714 | Train Loss: 470.536844432354 || Teste acc: 55.21 | Teste Loss: 167.2362209558487
43 Train acc: 66.308 | Train Loss: 462.43373984098434 || Teste acc: 58.73 | Teste Loss: 150.8437339067459
44 Train acc: 66.928 | Train Loss: 454.2694638967514 || Teste acc: 59.08 | Teste Loss: 146.0562269091606
45 Train acc: 67.264 | Train Loss: 448.7432552576065 || Teste acc: 54.8 | Teste Loss: 168.02441549301147
46 Train acc: 67.738 | Train Loss: 442.84020268917084 || Teste acc: 57.42 | Teste Loss: 157.2221715450287
47 Train acc: 68.272 | Train Loss: 434.21246469020844 || Teste acc: 58.98 | Teste Loss: 149.31704127788544
48 Train acc: 68.852 | Train Loss: 426.58008217811584 || Teste acc: 57.72 | Teste Loss: 156.2428936958313
49 Train acc: 69.168 | Train Loss: 421.63784658908844 || Teste acc: 60.12 | Teste Loss: 144.15591722726822
