
0 Train acc: 8.722 | Train Loss: 1531.7067070007324 || Teste acc: 13.36 | Teste Loss: 362.3163812160492
1 Train acc: 18.632 | Train Loss: 1296.5445160865784 || Teste acc: 20.99 | Teste Loss: 322.5060534477234
2 Train acc: 28.04 | Train Loss: 1095.6712155342102 || Teste acc: 29.35 | Teste Loss: 273.788800239563
3 Train acc: 35.382 | Train Loss: 951.3760964870453 || Teste acc: 29.45 | Teste Loss: 287.210378408432
4 Train acc: 40.614 | Train Loss: 858.7899173498154 || Teste acc: 37.85 | Teste Loss: 233.29287695884705
5 Train acc: 44.14 | Train Loss: 798.3484112024307 || Teste acc: 38.26 | Teste Loss: 239.50350332260132
6 Train acc: 47.224 | Train Loss: 752.1078741550446 || Teste acc: 33.94 | Teste Loss: 267.6022551059723
7 Train acc: 48.996 | Train Loss: 727.0832039117813 || Teste acc: 40.32 | Teste Loss: 232.5743908882141
8 Train acc: 50.296 | Train Loss: 703.7833746671677 || Teste acc: 36.86 | Teste Loss: 254.84351444244385
9 Train acc: 51.604 | Train Loss: 681.3306704759598 || Teste acc: 44.25 | Teste Loss: 209.954540848732
10 Train acc: 52.546 | Train Loss: 665.76578104496 || Teste acc: 41.51 | Teste Loss: 224.00075042247772
11 Train acc: 53.506 | Train Loss: 654.8561692237854 || Teste acc: 46.38 | Teste Loss: 202.99879550933838
12 Train acc: 54.018 | Train Loss: 643.9558383226395 || Teste acc: 42.98 | Teste Loss: 223.42371308803558
13 Train acc: 54.894 | Train Loss: 631.4928253889084 || Teste acc: 48.97 | Teste Loss: 192.71882712841034
14 Train acc: 55.434 | Train Loss: 624.0315735340118 || Teste acc: 47.08 | Teste Loss: 202.59521794319153
15 Train acc: 56.142 | Train Loss: 618.1697130203247 || Teste acc: 43.13 | Teste Loss: 228.1658695936203
16 Train acc: 56.384 | Train Loss: 612.3411092758179 || Teste acc: 46.17 | Teste Loss: 203.88845562934875
17 Train acc: 56.914 | Train Loss: 601.6614298820496 || Teste acc: 44.98 | Teste Loss: 210.01564300060272
18 Train acc: 57.22 | Train Loss: 596.4585047960281 || Teste acc: 41.34 | Teste Loss: 232.65557599067688
19 Train acc: 57.94 | Train Loss: 589.9980977773666 || Teste acc: 44.57 | Teste Loss: 215.2057454586029
