
0 Train acc: 8.644 | Train Loss: 1539.4353091716766 || Teste acc: 13.41 | Teste Loss: 368.2512011528015
1 Train acc: 17.834 | Train Loss: 1313.399709224701 || Teste acc: 21.52 | Teste Loss: 315.7292048931122
2 Train acc: 25.412 | Train Loss: 1153.249416589737 || Teste acc: 19.9 | Teste Loss: 350.95440578460693
3 Train acc: 32.566 | Train Loss: 1006.5246369838715 || Teste acc: 29.93 | Teste Loss: 272.26589703559875
4 Train acc: 38.214 | Train Loss: 902.2533754110336 || Teste acc: 38.0 | Teste Loss: 235.61750614643097
5 Train acc: 42.798 | Train Loss: 824.8378648757935 || Teste acc: 38.98 | Teste Loss: 230.91085290908813
6 Train acc: 45.69 | Train Loss: 777.4275206327438 || Teste acc: 37.13 | Teste Loss: 244.91354095935822
7 Train acc: 47.872 | Train Loss: 745.3416608572006 || Teste acc: 33.87 | Teste Loss: 283.9957449436188
8 Train acc: 49.202 | Train Loss: 716.9076552391052 || Teste acc: 35.19 | Teste Loss: 278.4202244281769
9 Train acc: 50.842 | Train Loss: 694.7154203653336 || Teste acc: 44.71 | Teste Loss: 208.6980640888214
10 Train acc: 52.178 | Train Loss: 678.2284083366394 || Teste acc: 45.75 | Teste Loss: 200.8881094455719
11 Train acc: 52.988 | Train Loss: 662.701294541359 || Teste acc: 48.57 | Teste Loss: 192.33538174629211
12 Train acc: 53.468 | Train Loss: 655.1518868207932 || Teste acc: 49.85 | Teste Loss: 185.6897863149643
13 Train acc: 54.312 | Train Loss: 643.9733865261078 || Teste acc: 46.19 | Teste Loss: 205.6627414226532
14 Train acc: 55.018 | Train Loss: 632.3893090486526 || Teste acc: 45.0 | Teste Loss: 212.53256106376648
15 Train acc: 55.31 | Train Loss: 623.7112222909927 || Teste acc: 49.46 | Teste Loss: 190.95824491977692
16 Train acc: 55.944 | Train Loss: 619.9505789279938 || Teste acc: 48.37 | Teste Loss: 198.9741997718811
17 Train acc: 56.744 | Train Loss: 610.1720734834671 || Teste acc: 45.47 | Teste Loss: 206.97473669052124
18 Train acc: 57.052 | Train Loss: 603.6187101602554 || Teste acc: 45.22 | Teste Loss: 210.7225058078766
19 Train acc: 57.346 | Train Loss: 598.0475331544876 || Teste acc: 49.41 | Teste Loss: 185.93847131729126
20 Train acc: 57.794 | Train Loss: 591.9745835065842 || Teste acc: 45.39 | Teste Loss: 209.7452906370163
21 Train acc: 58.308 | Train Loss: 585.2488933801651 || Teste acc: 44.28 | Teste Loss: 214.9336358308792
22 Train acc: 58.92 | Train Loss: 576.9167184829712 || Teste acc: 48.36 | Teste Loss: 193.16625106334686
23 Train acc: 58.884 | Train Loss: 572.2439444065094 || Teste acc: 51.25 | Teste Loss: 186.62021446228027
24 Train acc: 59.346 | Train Loss: 569.2643092870712 || Teste acc: 44.54 | Teste Loss: 220.8711689710617
25 Train acc: 59.752 | Train Loss: 564.3752937316895 || Teste acc: 47.91 | Teste Loss: 215.70599937438965
26 Train acc: 60.234 | Train Loss: 557.212292432785 || Teste acc: 47.87 | Teste Loss: 201.17761099338531
27 Train acc: 60.11 | Train Loss: 554.9113941788673 || Teste acc: 52.49 | Teste Loss: 176.29485607147217
28 Train acc: 60.448 | Train Loss: 550.2382751703262 || Teste acc: 51.19 | Teste Loss: 184.24820375442505
29 Train acc: 60.782 | Train Loss: 542.4567303657532 || Teste acc: 48.96 | Teste Loss: 191.5357403755188
30 Train acc: 61.264 | Train Loss: 538.2517886161804 || Teste acc: 47.76 | Teste Loss: 204.51650953292847
31 Train acc: 61.632 | Train Loss: 531.8235865235329 || Teste acc: 52.73 | Teste Loss: 177.44950413703918
32 Train acc: 62.136 | Train Loss: 528.102503657341 || Teste acc: 51.98 | Teste Loss: 175.27255237102509
33 Train acc: 62.306 | Train Loss: 520.127002120018 || Teste acc: 51.69 | Teste Loss: 183.87399184703827
34 Train acc: 62.954 | Train Loss: 515.0791449546814 || Teste acc: 49.24 | Teste Loss: 203.06364917755127
35 Train acc: 62.92 | Train Loss: 511.19624906778336 || Teste acc: 47.99 | Teste Loss: 200.3404084444046
36 Train acc: 63.62 | Train Loss: 504.6815311908722 || Teste acc: 51.27 | Teste Loss: 188.22912073135376
37 Train acc: 64.228 | Train Loss: 497.1113205552101 || Teste acc: 53.01 | Teste Loss: 177.4201374053955
38 Train acc: 64.366 | Train Loss: 491.77086639404297 || Teste acc: 55.61 | Teste Loss: 165.68418097496033
39 Train acc: 64.63 | Train Loss: 486.58263808488846 || Teste acc: 51.74 | Teste Loss: 177.94784724712372
40 Train acc: 65.212 | Train Loss: 479.0506629347801 || Teste acc: 51.5 | Teste Loss: 185.0062381029129
41 Train acc: 65.76 | Train Loss: 474.8907088637352 || Teste acc: 55.0 | Teste Loss: 174.11337280273438
42 Train acc: 65.832 | Train Loss: 469.3307233452797 || Teste acc: 48.71 | Teste Loss: 214.60086810588837
43 Train acc: 66.29 | Train Loss: 462.0460422039032 || Teste acc: 48.01 | Teste Loss: 217.84534668922424
44 Train acc: 66.654 | Train Loss: 458.39298391342163 || Teste acc: 57.18 | Teste Loss: 156.2322428226471
45 Train acc: 67.458 | Train Loss: 449.80935794115067 || Teste acc: 57.54 | Teste Loss: 155.1432056427002
46 Train acc: 67.748 | Train Loss: 442.0871083140373 || Teste acc: 55.72 | Teste Loss: 166.64562904834747
47 Train acc: 68.136 | Train Loss: 437.5268215537071 || Teste acc: 55.53 | Teste Loss: 166.54117619991302
48 Train acc: 68.524 | Train Loss: 429.7127677202225 || Teste acc: 58.9 | Teste Loss: 150.83991199731827
49 Train acc: 69.212 | Train Loss: 421.03696179389954 || Teste acc: 59.92 | Teste Loss: 147.1820993423462
50 Train acc: 69.88 | Train Loss: 413.76059925556183 || Teste acc: 60.59 | Teste Loss: 145.0102834701538
51 Train acc: 70.542 | Train Loss: 403.7528116106987 || Teste acc: 55.92 | Teste Loss: 173.44826591014862
52 Train acc: 70.892 | Train Loss: 397.04119580984116 || Teste acc: 58.22 | Teste Loss: 153.98425388336182
53 Train acc: 71.406 | Train Loss: 388.44535088539124 || Teste acc: 60.46 | Teste Loss: 148.71661800146103
54 Train acc: 72.07 | Train Loss: 380.77307641506195 || Teste acc: 60.0 | Teste Loss: 146.23370838165283
55 Train acc: 72.782 | Train Loss: 370.02561366558075 || Teste acc: 56.72 | Teste Loss: 164.0104377269745
56 Train acc: 73.048 | Train Loss: 365.6917367577553 || Teste acc: 60.44 | Teste Loss: 148.69779878854752
57 Train acc: 74.034 | Train Loss: 353.31684333086014 || Teste acc: 62.82 | Teste Loss: 135.73439967632294
58 Train acc: 74.796 | Train Loss: 342.2941201329231 || Teste acc: 60.3 | Teste Loss: 151.06180119514465
59 Train acc: 75.372 | Train Loss: 334.2960156202316 || Teste acc: 63.08 | Teste Loss: 137.4356628060341
60 Train acc: 75.842 | Train Loss: 325.9440705180168 || Teste acc: 62.22 | Teste Loss: 138.61866384744644
