
0 Train acc: 30.742 | Train Loss: 732.0582809448242 || Teste acc: 42.56 | Teste Loss: 153.8709728717804
1 Train acc: 47.966 | Train Loss: 555.5712660551071 || Teste acc: 47.97 | Teste Loss: 152.6156359910965
2 Train acc: 59.102 | Train Loss: 443.1649614572525 || Teste acc: 59.59 | Teste Loss: 117.77229928970337
3 Train acc: 66.856 | Train Loss: 367.45848935842514 || Teste acc: 67.67 | Teste Loss: 91.93328630924225
4 Train acc: 71.552 | Train Loss: 318.88605910539627 || Teste acc: 71.75 | Teste Loss: 84.08111715316772
5 Train acc: 74.814 | Train Loss: 282.70952355861664 || Teste acc: 71.02 | Teste Loss: 86.50781947374344
6 Train acc: 76.718 | Train Loss: 263.62392991781235 || Teste acc: 70.31 | Teste Loss: 90.11404502391815
7 Train acc: 77.786 | Train Loss: 252.3664928674698 || Teste acc: 74.42 | Teste Loss: 76.5002698302269
8 Train acc: 78.926 | Train Loss: 240.72704508900642 || Teste acc: 69.87 | Teste Loss: 94.73030722141266
9 Train acc: 79.574 | Train Loss: 234.08711275458336 || Teste acc: 79.76 | Teste Loss: 60.20003613829613
10 Train acc: 80.236 | Train Loss: 224.53750053048134 || Teste acc: 74.6 | Teste Loss: 76.8334863781929
11 Train acc: 80.382 | Train Loss: 221.9827639758587 || Teste acc: 69.57 | Teste Loss: 93.54409617185593
12 Train acc: 81.028 | Train Loss: 219.64024037122726 || Teste acc: 75.7 | Teste Loss: 72.97416499257088
13 Train acc: 81.352 | Train Loss: 214.0144034922123 || Teste acc: 75.04 | Teste Loss: 76.3828404545784
14 Train acc: 81.584 | Train Loss: 211.50196877121925 || Teste acc: 74.31 | Teste Loss: 76.39593377709389
15 Train acc: 82.19 | Train Loss: 206.65137250721455 || Teste acc: 68.81 | Teste Loss: 100.96635591983795
16 Train acc: 82.206 | Train Loss: 203.25749871134758 || Teste acc: 78.19 | Teste Loss: 67.69260439276695
17 Train acc: 82.244 | Train Loss: 203.75241741538048 || Teste acc: 78.98 | Teste Loss: 64.08808663487434
18 Train acc: 82.418 | Train Loss: 202.78135201334953 || Teste acc: 73.01 | Teste Loss: 80.28817144036293
19 Train acc: 82.572 | Train Loss: 200.21839168667793 || Teste acc: 69.17 | Teste Loss: 99.0515946149826
20 Train acc: 82.742 | Train Loss: 198.08334684371948 || Teste acc: 73.2 | Teste Loss: 81.0504677593708
21 Train acc: 83.488 | Train Loss: 191.2929025888443 || Teste acc: 77.52 | Teste Loss: 69.3614884018898
22 Train acc: 83.448 | Train Loss: 189.32259219884872 || Teste acc: 79.77 | Teste Loss: 59.5929499566555
23 Train acc: 83.254 | Train Loss: 192.0875804722309 || Teste acc: 75.33 | Teste Loss: 76.56473731994629
24 Train acc: 83.87 | Train Loss: 186.4062187075615 || Teste acc: 79.14 | Teste Loss: 61.960716873407364
25 Train acc: 83.862 | Train Loss: 186.09440037608147 || Teste acc: 78.94 | Teste Loss: 64.45952144265175
26 Train acc: 84.144 | Train Loss: 182.7729826271534 || Teste acc: 72.95 | Teste Loss: 83.56173288822174
27 Train acc: 84.232 | Train Loss: 181.34989750385284 || Teste acc: 81.24 | Teste Loss: 55.38612034916878
28 Train acc: 84.502 | Train Loss: 179.4451393634081 || Teste acc: 72.82 | Teste Loss: 86.04797360301018
29 Train acc: 84.482 | Train Loss: 178.4191687554121 || Teste acc: 80.8 | Teste Loss: 55.60445320606232
30 Train acc: 84.68 | Train Loss: 174.40992030501366 || Teste acc: 77.18 | Teste Loss: 71.9028007388115
31 Train acc: 84.976 | Train Loss: 174.05402253568172 || Teste acc: 74.22 | Teste Loss: 84.9164810180664
32 Train acc: 85.032 | Train Loss: 171.33874586224556 || Teste acc: 83.07 | Teste Loss: 49.703235387802124
33 Train acc: 85.704 | Train Loss: 166.61376559734344 || Teste acc: 78.48 | Teste Loss: 65.81943407654762
34 Train acc: 85.666 | Train Loss: 165.03806766867638 || Teste acc: 77.48 | Teste Loss: 68.916031062603
35 Train acc: 85.992 | Train Loss: 162.98679964244366 || Teste acc: 76.08 | Teste Loss: 72.77478569746017
36 Train acc: 86.042 | Train Loss: 160.50763095915318 || Teste acc: 83.65 | Teste Loss: 50.124173641204834
37 Train acc: 86.096 | Train Loss: 162.05303148925304 || Teste acc: 72.72 | Teste Loss: 85.0354945063591
38 Train acc: 86.054 | Train Loss: 159.61508738994598 || Teste acc: 81.84 | Teste Loss: 57.852341026067734
39 Train acc: 86.518 | Train Loss: 155.22242702543736 || Teste acc: 77.32 | Teste Loss: 73.33736655116081
40 Train acc: 86.63 | Train Loss: 154.66231729090214 || Teste acc: 80.9 | Teste Loss: 57.90230244398117
41 Train acc: 86.814 | Train Loss: 151.422472178936 || Teste acc: 80.45 | Teste Loss: 57.85184249281883
42 Train acc: 87.042 | Train Loss: 150.1640245616436 || Teste acc: 78.27 | Teste Loss: 70.25819417834282
43 Train acc: 87.178 | Train Loss: 147.69100919365883 || Teste acc: 84.21 | Teste Loss: 46.764030426740646
44 Train acc: 87.178 | Train Loss: 146.52569310367107 || Teste acc: 81.78 | Teste Loss: 55.78952480852604
45 Train acc: 87.712 | Train Loss: 141.77817073464394 || Teste acc: 80.04 | Teste Loss: 60.622533708810806
46 Train acc: 87.784 | Train Loss: 140.15180066227913 || Teste acc: 79.85 | Teste Loss: 63.35334125161171
47 Train acc: 88.088 | Train Loss: 136.69977873563766 || Teste acc: 84.56 | Teste Loss: 48.1024386882782
48 Train acc: 88.05 | Train Loss: 135.30825944244862 || Teste acc: 84.73 | Teste Loss: 45.38975769281387
49 Train acc: 88.626 | Train Loss: 132.03534246981144 || Teste acc: 79.11 | Teste Loss: 65.86324700713158
50 Train acc: 88.77 | Train Loss: 127.8088553994894 || Teste acc: 85.7 | Teste Loss: 42.72001385688782
51 Train acc: 89.074 | Train Loss: 126.85003492236137 || Teste acc: 82.37 | Teste Loss: 54.911865293979645
52 Train acc: 89.1 | Train Loss: 126.22653636336327 || Teste acc: 85.05 | Teste Loss: 45.250422567129135
