
0 Train acc: 34.284 | Train Loss: 699.5837142467499 || Teste acc: 46.14 | Teste Loss: 148.52514612674713
1 Train acc: 54.554 | Train Loss: 489.7893835902214 || Teste acc: 59.17 | Teste Loss: 115.40091359615326
2 Train acc: 65.208 | Train Loss: 382.823882997036 || Teste acc: 65.04 | Teste Loss: 100.83661836385727
3 Train acc: 71.596 | Train Loss: 317.66046887636185 || Teste acc: 66.43 | Teste Loss: 100.75550180673599
4 Train acc: 74.976 | Train Loss: 282.3664401769638 || Teste acc: 69.02 | Teste Loss: 94.33246833086014
5 Train acc: 77.05 | Train Loss: 260.98148250579834 || Teste acc: 68.68 | Teste Loss: 96.58460074663162
6 Train acc: 78.152 | Train Loss: 246.97683000564575 || Teste acc: 77.25 | Teste Loss: 69.3298450410366
7 Train acc: 79.634 | Train Loss: 234.47013878822327 || Teste acc: 62.76 | Teste Loss: 125.26585966348648
8 Train acc: 79.938 | Train Loss: 229.77755844593048 || Teste acc: 72.12 | Teste Loss: 86.42874920368195
9 Train acc: 80.44 | Train Loss: 222.28754922747612 || Teste acc: 78.58 | Teste Loss: 61.25640743970871
10 Train acc: 81.126 | Train Loss: 216.07653483748436 || Teste acc: 76.54 | Teste Loss: 68.72363817691803
11 Train acc: 81.208 | Train Loss: 213.57631969451904 || Teste acc: 68.01 | Teste Loss: 103.02002918720245
12 Train acc: 81.806 | Train Loss: 208.78913789987564 || Teste acc: 74.59 | Teste Loss: 76.79518887400627
13 Train acc: 82.196 | Train Loss: 204.90713343024254 || Teste acc: 78.53 | Teste Loss: 64.04634389281273
14 Train acc: 82.072 | Train Loss: 205.65390279889107 || Teste acc: 69.89 | Teste Loss: 100.21197003126144
15 Train acc: 82.574 | Train Loss: 201.1191222667694 || Teste acc: 76.26 | Teste Loss: 72.73732671141624
16 Train acc: 83.104 | Train Loss: 195.00882044434547 || Teste acc: 72.33 | Teste Loss: 85.94044053554535
17 Train acc: 82.942 | Train Loss: 196.6601358652115 || Teste acc: 75.71 | Teste Loss: 71.87753421068192
18 Train acc: 83.128 | Train Loss: 193.37241005897522 || Teste acc: 75.88 | Teste Loss: 73.54403087496758
19 Train acc: 83.234 | Train Loss: 191.96364831924438 || Teste acc: 73.28 | Teste Loss: 84.65796715021133
20 Train acc: 83.76 | Train Loss: 186.8158304542303 || Teste acc: 74.36 | Teste Loss: 82.20578518509865
21 Train acc: 83.644 | Train Loss: 187.13208490610123 || Teste acc: 79.44 | Teste Loss: 60.6708342730999
